"time","I@variable_resistance","U@resistance","maxTimeStep","tolerance","fixedh","errCtrl","writeLevel","extraDisconPrints","runStats","runType","theSolverType","fixedorder"
0,-0.0000000000000000E+00,0.0000000000000000E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3e-07,-3.1243422239566824E-08,3.4724128219253778E-03,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
5e-07,-8.5712402948163317E-08,1.5721033056130269E-02,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
7e-07,-1.6489009729584994E-07,4.1955773506896200E-02,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
9e-07,-2.6588160422580982E-07,8.6243830922014098E-02,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1e-06,-3.2344192396552336E-07,1.1609989955305387E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.3e-06,-5.1810155346196561E-07,2.3900691289111145E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.5e-06,-6.6040804874796613E-07,3.4900519577827338E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.7e-06,-8.0705521526328022E-07,4.8001654667514126E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.9e-06,-9.5311202962618906E-07,6.2923813246115756E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.1e-06,-1.0938106929108629E-06,7.9260090663993954E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.3e-06,-1.2247298226756372E-06,9.6495305257818942E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.5e-06,-1.3419591000039835E-06,1.1402926677770095E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.7e-06,-1.4422388945733996E-06,1.3120386157059005E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.9e-06,-1.5230696088677049E-06,1.4733269542167509E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.1e-06,-1.5827869288584962E-06,1.6173197046086580E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.3e-06,-1.6206005805766086E-06,1.7375120323271342E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.5e-06,-1.6365959099582931E-06,1.8280244309419931E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.7e-06,-1.6316991473363576E-06,1.8838674429012314E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
3.9e-06,-1.6076087298720910E-06,1.9011676764141194E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
4.1e-06,-1.5666964532471527E-06,1.8773458156869347E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
4.3e-06,-1.5118834127610765E-06,1.8112395214016064E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
4.5e-06,-1.4464966476646126E-06,1.7031665965263858E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
4.7e-06,-1.3741130824811648E-06,1.5549264228322532E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
4.9e-06,-1.2983977406730886E-06,1.3697403388340468E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
5.1e-06,2.2969467334985207E-02,1.0148124089138950E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
5.3e-06,9.5283200710555283E-04,5.1707916649844388E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
5.5e-06,-2.0813243230719092E-02,3.2368153386302431E-02,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
5.7e-06,-4.2178608163951449E-02,-4.3145345041983219E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
5.9e-06,-6.3006572477446246E-02,-8.6722297926627201E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
6.1e-06,-8.3175927085454751E-02,-1.2685901762038325E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
6.3e-06,-1.0258224239221393E-01,-1.6300809520872872E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
6.5e-06,-1.2113897191589451E-01,-1.9471602374168124E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
6.7e-06,-1.3877817230137862E-01,-2.2162656016995244E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
6.9e-06,-1.5545085547636409E-01,-2.4348288462597028E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
7.1e-06,-1.7112702050748738E-01,-2.6012758564716330E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
7.3e-06,-1.8579533332487369E-01,-2.7150103677174298E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
7.5e-06,-1.9946249093364529E-01,-2.7763808803462320E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
7.7e-06,-2.1215232303671097E-01,-2.7866329217130645E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
7.9e-06,-2.2390457034379302E-01,-2.7478477838286319E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
8.1e-06,-2.3477358266613449E-01,-2.6628690844477476E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
8.3e-06,-2.4482663253878434E-01,-2.5352196623378536E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
8.5e-06,-2.5414222109952145E-01,-2.3690103158945708E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
8.6e-06,-2.5855060779798145E-01,-2.2728670234956163E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
8.8e-06,-2.6692712315811007E-01,-2.0575700045559873E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
9e-06,-2.7479908542375314E-01,-1.8159112585606403E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
9.2e-06,-2.8226912132641352E-01,-1.5532662354022142E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
9.4e-06,-2.8944234189473272E-01,-1.2751408877681656E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
9.6e-06,-2.9642430546047915E-01,-9.8706461730244865E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
9.8e-06,-3.0331927733861996E-01,-6.9449966391475204E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1e-05,-2.6138891192055359E-04,-4.0274532821840386E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.02e-05,-6.9988613202903190E-07,-3.9487312462524363E-02,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.04e-05,-1.3866016388495393E-06,4.6140763806395974E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.06e-05,-2.0386279559869168E-06,1.0801496499691805E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.08e-05,-2.6332945646797605E-06,1.7905401333465176E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.1e-05,-3.1507603919011020E-06,2.5612408954268258E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.12e-05,-3.5747552491107278E-06,3.3572564426649647E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.14e-05,-3.8931551102245148E-06,4.1415595950723416E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.16e-05,-4.0983709655670954E-06,4.8767878474280790E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.18e-05,-4.1875386547134719E-06,5.5269337164257557E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.2e-05,-4.1625064515450388E-06,6.0589566599257605E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.22e-05,-4.0296254684135460E-06,6.4442470985667795E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.24e-05,-3.7993563645596174E-06,6.6598816909335516E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.26e-05,-3.4857133566848381E-06,6.6896188002541850E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.28e-05,-3.1055729552606585E-06,6.5245953967678716E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.3e-05,-2.6778800088427407E-06,6.1637001279030663E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.32e-05,-2.2227872727159950E-06,5.6136116838924774E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.34e-05,-1.7607667393588659E-06,4.8885061594144217E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.36e-05,-1.3117312439276218E-06,4.0094511710005341E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.38e-05,-8.9420360239116923E-07,3.0035175834527315E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.4e-05,-5.2456753966970534E-07,1.9026511414190210E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.42e-05,-2.1643078479040567E-07,7.4235563495685486E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.44e-05,1.9875862041062497E-08,-4.3975310458039396E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.46e-05,1.7764441824150715E-07,-1.6054601701705102E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.48e-05,2.5397017355463027E-07,-2.7174659930193719E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.5e-05,2.4977420015576812E-07,-3.7408383994866883E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.52e-05,-4.8093267653226697E-02,-4.5970887853914721E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.54e-05,-7.4696096759272107E-02,-5.3351136814864466E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.56e-05,-9.8899011144225960E-02,-5.9475217511519389E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
