"time","part5_displacement_output"
0,3.1589465019999994E+02
0.001,3.1589465019999994E+02
0.002,3.1561033451745402E+02
0.003,3.1532597912739988E+02
0.004,3.1504158349454639E+02
0.005,3.1475714794093017E+02
0.006,3.1447267278862415E+02
0.007,3.1418815750170410E+02
0.008,3.1390360240195707E+02
0.009,3.1361900781120994E+02
0.01,3.1333437319293432E+02
0.011,3.1304969886867792E+02
0.012,3.1276498516002960E+02
0.013,3.1248023152986843E+02
0.014,3.1219543829951050E+02
0.015,3.1191060579031671E+02
0.016,3.1162573346458191E+02
0.017,3.1134082164340043E+02
0.018,3.1105587064791382E+02
0.019,3.1077087993984333E+02
0.02,3.1048584984006987E+02
0.021,3.1020078066952402E+02
0.022,3.0991567188936341E+02
0.023,3.0963052382026427E+02
0.024,3.0934533678295543E+02
0.025,3.0906011023803984E+02
0.026,3.0877484450599775E+02
0.027,3.0848953962055987E+02
0.028,3.0820419590219876E+02
0.029,3.0791881281079293E+02
0.03,3.0763339066657488E+02
0.031,3.0734792978983586E+02
0.032,3.0706242963992099E+02
0.033,3.0677689053688704E+02
0.034,3.0649131280085106E+02
0.035,3.0620569589063570E+02
0.036,3.0592004012612983E+02
0.037,3.0563434582728485E+02
0.038,3.0534861245240921E+02
0.039,3.0506284032123256E+02
0.04,3.0477702975354862E+02
0.041,3.0449118020716122E+02
0.042,3.0420529200164810E+02
0.043,3.0391936545665425E+02
0.044,3.0363340002948706E+02
0.045,3.0334739603958093E+02
0.046,3.0306135380643997E+02
0.047,3.0277527278688405E+02
0.048,3.0248915330021231E+02
0.049,3.0220299566579519E+02
0.05,3.0191679933997472E+02
0.051,3.0163056464192164E+02
0.052,3.0134429189088155E+02
0.053,3.0105798054272617E+02
0.054,3.0077163091650715E+02
0.055,3.0048524333135123E+02
0.056,3.0019881724267043E+02
0.057,2.9991235296940226E+02
0.058,2.9962585083056513E+02
0.059,2.9933931028111715E+02
0.06,2.9905273163989227E+02
0.061,2.9876611522580532E+02
0.062,2.9847946049337071E+02
0.063,2.9819276776132455E+02
0.064,2.9790603734848747E+02
0.065,2.9761926870893740E+02
0.066,2.9733246216132085E+02
0.067,2.9704561802437092E+02
0.068,2.9675873575173722E+02
0.069,2.9647181566198424E+02
0.07,2.9618485807376453E+02
0.071,2.9589786244030813E+02
0.072,2.9561082908010422E+02
0.073,2.9532375802315312E+02
0.074,2.9503664958801113E+02
0.075,2.9474950322736146E+02
0.076,2.9446231925960399E+02
0.077,2.9417509800323194E+02
0.078,2.9388783891052702E+02
0.079,2.9360054229983086E+02
0.08,2.9331320848958012E+02
0.081,2.9302583693166281E+02
0.082,2.9273842794436911E+02
0.083,2.9245098184608634E+02
0.084,2.9216349808831711E+02
0.085,2.9187597698930648E+02
0.086,2.9158841886739322E+02
0.087,2.9130082317387144E+02
0.088,2.9101319022645941E+02
0.089,2.9072552034395960E+02
0.09,2.9043781297695818E+02
0.091,2.9015006844363120E+02
0.092,2.8986228706225910E+02
0.093,2.8957446828323231E+02
0.094,2.8928661242470304E+02
0.095,2.8899871980492873E+02
0.096,2.8871078987394515E+02
0.097,2.8842282294988598E+02
0.098,2.8813481935099350E+02
0.099,2.8784677852695410E+02
0.1,2.8755870079589164E+02
0.101,2.8727058647603809E+02
0.102,2.8698243501673943E+02
0.103,2.8669424673611428E+02
0.104,2.8640602195239211E+02
0.105,2.8611776011458500E+02
0.106,2.8582946154081333E+02
0.107,2.8554112654930969E+02
0.108,2.8525275458875973E+02
0.109,2.8496434597729154E+02
0.11,2.8467590103314802E+02
0.111,2.8438741920469460E+02
0.112,2.8409890081007399E+02
0.113,2.8381034616754465E+02
0.114,2.8352175472515995E+02
0.115,2.8323312680108234E+02
0.116,2.8294446271359254E+02
0.117,2.8265576191043863E+02
0.118,2.8236702470980947E+02
0.119,2.8207825143001349E+02
0.12,2.8178944151849998E+02
0.121,2.8150059529349039E+02
0.122,2.8121171278292815E+02
0.123,2.8092279430516919E+02
0.124,2.8063383930727394E+02
0.125,2.8034484810751690E+02
0.126,2.8005582102429599E+02
0.127,2.7976675750438869E+02
0.128,2.7947765786611569E+02
0.129,2.7918852242792320E+02
0.13,2.7889935063631168E+02
0.131,2.7861014280965423E+02
0.132,2.7832089926645040E+02
0.133,2.7803161945293118E+02
