"time","J1_w","J2_w","J3_w","J4_w"
0,1.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
1,3.2339749022487481E+000,3.3817972293242313E+000,3.3817972293243401E+000,7.9936057773011271E-015
2,3.1206341392446517E+000,3.4387267821990810E+000,3.4387267821991898E+000,9.3258734068513149E-015
3,3.1208563088113555E+000,3.4387267821990801E+000,3.4387267821991889E+000,8.4376949871511897E-015
4,3.1953082308259511E+000,3.4017389195249383E+000,3.4017389195250471E+000,5.7731597280508140E-015
5,3.3282840894822709E+000,3.3282840895822723E+000,3.3282840895823811E+000,3.5527136788005009E-015
6,3.2354813456109461E+000,3.3833335701211058E+000,3.3833335701212146E+000,6.2172489379008766E-015
7,3.1236750657392536E+000,3.4402495309445849E+000,3.4402495309446937E+000,4.8849813083506888E-015
8,3.1221509996994281E+000,3.4402495309445840E+000,3.4402495309446928E+000,3.9968028886505635E-015
9,3.1974337247605420E+000,3.4039430181013293E+000,3.4039430181014381E+000,4.8849813083506888E-015
10,3.3307751090736808E+000,3.3307751091736830E+000,3.3307751091737918E+000,7.9936057773011271E-015
11,3.2282885368077849E+000,3.3761430787739499E+000,3.3761430787740587E+000,7.9936057773011271E-015
12,3.1150058274892745E+000,3.4330584909713542E+000,3.4330584909714630E+000,5.3290705182007514E-015
13,3.1165083566231107E+000,3.4330584909713528E+000,3.4330584909714617E+000,3.9968028886505635E-015
14,3.1899887408071579E+000,3.3961911970782026E+000,3.3961911970783114E+000,2.6645352591003757E-015
15,3.3265445498723714E+000,3.3265445499723723E+000,3.3265445499724811E+000,5.7731597280508140E-015
16,3.2308389200286181E+000,3.3786942476632102E+000,3.3786942476633191E+000,4.4408920985006262E-015
17,3.1191233193033874E+000,3.4356094319343873E+000,3.4356094319344961E+000,4.4408920985006262E-015
18,3.1203392960465761E+000,3.4356094319343882E+000,3.4356094319344965E+000,4.8849813083506888E-015
19,3.1941089430165683E+000,3.3999625681832302E+000,3.3999625681833385E+000,0.0000000000000000E+000
20,3.3237203664716426E+000,3.3237203665724953E+000,3.3237203665726041E+000,-8.8817841970012523E-016
21,3.2259078189722974E+000,3.3737638904301339E+000,3.3737638904302427E+000,8.8817841970012523E-016
22,3.1147490770918540E+000,3.4306787558408387E+000,3.4306787558409475E+000,3.1086244689504383E-015
23,3.1147579102230192E+000,3.4306787558408400E+000,3.4306787558409488E+000,4.4408920985006262E-015
24,3.1875033512309612E+000,3.3942034322881391E+000,3.3942034322882479E+000,8.4376949871511897E-015
25,3.3246081008337720E+000,3.3246081009346269E+000,3.3246081009347357E+000,6.2172489379008766E-015
