"time","y","y1","y2","y3","y4","y5","y6","Q","QI"
0,0,1,0,0,1,0,0,1,0
1,0,1,0,4,1,0,0,1,0
2,0,1,0,8,1,0,0,1,0
3,0,1,0,12,1,0,1,1,0
4,0,1,0,16,1,0,0,1,0
5,0,1,0,20,1,0,0,1,0
6,0,1,0,24,1,0,0,1,0
7,0,1,0,28,1,0,0,1,0
8,0,1,0,32,1,0,1,1,0
9,0,1,0,36,1,0,0,1,0
10,0,1,0,40,1,0,0,1,0
11,0,1,0,44,1,0,0,1,0
12,0,1,0,48,1,0,1,1,0
13,0,1,0,52,1,0,1,1,0
14,0,1,0,56,1,0,1,1,0
15,0,1,0,60,1,0,1,1,0
16,0,1,0,64,1,0,1,1,0
17,0,1,0,68,1,0,1,1,0
18,0,1,0,72,1,0,1,1,0
19,0,1,0,76,1,0,1,1,0
20,0,1,0,80,1,0,1,1,0
21,0,1,0,84,1,0,1,1,0
22,0,1,0,88,1,0,1,1,0
23,0,1,0,92,1,0,1,1,0
24,0,1,0,96,1,0,1,1,0
25,0,1,0,100,1,0,1,1,0
