"time","heatCapacitor_T","switch_Controll"
0,2.9314999999999998E+002,2.0000000000000000E+001,0
1,2.9893678699926858E+002,2.5786786999268600E+001,1
2,2.9839787392108099E+002,2.5247873921081009E+001,1
3,3.0171918314201110E+002,2.8569183142011127E+001,1
4,3.0583856969067858E+002,3.2688569690678605E+001,0
5,3.1042833258238289E+002,3.7278332582382916E+001,0
6,3.1470924999296369E+002,4.1559249992963714E+001,0
7,3.1867559568024410E+002,4.5525595680244123E+001,0
8,3.2232649715396934E+002,4.9176497153969365E+001,0
9,3.2225922492741466E+002,4.9109224927414687E+001,0
10,3.2219576458498176E+002,4.9045764584981782E+001,0
11,3.2215497711910353E+002,4.9004977119103557E+001,1
12,3.2218719551569620E+002,4.9037195515696226E+001,1
13,3.2221948650381324E+002,4.9069486503813266E+001,1
14,3.2225191282834703E+002,4.9101912828347054E+001,1
15,3.2228436378160865E+002,4.9134363781608670E+001,1
16,3.2231683931944599E+002,4.9166839319446012E+001,1
17,3.2234933940206861E+002,4.9199339402068631E+001,1
18,3.2238186399304993E+002,4.9231863993049956E+001,1
19,3.2241441305855540E+002,4.9264413058555419E+001,1
20,3.2244698656702781E+002,4.9296986567027830E+001,1
21,3.2247958448854536E+002,4.9329584488545379E+001,1
22,3.2251220679446823E+002,4.9362206794468250E+001,1
23,3.2254485345716353E+002,4.9394853457163549E+001,1
24,3.2257752444970254E+002,4.9427524449702560E+001,1
25,3.2261021974563977E+002,4.9460219745639790E+001,1
