"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0,5.6568542494923804E+002,-0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.8000000000000011E+002
0.0002,5.5900835123981585E+002,6.1466531032030147E-002,-1.0486232080013373E+000,9.8715667696930720E-001,3.1223792675029421E+002,-5.6300926100208858E+002,2.5077133425179443E+002,7.8942393877474069E+002
0.0004,5.5236815250826567E+002,1.2274588513453288E-001,-6.7371130951158005E+000,6.6143672099812676E+000,3.3956319956016114E+002,-5.5638039124002694E+002,2.1681719167986589E+002,7.9931061955439986E+002
0.0006,5.4583029291068851E+002,1.8354083845205693E-001,-1.5964657504022641E+001,1.5781116665570584E+001,3.6670098049316914E+002,-5.4986093899362629E+002,1.8315995850045715E+002,8.2784844706618196E+002
0.0008,5.3941503372110674E+002,2.4361145845814747E-001,-2.4862183554672114E+001,2.4618572096213967E+001,3.9353756483382938E+002,-5.4346342759829645E+002,1.4992586276446704E+002,8.5943730615781215E+002
0.001,5.3309663640025906E+002,3.0272059191978684E-001,-2.9613314342576615E+001,2.9310593750656828E+001,4.1993769034865301E+002,-5.3715448605722986E+002,1.1721679570857685E+002,8.7801538968404191E+002
0.0012002,5.2678780171834262E+002,3.6069228920211671E-001,-2.6556614611160260E+001,2.6195922321958143E+001,4.4576607126101339E+002,-5.3083949262798149E+002,8.5073421366968063E+001,8.6781586741612057E+002
0.0014002,5.2037326700574044E+002,4.1718195427763938E-001,-1.2301516078672144E+001,1.1884334124394504E+001,4.7078938777272435E+002,-5.2439640408627236E+002,5.3607016313548002E+001,8.1473634941761202E+002
0.0016002,5.1373584813273408E+002,4.4999864631552255E-001,-9.2366250770614355E-001,4.7366386139062100E-001,4.8386765315038207E+002,-4.9570026068793129E+002,1.1832607537549222E+001,7.4415254113936430E+002
0.0018002,5.0706174151088521E+002,4.9156562828545247E-001,-9.3572851714939842E-001,4.4416288886394595E-001,5.0131410956451987E+002,-4.7761273985376664E+002,-2.3701369710753255E+001,7.3656813200771694E+002
0.0020002,5.0040336874168963E+002,6.4745479401313126E+000,-6.8730608111792968E+000,3.9851287104798422E-001,5.0441570753136472E+002,-4.5146448854591085E+002,-5.2951218985453863E+001,7.3420051423973769E+002
0.0022002,4.9402194363741319E+002,4.3940135713185292E+001,-4.4281659063603087E+001,3.4152335041779652E-001,4.9810916930107703E+002,-4.1981643062094128E+002,-7.8292738680135784E+001,8.5077373076709353E+002
0.0024002,4.8834837972024411E+002,1.1196501399666363E+002,-1.1224819999056740E+002,2.8318599390377597E-001,4.9257160801424368E+002,-3.8787894255186524E+002,-1.0469266546237847E+002,1.1118217449014996E+003
0.0026002,4.8375762523719720E+002,2.0543877765922321E+002,-2.0566250868710779E+002,2.2373102788456961E-001,4.8816775059816780E+002,-3.5594950110677081E+002,-1.3221824949139699E+002,1.5187189475781313E+003
0.0028002,4.8055122278491956E+002,3.1863493052509239E+002,-3.1879832362031590E+002,1.6339309522349321E-001,4.8518768630015586E+002,-3.2429047245829042E+002,-1.6089721384186544E+002,2.0706184307656172E+003
0.003,4.7895134013483624E+002,4.4521429255026209E+002,-4.4531676410082042E+002,1.0247155055834392E-001,4.8384090439924285E+002,-2.9315627871451738E+002,-1.9068462568472540E+002,2.7582324589592899E+003
0.0032,4.7909153001552482E+002,5.7892328976882254E+002,-5.7896437459509161E+002,4.1084826269042911E-002,4.8424845033990846E+002,-2.6266665884686830E+002,-2.2158179149304013E+002,3.5627035693543166E+003
0.0034,4.8102193638215067E+002,7.1308247924442287E+002,-7.1306201491674278E+002,-2.0464327680087831E-002,4.8644710940726600E+002,-2.3299138063143548E+002,-2.5345572877583055E+002,4.4498145998189102E+003
0.0036,4.8470617841136084E+002,8.4084470873981468E+002,-8.4076277692746510E+002,-8.1931812349590627E-002,4.9038680680404298E+002,-2.0422745626136100E+002,-2.8615935054268198E+002,5.3697536626625324E+003
0.0038,4.9001598494359337E+002,9.5567307777336282E+002,-9.5553000117075430E+002,-1.4307660260852545E-001,4.9592619808035454E+002,-1.7642472619768483E+002,-3.1950147188266965E+002,6.2612295021013670E+003
0.004,4.9673785647309001E+002,1.0513320555455216E+003,-1.0511283988930691E+003,-2.0365665245254208E-001,5.0283931335035885E+002,-1.4959122862068403E+002,-3.5324808472967482E+002,7.0546760059863382E+003
0.0042,5.0457606194086679E+002,1.1221579208338035E+003,-1.1218944879341959E+003,-2.6343289960765953E-001,5.1081909495447792E+002,-1.2369296595709108E+002,-3.8712612899738679E+002,7.6791877078242887E+003
0.0044002,5.1317208929591845E+002,1.1631676122996794E+003,-1.1628453846184332E+003,-3.2222768124626033E-001,5.1949706562368169E+002,-9.8634531075031134E+001,-4.2086253454865050E+002,8.0695137473819605E+003
0.0046002,5.2208064231133471E+002,1.1699452168254134E+003,-1.1695655253492616E+003,-3.7969147615181864E-001,5.2841909855376844E+002,-7.4363621355426744E+001,-4.5405547719834175E+002,8.1712557925997735E+003
0.0048002,5.3083045382883392E+002,1.1390462565085297E+003,-1.1386105997063601E+003,-4.3565680216973257E-001,5.3710703874755609E+002,-5.0724900460728350E+001,-4.8638213828682768E+002,7.9506360856093497E+003
0.0050002,5.3890287880039159E+002,1.0679135684843022E+003,-1.0674236657174820E+003,-4.8990276682034012E-001,5.4503712809458659E+002,-2.7566935685984845E+001,-5.1747019240860175E+002,7.3986944879088278E+003
0.0052002,5.4574928981049175E+002,9.5495588201151202E+002,-9.5441366667320426E+002,-5.4221533830774171E-001,5.5165755795232872E+002,-4.7208387148955353E+000,-5.4693671923743318E+002,6.5353626727544915E+003
0.0054002,5.5083551723065557E+002,8.0833089568218497E+002,-7.9035741062441616E+002,-1.7973485057768762E+001,5.5643309426835071E+002,-7.7238315318345485E-001,-5.5566071111516726E+002,5.4252659546742807E+003
