"time","Out1","Out2","Out3[1]","Out3[2]","Out4","Out5","Out6"
0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.02,1.9999340286247773E-004,3.9998680572495547E-004,1.3333072919020169E-006,1.9999340286247773E-004,2.0199999253461321E-002,1.9866591221129920E-004,1.9733842156012063E-004
0.04,7.9989347787531764E-004,1.5997869557506353E-003,1.0665816004402724E-005,7.9989347787531764E-004,4.0799999280034270E-002,7.8933186139935939E-004,7.7877024492340114E-004
0.06,1.7994602730070756E-003,3.5989205460141512E-003,3.5993526595348191E-005,1.7994602730070756E-003,6.1800004127036207E-002,1.7639978944541679E-003,1.7285355159012601E-003
0.08,3.1982939748670786E-003,6.3965879497341572E-003,8.5306041655099616E-005,3.1982939748670786E-003,8.3200024380437415E-002,3.1146641948117263E-003,3.0310344147563744E-003
0.1,4.9958350686254496E-003,9.9916701372508993E-003,1.6658337017202383E-004,4.9958350686254496E-003,1.0500008052486183E-001,4.8333312381870315E-003,4.6708274077486142E-003
0.12,7.1913645618115812E-003,1.4382729123623162E-002,2.8779273563529664E-004,7.1913645618115812E-003,1.2720020636759061E-001,6.9120000084671139E-003,6.6326354551226475E-003
0.14,9.7840042719015332E-003,1.9568008543803066E-002,4.5688538925173526E-004,9.7840042719015332E-003,1.4980045252657170E-001,9.3426722724842086E-003,8.9013402730668840E-003
0.16,1.2772717177579340E-002,2.5545434355158679E-002,6.8179342955133112E-004,1.2772717177579340E-002,1.7280088998244100E-001,1.2117350912389231E-002,1.1461984647199122E-002
0.18,1.6156307833531704E-002,3.2312615667063407E-002,9.7042662965359753E-004,1.6156307833531704E-002,1.9620161369456338E-001,1.5228040314345853E-002,1.4299772795160003E-002
0.2,1.9933422848610185E-002,3.9866845697220370E-002,1.3306692734637842E-003,1.9933422848610185E-002,2.2000274628110489E-001,1.8666746812265631E-002,1.7400070775921078E-002
