"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8.signal1","Out8.signal2","Out9","Out10","Out11"
0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,6.0000000000000000E+000
0.02,0.0000000000000000E+000,1.9998666693333080E-002,0,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.9998666693333080E-002,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,6.0000000000000000E+000
0.04,0.0000000000000000E+000,3.9989334186634161E-002,0,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,3.9989334186634161E-002,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,6.0000000000000000E+000
0.06,0.0000000000000000E+000,5.9964006479444595E-002,0,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,5.9964006479444595E-002,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,6.0000000000000000E+000
0.08,0.0000000000000000E+000,7.9914693969172695E-002,0,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,7.9914693969172695E-002,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,6.0000000000000000E+000
0.1,0.0000000000000000E+000,9.9833416646828155E-002,1,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,9.9833416646828155E-002,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,6.0000000000000000E+000
0.12,0.0000000000000000E+000,1.1971220728891936E-001,1,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.1971220728891936E-001,0.0000000000000000E+000,0.0000000000000000E+000,1.9966683329365631E-002,6.0000000000000000E+000
0.14,0.0000000000000000E+000,1.3954311464423649E-001,1,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.3954311464423649E-001,0.0000000000000000E+000,0.0000000000000000E+000,1.9966683329365631E-002,6.0000000000000000E+000
0.16,0.0000000000000000E+000,1.5931820661424598E-001,1,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.5931820661424598E-001,0.0000000000000000E+000,0.0000000000000000E+000,1.9966683329365631E-002,6.0000000000000000E+000
0.18,0.0000000000000000E+000,1.7902957342582418E-001,2,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.7902957342582418E-001,0.0000000000000000E+000,0.0000000000000000E+000,1.9966683329365631E-002,6.0000000000000000E+000
0.2,0.0000000000000000E+000,1.9866933079506122E-001,2,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.9866933079506122E-001,0.0000000000000000E+000,0.0000000000000000E+000,1.9966683329365631E-002,6.0000000000000000E+000
0.22,0.0000000000000000E+000,2.1822962308086932E-001,2,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.1822962308086932E-001,0.0000000000000000E+000,0.0000000000000000E+000,3.9733866159012247E-002,6.0000000000000000E+000
0.24,0.0000000000000000E+000,2.3770262642713458E-001,2,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.3770262642713458E-001,0.0000000000000000E+000,2.1822962308086932E-001,3.9733866159012247E-002,6.0000000000000000E+000
0.26,0.0000000000000000E+000,2.5708055189215512E-001,3,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.5708055189215512E-001,0.0000000000000000E+000,2.1822962308086932E-001,3.9733866159012247E-002,6.0000000000000000E+000
0.28,0.0000000000000000E+000,2.7635564856411376E-001,3,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.7635564856411376E-001,0.0000000000000000E+000,2.1822962308086932E-001,3.9733866159012247E-002,6.0000000000000000E+000
0.3,0.0000000000000000E+000,2.9552020666133955E-001,3,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133955E-001,0.0000000000000000E+000,2.1822962308086932E-001,3.9733866159012247E-002,6.0000000000000000E+000
0.32,0.0000000000000000E+000,3.1456656061611776E-001,3,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,3.1456656061611776E-001,0.0000000000000000E+000,2.1822962308086932E-001,5.9104041332267904E-002,6.0000000000000000E+000
0.34,0.0000000000000000E+000,3.3348709214081440E-001,4,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,3.3348709214081440E-001,0.0000000000000000E+000,2.1822962308086932E-001,5.9104041332267904E-002,6.0000000000000000E+000
0.36,0.0000000000000000E+000,3.5227423327508994E-001,4,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,3.5227423327508994E-001,0.0000000000000000E+000,2.1822962308086932E-001,5.9104041332267904E-002,6.0000000000000000E+000
0.38,0.0000000000000000E+000,3.7092046941298268E-001,4,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,3.7092046941298268E-001,0.0000000000000000E+000,2.1822962308086932E-001,5.9104041332267904E-002,6.0000000000000000E+000
0.4,0.0000000000000000E+000,3.8941834230865052E-001,4,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,3.8941834230865052E-001,0.0000000000000000E+000,2.1822962308086932E-001,5.9104041332267904E-002,6.0000000000000000E+000
0.42,0.0000000000000000E+000,4.0776045305957015E-001,4,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,4.0776045305957015E-001,0.0000000000000000E+000,2.1822962308086932E-001,7.7883668461730074E-002,6.0000000000000000E+000
0.44,0.0000000000000000E+000,4.2593946506599961E-001,5,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,4.2593946506599961E-001,0.0000000000000000E+000,2.1822962308086932E-001,7.7883668461730074E-002,6.0000000000000000E+000
0.46,0.0000000000000000E+000,4.4394810696551978E-001,5,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,4.4394810696551978E-001,0.0000000000000000E+000,4.2593946506599961E-001,7.7883668461730074E-002,6.0000000000000000E+000
0.48,0.0000000000000000E+000,4.6177917554148290E-001,5,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,4.6177917554148290E-001,0.0000000000000000E+000,4.2593946506599961E-001,7.7883668461730074E-002,6.0000000000000000E+000
0.5,0.0000000000000000E+000,4.7942553860420301E-001,5,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,4.7942553860420301E-001,0.0000000000000000E+000,4.2593946506599961E-001,7.7883668461730074E-002,6.0000000000000000E+000
0.52,0.0000000000000000E+000,4.9688013784373675E-001,5,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,4.9688013784373675E-001,0.0000000000000000E+000,4.2593946506599961E-001,9.5885107720840579E-002,6.0000000000000000E+000
0.54,0.0000000000000000E+000,5.1413599165311319E-001,6,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,5.1413599165311319E-001,0.0000000000000000E+000,4.2593946506599961E-001,9.5885107720840579E-002,6.0000000000000000E+000
0.56,0.0000000000000000E+000,5.3118619792088340E-001,6,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,5.3118619792088340E-001,0.0000000000000000E+000,4.2593946506599961E-001,9.5885107720840579E-002,6.0000000000000000E+000
0.58,0.0000000000000000E+000,5.4802393679187356E-001,6,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,5.4802393679187356E-001,0.0000000000000000E+000,4.2593946506599961E-001,9.5885107720840579E-002,6.0000000000000000E+000
0.6,0.0000000000000000E+000,5.6464247339503537E-001,6,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,2.9552020666133949E-001,5.6464247339503537E-001,0.0000000000000000E+000,4.2593946506599961E-001,9.5885107720840579E-002,6.0000000000000000E+000
0.62,0.0000000000000000E+000,5.8103516053730508E-001,6,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,5.6464247339503526E-001,5.8103516053730508E-001,0.0000000000000000E+000,4.2593946506599961E-001,1.1292849467900706E-001,6.0000000000000000E+000
0.64,0.0000000000000000E+000,5.9719544136239211E-001,7,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,5.6464247339503526E-001,5.9719544136239211E-001,0.0000000000000000E+000,4.2593946506599961E-001,1.1292849467900706E-001,6.0000000000000000E+000
