"time","TAmb","TDif","TRes","_block_jacobian_check","_block_jacobian_check_tol","_block_solver_experimental_mode","_cs_rel_tol","_cs_solver","_cs_step_size","_enforce_bounds","_events_default_tol","_events_tol_factor","_iteration_variable_scaling","_log_level","_nle_solver_check_jac_cond","_nle_solver_default_tol","_nle_solver_max_iter","_nle_solver_max_residual_scaling_factor","_nle_solver_min_residual_scaling_factor","_nle_solver_min_tol","_nle_solver_regularization_tolerance","_nle_solver_step_limit_factor","_nle_solver_tol_factor","_rescale_after_singular_jac","_rescale_each_step","_residual_equation_scaling","_runtime_log_to_file","_use_Brent_in_1d","_use_jacobian_equilibration","_use_newton_for_brent","constantVoltage.V","constantVoltage.i","constantVoltage.n.i","constantVoltage.n.v","constantVoltage.p.i","constantVoltage.p.v","constantVoltage.v","fixedTemperature.T","fixedTemperature.port.Q_flow","fixedTemperature.port.T","ground.p.i","ground.p.v","heatCapacitor.C","heatCapacitor.T","der(heatCapacitor.T)","heatCapacitor.der_T","heatCapacitor.port.Q_flow","heatCapacitor.port.T","heatingResistor.LossPower","heatingResistor.R","heatingResistor.R_ref","heatingResistor.T","heatingResistor.T_heatPort","heatingResistor.T_ref","heatingResistor.alpha","heatingResistor.heatPort.Q_flow","heatingResistor.heatPort.T","heatingResistor.i","heatingResistor.n.i","heatingResistor.n.v","heatingResistor.p.i","heatingResistor.p.v","heatingResistor.useHeatPort","heatingResistor.v","idealSwitch.Goff","idealSwitch.LossPower","idealSwitch.Ron","idealSwitch.T","idealSwitch.T_heatPort","idealSwitch.control","idealSwitch.i","idealSwitch.n.i","idealSwitch.n.v","idealSwitch.p.i","idealSwitch.p.v","idealSwitch.s","idealSwitch.unitCurrent","idealSwitch.unitVoltage","idealSwitch.useHeatPort","idealSwitch.v","logicalNot.u","logicalNot.y","onOffController.bandwidth","onOffController.pre_y_start","onOffController.reference","onOffController.u","onOffController.y","ramp.duration","ramp.height","ramp.offset","ramp.startTime","ramp.y","temperatureSensor.T","temperatureSensor.port.Q_flow","temperatureSensor.port.T","thermalConductor.G","thermalConductor.Q_flow","thermalConductor.dT","thermalConductor.port_a.Q_flow","thermalConductor.port_a.T","thermalConductor.port_b.Q_flow","thermalConductor.port_b.T"
0,2.9314999999999998E+002,2.0000000000000000E+000,2.9314999999999998E+002,0,9.9999999999999995E-007,0,9.9999999999999995E-007,0,1.0000000000000000E-003,1,1.0000000000000000E-010,1.0000000000000000E-004,1,3,0,1.0000000000000000E-010,100,1.0000000000000000E+010,1.0000000000000000E-010,9.9999999999999998E-013,-1.0000000000000000E+000,1.0000000000000000E+001,1.0000000000000000E-004,1,0,1,0,1,0,1,1.0000000000000000E+001,-9.9999900000100006E-001,9.9999900000100006E-001,0.0000000000000000E+000,-9.9999900000100006E-001,1.0000000000000000E+001,1.0000000000000000E+001,2.9314999999999998E+002,0.0000000000000000E+000,2.9314999999999998E+002,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.9314999999999998E+002,9.9999800000300016E+000,9.9999800000300016E+000,9.9999800000300016E+000,2.9314999999999998E+002,9.9999800000300016E+000,1.0000000000000000E+001,1.0000000000000000E+001,2.9314999999999998E+002,2.9314999999999998E+002,2.9314999999999998E+002,3.9215686274509803E-003,-9.9999800000300016E+000,2.9314999999999998E+002,9.9999900000100006E-001,-9.9999900000100006E-001,0.0000000000000000E+000,9.9999900000100006E-001,9.9999900000100013E+000,1,9.9999900000100013E+000,1.0000000000000001E-005,9.9999799987524181E-006,1.0000000000000001E-005,2.9314999999999998E+002,2.9314999999999998E+002,0,9.9999900000100006E-001,-9.9999900000100006E-001,9.9999900000100013E+000,9.9999900000100006E-001,1.0000000000000000E+001,9.9999900000100006E-001,1.0000000000000000E+000,1.0000000000000000E+000,0,9.9999899987324170E-006,1,0,2.0000000000000000E+000,0,2.5000000000000000E+001,2.0000000000000000E+001,1,6.0000000000000000E+000,2.5000000000000000E+001,2.5000000000000000E+001,2.0000000000000000E+000,2.5000000000000000E+001,2.0000000000000000E+001,0.0000000000000000E+000,2.9314999999999998E+002,1.0000000000000001E-001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.9314999999999998E+002,-0.0000000000000000E+000,2.9314999999999998E+002
0.02,2.9314999999999998E+002,2.0000000000000000E+000,2.9334972124825180E+002,0,9.9999999999999995E-007,0,9.9999999999999995E-007,0,1.0000000000000000E-003,1,1.0000000000000000E-010,1.0000000000000000E-004,1,3,0,1.0000000000000000E-010,100,1.0000000000000000E+010,1.0000000000000000E-010,9.9999999999999998E-013,-1.0000000000000000E+000,1.0000000000000000E+001,1.0000000000000000E-004,1,0,1,0,1,0,1,1.0000000000000000E+001,-9.9921639393862161E-001,9.9921639393862161E-001,0.0000000000000000E+000,-9.9921639393862161E-001,1.0000000000000000E+001,1.0000000000000000E+001,2.9314999999999998E+002,1.9972124825181937E-002,2.9314999999999998E+002,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.9334972124825180E+002,9.9721818302270151E+000,9.9721818302270151E+000,9.9721818302270151E+000,2.9334972124825180E+002,9.9921539550521974E+000,1.0007832205813795E+001,1.0000000000000000E+001,2.9314999999999998E+002,2.9334972124825180E+002,2.9314999999999998E+002,3.9215686274509803E-003,-9.9921539550521974E+000,2.9334972124825180E+002,9.9921639393862161E-001,-9.9921639393862161E-001,0.0000000000000000E+000,9.9921639393862161E-001,9.9999900078360611E+000,1,9.9999900078360611E+000,1.0000000000000001E-005,9.9843340187033734E-006,1.0000000000000001E-005,2.9314999999999998E+002,2.9314999999999998E+002,0,9.9921639393862161E-001,-9.9921639393862161E-001,9.9999900078360611E+000,9.9921639393862161E-001,1.0000000000000000E+001,9.9921639393862161E-001,1.0000000000000000E+000,1.0000000000000000E+000,0,9.9921639389322081E-006,1,0,2.0000000000000000E+000,0,2.5000000000000000E+001,2.0199721248251819E+001,1,6.0000000000000000E+000,2.5000000000000000E+001,2.5000000000000000E+001,2.0000000000000000E+000,2.5000000000000000E+001,2.0199721248251819E+001,0.0000000000000000E+000,2.9334972124825180E+002,1.0000000000000001E-001,1.9972124825181937E-002,1.9972124825181936E-001,1.9972124825181937E-002,2.9334972124825180E+002,-1.9972124825181937E-002,2.9314999999999998E+002
0.04,2.9314999999999998E+002,2.0000000000000000E+000,2.9354888765003642E+002,0,9.9999999999999995E-007,0,9.9999999999999995E-007,0,1.0000000000000000E-003,1,1.0000000000000000E-010,1.0000000000000000E-004,1,3,0,1.0000000000000000E-010,100,1.0000000000000000E+010,1.0000000000000000E-010,9.9999999999999998E-013,-1.0000000000000000E+000,1.0000000000000000E+001,1.0000000000000000E-004,1,0,1,0,1,0,1,1.0000000000000000E+001,-9.9843718093218758E-001,9.9843718093218758E-001,0.0000000000000000E+000,-9.9843718093218758E-001,1.0000000000000000E+001,1.0000000000000000E+001,2.9314999999999998E+002,3.9888765003644272E-002,2.9314999999999998E+002,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.9354888765003642E+002,9.9444730755501887E+000,9.9444730755501887E+000,9.9444730755501887E+000,2.9354888765003642E+002,9.9843618405538326E+000,1.0015642652942605E+001,1.0000000000000000E+001,2.9314999999999998E+002,2.9354888765003642E+002,2.9314999999999998E+002,3.9215686274509803E-003,-9.9843618405538326E+000,2.9354888765003642E+002,9.9843718093218758E-001,-9.9843718093218758E-001,0.0000000000000000E+000,9.9843718093218758E-001,9.9999900156281907E+000,1,9.9999900156281907E+000,1.0000000000000001E-005,9.9687680426802480E-006,1.0000000000000001E-005,2.9314999999999998E+002,2.9314999999999998E+002,0,9.9843718093218758E-001,-9.9843718093218758E-001,9.9999900156281907E+000,9.9843718093218758E-001,1.0000000000000000E+001,9.9843718093218758E-001,1.0000000000000000E+000,1.0000000000000000E+000,0,9.9843718093239886E-006,1,0,2.0000000000000000E+000,0,2.5000000000000000E+001,2.0398887650036443E+001,1,6.0000000000000000E+000,2.5000000000000000E+001,2.5000000000000000E+001,2.0000000000000000E+000,2.5000000000000000E+001,2.0398887650036443E+001,0.0000000000000000E+000,2.9354888765003642E+002,1.0000000000000001E-001,3.9888765003644272E-002,3.9888765003644266E-001,3.9888765003644272E-002,2.9354888765003642E+002,-3.9888765003644272E-002,2.9314999999999998E+002
0.06,2.9314999999999998E+002,2.0000000000000000E+000,2.9374750076802792E+002,0,9.9999999999999995E-007,0,9.9999999999999995E-007,0,1.0000000000000000E-003,1,1.0000000000000000E-010,1.0000000000000000E-004,1,3,0,1.0000000000000000E-010,100,1.0000000000000000E+010,1.0000000000000000E-010,9.9999999999999998E-013,-1.0000000000000000E+000,1.0000000000000000E+001,1.0000000000000000E-004,1,0,1,0,1,0,1,1.0000000000000000E+001,-9.9766134187590283E-001,9.9766134187590283E-001,0.0000000000000000E+000,-9.9766134187590283E-001,1.0000000000000000E+001,1.0000000000000000E+001,2.9314999999999998E+002,5.9750076802794184E-002,2.9314999999999998E+002,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.9374750076802792E+002,9.9168533886747046E+000,9.9168533886747046E+000,9.9168533886747046E+000,2.9374750076802792E+002,9.9766034654774991E+000,1.0023431402667761E+001,1.0000000000000000E+001,2.9314999999999998E+002,2.9374750076802792E+002,2.9314999999999998E+002,3.9215686274509803E-003,-9.9766034654774991E+000,2.9374750076802792E+002,9.9766134187590283E-001,-9.9766134187590283E-001,0.0000000000000000E+000,9.9766134187590283E-001,9.9999900233865819E+000,1,9.9999900233865819E+000,1.0000000000000001E-005,9.9532815300400941E-006,1.0000000000000001E-005,2.9314999999999998E+002,2.9314999999999998E+002,0,9.9766134187590283E-001,-9.9766134187590283E-001,9.9999900233865819E+000,9.9766134187590283E-001,1.0000000000000000E+001,9.9766134187590283E-001,1.0000000000000000E+000,1.0000000000000000E+000,0,9.9766134180612198E-006,1,0,2.0000000000000000E+000,0,2.5000000000000000E+001,2.0597500768027942E+001,1,6.0000000000000000E+000,2.5000000000000000E+001,2.5000000000000000E+001,2.0000000000000000E+000,2.5000000000000000E+001,2.0597500768027942E+001,0.0000000000000000E+000,2.9374750076802792E+002,1.0000000000000001E-001,5.9750076802794184E-002,5.9750076802794183E-001,5.9750076802794184E-002,2.9374750076802792E+002,-5.9750076802794184E-002,2.9314999999999998E+002
0.08,2.9314999999999998E+002,2.0000000000000000E+000,2.9394556237863981E+002,0,9.9999999999999995E-007,0,9.9999999999999995E-007,0,1.0000000000000000E-003,1,1.0000000000000000E-010,1.0000000000000000E-004,1,3,0,1.0000000000000000E-010,100,1.0000000000000000E+010,1.0000000000000000E-010,9.9999999999999998E-013,-1.0000000000000000E+000,1.0000000000000000E+001,1.0000000000000000E-004,1,0,1,0,1,0,1,1.0000000000000000E+001,-9.9688885695319329E-001,9.9688885695319329E-001,0.0000000000000000E+000,-9.9688885695319329E-001,1.0000000000000000E+001,1.0000000000000000E+001,2.9314999999999998E+002,7.9556237863982915E-002,2.9314999999999998E+002,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.9394556237863981E+002,9.8893223937940196E+000,9.8893223937940196E+000,9.8893223937940196E+000,2.9394556237863981E+002,9.9688786316580025E+000,1.0031198524652542E+001,1.0000000000000000E+001,2.9314999999999998E+002,2.9394556237863981E+002,2.9314999999999998E+002,3.9215686274509803E-003,-9.9688786316580025E+000,2.9394556237863981E+002,9.9688885695319329E-001,-9.9688885695319329E-001,0.0000000000000000E+000,9.9688885695319329E-001,9.9999900311114320E+000,1,9.9999900311114320E+000,1.0000000000000001E-005,9.9378739296156675E-006,1.0000000000000001E-005,2.9314999999999998E+002,2.9314999999999998E+002,0,9.9688885695319329E-001,-9.9688885695319329E-001,9.9999900311114320E+000,9.9688885695319329E-001,1.0000000000000000E+001,9.9688885695319329E-001,1.0000000000000000E+000,1.0000000000000000E+000,0,9.9688885679682926E-006,1,0,2.0000000000000000E+000,0,2.5000000000000000E+001,2.0795562378639829E+001,1,6.0000000000000000E+000,2.5000000000000000E+001,2.5000000000000000E+001,2.0000000000000000E+000,2.5000000000000000E+001,2.0795562378639829E+001,0.0000000000000000E+000,2.9394556237863981E+002,1.0000000000000001E-001,7.9556237863982915E-002,7.9556237863982915E-001,7.9556237863982915E-002,2.9394556237863981E+002,-7.9556237863982915E-002,2.9314999999999998E+002
0.1,2.9314999999999998E+002,2.0000000000000000E+000,2.9414307425286171E+002,0,9.9999999999999995E-007,0,9.9999999999999995E-007,0,1.0000000000000000E-003,1,1.0000000000000000E-010,1.0000000000000000E-004,1,3,0,1.0000000000000000E-010,100,1.0000000000000000E+010,1.0000000000000000E-010,9.9999999999999998E-013,-1.0000000000000000E+000,1.0000000000000000E+001,1.0000000000000000E-004,1,0,1,0,1,0,1,1.0000000000000000E+001,-9.9611970649484960E-001,9.9611970649484960E-001,0.0000000000000000E+000,-9.9611970649484960E-001,1.0000000000000000E+001,1.0000000000000000E+001,2.9314999999999998E+002,9.9307425286173159E-002,2.9314999999999998E+002,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.9414307425286171E+002,9.8618797171176276E+000,9.8618797171176276E+000,9.8618797171176276E+000,2.9414307425286171E+002,9.9611871424038014E+000,1.0038944088347519E+001,1.0000000000000000E+001,2.9314999999999998E+002,2.9414307425286171E+002,2.9314999999999998E+002,3.9215686274509803E-003,-9.9611871424038014E+000,2.9414307425286171E+002,9.9611970649484960E-001,-9.9611970649484960E-001,0.0000000000000000E+000,9.9611970649484960E-001,9.9999900388029364E+000,1,9.9999900388029364E+000,1.0000000000000001E-005,9.9225446953763659E-006,1.0000000000000001E-005,2.9314999999999998E+002,2.9314999999999998E+002,0,9.9611970649484960E-001,-9.9611970649484960E-001,9.9999900388029364E+000,9.9611970649484960E-001,1.0000000000000000E+001,9.9611970649484960E-001,1.0000000000000000E+000,1.0000000000000000E+000,0,9.9611970636459546E-006,1,0,2.0000000000000000E+000,0,2.5000000000000000E+001,2.0993074252861732E+001,1,6.0000000000000000E+000,2.5000000000000000E+001,2.5000000000000000E+001,2.0000000000000000E+000,2.5000000000000000E+001,2.0993074252861732E+001,0.0000000000000000E+000,2.9414307425286171E+002,1.0000000000000001E-001,9.9307425286173159E-002,9.9307425286173157E-001,9.9307425286173159E-002,2.9414307425286171E+002,-9.9307425286173159E-002,2.9314999999999998E+002
0.12,2.9314999999999998E+002,2.0000000000000000E+000,2.9434003815363491E+002,0,9.9999999999999995E-007,0,9.9999999999999995E-007,0,1.0000000000000000E-003,1,1.0000000000000000E-010,1.0000000000000000E-004,1,3,0,1.0000000000000000E-010,100,1.0000000000000000E+010,1.0000000000000000E-010,9.9999999999999998E-013,-1.0000000000000000E+000,1.0000000000000000E+001,1.0000000000000000E-004,1,0,1,0,1,0,1,1.0000000000000000E+001,-9.9535387098791783E-001,9.9535387098791783E-001,0.0000000000000000E+000,-9.9535387098791783E-001,1.0000000000000000E+001,1.0000000000000000E+001,2.9314999999999998E+002,1.1900381536349301E-001,2.9314999999999998E+002,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.9434003815363491E+002,9.8345249872223999E+000,9.8345249872223999E+000,9.8345249872223999E+000,2.9434003815363491E+002,9.9535288025858932E+000,1.0046668162887645E+001,1.0000000000000000E+001,2.9314999999999998E+002,2.9434003815363491E+002,2.9314999999999998E+002,3.9215686274509803E-003,-9.9535288025858932E+000,2.9434003815363491E+002,9.9535387098791783E-001,-9.9535387098791783E-001,0.0000000000000000E+000,9.9535387098791783E-001,9.9999900464612903E+000,1,9.9999900464612903E+000,1.0000000000000001E-005,9.9072932847229576E-006,1.0000000000000001E-005,2.9314999999999998E+002,2.9314999999999998E+002,0,9.9535387098791783E-001,-9.9535387098791783E-001,9.9999900464612903E+000,9.9535387098791783E-001,1.0000000000000000E+001,9.9535387098791783E-001,1.0000000000000000E+000,1.0000000000000000E+000,0,9.9535387096949535E-006,1,0,2.0000000000000000E+000,0,2.5000000000000000E+001,2.1190038153634930E+001,1,6.0000000000000000E+000,2.5000000000000000E+001,2.5000000000000000E+001,2.0000000000000000E+000,2.5000000000000000E+001,2.1190038153634930E+001,0.0000000000000000E+000,2.9434003815363491E+002,1.0000000000000001E-001,1.1900381536349301E-001,1.1900381536349300E+000,1.1900381536349301E-001,2.9434003815363491E+002,-1.1900381536349301E-001,2.9314999999999998E+002
0.14,2.9314999999999998E+002,2.0000000000000000E+000,2.9453645583620045E+002,0,9.9999999999999995E-007,0,9.9999999999999995E-007,0,1.0000000000000000E-003,1,1.0000000000000000E-010,1.0000000000000000E-004,1,3,0,1.0000000000000000E-010,100,1.0000000000000000E+010,1.0000000000000000E-010,9.9999999999999998E-013,-1.0000000000000000E+000,1.0000000000000000E+001,1.0000000000000000E-004,1,0,1,0,1,0,1,1.0000000000000000E+001,-9.9459133107298070E-001,9.9459133107298070E-001,0.0000000000000000E+000,-9.9459133107298070E-001,1.0000000000000000E+001,1.0000000000000000E+001,2.9314999999999998E+002,1.3864558362004686E-001,2.9314999999999998E+002,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.9453645583620045E+002,9.8072578349906010E+000,9.8072578349906010E+000,9.8072578349906010E+000,2.9453645583620045E+002,9.9459034186106479E+000,1.0054370817105900E+001,1.0000000000000000E+001,2.9314999999999998E+002,2.9453645583620045E+002,2.9314999999999998E+002,3.9215686274509803E-003,-9.9459034186106479E+000,2.9453645583620045E+002,9.9459133107298070E-001,-9.9459133107298070E-001,0.0000000000000000E+000,9.9459133107298070E-001,9.9999900540866893E+000,1,9.9999900540866893E+000,1.0000000000000001E-005,9.8921191584415396E-006,1.0000000000000001E-005,2.9314999999999998E+002,2.9314999999999998E+002,0,9.9459133107298070E-001,-9.9459133107298070E-001,9.9999900540866893E+000,9.9459133107298070E-001,1.0000000000000000E+001,9.9459133107298070E-001,1.0000000000000000E+000,1.0000000000000000E+000,0,9.9459133107160369E-006,1,0,2.0000000000000000E+000,0,2.5000000000000000E+001,2.1386455836200469E+001,1,6.0000000000000000E+000,2.5000000000000000E+001,2.5000000000000000E+001,2.0000000000000000E+000,2.5000000000000000E+001,2.1386455836200469E+001,0.0000000000000000E+000,2.9453645583620045E+002,1.0000000000000001E-001,1.3864558362004686E-001,1.3864558362004686E+000,1.3864558362004686E-001,2.9453645583620045E+002,-1.3864558362004686E-001,2.9314999999999998E+002
0.16,2.9314999999999998E+002,2.0000000000000000E+000,2.9473232904843911E+002,0,9.9999999999999995E-007,0,9.9999999999999995E-007,0,1.0000000000000000E-003,1,1.0000000000000000E-010,1.0000000000000000E-004,1,3,0,1.0000000000000000E-010,100,1.0000000000000000E+010,1.0000000000000000E-010,9.9999999999999998E-013,-1.0000000000000000E+000,1.0000000000000000E+001,1.0000000000000000E-004,1,0,1,0,1,0,1,1.0000000000000000E+001,-9.9383206754149633E-001,9.9383206754149633E-001,0.0000000000000000E+000,-9.9383206754149633E-001,1.0000000000000000E+001,1.0000000000000000E+001,2.9314999999999998E+002,1.5823290484391350E-001,2.9314999999999998E+002,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.9473232904843911E+002,9.7800778935492652E+000,9.7800778935492652E+000,9.7800778935492652E+000,2.9473232904843911E+002,9.9383107983931787E+000,1.0062052119546632E+001,1.0000000000000000E+001,2.9314999999999998E+002,2.9473232904843911E+002,2.9314999999999998E+002,3.9215686274509803E-003,-9.9383107983931787E+000,2.9473232904843911E+002,9.9383206754149633E-001,-9.9383206754149633E-001,0.0000000000000000E+000,9.9383206754149633E-001,9.9999900616793251E+000,1,9.9999900616793251E+000,1.0000000000000001E-005,9.8770217841891635E-006,1.0000000000000001E-005,2.9314999999999998E+002,2.9314999999999998E+002,0,9.9383206754149633E-001,-9.9383206754149633E-001,9.9999900616793251E+000,9.9383206754149633E-001,1.0000000000000000E+001,9.9383206754149633E-001,1.0000000000000000E+000,1.0000000000000000E+000,0,9.9383206748626662E-006,1,0,2.0000000000000000E+000,0,2.5000000000000000E+001,2.1582329048439135E+001,1,6.0000000000000000E+000,2.5000000000000000E+001,2.5000000000000000E+001,2.0000000000000000E+000,2.5000000000000000E+001,2.1582329048439135E+001,0.0000000000000000E+000,2.9473232904843911E+002,1.0000000000000001E-001,1.5823290484391350E-001,1.5823290484391350E+000,1.5823290484391350E-001,2.9473232904843911E+002,-1.5823290484391350E-001,2.9314999999999998E+002
0.18,2.9314999999999998E+002,2.0000000000000000E+000,2.9492765953091634E+002,0,9.9999999999999995E-007,0,9.9999999999999995E-007,0,1.0000000000000000E-003,1,1.0000000000000000E-010,1.0000000000000000E-004,1,3,0,1.0000000000000000E-010,100,1.0000000000000000E+010,1.0000000000000000E-010,9.9999999999999998E-013,-1.0000000000000000E+000,1.0000000000000000E+001,1.0000000000000000E-004,1,0,1,0,1,0,1,1.0000000000000000E+001,-9.9307606133430815E-001,9.9307606133430815E-001,0.0000000000000000E+000,-9.9307606133430815E-001,1.0000000000000000E+001,1.0000000000000000E+001,2.9314999999999998E+002,1.7776595309163667E-001,2.9314999999999998E+002,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.9492765953091634E+002,9.7529847982508109E+000,9.7529847982508109E+000,9.7529847982508109E+000,2.9492765953091634E+002,9.9307507513424476E+000,1.0069712138467308E+001,1.0000000000000000E+001,2.9314999999999998E+002,2.9492765953091634E+002,2.9314999999999998E+002,3.9215686274509803E-003,-9.9307507513424476E+000,2.9492765953091634E+002,9.9307606133430815E-001,-9.9307606133430815E-001,0.0000000000000000E+000,9.9307606133430815E-001,9.9999900692393879E+000,1,9.9999900692393879E+000,1.0000000000000001E-005,9.8620006346830560E-006,1.0000000000000001E-005,2.9314999999999998E+002,2.9314999999999998E+002,0,9.9307606133430815E-001,-9.9307606133430815E-001,9.9999900692393879E+000,9.9307606133430815E-001,1.0000000000000000E+001,9.9307606133430815E-001,1.0000000000000000E+000,1.0000000000000000E+000,0,9.9307606120646597E-006,1,0,2.0000000000000000E+000,0,2.5000000000000000E+001,2.1777659530916367E+001,1,6.0000000000000000E+000,2.5000000000000000E+001,2.5000000000000000E+001,2.0000000000000000E+000,2.5000000000000000E+001,2.1777659530916367E+001,0.0000000000000000E+000,2.9492765953091634E+002,1.0000000000000001E-001,1.7776595309163667E-001,1.7776595309163667E+000,1.7776595309163667E-001,2.9492765953091634E+002,-1.7776595309163667E-001,2.9314999999999998E+002
