"time","y","z"
0,1.0000000000000000E+001,0.0000000000000000E+000
0.02,9.9982360000000003E+000,-1.9600000000000004E-001
0.04,9.9925519999999999E+000,-3.9200000000000007E-001
0.06,9.9829480000000004E+000,-5.8799999999999986E-001
0.08,9.9694240000000001E+000,-7.8399999999999936E-001
0.11,9.9417879999999990E+000,-1.0779999999999990E+000
0.13,9.9184640000000002E+000,-1.2739999999999996E+000
0.15,9.8912199999999988E+000,-1.4700000000000002E+000
0.16,9.8761279999999978E+000,-1.5680000000000005E+000
0.18,9.8430039999999988E+000,-1.7640000000000011E+000
0.2,9.8059599999999989E+000,-1.9600000000000017E+000
0.22,9.7649959999999982E+000,-2.1560000000000024E+000
0.24,9.7201119999999968E+000,-2.3520000000000030E+000
0.26,9.6713079999999962E+000,-2.5480000000000036E+000
0.28,9.6185839999999967E+000,-2.7440000000000042E+000
0.3,9.5619399999999963E+000,-2.9400000000000048E+000
0.32,9.5013759999999969E+000,-3.1360000000000054E+000
0.34,9.4368919999999967E+000,-3.3320000000000061E+000
0.36,9.3684879999999957E+000,-3.5280000000000067E+000
0.38,9.2961639999999957E+000,-3.7240000000000073E+000
0.4,9.2199199999999948E+000,-3.9200000000000079E+000
0.42,9.1397559999999949E+000,-4.1160000000000059E+000
0.44,9.0556719999999959E+000,-4.3120000000000021E+000
0.46,8.9676679999999962E+000,-4.5079999999999982E+000
0.48,8.8757439999999956E+000,-4.7039999999999944E+000
0.5,8.7798999999999943E+000,-4.8999999999999906E+000
0.52,8.6801359999999939E+000,-5.0959999999999868E+000
0.54,8.5764519999999944E+000,-5.2919999999999829E+000
0.56,8.4688479999999959E+000,-5.4879999999999791E+000
0.58,8.3573239999999966E+000,-5.6839999999999753E+000
0.6,8.2418799999999983E+000,-5.8799999999999715E+000
0.62,8.1225159999999974E+000,-6.0759999999999676E+000
0.64,7.9992319999999975E+000,-6.2719999999999638E+000
0.66,7.8720279999999985E+000,-6.4679999999999600E+000
0.68,7.7409039999999996E+000,-6.6639999999999562E+000
0.7,7.6058600000000007E+000,-6.8599999999999524E+000
0.72,7.4668960000000011E+000,-7.0559999999999485E+000
0.74,7.3240120000000024E+000,-7.2519999999999447E+000
0.76,7.1772080000000038E+000,-7.4479999999999409E+000
0.78,7.0264840000000044E+000,-7.6439999999999371E+000
0.8,6.8718400000000051E+000,-7.8399999999999332E+000
0.82,6.7132760000000067E+000,-8.0359999999999303E+000
0.84,6.5507920000000084E+000,-8.2319999999999354E+000
0.86,6.3843880000000093E+000,-8.4279999999999404E+000
0.88,6.2140640000000102E+000,-8.6239999999999455E+000
0.9,6.0398200000000113E+000,-8.8199999999999505E+000
0.92,5.8616560000000124E+000,-9.0159999999999556E+000
0.94,5.6795720000000136E+000,-9.2119999999999607E+000
0.96,5.4935680000000140E+000,-9.4079999999999657E+000
0.98,5.3036440000000145E+000,-9.6039999999999708E+000
1,5.1098000000000150E+000,-9.7999999999999758E+000
1.02,4.9120360000000156E+000,-9.9959999999999809E+000
1.04,4.7103520000000154E+000,-1.0191999999999986E+001
1.06,4.5047480000000162E+000,-1.0387999999999991E+001
1.08,4.2952240000000170E+000,-1.0583999999999996E+001
1.1,4.0817800000000162E+000,-1.0780000000000001E+001
1.12,3.8644160000000167E+000,-1.0976000000000006E+001
1.14,3.6431320000000165E+000,-1.1172000000000011E+001
1.16,3.4179280000000163E+000,-1.1368000000000016E+001
1.18,3.1888040000000157E+000,-1.1564000000000021E+001
1.2,2.9557600000000153E+000,-1.1760000000000026E+001
1.22,2.7187960000000149E+000,-1.1956000000000031E+001
1.24,2.4779120000000137E+000,-1.2152000000000037E+001
1.26,2.2331080000000130E+000,-1.2348000000000042E+001
1.28,1.9843840000000124E+000,-1.2544000000000047E+001
1.3,1.7317400000000116E+000,-1.2740000000000052E+001
1.32,1.4751760000000107E+000,-1.2936000000000057E+001
1.34,1.2146920000000094E+000,-1.3132000000000062E+001
1.36,9.5028800000000824E-001,-1.3328000000000067E+001
1.38,6.8196400000000679E-001,-1.3524000000000072E+001
1.4,4.0972000000000536E-001,-1.3720000000000077E+001
1.42,1.3355600000000378E-001,-1.3916000000000082E+001
1.44,9.8717000000003594E-002,1.0412500000000062E+001
1.46,3.0520300000000478E-001,1.0216500000000057E+001
1.48,5.0776900000000591E-001,1.0020500000000052E+001
1.5,7.0641500000000679E-001,9.8245000000000466E+000
1.52,9.0114100000000774E-001,9.6285000000000416E+000
1.54,1.0919470000000087E+000,9.4325000000000365E+000
1.56,1.2788330000000092E+000,9.2365000000000315E+000
1.58,1.4617990000000101E+000,9.0405000000000264E+000
1.6,1.6408450000000105E+000,8.8445000000000213E+000
1.62,1.8159710000000107E+000,8.6485000000000163E+000
1.64,1.9871770000000111E+000,8.4525000000000112E+000
1.66,2.1544630000000109E+000,8.2565000000000062E+000
1.68,2.3178290000000112E+000,8.0605000000000011E+000
1.7,2.4772750000000112E+000,7.8645000000000023E+000
1.72,2.6328010000000113E+000,7.6685000000000061E+000
1.74,2.7844070000000114E+000,7.4725000000000099E+000
1.76,2.9320930000000116E+000,7.2765000000000137E+000
1.78,3.0758590000000119E+000,7.0805000000000176E+000
1.8,3.2157050000000122E+000,6.8845000000000214E+000
1.82,3.3516310000000127E+000,6.6885000000000252E+000
1.84,3.4836370000000132E+000,6.4925000000000290E+000
1.86,3.6117230000000138E+000,6.2965000000000328E+000
1.88,3.7358890000000144E+000,6.1005000000000367E+000
1.9,3.8561350000000152E+000,5.9045000000000405E+000
1.92,3.9724610000000160E+000,5.7085000000000443E+000
1.94,4.0848670000000160E+000,5.5125000000000481E+000
1.96,4.1933530000000170E+000,5.3165000000000520E+000
1.98,4.2979190000000189E+000,5.1205000000000558E+000
2,4.3985650000000200E+000,4.9245000000000596E+000
2.02,4.4952910000000212E+000,4.7285000000000634E+000
2.04,4.5880970000000225E+000,4.5325000000000673E+000
2.06,4.6769830000000239E+000,4.3365000000000711E+000
2.09,4.8029620000000257E+000,4.0425000000000768E+000
2.11,4.8820480000000277E+000,3.8465000000000771E+000
2.13,4.9572140000000289E+000,3.6505000000000765E+000
2.15,5.0284600000000301E+000,3.4545000000000758E+000
2.17,5.0957860000000315E+000,3.2585000000000752E+000
2.19,5.1591920000000329E+000,3.0625000000000746E+000
2.21,5.2186780000000343E+000,2.8665000000000740E+000
2.23,5.2742440000000359E+000,2.6705000000000734E+000
2.25,5.3258900000000375E+000,2.4745000000000728E+000
2.27,5.3736160000000384E+000,2.2785000000000721E+000
2.29,5.4174220000000401E+000,2.0825000000000715E+000
2.31,5.4573080000000420E+000,1.8865000000000709E+000
2.33,5.4932740000000431E+000,1.6905000000000703E+000
2.35,5.5253200000000442E+000,1.4945000000000697E+000
2.37,5.5534460000000463E+000,1.2985000000000690E+000
2.39,5.5776520000000476E+000,1.1025000000000684E+000
2.41,5.5979380000000489E+000,9.0650000000006836E-001
2.43,5.6143040000000504E+000,7.1050000000006885E-001
2.45,5.6267500000000519E+000,5.1450000000006935E-001
2.47,5.6352760000000535E+000,3.1850000000006928E-001
