"time","headlight","light_switch_old","off_counter","on_counter"
0,0.0000000000000000E+000,2.5500000000000000E+002,0.0000000000000000E+000,0.0000000000000000E+000
0.02,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.03,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.05,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.06,1.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.07,1.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.09,1.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.1,1.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.12,1.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.13,1.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.15,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.16,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.17,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.19,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.2,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.21,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.23,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.24,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.26,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.27,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.28,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.3,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.31,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.33,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.34,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.35,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.37,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.38,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.4,1.0000000000000000E+000,2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.41,1.0000000000000000E+000,2.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000
