"time","Capacitor1.i","IdealDiode3.v"
0,-5.0084852813742390E+002,-2.8284271247461902E+002
0.0002,-5.0038197517770715E+002,2.0004258045141299E+000
0.0004,-4.9470723923251182E+002,2.0060599464637909E+000
0.0006001,-4.8548933224140063E+002,2.0152376405745103E+000
0.0008001,-4.7661603259602344E+002,2.0240712967574384E+000
0.0010001,-4.7189640846155118E+002,2.0287518962242022E+000
0.0012001,-4.7498085210147940E+002,2.0256290397692132E+000
0.0014001,-4.8926269862750473E+002,2.0113093126479695E+000
0.0016,-5.0056768490511723E+002,-2.0033119473880870E+001
0.0018,-5.0054830025515264E+002,-3.1445477562319411E+001
0.002,-4.9460673175569679E+002,-5.0924061929704166E+001
0.0022001,-4.5716991542893732E+002,-7.6240035645464005E+001
0.0024001,-3.8917923537247691E+002,-1.0257161561672167E+002
0.0026001,-2.9574620621505119E+002,-1.3000316546525414E+002
0.0028001,-1.8260612341889228E+002,-1.5856816564708518E+002
0.0030001,-5.5964564017048986E+001,-1.8825846843253916E+002
0.0032001,7.7655950911323302E+001,-2.1902213902138479E+002
0.0034001,2.1157594998272606E+002,-2.5076234810096997E+002
0.0036001,3.3912203901819532E+002,-2.8333734632646610E+002
0.0038001,4.5378928448621349E+002,-3.1656152681026884E+002
0.0040001,5.4939930151836393E+002,-3.5020755722661244E+002
0.0042001,6.2025050260067712E+002,-3.8400953911097258E+002
0.0044001,6.6125714885374066E+002,-4.1766712889524712E+002
0.0046001,6.6807410558223273E+002,-4.5085053367592246E+002
0.0048001,6.3720453150501453E+002,-4.8320627513776361E+002
0.005,5.6613403654868989E+002,-5.1434838189374932E+002
0.0052,4.5323497979502338E+002,-5.4392705382908696E+002
0.0054,3.0672622555483287E+002,-5.5279508391771867E+002
0.0056,1.4278135549580412E+002,-5.5587707804539832E+002
0.0058,-3.7585596466507639E+001,-5.5671198366223962E+002
0.006,-1.8448645989746649E+002,-5.5512110471158849E+002
0.0062,-1.8372351635720824E+002,-5.5265092760856760E+002
0.0064,-1.7027548946371900E+002,-5.5029249856403339E+002
0.0066,-1.4816533214567841E+002,-5.4818438843659578E+002
0.0068,-1.2161377209717386E+002,-5.4640989322086853E+002
0.007,-9.4930573850649139E+001,-5.4499522781839005E+002
0.0072,-7.2404175469336309E+001,-5.4390918416373779E+002
0.0074,-5.8192206925373775E+001,-5.4306425768311328E+002
0.0076,-5.6215369124032598E+001,-5.4231920983005466E+002
0.0078,-7.0057069408804807E+001,-5.4148300438805563E+002
0.008,-1.0287107325225118E+002,-5.4032002285487124E+002
0.0082,-1.5729924590757176E+002,-5.3855643600303438E+002
0.0084,-2.3540122634318601E+002,-5.3588758222514343E+002
0.0086,-3.3536227921521402E+002,-5.3199601435179034E+002
0.0088,-4.3528429208765670E+002,-5.2675409995904943E+002
0.009,-4.2503873392857429E+002,-5.2099480851617841E+002
0.0092001,-3.8700998811269812E+002,-5.1558808581219751E+002
0.0094001,-3.2587923779026210E+002,-5.1087360655810699E+002
0.0096001,-2.4668323733237966E+002,-5.0711857971222685E+002
0.0098001,-1.5489788239200743E+002,-5.0452229327152054E+002
0.0100001,-5.6288617480889570E+001,-5.0320864699261847E+002
0.0102001,4.3232771526796569E+001,-5.0322338448017945E+002
0.0104001,1.3775418179239671E+002,-5.0453326047784230E+002
0.0106001,2.2150873409664069E+002,-5.0702715453462588E+002
0.0108001,2.8901655069901187E+002,-5.1051910048624904E+002
0.0110001,3.3521958613350193E+002,-5.1475315619165940E+002
0.0112001,3.5560649159237084E+002,-5.1940999799990095E+002
0.0114001,3.4632472507270893E+002,-5.2411508497118575E+002
0.0116001,3.0427741215920742E+002,-5.2844820411075943E+002
0.0118001,2.2720280950468930E+002,-5.3195417539893697E+002
0.0120001,1.2306235368238441E+002,-5.3417939351277255E+002
0.0122001,8.1393285605918209E+000,-5.3487955219577543E+002
0.0124001,-1.1799575669265644E+002,-5.3390984841493605E+002
0.0126001,-1.8410287919833672E+002,-3.7661387427324343E+002
0.0128001,-1.4832985024439446E+002,-3.4532848517310242E+002
0.0130001,-9.9554321664926775E+001,-3.1400503606489173E+002
0.0132001,-4.2572885618191791E+001,-2.8283469655208506E+002
0.0134001,1.7627945171285543E+001,-2.5197675464562775E+002
0.0136001,7.5997387152167988E+001,-2.2155729002887054E+002
0.0138001,1.2754707502165259E+002,-1.9166868878544082E+002
0.0140001,1.6747592352587182E+002,-1.6236999884498863E+002
0.0142001,1.9129034555098116E+002,-1.3368810642061590E+002
0.0144001,1.9491712266690166E+002,-1.0561969526685128E+002
0.0146001,1.7480639660829590E+002,-7.8133933086332704E+001
0.0148001,1.2802247819919984E+002,-5.1175813242320956E+001
0.0150001,5.2320448714635582E+001,-2.4670065447531034E+001
0.0152001,-5.3793148719607458E+001,1.4744633866252688E+000
0.0154001,-1.7721775642865097E+002,2.0276478293508275E+000
0.0156001,-3.0354100910886916E+002,2.1121938456653133E+000
0.0158001,-3.4071794992675882E+002,2.1599454450728026E+000
0.0160001,-3.1212066876561903E+002,2.1885660783988286E+000
0.0162001,-2.6444195354483861E+002,2.2362693372533897E+000
0.0164001,-2.0245025791528985E+002,2.2982869782848470E+000
0.0166001,-1.3124896211974584E+002,2.3695157311718913E+000
0.0168001,-5.6147705632035525E+001,2.4446459611682632E+000
0.0170001,1.7470491984291527E+001,2.5182945460544257E+000
0.0172001,8.4283307728661214E+001,2.5851389532774363E+000
0.0174001,1.3916135859755286E+002,2.6400494865372961E+000
0.0176001,1.7729563200234401E+002,2.6782167219507347E+000
0.0178001,1.9431724034659106E+002,2.6952712708380577E+000
0.0180001,1.8640681713737808E+002,2.6873931863228244E+000
0.0182001,1.5039111122666463E+002,2.6514085701038428E+000
0.0184001,8.3824628522239948E+001,2.5848712284565480E+000
0.0186001,-1.1102005366768537E+001,2.4899578210712807E+000
0.0188001,-1.1433642473259857E+002,2.3867216385657239E+000
0.0190001,-2.2380052492673934E+002,2.2772529354243041E+000
0.0192001,-2.4885131275642510E+002,2.2520541009075341E+000
0.0194001,-2.0419779072385171E+002,2.2966730726458668E+000
0.0196001,-1.4411813137269684E+002,2.3567188902672385E+000
0.0198001,-7.3656051355284831E+001,2.4271482106365161E+000
0.0200001,1.9026012219814561E+000,2.5026754563654015E+000
0.0202001,7.7162274824618919E+001,2.5779052399700069E+000
0.0204001,1.4675218434517240E+002,2.6474668325304966E+000
0.0206001,2.0545978053529848E+002,2.7061476346121118E+000
0.0208001,2.4836020914475347E+002,2.7490226395247306E+000
0.0210001,2.7093884904245073E+002,2.7715769780861539E+000
0.0212001,2.6920418209076053E+002,2.7698187974933459E+000
0.0214001,2.3978847155052591E+002,2.7403799508586513E+000
0.0216001,1.8003400514083120E+002,2.6806022532688507E+000
0.0218001,8.8062987196092877E+001,2.5886073885002547E+000
0.0220001,-3.0802040784813698E+001,2.4569866559745344E+000
0.0222001,-1.5696651353418082E+002,2.2653992936888470E+000
0.0224001,-2.8943418279865750E+002,2.0127951977961356E+000
0.0226001,-2.7893861203777965E+002,-1.5305072839076425E+002
0.0228001,-2.4245337208581739E+002,-1.8147185304317310E+002
