"time","TRes","heatCapacitor_T","switch_Controll"
0,2.9314999999999998E+002,2.0000000000000000E+001,0
0.02,2.9334965393876217E+002,2.0199653938762197E+001,0
0.04,2.9354878479700449E+002,2.0398784797004510E+001,0
0.06,2.9374729447447072E+002,2.0597294474470743E+001,0
0.08,2.9394527459782506E+002,2.0795274597825085E+001,0
0.1,2.9414272516706740E+002,2.0992725167067420E+001,0
0.12,2.9433964618219778E+002,2.1189646182197805E+001,0
0.14,2.9453603764321622E+002,2.1386037643216241E+001,0
0.16,2.9473189955012276E+002,2.1581899550122785E+001,0
0.18,2.9492723378292436E+002,2.1777233782924384E+001,0
0.2,2.9512204026936354E+002,2.1972040269363561E+001,0
0.22,2.9531631762070703E+002,2.2166317620707048E+001,0
0.24,2.9551006583695482E+002,2.2360065836954846E+001,0
0.26,2.9570328491810693E+002,2.2553284918106954E+001,0
0.28,2.9589597486416341E+002,2.2745974864163429E+001,0
0.3,2.9608813567512414E+002,2.2938135675124158E+001,0
0.32,2.9627976735098923E+002,2.3129767350989255E+001,0
0.34,2.9647086989175858E+002,2.3320869891758605E+001,0
0.36,2.9666144329743230E+002,2.3511443297432322E+001,0
0.38,2.9685148756801033E+002,2.3701487568010350E+001,0
0.4,2.9704100270349267E+002,2.3891002703492688E+001,0
0.42,2.9722998870387937E+002,2.4079988703879394E+001,0
0.44,2.9741844556917033E+002,2.4268445569170353E+001,0
0.46,2.9760637329936566E+002,2.4456373299365680E+001,0
0.48,2.9779380457816632E+002,2.4643804578166339E+001,0
0.5,2.9798111741383542E+002,2.4831117413835443E+001,0
0.52,2.9816792667323244E+002,2.5017926673232466E+001,0
0.54,2.9835423235635727E+002,2.5204232356357295E+001,0
0.56,2.9854003446321002E+002,2.5390034463210043E+001,0
0.58,2.9872533299379069E+002,2.5575332993790710E+001,0
0.6,2.9891012794809916E+002,2.5760127948099182E+001,0
0.62,2.9909441932613555E+002,2.5944419326135574E+001,0
0.64,2.9914163404293998E+002,2.5991634042940007E+001,1
0.66,2.9912967892317067E+002,2.5979678923170695E+001,1
0.68,2.9911774948569484E+002,2.5967749485694867E+001,1
0.7,2.9910584119967291E+002,2.5955841199672932E+001,1
