"time","PistonPosition","PressureExtend","PressureRetract","TemperatureExtend","TemperatureRetract","FlowExtend","FlowRetract"
0,0.0000000000000000E+000,1.4695486453999999E+001,1.4695496152000000E+001,8.6000000001000004E+001,8.6000000001000004E+001,0.0000000000000000E+000,0.0000000000000000E+000
0.01,-1.2573343315797836E-013,1.4695486453730604E+001,1.4695496151685457E+001,8.6000000000939352E+001,8.6000000001435581E+001,-2.0793117183493109E-015,2.4120117827495248E-013
0.02,-3.9217448917543146E-013,1.4695486453751293E+001,1.4695496151728891E+001,8.6000000001107040E+001,8.6000000001792799E+001,-4.1586362691070717E-015,2.4120117827547583E-013
0.03,-7.4326340451036390E-013,1.4695486453771952E+001,1.4695496151770831E+001,8.6000000001266372E+001,8.6000000002117631E+001,-4.1586362691117197E-015,2.3496320050708345E-013
0.04,-1.2014911376709049E-012,1.4695486453792601E+001,1.4695496151810572E+001,8.6000000001413838E+001,8.6000000002396362E+001,-4.1586491015203109E-015,2.3288390024941216E-013
0.05,-1.7424186202044684E-012,1.4695486453813150E+001,1.4695496151847941E+001,8.6000000001548457E+001,8.6000000002629164E+001,-4.1586362691212586E-015,2.3288388741744853E-013
0.06,-2.3320304306008762E-012,1.4695486453833533E+001,1.4695496151883239E+001,8.6000000001671765E+001,8.6000000002824606E+001,-4.1586362691260998E-015,2.2664593531376432E-013
0.07,-2.9486813566162703E-012,1.4695486453853732E+001,1.4695496151916801E+001,8.6000000001785480E+001,8.6000000002990276E+001,-4.1586362691309600E-015,2.2248728346819956E-013
0.08,-3.5801947550402359E-012,1.4695486453873677E+001,1.4695496151948380E+001,8.6000000001888097E+001,8.6000000003123631E+001,-4.1586362691358336E-015,2.1832864445501427E-013
0.09,-4.2103813059601292E-012,1.4695486453893357E+001,1.4695496151978224E+001,8.6000000001980879E+001,8.6000000003230326E+001,-4.1586362691407040E-015,2.1384438589249412E-013
