"time","V","X"
0,0.0000000000000000E+000,2.0000000000000000E+000
0.001,-1.9940204515660268E-003,1.9999990035127748E+000
0.002,-3.9761194796841225E-003,1.9999960204742862E+000
0.003,-5.9463416302143182E-003,1.9999910585122489E+000
0.004,-7.9047734264746268E-003,1.9999841324140619E+000
0.005,-9.8514857636328394E-003,1.9999752542754221E+000
0.006,-1.1786542320757409E-002,1.9999644349460246E+000
0.007,-1.3710012355977097E-002,1.9999516862119020E+000
0.008,-1.5621967464748795E-002,1.9999370202410902E+000
0.009,-1.7522470382226360E-002,1.9999204476810466E+000
0.01,-1.9411589393393349E-002,1.9999019801077116E+000
0.011,-2.1289395610316900E-002,1.9998816295608151E+000
0.012,-2.3155952565520079E-002,1.9998594067823496E+000
0.013,-2.5011324115125192E-002,1.9998353225568071E+000
0.014,-2.6855582602599015E-002,1.9998093890869550E+000
0.015,-2.8688793806165513E-002,1.9997816174539300E+000
0.016,-3.0511012580318613E-002,1.9997520168876048E+000
0.017,-3.2322311328179615E-002,1.9997205995588345E+000
0.018,-3.4122753968664273E-002,1.9996873761979030E+000
0.019,-3.5912407901946518E-002,1.9996523581062970E+000
0.02,-3.7691334645909687E-002,1.9996155555868640E+000
0.021,-3.9459597963685422E-002,1.9995769793068865E+000
0.022,-4.1217264327837337E-002,1.9995366403741537E+000
0.023,-4.2964394367182274E-002,1.9994945489081897E+000
0.024,-4.4701050920846475E-002,1.9994507153863823E+000
0.025,-4.6427299494620558E-002,1.9994051507185506E+000
0.026,-4.8143199831877335E-002,1.9993578648435890E+000
0.027,-4.9848813850977523E-002,1.9993088680516768E+000
0.028,-5.1544206095350008E-002,1.9992581710576096E+000
0.029,-5.3229435437145083E-002,1.9992057836240114E+000
0.03,-5.4904562890094967E-002,1.9991517158585721E+000
0.031,-5.6569652034635758E-002,1.9990959782830779E+000
0.032,-5.8224760792513507E-002,1.9990385804726893E+000
0.033,-5.9869950360746584E-002,1.9989795325341175E+000
0.034,-6.1505281785569813E-002,1.9989188445388164E+000
0.035,-6.3130812340728426E-002,1.9988565259263078E+000
0.036,-6.4746603789000851E-002,1.9987925868662901E+000
0.037,-6.6352712902913613E-002,1.9987270366972194E+000
0.038,-6.7949201504133958E-002,1.9986598855785409E+000
0.039,-6.9536124257493490E-002,1.9985911424845950E+000
0.04,-7.1113540856308069E-002,1.9985208172067486E+000
0.041,-7.2681509470539307E-002,1.9984489192768597E+000
0.042,-7.4240089969664122E-002,1.9983754584961591E+000
0.043,-7.5789335042288408E-002,1.9983004434821188E+000
