"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0,5.6568542494923838E+002,-0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.8000000000000063E+002
0.0002,5.5900845240167791E+002,6.1466535092559282E-002,-1.0482841458336389E+000,9.8681761074107965E-001,3.1223797902232673E+002,-5.6300936148562050E+002,2.5077138246329383E+002,7.8942286454603391E+002
0.0004,5.5236835229029589E+002,1.2274589589433216E-001,-6.7338012915874508E+000,6.6110553956931186E+000,3.3956330151907599E+002,-5.5638058439804649E+002,2.1681728287897056E+002,7.9929783781784568E+002
0.0006,5.4583176225882858E+002,1.8354083472227600E-001,-1.5960197741805452E+001,1.5776656907083176E+001,3.6670170884112156E+002,-5.4986239941931581E+002,1.8316069057819431E+002,8.2783434021205449E+002
0.0008,5.3942005523052194E+002,2.4361142172740458E-001,-2.4850075922780714E+001,2.4606464501053310E+001,3.9354004511052426E+002,-5.4346842488246580E+002,1.4992837977194148E+002,8.5940123248574037E+002
0.001,5.3310322195698336E+002,3.0272058574643879E-001,-2.9589943635703520E+001,2.9287223049957081E+001,4.1994095666307209E+002,-5.3716102485942224E+002,1.1722006819635016E+002,8.7793673222303892E+002
0.0012002,5.2679505125899152E+002,3.6069228969005707E-001,-2.6520599973474237E+001,2.6159907683784180E+001,4.4576966025345666E+002,-5.3084667012492741E+002,8.5077009871470693E+001,8.6768713616151103E+002
0.0014002,5.2038107302546473E+002,4.1718195621742460E-001,-1.2251205311347025E+001,1.1834023355129601E+001,4.7079324143395627E+002,-5.2440410946894872E+002,5.3610868034992507E+001,8.1455302058356119E+002
0.0016002,5.1374353016241571E+002,4.4999101314924278E-001,-9.2364724147002997E-001,4.7365622832078719E-001,4.8386767755913473E+002,-4.9570028514490696E+002,1.1832607585772223E+001,7.4416126182349012E+002
0.0018002,5.0706942801852699E+002,4.9155886931942167E-001,-9.3571243517287750E-001,4.4415356585345583E-001,5.0131457331155690E+002,-4.7761192157857403E+002,-2.3702651732982872E+001,7.3657624208853576E+002
0.0020002,5.0041064681221911E+002,6.4593238369554005E+000,-6.8578367085423233E+000,3.9851287158692256E-001,5.0442295513916270E+002,-4.5146811261927917E+002,-5.2954842519883556E+001,7.3415745130302980E+002
0.0022002,4.9402873326117663E+002,4.3898855637046410E+001,-4.4240378987207677E+001,3.4152335016126950E-001,4.9811587635119128E+002,-4.1981978401773472E+002,-7.8296092333456556E+001,8.5061812889110433E+002
0.0024002,4.8835471288743958E+002,1.1190627760670807E+002,-1.1218946359880778E+002,2.8318599209970502E-001,4.9257782369610851E+002,-3.8788204949076123E+002,-1.0469577420534728E+002,1.1115759566535974E+003
0.0026002,4.8376277362277654E+002,2.0536115390287665E+002,-2.0558488493117935E+002,2.2373102830269559E-001,4.8817274372609324E+002,-3.5595199787979669E+002,-1.3222074584629655E+002,1.5183571164345383E+003
0.0028002,4.8055458101185735E+002,3.1852922418560757E+002,-3.1869261728595751E+002,1.6339310034995802E-001,4.8519083310791484E+002,-3.2429204842540491E+002,-1.6089878468250990E+002,2.0700689505698847E+003
0.003,4.7895278443684066E+002,4.4507428969279891E+002,-4.4517676125219992E+002,1.0247155940099684E-001,4.8384206869293257E+002,-2.9315686528269316E+002,-1.9068520341023941E+002,2.7574265997784337E+003
0.0032,4.7909098355901813E+002,5.7873294892412798E+002,-5.7877403383419426E+002,4.1084910066235013E-002,4.8424752320326968E+002,-2.6266623717718687E+002,-2.2158128602608284E+002,3.5615001862760200E+003
0.0034,4.8102038701572985E+002,7.1270464149108409E+002,-7.1268417760844545E+002,-2.0463882638648543E-002,4.8644480436963795E+002,-2.3299045063356363E+002,-2.5345435373607435E+002,4.4472220957975842E+003
0.0036,4.8470056286731398E+002,8.4031528067196473E+002,-8.4023334875821695E+002,-8.1931913747815804E-002,4.9038013241604887E+002,-2.0422406836820062E+002,-2.8615606404784825E+002,5.3658423127083652E+003
0.0038,4.9000303532943406E+002,9.5505867279595930E+002,-9.5491559619893474E+002,-1.4307659702455125E-001,4.9591201968337396E+002,-1.7641763979118440E+002,-3.1949437989218956E+002,6.2563923593521158E+003
0.004,4.9671458606589380E+002,1.0507546390915661E+003,-1.0505509824692278E+003,-2.0365662233824863E-001,5.0281488815798042E+002,-1.4957903108165658E+002,-3.5323585707632384E+002,7.0498811293645158E+003
0.0042,5.0454261536341511E+002,1.1216993138819728E+003,-1.1214358809739674E+003,-2.6343290800536950E-001,5.1078473123092454E+002,-1.2367577989645525E+002,-3.8710895133446923E+002,7.6752109198576045E+003
0.0044002,5.1313125423847544E+002,1.1628289108511233E+003,-1.1625066831682689E+003,-3.2222768285447584E-001,5.1945555324568738E+002,-9.8613774081925499E+001,-4.2084177916376188E+002,8.0664785917325207E+003
0.0046002,5.2203524055661467E+002,1.1697098611617025E+003,-1.1693301696843994E+003,-3.7969147730306779E-001,5.2837322617899406E+002,-7.4340684592414334E+001,-4.5403254158657973E+002,8.1690945566937871E+003
