"time","Resistor_1.R","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0,1,0,269.3339006,-269.3339006
0.0001,1,9.768746073,264.3166275,-274.0853736
0.0002,1,19.52785157,259.0385059,-278.5663574
0.0003,1,29.26768544,253.5047445,-282.7724299
0.0004,1,38.97863564,247.7208045,-286.6994401
0.0005,1,48.65111863,241.692394,-290.3435126
0.0006,1,58.27558884,235.4254623,-293.7010511
0.0007,1,67.84254807,228.9261941,-296.7687422
0.0008,1,77.34255491,222.2010034,-299.5435583
0.0009,1,86.76623398,215.2565271,-302.0227611
0.001,1,96.10428525,208.0996186,-304.2039038
0.0011,1,105.3474932,200.7373409,-306.0848341
0.0012,1,114.4867359,193.1769597,-307.6636956
0.0013,1,123.512994,185.4259361,-308.9389301
0.0014,1,132.4173597,177.4919195,-309.9092792
0.0015,1,141.1910454,169.3827399,-310.5737853
0.0016,1,149.8253926,161.1063999,-310.9317926
0.0017,1,158.3118803,152.6710674,-310.9829477
0.0018,1,166.6421332,144.0850669,-310.7272002
0.0019,1,174.8079305,135.3568719,-310.1648024
0.002,1,182.8012135,126.495096,-309.2963095
0.0021,1,190.6140937,117.5084847,-308.1225784
0.0022,1,198.2388608,108.4059067,-306.6447675
0.0023,1,205.6679901,99.19634519,-304.8643353
0.0024,1,212.8941499,89.88888885,-302.7830388
0.0025,1,219.9102089,80.49272303,-300.402932
0.0026,1,226.7092431,71.0171206,-297.7263637
0.0027,1,233.2845427,61.47143286,-294.7559755
0.0028,1,239.6296185,51.86508023,-291.4946987
0.0029,1,245.7382088,42.20754303,-287.9457519
0.003,1,251.6042853,32.50835208,-284.1126373
0.0031,1,257.2220586,22.77707931,-279.9991379
0.0032,1,262.5859848,13.02332831,-275.6093131
0.0033,1,267.6907704,3.25672486,-270.9474953
0.0034,1,272.5313775,-6.513092584,-266.0182849
0.0035,1,277.103029,-16.27648239,-260.8265466
0.0036,1,281.4012133,-26.02380928,-255.377404
0.0037,1,285.4216886,-35.7454538,-249.6762348
0.0038,1,289.1604871,-45.43182188,-243.7286652
0.0039,1,292.6139191,-55.07335424,-237.5405649
0.004,1,295.7785766,-64.66053584,-231.1180407
0.0041,1,298.6513362,-74.18390531,-224.4674309
0.0042,1,301.2293631,-83.63406421,-217.5952989
0.0043,1,303.510113,-93.00168639,-210.5084266
0.0044,1,305.491335,-102.2775271,-203.2138078
0.0045,1,307.1710739,-111.4524323,-195.7186416
0.0046,1,308.5476721,-120.5173474,-188.0303247
0.0047,1,309.619771,-129.4633264,-180.1564446
0.0048,1,310.3863125,-138.2815407,-172.1047718
0.0049,1,310.8465403,-146.9632879,-163.8832524
0.005,1,311,-155.5,-155.5
0.0051,1,310.8465403,-163.8832524,-146.9632879
0.0052,1,310.3863125,-172.1047718,-138.2815407
0.0053,1,309.619771,-180.1564446,-129.4633264
0.0054,1,308.5476721,-188.0303247,-120.5173474
0.0055,1,307.1710739,-195.7186416,-111.4524323
0.0056,1,305.491335,-203.2138078,-102.2775271
0.0057,1,303.510113,-210.5084266,-93.00168639
0.0058,1,301.2293631,-217.5952989,-83.63406421
0.0059,1,298.6513362,-224.4674309,-74.18390531
0.006,1,295.7785766,-231.1180407,-64.66053584
0.0061,1,292.6139191,-237.5405649,-55.07335424
0.0062,1,289.1604871,-243.7286652,-45.43182188
0.0063,1,285.4216886,-249.6762348,-35.7454538
0.0064,1,281.4012133,-255.377404,-26.02380928
0.0065,1,277.103029,-260.8265466,-16.27648239
0.0066,1,272.5313775,-266.0182849,-6.513092584
0.0067,1,267.6907704,-270.9474953,3.25672486
0.0068,1,262.5859848,-275.6093131,13.02332831
0.0069,1,257.2220586,-279.9991379,22.77707931
0.007,1,251.6042853,-284.1126373,32.50835208
0.0071,1,245.7382088,-287.9457519,42.20754303
0.0072,1,239.6296185,-291.4946987,51.86508023
0.0073,1,233.2845427,-294.7559755,61.47143286
0.0074,1,226.7092431,-297.7263637,71.0171206
0.0075,1,219.9102089,-300.402932,80.49272303
0.0076,1,212.8941499,-302.7830388,89.88888885
0.0077,1,205.6679901,-304.8643353,99.19634519
0.0078,1,198.2388608,-306.6447675,108.4059067
0.0079,1,190.6140937,-308.1225784,117.5084847
0.008,1,182.8012135,-309.2963095,126.495096
