"time","valves_mv1","valves_mv2","valves_mv3","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","egsCarSpeed","egsGear","egsTargetGear","tShiftStart"
0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.07,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.2000000000000000E-001,1.2000000000000000E-001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.14,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.6000000000000001E-001,2.6000000000000001E-001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-2.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.21,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,5.9999999999999998E-002,5.9999999999999998E-002,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
0.27,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.7999999999999999E-001,1.7999999999999999E-001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
0.34,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,3.2000000000000001E-001,3.2000000000000001E-001,0.0000000000000000E+000,0.0000000000000000E+000,-7.8600000000000003E-001,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
0.41,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.6000000000000002E-001,4.6000000000000002E-001,0.0000000000000000E+000,0.0000000000000000E+000,1.5400000000000000E-001,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
0.47,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,5.7999999999999996E-001,5.7999999999999996E-001,0.0000000000000000E+000,0.0000000000000000E+000,1.9800000000000001E-001,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
0.54,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,7.1999999999999997E-001,7.1999999999999997E-001,0.0000000000000000E+000,0.0000000000000000E+000,2.0599999999999999E-001,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
0.61,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,8.5999999999999999E-001,8.5999999999999999E-001,0.0000000000000000E+000,0.0000000000000000E+000,2.3699999999999999E-001,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
0.68,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.3499999999999999E-001,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
0.74,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.3300000000000001E-001,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
0.81,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.3100000000000001E-001,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
0.88,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.2900000000000001E-001,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
0.94,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.2800000000000001E-001,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
1.01,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.2600000000000001E-001,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
1.08,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,9.1300000000000003E-001,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
1.15,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.7050000000000001E+000,-2.0000000000000000E+000,0.0000000000000000E+000,1.7000000000000001E-001
1.21,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,9.7999999999999998E-001,1.0000000000000000E+000,0.0000000000000000E+000,2.0000000000000000E-002,3.6800000000000002E+000,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
1.28,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,8.3999999999999997E-001,1.0000000000000000E+000,0.0000000000000000E+000,1.6000000000000000E-001,6.0800000000000001E+000,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
1.35,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,6.9999999999999996E-001,1.0000000000000000E+000,0.0000000000000000E+000,2.9999999999999999E-001,9.3279999999999994E+000,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
