"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0,5.6568542494923804E+02,-0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,4.8000000000000000E+02
0.0002,5.5900830888259327E+02,6.1466535037983383E-02,-1.0490013736869808E+00,9.8753483864899738E-01,3.1223790795286709E+02,-5.6300921940127728E+02,2.5077131144841016E+02,7.8942533465314352E+02
0.0004,5.5236824888206786E+02,1.2274589578532424E-01,-6.7360932149243462E+00,6.6133473191390220E+00,3.3956325205248243E+02,-5.5638048557386753E+02,2.1681723352138511E+02,7.9930678065037876E+02
0.0006001,5.4582848807311223E+02,1.8357107074084311E-01,-1.5967850972098542E+01,1.5784279901357699E+01,3.6671519741404370E+02,-5.4985914051635712E+02,1.8314394310231339E+02,8.2786197870677915E+02
0.0008001,5.3941690456122717E+02,2.4364123594180498E-01,-2.4856029516130786E+01,2.4612388280188981E+01,3.9355338283981496E+02,-5.4346528609683276E+02,1.4991190325701777E+02,8.5942432795970444E+02
0.0010001,5.3310013883116233E+02,3.0274986049360564E-01,-2.9591302690932132E+01,2.9288552830438526E+01,4.1995405383588189E+02,-5.3715794442860044E+02,1.1720389059271855E+02,8.7794290028048010E+02
0.0012001,5.2679826331204765E+02,3.6066366965934904E-01,-2.6522823777000134E+01,2.6162160107340785E+01,4.4575695848522003E+02,-5.3084988664778211E+02,8.5092928162562004E+01,8.6769447512777640E+02
0.0014001,5.2038428749058539E+02,4.1715410409250531E-01,-1.2256626776083065E+01,1.1839472671990560E+01,4.7078092802230174E+02,-5.2440733479841117E+02,5.3626406776109462E+01,8.1457178157066846E+02
0.0016,5.1375008322244241E+02,4.4994762884360101E-01,-9.2363154337185582E-01,4.7368391452825481E-01,4.8384926191407590E+02,-4.9571740475640286E+02,1.1868142842326904E+01,7.4416830247368659E+02
0.0018,5.0707598088952943E+02,4.9151937576977694E-01,-9.3570447189251571E-01,4.4418509612273877E-01,5.0129810295771949E+02,-4.7763096313420044E+02,-2.3667139823519051E+01,7.3658412252813366E+02
0.002,5.0041716041867318E+02,6.4439464260397639E+00,-6.8425155366303017E+00,3.9856911059053812E-01,5.0442943803403739E+02,-4.5149947359664372E+02,-5.2929964437393664E+01,7.3413438302197164E+02
0.0022001,4.9403195063150110E+02,4.3885486424812015E+01,-4.4227038625200386E+01,3.4155220038837142E-01,4.9811906700553345E+02,-4.1983580447288182E+02,-7.8283262532651605E+01,8.5058016975522139E+02
0.0024001,4.8835792670793677E+02,1.1188518997565501E+02,-1.1216840543482888E+02,2.8321545917386798E-01,4.9258099536442518E+02,-3.8789836887673459E+02,-1.0468262648769061E+02,1.1114984268383801E+03
0.0026001,4.8376596897732401E+02,2.0533280798492379E+02,-2.0555656898085462E+02,2.2376099593084470E-01,4.8817588241243845E+02,-3.5596855105202764E+02,-1.3220733136041079E+02,1.5182349564954989E+03
0.0028001,4.8055772947000435E+02,3.1849400864583220E+02,-3.1865743209609576E+02,1.6342345026356028E-01,4.8519391115910560E+02,-3.2430876242297632E+02,-1.6088514873612928E+02,2.0698958281070809E+03
0.0030001,4.7895509420105634E+02,4.4516384782550318E+02,-4.4526628877240233E+02,1.0244094689916021E-01,4.8384455753800250E+02,-2.9314280343900361E+02,-1.9070175409899889E+02,2.7579466215775765E+03
0.0032001,4.7909492334270357E+02,5.7882008572232962E+02,-5.7886113987824774E+02,4.1054155918167322E-02,4.8425163722174352E+02,-2.6265291709701285E+02,-2.2159872012473068E+02,3.5620585638535290E+03
0.0034001,4.8102588413380880E+02,7.1278316981392754E+02,-7.1276267515686720E+02,-2.0494657060374274E-02,4.8645045850243696E+02,-2.3297789047371307E+02,-2.5347256802872388E+02,4.4477738553589988E+03
0.0036001,4.8470744131056080E+02,8.4037926191442250E+02,-8.4029729932743192E+02,-8.1962586990616967E-02,4.9038713877722250E+02,-2.0421223491205029E+02,-2.8617490386517227E+02,5.3663323905546722E+03
0.0038001,4.9001102108378427E+02,9.5510263150445110E+02,-9.5495952445641592E+02,-1.4310704803515298E-01,4.9592009330863073E+02,-1.7640645108328641E+02,-3.1951364222534431E+02,6.2567599530713260E+03
0.0040001,4.9672331573470507E+02,1.0507737636972804E+03,-1.0505700769663397E+03,-2.0368673094060988E-01,5.0282365602839695E+02,-1.4956836070062991E+02,-3.5325529532776704E+02,7.0500657262194909E+03
0.0042001,5.0455164783984725E+02,1.1216896374055002E+03,-1.1214261748501253E+03,-2.6346255537479563E-01,5.1079374430671078E+02,-1.2366546273481163E+02,-3.8712828157189915E+02,7.6751593103748482E+03
0.0044001,5.1313126703176613E+02,1.1627628148328226E+03,-1.1624406162193552E+03,-3.2219861346750389E-01,5.1945543387611747E+02,-9.8628249105161160E+01,-4.2082718477095625E+02,8.0658976184419371E+03
0.0046001,5.2203440907262552E+02,1.1696462429555675E+03,-1.1692665798547362E+03,-3.7966310083139360E-01,5.2837226748875923E+02,-7.4354393497322292E+01,-4.5401787399143700E+02,8.1685296572766892E+03
0.0048001,5.3078090781018182E+02,1.1388409951860392E+03,-1.1384053659546514E+03,-4.3562923138786525E-01,5.3705708233333235E+02,-5.0713707658335693E+01,-4.8634337467499671E+02,7.9487365097208312E+03
0.005,5.3884634127725792E+02,1.0678304581768914E+03,-1.0673406087024027E+03,-4.8984947448861377E-01,5.4498042451737138E+02,-2.7565230089886541E+01,-5.1741519442748495E+02,7.3978286789450322E+03
0.0052,5.4569084106319087E+02,9.5498480889960604E+02,-9.5444264482249105E+02,-5.4216407711501213E-01,5.5159916722690468E+02,-4.7172739741788519E+00,-5.4688189325272583E+02,6.5354015360218182E+03
0.0054,5.5078041932900771E+02,8.0849591152208882E+02,-7.9052342501769851E+02,-1.7972486504390304E+01,5.5637832750680059E+02,-7.7255016596313908E-01,-5.5560577734083745E+02,5.4262728107126995E+03
0.0056,5.5379784969898776E+02,6.4455526381398272E+02,-5.6004784527393485E+02,-8.4507418540047908E+01,5.5900133600889001E+02,-4.7553995119403680E-01,-5.5852579605769597E+02,4.2378597788387642E+03
0.0058,5.5451878928054941E+02,4.6418101778803936E+02,-2.6377645042300639E+02,-2.0040456736503296E+02,5.5924562898434215E+02,-6.3371819686153685E-02,-5.5918225716465599E+02,3.1077235028019195E+03
0.006,5.5281299555826456E+02,3.1700958007386220E+02,-2.0376501272998360E-01,-3.1680581506113219E+02,3.8060545659474991E+02,1.7684024009995733E+02,-5.5744569669470729E+02,2.2554652991729095E+03
0.0062,5.5034201041221581E+02,3.1771883452207345E+02,-1.4318622022464930E-01,-3.1757564830184879E+02,3.4908127949378002E+02,2.0589491608305372E+02,-5.5497619557683379E+02,2.2420284986568854E+03
0.0064,5.4796982380980171E+02,3.3111444523265919E+02,-8.2042337123646808E-02,-3.3103240289553554E+02,3.1733664261157094E+02,2.3529422344566910E+02,-5.5263086605724004E+02,2.2997441224871086E+03
0.0066,5.4583906321922541E+02,3.5317439886946948E+02,-2.0574670399593899E-02,-3.5315382419906990E+02,2.8555949101659166E+02,2.6498480004234801E+02,-5.5054429105893973E+02,2.4093482728180488E+03
0.0068,5.4403728554411998E+02,3.7967867994509214E+02,4.0974195148853920E-02,-3.7971965414024100E+02,2.5391067546116236E+02,2.9488491158417037E+02,-5.4879558704533270E+02,2.5500926733098950E+03
0.007,5.4259506022169319E+02,4.0631799405999294E+02,1.0236135426837741E-01,-4.0642035541426134E+02,2.2252262396988667E+02,3.2488408059951598E+02,-5.4740670456940268E+02,2.6991771442670711E+03
0.0072,5.4148551566640629E+02,4.2880412365084646E+02,1.6334453988705569E-01,-4.2896746819073354E+02,1.9149874609955225E+02,3.5484344933098453E+02,-5.4634219543053678E+02,2.8319479298054512E+03
0.0074,5.4062535407248004E+02,4.4297940932007850E+02,2.2368307923181815E-01,-4.4320309239931032E+02,1.6091357176186261E+02,3.8459687467653634E+02,-5.4551044643839896E+02,2.9228892104194761E+03
0.0076,5.3987730628736165E+02,4.4492287772986754E+02,2.8313884365392639E-01,-4.4520601657352148E+02,1.3081360987276264E+02,4.1395273666524957E+02,-5.4476634653801216E+02,2.9473300852258744E+03
0.0078,5.3905396590870328E+02,4.3105061998401760E+02,3.4147718841395952E-01,-4.3139209717243153E+02,1.0121889588288286E+02,4.4269642577368927E+02,-5.4391532165657213E+02,2.8836923020352447E+03
0.008,5.3792291066076825E+02,3.9820816036830911E+02,3.9846787871694583E-01,-3.9860662824702604E+02,7.2125181811702987E+01,4.7059345899612913E+02,-5.4271864080783212E+02,2.7160251339211140E+03
0.0082,5.3621299015928673E+02,3.4375274108131066E+02,4.5388599834528170E-01,-3.4420662707965596E+02,4.3506708091881478E+01,4.9739316032270762E+02,-5.4089986841458904E+02,2.4365213463783939E+03
0.0084,5.3362163301354803E+02,2.6562367988659486E+02,5.0751283729895791E-01,-2.6613119272389383E+02,1.5319483650462900E+01,5.2283282846175041E+02,-5.3815231211221339E+02,2.0476878987004372E+03
0.0086,5.2982959162249858E+02,1.5917736169419999E+02,7.0003580288342429E+00,-1.6617771972303424E+02,1.5217685148849114E-01,5.3400170186895707E+02,-5.3415387872044550E+02,1.5630472860021257E+03
0.0088,5.2468720554058223E+02,7.8866220264563935E-01,6.5452685017625569E+01,-6.6241347220271209E+01,-6.4663958151072620E-02,5.2881784206777263E+02,-5.2875317810962156E+02,1.1026747243456907E+03
0.009,5.1891721855985497E+02,3.0282597403143541E-01,7.6068709624795957E+01,-7.6371535598827393E+01,-1.1012116798107033E+02,5.2306861281924716E+02,-4.1294744483817692E+02,1.0376135398436013E+03
0.0092001,5.1347178861855195E+02,2.4368893842373041E-01,1.1411067817627470E+02,-1.1435436711469843E+02,-1.3700501819020536E+02,5.1769921849283583E+02,-3.8069420030263052E+02,1.1739060181401451E+03
0.0094001,5.0869540166237988E+02,1.8361944814611775E-01,1.7525932342137136E+02,-1.7544294286951748E+02,-1.6471272321140432E+02,5.1304507818819093E+02,-3.4833235497678652E+02,1.4287189649724060E+03
0.0096001,5.0486035421918439E+02,1.2282529579445622E-01,2.5447869146208345E+02,-2.5460151675787790E+02,-1.9327149878950237E+02,5.0936841619863389E+02,-3.1609691740913155E+02,1.7945114846934371E+03
0.0098001,5.0217146521141450E+02,6.1546408113827056E-02,3.4629338006880357E+02,-3.4635492647691740E+02,-2.2265831541161046E+02,5.0686310048339453E+02,-2.8420478507178404E+02,2.2595170516436197E+03
0.0100001,5.0075845649678166E+02,2.4624878221857216E-05,4.4493811952742431E+02,-4.4493814415230253E+02,-2.5281134872591792E+02,5.0564732235468250E+02,-2.5283597362876461E+02,2.8045885622369192E+03
