"time","J1_w","J2_w","J3_w","J4_w"
0,1.0000000000000000E+01,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.001,9.9900000031706817E+00,9.9999968293183472E-03,4.9090934652977267E-94,9.8181869305954533E-94
0.001,9.9900000031706817E+00,9.9999968293183472E-03,4.9090934652977267E-94,9.8181869305954533E-94
0.002,9.9803141118208902E+00,1.9999995769890658E-02,4.9090934652977267E-94,9.8181869305954533E-94
0.002,9.9803141118208902E+00,1.9999995769890658E-02,4.9090934652977267E-94,9.8181869305954533E-94
0.003,9.9709420317557207E+00,2.9999981030353645E-02,4.9090934652977267E-94,9.8181869305954533E-94
0.003,9.9709420317557207E+00,2.9999981030353645E-02,4.9090934652977267E-94,9.8181869305954533E-94
0.004,9.9618831590998926E+00,3.9999936819365617E-02,4.9090934652977267E-94,9.8181869305954533E-94
0.004,9.9618831590998926E+00,3.9999936819365617E-02,4.9090934652977267E-94,9.8181869305954533E-94
0.005,9.9531365809092698E+00,4.9999847345631426E-02,4.9090934652977267E-94,9.8181869305954533E-94
0.006,9.9447010760873766E+00,5.9999696817927405E-02,4.9090934652977267E-94,9.8181869305954533E-94
0.007,9.9365751166060345E+00,6.9999469445126292E-02,4.9090934652977267E-94,9.8181869305954533E-94
0.008,9.9287568690289056E+00,7.9999149436222161E-02,4.9090934652977267E-94,9.8181869305954533E-94
0.009,9.9212441963364206E+00,8.9998721000355414E-02,4.9090934652977267E-94,9.8181869305954533E-94
0.01,9.9140346600503300E+00,9.9998168346837626E-02,2.3314049521847123E-34,2.9582283945787969E-34
0.011,9.9071255226557398E+00,1.0999747568517657E-01,2.3314049521887082E-34,2.9582283945762216E-34
0.012,9.9005137503182681E+00,1.1999662722510106E-01,2.3314049521887082E-34,2.9582283945762216E-34
0.013,9.8941960158936304E+00,1.2999560717658598E-01,2.3314049521887082E-34,2.9582283945762216E-34
0.014,9.8881687022266878E+00,1.3999439974987715E-01,2.3314049521887082E-34,2.9582283945762216E-34
0.015,9.8824279057366979E+00,1.4999298915551632E-01,2.3314049521887082E-34,2.9582283945762216E-34
0.016,9.8769694402852437E+00,1.5999135960436603E-01,2.3314049521887082E-34,2.9582283945762216E-34
0.017,9.8717888413229922E+00,1.6998949530763460E-01,2.3314049521887082E-34,2.9582283945762216E-34
0.018,9.8668813703112299E+00,1.7998738047690108E-01,2.3314049521887082E-34,2.9582283945762216E-34
0.019,9.8622420194137828E+00,1.8998499932414006E-01,2.3314049521887082E-34,2.9582283945762216E-34
0.02,9.8578655164546980E+00,1.9998233606174678E-01,2.3314049521887082E-34,2.9582283945762216E-34
0.021,9.8537463301368060E+00,2.0997937490256191E-01,2.3314049521887082E-34,2.9582283945762216E-34
0.022,9.8498786755160026E+00,2.1997610005989657E-01,2.3314049521887082E-34,2.9582283945762216E-34
0.023,9.8462565197258272E+00,2.2997249574755724E-01,2.3314049521887082E-34,2.9582283945762216E-34
0.024,9.8428735879467499E+00,2.3996854617987062E-01,-3.7772437306440194E-32,-3.7575663586973019E-32
0.025,9.8397233696141981E+00,2.4996423557170866E-01,-3.7772437306420450E-32,-3.7575663586992774E-32
