"time","y","y1","y2","y3","y4","y5","y6","Q","QI"
0,0,1,0,0,1,0,0,1,0
0.2,0,1,0,0,1,0,0,1,0
0.3,0,1,0,0,1,0,0,0,1
0.5,0,1,0,0,1,0,0,1,0
0.8,0,0,0,2,1,1,0,0,1
1,0,1,0,4,1,0,0,1,0
1.2,0,1,0,4,1,0,0,1,0
1.3,0,1,0,4,1,0,0,0,1
1.5,0,1,0,4,1,0,0,1,0
1.8,0,0,0,6,1,1,0,0,1
2,0,1,0,8,1,0,0,1,0
2.2,0,1,0,8,1,0,0,1,0
2.3,0,1,0,8,1,0,0,0,1
2.5,0,1,0,8,1,0,0,1,0
2.8,0,0,0,10,1,1,0,0,1
3,0,1,0,12,1,0,1,1,0
3.2,0,1,0,12,1,0,1,1,0
3.3,0,1,0,12,1,0,1,0,1
3.5,0,1,0,12,1,0,1,1,0
3.8,0,0,0,14,1,1,1,0,1
4,0,1,0,16,1,0,0,1,0
4.2,0,1,0,16,1,0,0,1,0
4.3,0,1,0,16,1,0,0,0,1
4.5,0,1,0,16,1,0,0,1,0
4.8,0,0,0,18,1,1,0,0,1
5,0,1,0,20,1,0,0,1,0
5.2,0,1,0,20,1,0,0,1,0
5.3,0,1,0,20,1,0,0,0,1
5.5,0,1,0,20,1,0,0,1,0
5.8,0,0,0,22,1,1,0,0,1
6,0,1,0,24,1,0,0,1,0
6.2,0,1,0,24,1,0,0,1,0
6.3,0,1,0,24,1,0,0,0,1
6.5,0,1,0,24,1,0,0,1,0
6.8,0,0,0,26,1,1,0,0,1
7,0,1,0,28,1,0,0,1,0
7.2,0,1,0,28,1,0,0,1,0
7.3,0,1,0,28,1,0,0,0,1
7.5,0,1,0,28,1,0,0,1,0
7.8,0,0,0,30,1,1,0,0,1
8,0,1,0,32,1,0,1,1,0
8.2,0,1,0,32,1,0,1,1,0
8.3,0,1,0,32,1,0,1,0,1
8.5,0,1,0,32,1,0,1,1,0
8.8,0,0,0,34,1,1,1,0,1
9,0,1,0,36,1,0,0,1,0
9.2,0,1,0,36,1,0,0,1,0
9.3,0,1,0,36,1,0,0,0,1
9.5,0,1,0,36,1,0,0,1,0
9.8,0,0,0,38,1,1,0,0,1
10,0,1,0,40,1,0,0,1,0
10.2,0,1,0,40,1,0,0,1,0
10.3,0,1,0,40,1,0,0,0,1
10.5,0,1,0,40,1,0,0,1,0
10.8,0,0,0,42,1,1,0,0,1
11,0,1,0,44,1,0,0,1,0
11.2,0,1,0,44,1,0,0,1,0
11.3,0,1,0,44,1,0,0,0,1
11.5,0,1,0,44,1,0,0,1,0
11.8,0,0,0,46,1,1,0,0,1
12,0,1,0,48,1,0,1,1,0
12.2,0,1,0,48,1,0,1,1,0
12.3,0,1,0,48,1,0,1,0,1
12.5,0,1,0,48,1,0,1,1,0
12.8,0,0,0,50,1,1,1,0,1
13,0,1,0,52,1,0,1,1,0
13.2,0,1,0,52,1,0,1,1,0
13.3,0,1,0,52,1,0,1,0,1
13.5,0,1,0,52,1,0,1,1,0
13.8,0,0,0,54,1,1,1,0,1
14,0,1,0,56,1,0,1,1,0
14.2,0,1,0,56,1,0,1,1,0
14.3,0,1,0,56,1,0,1,0,1
14.5,0,1,0,56,1,0,1,1,0
14.8,0,0,0,58,1,1,1,0,1
15,0,1,0,60,1,0,1,1,0
15.2,0,1,0,60,1,0,1,1,0
15.3,0,1,0,60,1,0,1,0,1
15.5,0,1,0,60,1,0,1,1,0
15.8,0,0,0,62,1,1,1,0,1
16,0,1,0,64,1,0,1,1,0
16.2,0,1,0,64,1,0,1,1,0
16.3,0,1,0,64,1,0,1,0,1
16.5,0,1,0,64,1,0,1,1,0
16.8,0,0,0,66,1,1,1,0,1
17,0,1,0,68,1,0,1,1,0
17.2,0,1,0,68,1,0,1,1,0
17.3,0,1,0,68,1,0,1,0,1
17.5,0,1,0,68,1,0,1,1,0
17.8,0,0,0,70,1,1,1,0,1
18,0,1,0,72,1,0,1,1,0
18.2,0,1,0,72,1,0,1,1,0
18.3,0,1,0,72,1,0,1,0,1
18.5,0,1,0,72,1,0,1,1,0
18.8,0,0,0,74,1,1,1,0,1
19,0,1,0,76,1,0,1,1,0
19.2,0,1,0,76,1,0,1,1,0
19.3,0,1,0,76,1,0,1,0,1
19.5,0,1,0,76,1,0,1,1,0
19.8,0,0,0,78,1,1,1,0,1
20,0,1,0,80,1,0,1,1,0
20.2,0,1,0,80,1,0,1,1,0
20.3,0,1,0,80,1,0,1,0,1
20.5,0,1,0,80,1,0,1,1,0
20.8,0,0,0,82,1,1,1,0,1
21,0,1,0,84,1,0,1,1,0
21.2,0,1,0,84,1,0,1,1,0
21.3,0,1,0,84,1,0,1,0,1
21.5,0,1,0,84,1,0,1,1,0
21.8,0,0,0,86,1,1,1,0,1
22,0,1,0,88,1,0,1,1,0
22.2,0,1,0,88,1,0,1,1,0
22.3,0,1,0,88,1,0,1,0,1
22.5,0,1,0,88,1,0,1,1,0
22.8,0,0,0,90,1,1,1,0,1
23,0,1,0,92,1,0,1,1,0
23.2,0,1,0,92,1,0,1,1,0
23.3,0,1,0,92,1,0,1,0,1
23.5,0,1,0,92,1,0,1,1,0
23.8,0,0,0,94,1,1,1,0,1
24,0,1,0,96,1,0,1,1,0
24.2,0,1,0,96,1,0,1,1,0
24.3,0,1,0,96,1,0,1,0,1
24.5,0,1,0,96,1,0,1,1,0
24.8,0,0,0,98,1,1,1,0,1
25,0,1,0,100,1,0,1,1,0
