"time","J1_w","J2_w","J3_w","J4_w"
0,1.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.4,6.0000012682726611E+000,3.9999987317273389E+000,0.0000000000000000E+000,4.0589992208943891E-077
1.4,-2.7668990868632752E+000,2.7668990868632726E+000,1.0000000000000000E+001,1.7763568394002505E-015
2.4,-2.7668990868632926E+000,2.7668990868632721E+000,9.9999999999999982E+000,0.0000000000000000E+000
3.4,-2.7668990868633219E+000,2.7668990868632721E+000,9.9999999999999982E+000,0.0000000000000000E+000
4.4,-2.7668990868634347E+000,2.7668990868632721E+000,9.9999999999999982E+000,0.0000000000000000E+000
5.4,4.5173336445712593E+000,-8.7521727885403067E-001,6.3578836342826959E+000,8.8817841970012523E-016
6.4,4.5173336445713081E+000,-8.7521727885398182E-001,6.3578836342827447E+000,8.8817841970012523E-016
7.4,4.5173336445712300E+000,-8.7521727885398182E-001,6.3578836342827447E+000,8.8817841970012523E-016
8.4,4.5173336445712104E+000,-8.7521727885398182E-001,6.3578836342827447E+000,8.8817841970012523E-016
9.4,4.5173336445712495E+000,-8.7521727885398182E-001,6.3578836342827447E+000,8.8817841970012523E-016
10.4,-2.7668990868632557E+000,2.7668990868633196E+000,1.0000000000000046E+001,0.0000000000000000E+000
11.4,-2.7668990868632033E+000,2.7668990868633720E+000,1.0000000000000099E+001,1.7763568394002505E-015
12.4,-2.7668990868629875E+000,2.7668990868633720E+000,1.0000000000000099E+001,1.7763568394002505E-015
13.4,-2.7668990868632815E+000,2.7668990868633720E+000,1.0000000000000099E+001,1.7763568394002505E-015
14.4,-2.7668990868635168E+000,2.7668990868633720E+000,1.0000000000000099E+001,1.7763568394002505E-015
15.4,4.5173336445709085E+000,-8.7521727885392941E-001,6.3578836342827971E+000,8.8817841970012523E-016
16.4,4.5173336445708694E+000,-8.7521727885396849E-001,6.3578836342827580E+000,8.8817841970012523E-016
17.4,4.5173336445702423E+000,-8.7521727885396849E-001,6.3578836342827580E+000,8.8817841970012523E-016
18.4,4.5173336445696739E+000,-8.7521727885396849E-001,6.3578836342827580E+000,8.8817841970012523E-016
19.4,4.5173336445691641E+000,-8.7521727885396849E-001,6.3578836342827580E+000,8.8817841970012523E-016
20.4,-2.7668990868658616E+000,2.7668990868633188E+000,1.0000000000000046E+001,1.7763568394002505E-015
21.4,-2.7668990868659922E+000,2.7668990868631882E+000,9.9999999999999147E+000,1.7763568394002505E-015
22.4,-2.7668990868663252E+000,2.7668990868631882E+000,9.9999999999999147E+000,1.7763568394002505E-015
23.4,-2.7668990868665997E+000,2.7668990868631882E+000,9.9999999999999147E+000,1.7763568394002505E-015
24.4,-2.7668990868668151E+000,2.7668990868631886E+000,9.9999999999999147E+000,1.7763568394002505E-015
25,1.6036405519931640E+000,5.8162926743281096E-001,7.8147301805695371E+000,1.7763568394002505E-015
