"time","der_p","der_T"
0,0.0000000000000000E+000,0.0000000000000000E+000
1,1.2518382971723092E+003,1.5459854411715055E+000
2,1.2502223214802045E+003,1.5190468054480681E+000
3,1.2486524789924347E+003,1.4928170125417746E+000
4,1.2471271123807087E+003,1.4672713236682078E+000
5,1.2456446322195945E+003,1.4423860555295822E+000
6,1.2442035141587596E+003,1.4181385287337367E+000
7,1.2428022961843221E+003,1.3945070189110296E+000
8,1.2414395759719782E+003,1.3714707103931940E+000
9,1.2401140083334765E+003,1.3490096523230886E+000
10,1.2388243027570497E+003,1.3271047170691099E+000
11,1.2375692210416255E+003,1.3057375608231743E+000
12,1.2363475750240730E+003,1.2848905862665401E+000
13,1.2351582243980922E+003,1.2645469071926330E+000
14,1.2340000746230974E+003,1.2446903149815947E+000
15,1.2328720749209831E+003,1.2253052468260808E+000
16,1.2317732163584760E+003,1.2063767556129434E+000
17,1.2307025300125881E+003,1.1878904813703495E+000
18,1.2296590852165093E+003,1.1698326241944554E+000
19,1.2286419878832130E+003,1.1521899185743714E+000
20,1.2276503789039996E+003,1.1349496090385482E+000
21,1.2266834326191495E+003,1.1180994270498077E+000
22,1.2257403553578677E+003,1.1016275690802535E+000
23,1.2248203840447388E+003,1.0855226758011740E+000
24,1.2239227848699413E+003,1.0697738123266207E+000
25,1.2230468520204736E+003,1.0543704494527018E+000
