"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0,5.6568542494923804E+002,-0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.8000000000000000E+002
1,-3.2824216450879016E+004,1.8626451492309570E-009,-4.7140452079103170E+006,4.7140452079103151E+006,2.3570226039551599E+003,-4.7140452079103161E+003,2.3570226039551562E+003,1.6381690555416970E+012
2,3.2819554879381175E+009,-4.8428773880004883E-008,2.9855619650098678E+007,-2.9855619650098629E+007,-1.6410043196066675E+009,3.2820086392132864E+009,-1.6410043196066191E+009,2.6929840866392416E+016
3,4.7253006732033300E+009,2.6171875000000000E-001,-2.7350046851869742E+013,2.7350046851869480E+013,2.9712665246015331E+010,-5.9425330230311646E+010,2.9712664984296318E+010,1.4960486854808178E+024
4,1.8233367478398980E+015,-1.4539941875000000E+006,4.6786103441367931E+014,-4.6786103295968512E+014,-9.1213513814867337E+014,1.8242688223017050E+015,-9.1213368415303175E+014,8.7491730468515166E+027
5,3.2710120730647944E+016,8.0777521090560000E+012,-1.5201776363694621E+019,1.5201768285942512E+019,3.5595664871697412E+016,-6.3113569556594792E+016,2.7517904684897380E+016,4.6219000894686581E+035
6,1.0134767198585917E+021,-4.4876437404470346E+019,5.3318285934903519E+020,-4.8830642194456484E+020,-1.0140527516258738E+021,1.0144961811669844E+021,-4.4342954111061197E+017,3.6061425967934284E+039
7,3.6356234444207538E+022,5.6311180240335030E+024,-1.1269183110434308E+025,5.6380650864008050E+024,5.3256445965994933E+022,-5.3263393021415184E+022,6.9470554202465894E+018,1.9049553092740252E+047
8,7.5130645646753488E+026,-2.9019943147915920E+026,5.8050770015295520E+026,-2.9030826867379600E+026,-7.5217566011705047E+026,7.5217576895413625E+026,-1.0883708578185190E+020,2.1988657665517226E+051
9,3.9301481258016230E+028,4.1784628632349901E+030,-8.3569274315842167E+030,4.1784645683492266E+030,5.1836780414573767E+028,-5.1836782119686302E+028,1.7051125344402313E+021,1.0476188320255265E+059
10,5.5715882237593793E+032,-2.8380364107821628E+032,5.6760730886986060E+032,-2.8380366779164432E+032,-5.5800911815794545E+032,5.5800911818465893E+032,-2.6713407434522758E+022,1.4145435311342234E+063
11,3.8286138746424278E+034,3.0997668526435445E+036,-6.1995337057055993E+036,3.0997668530620548E+036,4.7585353433281242E+034,-4.7585353433699744E+034,4.1851050617228545E+023,5.7655667081862950E+070
12,4.1333204936202683E+038,-2.6126330777437161E+038,5.2252661555529983E+038,-2.6126330778092822E+038,-4.1411501183829525E+038,4.1411501183830190E+038,-6.5735341441545461E+024,9.2208032295463011E+074
13,3.5165703755696867E+040,2.3003776913493850E+042,-4.6007553826988734E+042,2.3003776913494884E+042,4.2066759597281772E+040,-4.2066759597281874E+040,1.0396762048685811E+026,3.1754103263207627E+082
14,3.0674454464985833E+044,-2.3140384229354879E+044,4.6280768458709917E+044,-2.3140384229355038E+044,-3.0743814199405234E+044,3.0743814199405234E+044,0.0000000000000000E+000,6.0356247282418188E+086
15,3.1099179628579112E+046,1.7077582739024416E+048,-3.4155165478048832E+048,1.7077582739024416E+048,3.6222387128719683E+046,-3.6222387128719683E+046,0.0000000000000000E+000,1.7501513907900283E+094
16,2.2772552713516393E+050,-1.9952772577454023E+050,3.9905545154908047E+050,-1.9952772577454023E+050,-2.2832365426330615E+050,2.2832365426330615E+050,0.0000000000000000E+000,3.9444423279929281E+098
17,2.6785824029851559E+052,1.2682652181814818E+054,-2.5365304363629636E+054,1.2682652181814818E+054,3.0590562308009669E+052,-3.0590562308009669E+052,0.0000000000000000E+000,9.6531227698776354E+105
18,1.6912311955172531E+056,-1.6867930315965000E+056,3.3735860631929999E+056,-1.6867930315965000E+056,-1.6962881870926598E+056,1.6962881870926598E+056,0.0000000000000000E+000,2.5652387606339611E+110
19,2.2625827302983442E+058,9.4221364685942910E+059,-1.8844272937188582E+060,9.4221364685942910E+059,2.5452420165314263E+058,-2.5452420165314263E+058,0.0000000000000000E+000,5.3281297940225089E+117
20,1.2564633565757018E+062,-1.4046012060488645E+062,2.8092024120977291E+062,-1.4046012060488645E+062,-1.2606746430558487E+062,1.2606746430558487E+062,0.0000000000000000E+000,1.6573511213944773E+122
21,1.8828495718312120E+064,7.0023434157708889E+065,-1.4004686831541778E+066,7.0023434157708889E+065,2.0929158985388682E+064,-2.0929158985388682E+064,0.0000000000000000E+000,2.9430293924670472E+129
22,9.3379454948314509E+067,-1.1557287113280450E+068,2.3114574226560899E+068,-1.1557287113280450E+068,-9.3725986456271518E+067,9.3725986456271518E+067,0.0000000000000000E+000,1.0630159276901914E+134
23,1.5484388914273639E+070,5.2058435188593121E+071,-1.0411687037718624E+072,5.2058435188593121E+071,1.7046109439433080E+070,-1.7046109439433080E+070,0.0000000000000000E+000,1.6267660767050390E+141
24,6.9423495609997445E+073,-9.4180023644964513E+073,1.8836004728992903E+074,-9.4180023644964513E+073,-6.9705896551540180E+073,6.9705896551540180E+073,0.0000000000000000E+000,6.7678058672671779E+145
25,1.2612850181720094E+076,3.8716080081824496E+077,-7.7432160163648992E+077,3.8716080081824496E+077,1.3774306197018451E+076,-1.3774306197018451E+076,0.0000000000000000E+000,8.9983726627320170E+152
