"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0,5.6568542494923804E+002,-0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.8000000000000000E+002
0.0002,5.5900845240167757E+002,6.1466535092559837E-002,-1.0482841458343306E+000,9.8681761074177077E-001,3.1223797902232684E+002,-5.6300936148562027E+002,2.5077138246329338E+002,7.8942286454603573E+002
0.0004,5.5236835229029555E+002,1.2274589589433305E-001,-6.7338012915903152E+000,6.6110553956959821E+000,3.3956330151907616E+002,-5.5638058439804604E+002,2.1681728287896996E+002,7.9929783781785591E+002
0.0006,5.4583176225882812E+002,1.8354083472227600E-001,-1.5960197741810557E+001,1.5776656907088281E+001,3.6670170884112133E+002,-5.4986239941931535E+002,1.8316069057819408E+002,8.2783434021207302E+002
0.0008,5.3942005523052148E+002,2.4361142172740102E-001,-2.4850075922788051E+001,2.4606464501060650E+001,3.9354004511052221E+002,-5.4346842488246534E+002,1.4992837977194304E+002,8.5940123248576651E+002
0.001,5.3310322195698336E+002,3.0272058574643879E-001,-2.9589943635712601E+001,2.9287223049966162E+001,4.1994095666307197E+002,-5.3716102485942224E+002,1.1722006819635021E+002,8.7793673222307427E+002
0.0012002,5.2679505125899448E+002,3.6069228969005707E-001,-2.6520599973483289E+001,2.6159907683793232E+001,4.4576966025345814E+002,-5.3084667012493037E+002,8.5077009871472143E+001,8.6768713616155696E+002
0.0014002,5.2038107302547166E+002,4.1718195621742460E-001,-1.2251205311355987E+001,1.1834023355138562E+001,4.7079324143395957E+002,-5.2440410946895565E+002,5.3610868034996059E+001,8.1455302058361428E+002
0.0016002,5.1374353016242731E+002,4.4999101314923168E-001,-9.2364724147000798E-001,4.7365622832077631E-001,4.8386767755913485E+002,-4.9570028514490718E+002,1.1832607585772337E+001,7.4416126182350354E+002
0.0018002,5.0706942801854234E+002,4.9155886931940607E-001,-9.3571243517284730E-001,4.4415356585344123E-001,5.0131457331155673E+002,-4.7761192157857431E+002,-2.3702651732982417E+001,7.3657624208855259E+002
