"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0,5.6568542494923804E+002,-0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.8000000000000011E+002
0.0002,5.5900845240167757E+002,6.1466535092559615E-002,-1.0482841458342922E+000,9.8681761074173258E-001,3.1223797902232684E+002,-5.6300936148562027E+002,2.5077138246329349E+002,7.8942286454603561E+002
0.0004,5.5236835229029555E+002,1.2274589589433216E-001,-6.7338012915901491E+000,6.6110553956958169E+000,3.3956330151907582E+002,-5.5638058439804627E+002,2.1681728287897036E+002,7.9929783781785511E+002
0.0006,5.4583176225882812E+002,1.8354083472227600E-001,-1.5960197741810273E+001,1.5776656907087997E+001,3.6670170884112133E+002,-5.4986239941931535E+002,1.8316069057819411E+002,8.2783434021207188E+002
0.0008,5.3942005523052148E+002,2.4361142172740102E-001,-2.4850075922787628E+001,2.4606464501060227E+001,3.9354004511052221E+002,-5.4346842488246534E+002,1.4992837977194304E+002,8.5940123248576481E+002
0.001,5.3310322195698336E+002,3.0272058574643879E-001,-2.9589943635712064E+001,2.9287223049965625E+001,4.1994095666307209E+002,-5.3716102485942224E+002,1.1722006819635021E+002,8.7793673222307223E+002
0.0012002,5.2679505125899448E+002,3.6069228969005707E-001,-2.6520599973482625E+001,2.6159907683792568E+001,4.4576966025345826E+002,-5.3084667012493037E+002,8.5077009871472143E+001,8.6768713616155412E+002
0.0014002,5.2038107302547166E+002,4.1718195621742460E-001,-1.2251205311355186E+001,1.1834023355137761E+001,4.7079324143395985E+002,-5.2440410946895588E+002,5.3610868034996031E+001,8.1455302058361110E+002
0.0016002,5.1374353016242731E+002,4.4999101314923123E-001,-9.2364724147000743E-001,4.7365622832077620E-001,4.8386767755913473E+002,-4.9570028514490730E+002,1.1832607585772536E+001,7.4416126182350308E+002
0.0018002,5.0706942801854234E+002,4.9155886931940596E-001,-9.3571243517284708E-001,4.4415356585344112E-001,5.0131457331155673E+002,-4.7761192157857425E+002,-2.3702651732982446E+001,7.3657624208855214E+002
0.0020002,5.0041064681223622E+002,6.4593238369396637E+000,-6.8578367085265874E+000,3.9851287158692328E-001,5.0442295513917981E+002,-4.5146811261928815E+002,-5.2954842519891685E+001,7.3415745130300900E+002
0.0022002,4.9402873326118913E+002,4.3898855637026614E+001,-4.4240378987187881E+001,3.4152335016126995E-001,4.9811587635120384E+002,-4.1981978401774131E+002,-7.8296092333462525E+001,8.5061812889105158E+002
0.0024002,4.8835471288744867E+002,1.1190627760670829E+002,-1.1218946359880799E+002,2.8318599209970602E-001,4.9257782369611766E+002,-3.8788204949076635E+002,-1.0469577420535134E+002,1.1115759566536217E+003
0.0026002,4.8376277362278302E+002,2.0536115390291650E+002,-2.0558488493121919E+002,2.2373102830269576E-001,4.8817274372609984E+002,-3.5595199787980016E+002,-1.3222074584629971E+002,1.5183571164347454E+003
0.0028002,4.8055458101186258E+002,3.1852922418570103E+002,-3.1869261728605096E+002,1.6339310034995880E-001,4.8519083310792024E+002,-3.2429204842540798E+002,-1.6089878468251226E+002,2.0700689505703854E+003
0.003,4.7895278443684663E+002,4.4507428969295324E+002,-4.4517676125235425E+002,1.0247155940099727E-001,4.8384206869293882E+002,-2.9315686528269657E+002,-1.9068520341024231E+002,2.7574265997793241E+003
0.0032,4.7909098355902631E+002,5.7873294892434649E+002,-5.7877403383441276E+002,4.1084910066235360E-002,4.8424752320327843E+002,-2.6266623717719142E+002,-2.2158128602608699E+002,3.5615001862774002E+003
0.0034,4.8102038701574241E+002,7.1270464149136012E+002,-7.1268417760872148E+002,-2.0463882638647981E-002,4.8644480436965125E+002,-2.3299045063357059E+002,-2.5345435373608063E+002,4.4472220957995096E+003
0.0036,4.8470056286733251E+002,8.4031528067228612E+002,-8.4023334875853834E+002,-8.1931913747815666E-002,4.9038013241606808E+002,-2.0422406836821028E+002,-2.8615606404785780E+002,5.3658423127107735E+003
0.0038,4.9000303532945946E+002,9.5505867279630831E+002,-9.5491559619928375E+002,-1.4307659702455100E-001,4.9591201968340005E+002,-1.7641763979119759E+002,-3.1949437989220246E+002,6.2563923593548870E+003
0.004,4.9671458606592012E+002,1.0507546390918317E+003,-1.0505509824694934E+003,-2.0365662233824813E-001,5.0281488815800742E+002,-1.4957903108167039E+002,-3.5323585707633697E+002,7.0498811293667140E+003
0.0042,5.0454261536343108E+002,1.1216993138820853E+003,-1.1214358809740800E+003,-2.6343290800536906E-001,5.1078473123094057E+002,-1.2367577989646344E+002,-3.8710895133447707E+002,7.6752109198585395E+003
0.0044002,5.1313125423847828E+002,1.1628289108511547E+003,-1.1625066831683002E+003,-3.2222768285447617E-001,5.1945555324569023E+002,-9.8613774081926749E+001,-4.2084177916376353E+002,8.0664785917327526E+003
0.0046002,5.2203524055660228E+002,1.1697098611617278E+003,-1.1693301696844246E+003,-3.7969147730306757E-001,5.2837322617898167E+002,-7.4340684592408195E+001,-4.5403254158657342E+002,8.1690945566939381E+003
0.0048002,5.3078266038428956E+002,1.1388997194395133E+003,-1.1384640626365581E+003,-4.3565680295528458E-001,5.3705895232475291E+002,-5.0700856856550502E+001,-4.8635809546820246E+002,7.9492554236976111E+003
0.0050002,5.3885284096311864E+002,1.0678356897720619E+003,-1.0673457869818230E+003,-4.8990279023890376E-001,5.4498693460009690E+002,-2.7541827229446312E+001,-5.1744510737065070E+002,7.3979153814372539E+003
0.0052002,5.4569757885518709E+002,9.5495835342474891E+002,-9.5441613806972418E+002,-5.4221535502475149E-001,5.5160585204325082E+002,-4.6949774018432890E+000,-5.4691087464140753E+002,6.5352406989405381E+003
0.0054002,5.5078714660804735E+002,8.0844940969462050E+002,-7.9044728112264988E+002,-1.8002128571970662E+001,5.5638493212678600E+002,-7.7244438010643535E-001,-5.5561248774667956E+002,5.4259145701499938E+003
0.0056002,5.5380436726514631E+002,6.4448770837671589E+002,-5.5991742555120049E+002,-8.4570282825515378E+001,5.5900765558705143E+002,-4.7534666737908537E-001,-5.5853230891967235E+002,4.2373887350756486E+003
0.0058002,5.5452484638243163E+002,4.6408876515334964E+002,-2.6359055286785838E+002,-2.0049821228549129E+002,5.5925140792419847E+002,-6.3092277490000015E-002,-5.5918831564670859E+002,3.1072285531797306E+003
0.0060002,5.5281852681541920E+002,3.1701055934605284E+002,-2.0370479618874093E-001,-3.1680685454986411E+002,3.8057811492644589E+002,1.7687311503311253E+002,-5.5745122995955842E+002,2.2554736589290692E+003
0.0062002,5.5034753956660518E+002,3.1771742230528184E+002,-1.4312531866977754E-001,-3.1757429698661207E+002,3.4905359187579427E+002,2.0592813008084130E+002,-5.5498172195663551E+002,2.2420277343456833E+003
0.0064002,5.4797525901681297E+002,3.3110802197876325E+002,-8.1980990905764939E-002,-3.3102604098785747E+002,3.1730868067745297E+002,2.3532760779077921E+002,-5.5263628846823212E+002,2.2997199689902836E+003
0.0066002,5.4584429252287941E+002,3.5316055967577211E+002,-2.0513121624199888E-002,-3.5314004655414789E+002,2.8553131743631258E+002,2.6501817529901160E+002,-5.5054949273532418E+002,2.4092865614118323E+003
0.0068002,5.4404218052421129E+002,3.7965525213662499E+002,4.1035703576861121E-002,-3.7969628784020188E+002,2.5388234530452434E+002,2.9491808991704806E+002,-5.4880043522157234E+002,2.5499794080824295E+003
0.0070002,5.4259947946746456E+002,4.0628304810467847E+002,1.0242257960333490E-001,-4.0638547068428181E+002,2.2249418597495401E+002,3.2491686800076610E+002,-5.4741105397572005E+002,2.6989990076043609E+003
0.0072002,5.4148930798859510E+002,4.2875597836124541E+002,1.6340524050054070E-001,-4.2891938360174595E+002,1.9147024380487042E+002,3.5487564771048824E+002,-5.4634589151535863E+002,2.8316931314903450E+003
0.0074002,5.4062836138758519E+002,4.4291663242095137E+002,2.2374301556624682E-001,-4.4314037543651762E+002,1.6088504447235718E+002,3.8462828378139591E+002,-5.4551332825375312E+002,2.9225485704714060E+003
0.0076002,5.3987936613116369E+002,4.4484428294443484E+002,2.8319777916797606E-001,-4.4512748072360279E+002,1.3078509344087215E+002,4.1398315580634426E+002,-5.4476824924721632E+002,2.9468982277966779E+003
0.0078002,5.3905491355962386E+002,4.3095526181294127E+002,3.4153489051609126E-001,-4.3129679670345735E+002,1.0119042329825393E+002,4.4272565534889418E+002,-5.4391607864714808E+002,2.8831688353037816E+003
