"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8.signal1","Out8.signal2","Out9","Out10","Out11"
0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,6.0000000000000000E+000
0.02,0.0000000000000000E+000,1.8998856853967325E-002,0,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.8998856853967325E-002,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,6.0000000000000000E+000
0.04,0.0000000000000000E+000,3.8990114251841124E-002,0,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,3.8990114251841124E-002,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,6.0000000000000000E+000
0.06,0.0000000000000000E+000,5.8965776123875449E-002,0,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,5.8965776123875449E-002,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,6.0000000000000000E+000
0.08,0.0000000000000000E+000,7.8917852471660083E-002,0,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,7.8917852471660083E-002,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,6.0000000000000000E+000
0.1,0.0000000000000000E+000,9.8838362730680057E-002,1,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,9.8838362730680057E-002,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,6.0000000000000000E+000
0.12,0.0000000000000000E+000,1.1871933896243496E-001,1,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.1871933896243496E-001,0.0000000000000000E+000,0.0000000000000000E+000,1.9966683329365631E-002,6.0000000000000000E+000
0.14,0.0000000000000000E+000,1.3855282904150837E-001,1,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.3855282904150837E-001,0.0000000000000000E+000,0.0000000000000000E+000,1.9966683329365631E-002,6.0000000000000000E+000
0.16,0.0000000000000000E+000,1.5833089983631160E-001,1,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.5833089983631160E-001,0.0000000000000000E+000,0.0000000000000000E+000,1.9966683329365631E-002,6.0000000000000000E+000
0.18,0.0000000000000000E+000,1.7804564038223081E-001,2,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.7804564038223081E-001,0.0000000000000000E+000,0.0000000000000000E+000,1.9966683329365631E-002,6.0000000000000000E+000
