"time","revolute1.w","revolute2.w"
0,0.0000000000000000E+000,0.0000000000000000E+000
0.006,-1.5086898983066144E-001,2.0041408195868318E-001
0.0121,-3.0420575054510179E-001,4.0405088846297327E-001
0.0181,-4.5497731732989144E-001,6.0421512286690537E-001
0.0241,-6.0568350179205999E-001,8.0419781279949942E-001
0.0301,-7.5629686995962087E-001,1.0039063309436247E+000
0.036,-9.0426608557905164E-001,1.1998724003445140E+000
0.042,-1.0545417182326113E+000,1.3985182735452328E+000
0.048,-1.2045229845991443E+000,1.5962091791598521E+000
0.054,-1.3540892828400755E+000,1.7925374049798959E+000
0.06,-1.5030878937145282E+000,1.9869862121510420E+000
0.066,-1.6513316947855077E+000,2.1789216768163628E+000
0.072,-1.7985979024742067E+000,2.3675877913362711E+000
0.078,-1.9446281200373450E+000,2.5521057168570698E+000
0.084,-2.0891299580957203E+000,2.7314780524418683E+000
0.09,-2.2317804449438019E+000,2.9045988434447501E+000
0.096,-2.3722313494660603E+000,3.0702697710893889E+000
0.102,-2.5101163987822823E+000,3.2272225414166091E+000
0.108,-2.6450601930777911E+000,3.3741469460935871E+000
0.114,-2.7766884191247945E+000,3.5097234526564423E+000
0.12,-2.9046387691971347E+000,3.6326585800359261E+000
0.126,-3.0285718169154321E+000,3.7417208280282104E+000
0.132,-3.1481810189388040E+000,3.8357746569996873E+000
0.138,-3.2632010254179495E+000,3.9138100309099455E+000
0.144,-3.3734136005804158E+000,3.9749653686151185E+000
0.1501,-3.4803617226658941E+000,4.0191164661766861E+000
0.1561,-3.5804196875395768E+000,4.0442807025063967E+000
0.1621,-3.6753124166901316E+000,4.0509701189998557E+000
0.1681,-3.7650108797139001E+000,4.0389802435953230E+000
0.1741,-3.8495192881725475E+000,4.0082450651349664E+000
0.1801,-3.9288656983436252E+000,3.9588155731790127E+000
0.1861,-4.0030918291814297E+000,3.8908358731661141E+000
0.1921,-4.0722427378074180E+000,3.8045187228220660E+000
0.1981,-4.1363568959513675E+000,3.7001220389410525E+000
0.2041,-4.1954570836168470E+000,3.5779275367595247E+000
0.2101,-4.2495423836802626E+000,3.4382222551909543E+000
0.2161,-4.2985814404440665E+000,3.2812833424113745E+000
0.2221,-4.3425070468768983E+000,3.1073661602586928E+000
0.2281,-4.3812120536208337E+000,2.9166955268416910E+000
0.2341,-4.4145465472257683E+000,2.7094597547095063E+000
0.2401,-4.4423162218182428E+000,2.4858070480122763E+000
0.2461,-4.4642818624268568E+000,2.2458437832060527E+000
0.2521,-4.4801598641878995E+000,1.9896342004107270E+000
0.2581,-4.4896237250180926E+000,1.7172010647852964E+000
