"Time [s]","clutch1.phi_rel [rad]","clutch1.w_rel [rad/s]","clutch2.phi_rel [rad]","clutch2.w_rel [rad/s]","clutch3.phi_rel [rad]","clutch3.w_rel [rad/s]","freqHz [Hz]","J1_phi [rad]","J1.w [rad/s]","T2 [s]"
0,0,-10,0,0,0,0,0.2,0,10,0.4
1E-005,-9.99980003147736E-005,-9.99980003147735,-9.99999692859814E-010,-9.99999692859814E-005,0,0,0.2,9.99990003144664E-005,9.99990003144664,0.4
6E-005,-0.000599938049025497,-9.99880097421446,-3.09999916604342E-008,-0.000599999839351486,0,0,0.2,0.000599969049017157,9.99940097405381,0.4
0.00031,-0.0030990151088952,-9.99381550474315,-4.93499897967117E-007,-0.00309999941110196,0,0,0.2,0.00309950860879317,9.99691550415425,0.4
0.00131,-0.0130829578209344,-9.97406991933449,-8.59349819939849E-006,-0.0130999971917609,0,0,0.2,0.0130915513191338,9.98716991652625,0.4
0.00231,-0.0230473118790563,-9.95463819690806,-2.66934889416139E-005,-0.0230999842926707,0,0,0.2,0.023074005367998,9.97773818120073,0.4
0.00331,-0.0329923908816364,-9.93551980825066,-5.47934535491915E-005,-0.0330999449224869,0,0,0.2,0.0330471843351856,9.96861975317314,0.4
0.00431,-0.0429185077432517,-9.91671391497862,-9.28933576553864E-005,-0.0430998632899066,0,0,0.2,0.0430114011009071,9.95981377826853,0.4
0.00531,-0.0528259743859399,-9.89821937039639,-0.000140993151102184,-0.0530997236036937,0,0,0.2,0.0529669675370421,9.95131909400008,0.4
0.00631,-0.0627151014314684,-9.8800347206592,-0.00019909276794038,-0.063099510072704,0,0,0.2,0.0629141941994087,9.9431342307319,0.4
0.00731,-0.0725861978949181,-9.86215820623904,-0.000267192126429683,-0.0730992069059095,0,0,0.2,0.0728533900213478,9.93525741314495,0.4
0.00831,-0.0824395708798844,-9.84458776369215,-0.000345291129038845,-0.0830987983124241,0,0,0.2,0.0827848620089233,9.92768656200458,0.4
0.00931,-0.0922755252755944,-9.82732102772657,-0.000433389662445816,-0.0930982685015281,0,0,0.2,0.0927089149380402,9.9204192962281,0.4
0.01031,-0.102094363456242,-9.81035533356746,-0.00053148759753792,-0.103097601682693,0,0,0.2,0.10262585105378,9.91345293525015,0.4
0.01131,-0.111896384982836,-9.79368771961804,-0.000639584789412064,-0.113096782065607,0,0,0.2,0.112535969772248,9.90678450168365,0.4
0.01231,-0.121681886307852,-9.77731493041349,-0.00075768107737496,-0.1230957938602,0,0,0.2,0.122439567385227,9.90041072427369,0.4
0.01331,-0.131451160482992,-9.76123341986475,-0.000885776284943385,-0.133094621276666,0,0,0.2,0.132336936767935,9.89432804114141,0.4
0.01431,-0.141204496870319,-9.74543935478924,-0.00102387021984446,-0.143093248525493,0,0,0.2,0.142228367090164,9.88853260331473,0.4
0.01531,-0.150942180857077,-9.72992861872485,-0.00117196267401594,-0.153091659817484,0,0,0.2,0.152114143531093,9.88302027854233,0.4
0.01631,-0.160664493574452,-9.71469681602351,-0.00133005342360656,-0.163089839363782,0,0,0.2,0.161994546998058,9.87778665538729,0.4
0.01731,-0.170371711620574,-9.69973927622028,-0.00149814222897639,-0.173087771375896,0,0,0.2,0.171869853849551,9.87282704759618,0.4
0.01831,-0.180064106788022,-9.68505105867363,-0.00167622883469719,-0.183085440065729,0,0,0.2,0.181740335622719,9.86813649873936,0.4
0.01931,-0.189741945796095,-9.6706269574724,-0.00186431296955284,-0.193082829645596,0,0,0.2,0.191606258765648,9.86370978711799,0.4
0.02031,-0.199405490028134,-9.65646150660447,-0.00206239434653975,-0.203079924328254,0,0,0.2,0.201467884374674,9.85954143093273,0.4
0.02131,-0.209054995274128,-9.64254898538222,-0.00227047266286733,-0.213076708326927,0,0,0.2,0.211325467936996,9.85562569370915,0.4
0.02231,-0.21869071147888,-9.62888342411923,-0.00248854759995844,-0.223073165855327,0,0,0.2,0.221179259078838,9.85195658997456,0.4
0.02331,-0.228312882495966,-9.61545861005275,-0.00271661882344993,-0.233069281127685,0,0,0.2,0.231029501319416,9.84852789118044,0.4
0.02431,-0.237921745847746,-9.60226809350608,-0.00295468598319314,-0.243065038358769,0,0,0.2,0.240876431830939,9.84533313186485,0.4
0.02531,-0.247517532491642,-9.58930519428469,-0.00320274871325447,-0.253060421763914,0,0,0.2,0.250720281204896,9.84236561604861,0.4
0.02631,-0.257100466592935,-9.57656300829992,-0.00346080663191593,-0.263055415559047,0,0,0.2,0.260561273224851,9.83961842385897,0.4
0.02731,-0.266670765304292,-9.56403441441353,-0.00372885934167579,-0.273050003960707,0,0,0.2,0.270399624645968,9.83708441837424,0.4
0.02831,-0.276228638552247,-9.55171208149655,-0.00400690642924916,-0.283044171186074,0,0,0.2,0.280235544981497,9.83475625268263,0.4
0.02931,-0.285774288830844,-9.53958847569531,-0.00429494746556868,-0.293037901452996,0,0,0.2,0.290069236296412,9.8326263771483,0.4
0.03031,-0.295307911002641,-9.52765586789752,-0.00459298200578516,-0.303031178980007,0,0,0.2,0.299900893008426,9.83068704687752,0.4
0.03131,-0.304829692107285,-9.5159063413911,-0.00490100958926832,-0.313023987986358,0,0,0.2,0.309730701696554,9.82893032937746,0.4
0.03231,-0.314339811177835,-9.50433179970811,-0.0052190297396075,-0.32301631269204,0,0,0.2,0.319558840917443,9.82734811240015,0.4
0.03331,-0.323838439065013,-9.49292397464609,-0.0055470419646124,-0.333008137317809,0,0,0.2,0.329385481029625,9.8259321119639,0.4
0.03431,-0.333325738269566,-9.48167443445883,-0.00588504575631389,-0.342999446085209,0,0,0.2,0.33921078402588,9.82467388054404,0.4
0.03531,-0.3428018627829,-9.47057459220864,-0.00623304059096477,-0.3529902232166,0,0,0.2,0.349034903373865,9.82356481542523,0.4
0.03631,-0.35226695793614,-9.45961571427165,-0.00659102592904064,-0.362980452935181,0,0,0.2,0.358857983865181,9.82259616720683,0.4
0.03731,-0.36172116025777,-9.44878892898799,-0.00695900121524071,-0.372970119465016,0,0,0.2,0.368680161473011,9.82175904845301,0.4
0.03831,-0.371164597339989,-9.4380852354481,-0.00733696587848873,-0.382959207031058,0,0,0.2,0.378501563218477,9.82104444247916,0.4
0.03931,-0.380597387713916,-9.42749551240664,-0.00772491933193381,-0.392947699859174,0,0,0.2,0.38832230704585,9.82044321226581,0.4
0.04031,-0.390019640733776,-9.41701052731512,-0.00812286097295147,-0.40293558217617,0,0,0.2,0.398142501706727,9.81994610949129,0.4
0.04131,-0.399431456470163,-9.40662094546445,-0.00853079018314445,-0.412922838209818,0,0,0.2,0.407962246653307,9.81954378367426,0.4
0.04231,-0.408832925612506,-9.39631733922817,-0.00894870632834378,-0.422909452188876,0,0,0.2,0.41778163194085,9.81922679141704,0.4
0.04331,-0.418224129380816,-9.38609019739752,-0.00937660875860977,-0.432895408343118,0,0,0.2,0.427600738139426,9.81898560574064,0.4
