"time","yRising","yFalling","yEither"
0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.02,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.04,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.06,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.08,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.1,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.12,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.14,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.16,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.18,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.2,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.22,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.24,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.26,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.28,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.3,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.32,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.34,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.36,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.38,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.4,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.42,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.44,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.46,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.48,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.5,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.52,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.54,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.56,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.58,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.6,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.62,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.64,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.66,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.68,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.7,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.72,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.74,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.76,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.78,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.8,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
0.82,-7.5680249530792998E-001,0.0000000000000000E+000,-7.5680249530792998E-001
