"time","y","y2","y3","y1","y4","y5","y6","Q","QI"
0,0,1,0,0,1,0,0,1,0
0.02,0,1,0,0,1,0,0,1,0
0.04,0,1,0,0,1,0,0,1,0
0.06,0,1,0,0,1,0,0,1,0
0.08,0,1,0,0,1,0,0,1,0
0.11,0,1,0,0,1,0,0,1,0
0.13,0,1,0,0,1,0,0,1,0
0.15,0,1,0,0,1,0,0,1,0
0.16,0,1,0,0,1,0,0,1,0
0.18,0,1,0,0,1,0,0,1,0
0.2,0,1,0,0,1,0,0,1,0
0.22,0,1,0,0,1,0,0,1,0
0.24,0,1,0,0,1,0,0,1,0
0.26,0,1,0,0,1,0,0,1,0
0.28,0,1,0,0,1,0,0,1,0
0.3,0,1,0,0,1,0,0,1,0
0.32,0,1,0,0,1,0,0,0,1
0.34,0,1,0,0,1,0,0,0,1
0.36,0,1,0,0,1,0,0,0,1
0.38,0,1,0,0,1,0,0,0,1
0.4,0,1,0,0,1,0,0,0,1
0.42,0,1,0,0,1,0,0,0,1
0.44,0,1,0,0,1,0,0,0,1
0.46,0,1,0,0,1,0,0,0,1
0.48,0,1,0,0,1,0,0,0,1
0.5,0,1,0,0,1,0,0,0,1
0.52,0,1,0,0,1,0,0,1,0
0.54,0,1,0,0,1,0,0,1,0
0.56,0,1,0,0,1,0,0,1,0
0.58,0,1,0,0,1,0,0,1,0
0.6,0,1,0,0,1,0,0,1,0
0.62,0,1,0,0,1,0,0,1,0
0.64,0,1,0,0,1,0,0,1,0
0.66,0,1,0,0,1,0,0,1,0
0.68,0,1,0,0,1,0,0,1,0
0.7,0,1,0,0,1,0,0,1,0
0.72,0,1,0,0,1,0,0,1,0
0.74,0,1,0,0,1,0,0,1,0
0.76,0,1,0,0,1,0,0,1,0
0.78,0,1,0,0,1,0,0,1,0
0.8,0,1,0,0,1,0,0,1,0
0.82,0,0,0,2,1,1,0,0,1
0.84,0,0,0,2,1,1,0,0,1
0.86,0,0,0,2,1,1,0,0,1
0.88,0,0,0,2,1,1,0,0,1
0.9,0,0,0,2,1,1,0,0,1
0.92,0,0,0,2,1,1,0,0,1
0.94,0,0,0,2,1,1,0,0,1
0.96,0,0,0,2,1,1,0,0,1
0.98,0,0,0,2,1,1,0,0,1
1,0,0,0,2,1,1,0,0,1
1.02,0,1,0,4,1,0,0,1,0
1.04,0,1,0,4,1,0,0,1,0
1.06,0,1,0,4,1,0,0,1,0
1.08,0,1,0,4,1,0,0,1,0
1.1,0,1,0,4,1,0,0,1,0
1.12,0,1,0,4,1,0,0,1,0
1.14,0,1,0,4,1,0,0,1,0
1.16,0,1,0,4,1,0,0,1,0
1.18,0,1,0,4,1,0,0,1,0
1.2,0,1,0,4,1,0,0,1,0
1.22,0,1,0,4,1,0,0,1,0
1.24,0,1,0,4,1,0,0,1,0
1.26,0,1,0,4,1,0,0,1,0
1.28,0,1,0,4,1,0,0,1,0
1.3,0,1,0,4,1,0,0,1,0
1.32,0,1,0,4,1,0,0,0,1
1.34,0,1,0,4,1,0,0,0,1
1.36,0,1,0,4,1,0,0,0,1
1.38,0,1,0,4,1,0,0,0,1
1.4,0,1,0,4,1,0,0,0,1
1.42,0,1,0,4,1,0,0,0,1
1.44,0,1,0,4,1,0,0,0,1
1.46,0,1,0,4,1,0,0,0,1
1.48,0,1,0,4,1,0,0,0,1
1.5,0,1,0,4,1,0,0,0,1
1.52,0,1,0,4,1,0,0,1,0
1.54,0,1,0,4,1,0,0,1,0
1.56,0,1,0,4,1,0,0,1,0
1.58,0,1,0,4,1,0,0,1,0
1.6,0,1,0,4,1,0,0,1,0
1.62,0,1,0,4,1,0,0,1,0
1.64,0,1,0,4,1,0,0,1,0
1.66,0,1,0,4,1,0,0,1,0
1.68,0,1,0,4,1,0,0,1,0
1.7,0,1,0,4,1,0,0,1,0
1.72,0,1,0,4,1,0,0,1,0
1.74,0,1,0,4,1,0,0,1,0
1.76,0,1,0,4,1,0,0,1,0
1.78,0,1,0,4,1,0,0,1,0
1.8,0,1,0,4,1,0,0,1,0
1.82,0,0,0,6,1,1,0,0,1
1.84,0,0,0,6,1,1,0,0,1
1.86,0,0,0,6,1,1,0,0,1
1.88,0,0,0,6,1,1,0,0,1
1.9,0,0,0,6,1,1,0,0,1
1.92,0,0,0,6,1,1,0,0,1
1.94,0,0,0,6,1,1,0,0,1
1.96,0,0,0,6,1,1,0,0,1
1.98,0,0,0,6,1,1,0,0,1
2,0,0,0,6,1,1,0,0,1
2.03,1,1,0,8,1,0,0,1,0
2.05,1,1,0,8,1,0,0,1,0
2.07,1,1,0,8,1,0,0,1,0
2.09,1,1,0,8,1,0,0,1,0
2.11,1,1,0,8,1,0,0,1,0
2.13,1,1,0,8,1,0,0,1,0
2.15,1,1,0,8,1,0,0,1,0
2.17,1,1,0,8,1,0,0,1,0
2.19,1,1,0,8,1,0,0,1,0
2.2,0,1,0,8,1,0,0,1,0
2.23,0,1,0,8,1,0,0,1,0
2.25,0,1,0,8,1,0,0,1,0
2.27,0,1,0,8,1,0,0,1,0
2.29,0,1,0,8,1,0,0,1,0
2.3,0,1,0,8,1,0,0,0,1
2.33,0,1,0,8,1,0,0,0,1
2.35,0,1,0,8,1,0,0,0,1
2.37,0,1,0,8,1,0,0,0,1
2.39,0,1,0,8,1,0,0,0,1
2.41,0,1,0,8,1,0,0,0,1
2.43,0,1,0,8,1,0,0,0,1
2.45,0,1,0,8,1,0,0,0,1
2.47,0,1,0,8,1,0,0,0,1
2.49,0,1,0,8,1,0,0,0,1
2.5,0,1,0,8,1,0,0,1,0
2.53,0,1,0,8,1,0,0,1,0
2.55,0,1,0,8,1,0,0,1,0
2.57,0,1,0,8,1,0,0,1,0
2.59,0,1,0,8,1,0,0,1,0
2.61,0,1,0,8,1,0,0,1,0
2.63,0,1,0,8,1,0,0,1,0
2.65,0,1,0,8,1,0,0,1,0
2.67,0,1,0,8,1,0,0,1,0
2.69,0,1,0,8,1,0,0,1,0
2.71,0,1,0,8,1,0,0,1,0
2.73,0,1,0,8,1,0,0,1,0
2.75,0,1,0,8,1,0,0,1,0
2.77,0,1,0,8,1,0,0,1,0
2.79,0,1,0,8,1,0,0,1,0
2.8,0,0,0,10,1,1,0,0,1
2.83,0,0,0,10,1,1,0,0,1
2.85,0,0,0,10,1,1,0,0,1
2.87,0,0,0,10,1,1,0,0,1
2.89,0,0,0,10,1,1,0,0,1
2.91,0,0,0,10,1,1,0,0,1
2.93,0,0,0,10,1,1,0,0,1
2.95,0,0,0,10,1,1,0,0,1
2.97,0,0,0,10,1,1,0,0,1
2.99,0,0,0,10,1,1,0,0,1
3,1,1,0,12,1,0,1,1,0
3.03,1,1,0,12,1,0,1,1,0
3.05,1,1,0,12,1,0,1,1,0
3.07,1,1,0,12,1,0,1,1,0
3.09,1,1,0,12,1,0,1,1,0
3.11,1,1,0,12,1,0,1,1,0
3.13,1,1,0,12,1,0,1,1,0
3.15,1,1,0,12,1,0,1,1,0
3.17,1,1,0,12,1,0,1,1,0
3.19,1,1,0,12,1,0,1,1,0
3.21,0,1,0,12,1,0,1,1,0
3.23,0,1,0,12,1,0,1,1,0
3.25,0,1,0,12,1,0,1,1,0
3.27,0,1,0,12,1,0,1,1,0
3.29,0,1,0,12,1,0,1,1,0
3.3,0,1,0,12,1,0,1,0,1
3.33,0,1,0,12,1,0,1,0,1
3.35,0,1,0,12,1,0,1,0,1
3.37,0,1,0,12,1,0,1,0,1
3.39,0,1,0,12,1,0,1,0,1
3.41,0,1,0,12,1,0,1,0,1
3.43,0,1,0,12,1,0,1,0,1
3.45,0,1,0,12,1,0,1,0,1
3.47,0,1,0,12,1,0,1,0,1
3.49,0,1,0,12,1,0,1,0,1
3.5,0,1,0,12,1,0,1,1,0
3.53,0,1,0,12,1,0,1,1,0
3.55,0,1,0,12,1,0,1,1,0
3.57,0,1,0,12,1,0,1,1,0
3.59,0,1,0,12,1,0,1,1,0
3.61,0,1,0,12,1,0,1,1,0
3.63,0,1,0,12,1,0,1,1,0
3.65,0,1,0,12,1,0,1,1,0
3.67,0,1,0,12,1,0,1,1,0
3.69,0,1,0,12,1,0,1,1,0
3.71,0,1,0,12,1,0,1,1,0
3.73,0,1,0,12,1,0,1,1,0
3.75,0,1,0,12,1,0,1,1,0
3.77,0,1,0,12,1,0,1,1,0
3.79,0,1,0,12,1,0,1,1,0
3.8,0,0,0,14,1,1,1,0,1
3.83,0,0,0,14,1,1,1,0,1
3.85,0,0,0,14,1,1,1,0,1
3.87,0,0,0,14,1,1,1,0,1
3.89,0,0,0,14,1,1,1,0,1
3.91,0,0,0,14,1,1,1,0,1
3.93,0,0,0,14,1,1,1,0,1
3.95,0,0,0,14,1,1,1,0,1
