"time","PistonPosition","ExtendPressure","RetractPressure","ExtendFlow","RetractFlow"
0,0.0000000000000000E+000,3.3789999999999999E+001,6.7560000000000002E+001,-1.4768621633595638E+000,-2.1915280586058432E+000
0.01,-1.0190629505719223E-005,3.3593430930152003E+001,6.7096406372552380E+001,-2.7394345753305271E-001,-1.4838993760624810E+000
0.02,4.9968000040367434E-004,3.3532449638068904E+001,6.6932957829575287E+001,-8.0812864542441520E-002,-1.7379968285909309E-001
0.03,9.3288791280220554E-004,3.3506932295372742E+001,6.6928310730498310E+001,-8.2012685337424784E-003,2.0532560108451281E-002
0.04,1.1902120616393442E-003,3.3495165567559802E+001,6.6939020967129821E+001,-9.7775172760754536E-003,2.4128519834129780E-002
0.05,1.3213861826764687E-003,3.3487158351585130E+001,6.6948327269260645E+001,-1.5013404256173368E-002,2.9338764571224196E-002
0.06,1.3562184732007192E-003,3.3481504376077972E+001,6.6957063423068703E+001,-1.9391147025166533E-002,3.3652282460829630E-002
0.07,1.3153978251055961E-003,3.3477837266738874E+001,6.6965197766513498E+001,-2.1733324125827402E-002,3.5899974841904103E-002
0.08,1.2177458198591733E-003,3.3475937676635212E+001,6.6972585738210000E+001,-2.2305399832225126E-002,3.6355179056695608E-002
0.09,1.0805725171790840E-003,3.3475550348708587E+001,6.6979150767499249E+001,-2.1505450555463268E-002,3.5423203195839581E-002
0.1,9.1914247170922698E-004,3.3476403167122776E+001,6.6984874806122889E+001,-1.9681741293607113E-002,3.3458646135985814E-002
0.11,7.4640893951092202E-004,3.3478228037611665E+001,6.6989781763740268E+001,-1.7147097622419838E-002,3.0779667330407934E-002
0.12,5.7294097342182944E-004,3.3480772178229131E+001,6.6993927056345527E+001,-1.4178877413792756E-002,2.7667935021473467E-002
0.13,4.0697160054836836E-004,3.3483805911977072E+001,6.6997388412688039E+001,-1.1013221801482009E-002,2.4362905525453837E-002
0.14,2.5453961511634124E-004,3.3487128026992288E+001,6.7000257385883955E+001,-7.8426523786363500E-003,2.1059489248242746E-002
0.15,1.1970071325480454E-004,3.3490568735731514E+001,6.7002632015064776E+001,-4.8167750403698140E-003,1.7908852064420056E-002
0.16,4.7834138692500425E-006,3.3493990525063900E+001,6.7004610816809148E+001,-2.0449372946104161E-003,1.5021187451824014E-002
0.17,-8.9332092660134426E-005,3.3497287316367910E+001,6.7006288100713206E+001,3.9983467298776443E-004,1.2469775962985263E-002
0.18,-1.6293026210022424E-004,3.3500382353341315E+001,6.7007750530033590E+001,2.4760937890619950E-003,1.0295849716533523E-002
0.19,-2.1718594421956612E-004,3.3503225200509092E+001,6.7009074808385833E+001,4.1688235281542863E-003,8.5138573031042775E-003
0.2,-2.5391019402498107E-004,3.3505788190884836E+001,6.7010326347907721E+001,5.4842135975360362E-003,7.1167943852353810E-003
0.21,-2.7532346693729358E-004,3.3508062611204579E+001,6.7011558760926803E+001,6.4446200408722065E-003,6.0813371718158038E-003
0.22,-2.8386060605103280E-004,3.3510054860815970E+001,6.7012814014224745E+001,7.0839028480976785E-003,5.3725842542359237E-003
0.23,-2.8200956423170314E-004,3.3511782768663693E+001,6.7014123090239067E+001,7.4432732959496262E-003,4.9482741418584997E-003
0.24,-2.7218380030034277E-004,3.3513272204156301E+001,6.7015507010857490E+001,7.5677299283775090E-003,4.7623999173731502E-003
0.25,-2.5662673664774414E-004,3.3514554073628283E+001,6.7016978094947589E+001,7.5031170434536332E-003,4.7681880457294268E-003
0.26,-2.3734553629465097E-004,3.3515661755647507E+001,6.7018541338770234E+001,7.2938030168833157E-003,4.9204453047346774E-003
0.27,-2.1607070852667221E-004,3.3516628996089032E+001,6.7020195827548505E+001,6.9809475591571246E-003,5.1773062885571708E-003
0.28,-1.9423763340466218E-004,3.3517488257835446E+001,6.7021936105568614E+001,6.6013065302179541E-003,5.5014345346648952E-003
0.29,-1.7298595224254224E-004,3.3518269499974942E+001,6.7023753450388526E+001,6.1865094388071640E-003,5.8607438464207684E-003
0.3,-1.5317284848898925E-004,3.3518999347026011E+001,6.7025637013385619E+001,5.7627372997792747E-003,6.2287137822122363E-003
0.31,-1.3539648835359701E-004,3.3519700599422386E+001,6.7027574803553080E+001,5.3507261053422628E-003,6.5843755836694218E-003
0.32,-1.2002625404952413E-004,3.3520392031547097E+001,6.7029554503919357E+001,4.9660227693981707E-003,6.9120430538504030E-003
0.33,-1.0723684121088811E-004,3.3521088422266239E+001,6.7031564120131748E+001,4.6194250520591451E-003,7.2008580629566721E-003
0.34,-9.7043768624020875E-005,3.3521800764434971E+001,6.7033592468653410E+001,4.3175437650454507E-003,7.4442133670640231E-003
0.35,-8.9338332236884316E-005,3.3522536603520535E+001,6.7035629517814613E+001,4.0634337003505605E-003,7.6391070835629682E-003
0.36,-8.3920502340404093E-005,3.3523300460653850E+001,6.7037666598835060E+001,3.8572485331741513E-003,7.7854741661668170E-003
0.37,-8.0528694919340197E-005,3.3524094301511091E+001,6.7039696506146200E+001,3.6968838657798209E-003,7.8855311292528318E-003
0.38,-7.8865733146713394E-005,3.3524918018945769E+001,6.7041713507159272E+001,3.5785811628803454E-003,7.9431615298102276E-003
0.39,-7.8620645504553715E-005,3.3525769903842622E+001,6.7043713281321502E+001,3.4974732562328414E-003,7.9633616534424689E-003
0.4,-7.9486219883031248E-005,3.3526647084934488E+001,6.7045692807144206E+001,3.4480591448347031E-003,7.9517586915868188E-003
0.4095,-8.1072841512143550E-005,3.3527501767242704E+001,6.7047555459290791E+001,3.2275842685592915E-003,7.5165064431524931E-003
0.4195,-8.3294435858064381E-005,3.3528417421774925E+001,6.7049491017950118E+001,3.2235286783335315E-003,7.4596074332039519E-003
0.4295,-8.5854059429564631E-005,3.3529346679515974E+001,6.7051403475599983E+001,3.2347060232998937E-003,7.3876823614593690E-003
0.4395,-8.8556096614758834E-005,3.3530285418331111E+001,6.7053293354633141E+001,3.2562648561266228E-003,7.3056583651913698E-003
0.4495,-9.1242154403962616E-005,3.3531229770048007E+001,6.7055161652447481E+001,3.2839632275296626E-003,7.2178376153473334E-003
0.4595,-9.3790086134577520E-005,3.3532176244672726E+001,6.7057009691078804E+001,3.3142293330185035E-003,7.1278372574400395E-003
0.4695,-9.6111548343569094E-005,3.3533121809171305E+001,6.7058838985424131E+001,3.3441774018316828E-003,7.0385746726536746E-003
0.4795,-9.8148533121616551E-005,3.3534063927335879E+001,6.7060651132017696E+001,3.3715881203927323E-003,6.9522885866961648E-003
0.4895,-9.9869266854976608E-005,3.3535000567603923E+001,6.7062447718925696E+001,3.3948624492613488E-003,6.8705870100159716E-003
0.4995,-1.0126380809980496E-004,3.3535930185649335E+001,6.7064230256217527E+001,3.4129569444364405E-003,6.7945137659879418E-003
0.5095,-1.0233961674950597E-004,3.3536851688209403E+001,6.7066000125634943E+001,3.4253077361825479E-003,6.7246263469205037E-003
0.5195,-1.0311730699021151E-004,3.3537764384035540E+001,6.7067758547497220E+001,3.4317492429002394E-003,6.6610789381288393E-003
0.5295,-1.0362674036935670E-004,3.3538667927134689E+001,6.7069506562518868E+001,3.4324325802806976E-003,6.6037055905547870E-003
0.5395,-1.0390356444686595E-004,3.3539562256669022E+001,6.7071245026042533E+001,3.4277475285277026E-003,6.5520996405743492E-003
0.5495,-1.0398625813621614E-004,3.3540447537057894E+001,6.7072974612173226E+001,3.4182508891971164E-003,6.5056865245338713E-003
0.5595,-1.0391370758607176E-004,3.3541324101022191E+001,6.7074695825402117E+001,3.4046031314720615E-003,6.4637880821021287E-003
0.5695,-1.0372330643095496E-004,3.3542192397560662E+001,6.7076409017500907E+001,3.3875144163717508E-003,6.4256772654768257E-003
0.5795,-1.0344955123771484E-004,3.3543052946172168E+001,6.7078114407719809E+001,3.3677004073149330E-003,6.3906228604477811E-003
0.5895,-1.0312308648221184E-004,3.3543906298052889E+001,6.7079812104609132E+001,3.3458477288017541E-003,6.3579243780895744E-003
0.5995,-1.0277014272056034E-004,3.3544753004509957E+001,6.7081502128086115E+001,3.3225885172355474E-003,6.3269376974537384E-003
0.6095,-1.0241230595768881E-004,3.3545593592442998E+001,6.7083184430665455E+001,3.2984832096990546E-003,6.2970923396850065E-003
0.6195,-1.0206655470993201E-004,3.3546428546449818E+001,6.7084858917053865E+001,3.2740105247829332E-003,6.2679014457910354E-003
0.6295,-1.0174550304018356E-004,3.3547258296903813E+001,6.7086525461563937E+001,3.2495634895365333E-003,6.2389656294443707E-003
0.6395,-1.0145779209886309E-004,3.3548083213219208E+001,6.7088183923026278E+001,3.2254503422231018E-003,6.2099718983559260E-003
0.6495,-1.0120857867804796E-004,3.3548903601454562E+001,6.7089834157067372E+001,3.2018991761068039E-003,6.1806887997113424E-003
0.6595,-1.0100007631383354E-004,3.3549719705393777E+001,6.7091476025772110E+001,3.1790652698627797E-003,6.1509588617429944E-003
0.6695,-1.0083211199400066E-004,3.3550531710275003E+001,6.7093109404868443E+001,3.1570401615531596E-003,6.1206892889668074E-003
0.6795,-1.0070266908433702E-004,3.3551339748400395E+001,6.7094734188655224E+001,3.1358616533844197E-003,6.0898417352455159E-003
0.6895,-1.0060839431097094E-004,3.3552143905944632E+001,6.7096350292949595E+001,3.1155240733639067E-003,6.0584218369913456E-003
0.6995,-1.0054505327731277E-004,3.3552944230376461E+001,6.7097957656361302E+001,3.0959882590426702E-003,6.0264690470519522E-003
0.7095,-1.0050792486606690E-004,3.3553740738011413E+001,6.7099556240209594E+001,3.0771908612885479E-003,5.9940471746684487E-003
0.7195,-1.0049212988034823E-004,3.3554533421314297E+001,6.7101146027390556E+001,3.0590526878564450E-003,5.9612359132414916E-003
0.7295,-1.0049289337954623E-004,3.3555322255668642E+001,6.7102727020483258E+001,3.0414859138755412E-003,5.9281235285013612E-003
0.7395,-1.0050574337016074E-004,3.3556107205417320E+001,6.7104299239353324E+001,3.0244000779038327E-003,5.8948007870680552E-003
0.7495,-1.0052665087555948E-004,3.3556888229057115E+001,6.7105862718478051E+001,3.0077068568499232E-003,5.8613561297383709E-003
0.7595,-1.0055211800873440E-004,3.3557665283535066E+001,6.7107417504179935E+001,2.9913236714150804E-003,5.8278720350122271E-003
0.7695,-1.0057922160669903E-004,3.3558438327648268E+001,6.7108963651917946E+001,2.9751762164572648E-003,5.7944224751972362E-003
0.7795,-1.0060562035632483E-004,3.3559207324590005E+001,6.7110501223749594E+001,2.9592000395570750E-003,5.7610713385166656E-003
