"time","V","X"
0,0.0000000000000000E+000,2.0000000000000000E+000
0.001,0.0000000000000000E+000,2.0000000000000000E+000
0.002,-2.0000000000000000E-003,2.0000000000000000E+000
0.003,-3.9880000000000002E-003,1.9999979999999999E+000
0.004,-5.9640700638079677E-003,1.9999940119999999E+000
0.005,-7.9282799411275039E-003,1.9999880479299361E+000
0.006,-9.8806990674832687E-003,1.9999801196499949E+000
0.007,-1.1821396564174601E-002,1.9999702389509275E+000
0.008,-1.3750441238256845E-002,1.9999584175543634E+000
0.009,-1.5667901582549919E-002,1.9999446671131251E+000
0.01,-1.7573845775673613E-002,1.9999289992115425E+000
0.011,-1.9468341682109182E-002,1.9999114253657668E+000
0.012,-2.1351456852286767E-002,1.9998919570240847E+000
0.013,-2.3223258522698156E-002,1.9998706055672324E+000
0.014,-2.5083813616034459E-002,1.9998473823087097E+000
0.015,-2.6933188741348233E-002,1.9998222984950937E+000
0.016,-2.8771450194239625E-002,1.9997953653063525E+000
0.017,-3.0598663957066081E-002,1.9997665938561582E+000
0.018,-3.2414895699175196E-002,1.9997359951922011E+000
0.019,-3.4220210777160275E-002,1.9997035802965020E+000
0.02,-3.6014674235138183E-002,1.9996693600857247E+000
0.021,-3.7798350805049050E-002,1.9996333454114896E+000
0.022,-3.9571304906977446E-002,1.9995955470606845E+000
0.023,-4.1333600649494602E-002,1.9995559757557775E+000
0.024,-4.3085301830021266E-002,1.9995146421551280E+000
0.025,-4.4826471935210804E-002,1.9994715568532979E+000
0.026,-4.6557174141352138E-002,1.9994267303813626E+000
0.027,-4.8277471314792188E-002,1.9993801732072214E+000
0.028,-4.9987426012377344E-002,1.9993318957359065E+000
0.029,-5.1687100481913641E-002,1.9992819083098941E+000
0.03,-5.3376556662645291E-002,1.9992302212094122E+000
0.031,-5.5055856185751144E-002,1.9991768446527496E+000
0.032,-5.6725060374858707E-002,1.9991217887965638E+000
0.033,-5.8384230246575450E-002,1.9990650637361889E+000
0.034,-6.0033426511036936E-002,1.9990066795059422E+000
0.035,-6.1672709572471479E-002,1.9989466460794312E+000
0.036,-6.3302139529780976E-002,1.9988849733698586E+000
0.037,-6.4921776177137597E-002,1.9988216712303288E+000
0.038,-6.6531679004595876E-002,1.9987567494541516E+000
0.039,-6.8131907198720060E-002,1.9986902177751471E+000
0.04,-6.9722519643226247E-002,1.9986220858679484E+000
0.041,-7.1303574919638998E-002,1.9985523633483051E+000
0.042,-7.2875131307962138E-002,1.9984810597733855E+000
0.043,-7.4437246787363451E-002,1.9984081846420776E+000
0.044,-7.5989979036872921E-002,1.9983337473952902E+000
0.045,-7.7533385436094185E-002,1.9982577574162534E+000
0.046,-7.9067523065928916E-002,1.9981802240308173E+000
0.047,-8.0592448709313924E-002,1.9981011565077513E+000
0.048,-8.2108218851970505E-002,1.9980205640590420E+000
0.049,-8.3614889683165911E-002,1.9979384558401900E+000
0.05,-8.5112517096486512E-002,1.9978548409505068E+000
0.051,-8.6601156690622502E-002,1.9977697284334104E+000
0.052,-8.8080863770163803E-002,1.9976831272767197E+000
0.053,-8.9551693346406835E-002,1.9975950464129495E+000
0.054,-9.1013700138171977E-002,1.9975054947196031E+000
0.055,-9.2466938572631413E-002,1.9974144810194649E+000
0.056,-9.3911462786147079E-002,1.9973220140808923E+000
0.057,-9.5347326625118453E-002,1.9972281026181060E+000
0.058,-9.6774583646840009E-002,1.9971327552914808E+000
0.059,-9.8193287120367942E-002,1.9970359807078339E+000
0.06,-9.9603490027396019E-002,1.9969377874207135E+000
0.061,-1.0100524506314026E-001,1.9968381839306861E+000
0.062,-1.0239860463723231E-001,1.9967371786856229E+000
0.063,-1.0378362087462104E-001,1.9966347800809858E+000
0.064,-1.0516034561648237E-001,1.9965309964601112E+000
0.065,-1.0652883042113702E-001,1.9964258361144946E+000
0.066,-1.0788912656497583E-001,1.9963193072840735E+000
0.067,-1.0924128504339262E-001,1.9962114181575086E+000
0.068,-1.1058535657172418E-001,1.9961021768724652E+000
0.069,-1.1192139158619739E-001,1.9959915915158934E+000
0.07,-1.1324944024488301E-001,1.9958796701243073E+000
0.071,-1.1456955242865610E-001,1.9957664206840624E+000
0.072,-1.1588177774216282E-001,1.9956518511316337E+000
0.073,-1.1718616551479336E-001,1.9955359693538914E+000
0.074,-1.1848276480166081E-001,1.9954187831883767E+000
0.075,-1.1977162438458590E-001,1.9953003004235750E+000
0.076,-1.2105279277308714E-001,1.9951805287991904E+000
0.077,-1.2232631820537648E-001,1.9950594760064173E+000
0.078,-1.2359224864936004E-001,1.9949371496882120E+000
0.079,-1.2485063180364389E-001,1.9948135574395627E+000
0.08,-1.2610151509854461E-001,1.9946887068077590E+000
0.081,-1.2734494569710453E-001,1.9945626052926604E+000
0.082,-1.2858097049611131E-001,1.9944352603469633E+000
0.083,-1.2980963612712190E-001,1.9943066793764672E+000
0.084,-1.3103098895749055E-001,1.9941768697403401E+000
0.085,-1.3224507509140071E-001,1.9940458387513826E+000
0.086,-1.3345194037090075E-001,1.9939135936762913E+000
0.087,-1.3465163037694328E-001,1.9937801417359204E+000
0.088,-1.3584419043042786E-001,1.9936454901055436E+000
0.089,-1.3702966559324700E-001,1.9935096459151131E+000
0.09,-1.3820810066933525E-001,1.9933726162495200E+000
0.091,-1.3937954020572133E-001,1.9932344081488507E+000
0.092,-1.4054402849358294E-001,1.9930950286086448E+000
0.093,-1.4170160956930444E-001,1.9929544845801512E+000
0.094,-1.4285232721553678E-001,1.9928127829705820E+000
0.095,-1.4399622496226003E-001,1.9926699306433664E+000
0.096,-1.4513334608784800E-001,1.9925259344184041E+000
0.097,-1.4626373362013501E-001,1.9923808010723163E+000
0.098,-1.4738743033748458E-001,1.9922345373386963E+000
0.099,-1.4850447876986000E-001,1.9920871499083588E+000
0.1,-1.4961492119989650E-001,1.9919386454295889E+000
0.101,-1.5071879966397503E-001,1.9917890305083890E+000
