"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000,-1.2000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.02,1.0379977137079346E+000,3.0379977137079348E+000,0.0000000000000000E+000,3.2298056651744456E-002,0,0.0000000000000000E+000,-1.2000000000000000E+001,7.5995427415869302E-002,1.0000000000000001E-001,2.3861928556068293E-001
0.04,1.0779802285036824E+000,3.0779802285036824E+000,0.0000000000000000E+000,6.6283194228129907E-002,0,0.0000000000000000E+000,-1.2000000000000000E+001,1.5596045700736449E-001,1.0000000000000001E-001,4.8886319975955805E-001
0.06,1.1179315522477509E+000,3.1179315522477511E+000,0.0000000000000000E+000,1.0024181941058827E-001,0,0.0000000000000000E+000,-1.2000000000000000E+001,2.3586310449550180E-001,1.0000000000000001E-001,7.3717779424933383E-001
0.08,1.1578357049433201E+000,3.1578357049433201E+000,0.0000000000000000E+000,1.3416034920182213E-001,0,5.0000000000000000E-001,-1.2000000000000000E+001,3.1567140988664033E-001,1.0000000000000001E-001,9.8258308476970602E-001
0.1,1.1976767254613601E+000,3.1976767254613603E+000,0.0000000000000000E+000,1.6802521664215608E-001,0,5.0000000000000000E-001,-1.2000000000000000E+001,3.9535345092272023E-001,1.0000000000000001E-001,1.2241105687540037E+000
0.12,1.2374386779248701E+000,3.2374386779248701E+000,0.0000000000000000E+000,2.0182287623613954E-001,0,5.0000000000000000E-001,-1.2000000000000000E+001,4.7487735584974011E-001,1.0000000000000001E-001,1.4608070475663522E+000
0.14,1.2771056580830169E+000,3.2771056580830167E+000,0.0000000000000000E+000,2.3553980937056432E-001,0,5.0000000000000000E-001,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.6917383883412140E+000
0.16,1.3166617996726233E+000,3.3166617996726231E+000,0.0000000000000000E+000,2.6916252972172983E-001,0,5.0000000000000000E-001,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.9159932105790451E+000
0.18,1.3560912807644616E+000,3.3560912807644616E+000,0.0000000000000000E+000,3.0267758864979244E-001,0,5.0000000000000000E-001,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.1326864829487557E+000
0.2,1.3953783300918148E+000,3.3953783300918148E+000,0.0000000000000000E+000,3.3607158057804259E-001,0,1.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.3409630161020418E+000
0.22,1.4345072333587721E+000,3.4345072333587718E+000,0.0000000000000000E+000,3.6933114835495617E-001,0,1.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.5400008377150440E+000
0.24,1.4734623395257382E+000,3.4734623395257382E+000,0.0000000000000000E+000,4.0244298859687744E-001,0,1.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.7290144364375872E+000
0.26,1.5122280670696409E+000,3.5122280670696409E+000,1.2228067069640969E-002,4.3539385700919481E-001,0,1.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.9072578619476128E+000
0.28,1.5507889102163326E+000,3.5507889102163324E+000,5.0788910216332583E-002,4.6817057368388271E-001,0,1.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.3,1.5891294451426918E+000,3.5891294451426918E+000,8.9129445142691832E-002,5.0076002837128808E-001,0,1.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.32,1.6272343361459485E+000,3.6272343361459485E+000,1.2723433614594848E-001,5.3314918572405623E-001,0,1.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.34,1.6650883417777598E+000,3.6650883417777598E+000,1.6508834177775977E-001,5.6532509051109581E-001,0,1.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.36,1.7026763209405864E+000,3.7026763209405864E+000,2.0267632094058630E-001,5.9727487279949831E-001,0,1.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
