"time","Out1"
0,0.0000000000000000E+000
0.02,1.8998856853967325E-002
0.04,3.8990114251841124E-002
0.06,5.8965776123875449E-002
0.08,7.8917852471660083E-002
0.1,9.8838362730680057E-002
0.12,1.1871933896243503E-001
0.14,1.3855282904150842E-001
0.16,1.5833089983631166E-001
0.18,1.7804564038223086E-001
0.2,1.9768916504590742E-001
0.22,2.1725361667938600E-001
0.24,2.3673116976286909E-001
0.26,2.5611403353482048E-001
0.28,2.7539445510816629E-001
0.3,2.9456472257134592E-001
0.32,3.1361716807297424E-001
0.34,3.3254417088887989E-001
0.36,3.5133816047029315E-001
0.38,3.6999161947196463E-001
0.4,3.8849708675900313E-001
0.42,4.0684716039123009E-001
0.44,4.2503450058385711E-001
0.46,4.4305183264330167E-001
0.48,4.6089194987696785E-001
0.5,4.7854771647582739E-001
0.52,4.9601207036864770E-001
0.54,5.1327802604672668E-001
0.56,5.3033867735800266E-001
0.58,5.4718720026942358E-001
0.6,5.6381685559646877E-001
0.62,5.8022099169873320E-001
0.64,5.9639304714049490E-001
0.66,6.1232655331520169E-001
0.68,6.2801513703282763E-001
0.7,6.4345252306906386E-001
0.72,6.5863253667532506E-001
0.74,6.7354910604856622E-001
0.76,6.8819626475992302E-001
0.78,7.0256815414120355E-001
0.8,7.1665902562827821E-001
0.82,7.3046324306042787E-001
0.84,7.4397528493473331E-001
0.86,7.5718974661460303E-001
0.88,7.7010134249155571E-001
0.9,7.8270490809939264E-001
0.92,7.9499540217991616E-001
0.94,8.0696790869936508E-001
0.96,8.1861763881476290E-001
0.98,8.2993993278939115E-001
1,8.4093026185662179E-001
1.021,8.5210802194936208E-001
1.041,8.6240422724333654E-001
1.061,8.7235548234498339E-001
1.081,8.8195780688494363E-001
1.101,8.9120736006143064E-001
1.121,9.0010044217649954E-001
1.141,9.0863349611587707E-001
1.161,9.1680310877176019E-001
1.181,9.2460601240801299E-001
1.201,9.3203908596721863E-001
1.221,9.3909935631905950E-001
1.241,9.4578399944953062E-001
1.261,9.5209034159050721E-001
1.281,9.5801586028921626E-001
1.301,9.6355818541718430E-001
1.321,9.6871510011825668E-001
1.341,9.7348454169531096E-001
1.361,9.7786460243530804E-001
1.381,9.8185353037235190E-001
1.401,9.8544972998845282E-001
1.421,9.8865176285171297E-001
1.441,9.9145834819168022E-001
1.461,9.9386836341163931E-001
1.481,9.9588084453763537E-001
1.501,9.9749498660405056E-001
1.521,9.9871014397558011E-001
1.541,9.9952583060547728E-001
1.561,9.9994172022996564E-001
1.581,9.9995764649874064E-001
1.601,9.9957360304150711E-001
1.621,9.9878974347052729E-001
1.641,9.9760638131917845E-001
1.661,9.9602398991654317E-001
1.681,9.9404320219808406E-001
1.701,9.9166481045247845E-001
1.721,9.8888976600471312E-001
1.741,9.8571917883556714E-001
1.761,9.8215431713763413E-001
1.781,9.7819660680806242E-001
1.801,9.7384763087821502E-001
1.821,9.6910912888047851E-001
1.841,9.6398299615247263E-001
1.861,9.5847128307894103E-001
1.881,9.5257619427162465E-001
1.901,9.4630008768744633E-001
1.921,9.3964547368535933E-001
1.941,9.3261501402223757E-001
1.961,9.2521152078820812E-001
1.981,9.1743795528185257E-001
2.001,9.0929742682572723E-001
2.021,9.0079319152267567E-001
2.041,8.9192865095343099E-001
2.061,8.8270735081602847E-001
2.081,8.7313297950757407E-001
2.101,8.6320936664893444E-001
2.121,8.5294048155294022E-001
2.141,8.4233043163671295E-001
2.161,8.3138346077875369E-001
2.181,8.2010394762144811E-001
2.201,8.0849640381966748E-001
2.221,7.9656547223616736E-001
2.241,7.8431592508450421E-001
2.261,7.7175266202021353E-001
2.281,7.5888070818101316E-001
2.301,7.4570521217681496E-001
2.321,7.3223144403034979E-001
2.341,7.1846479306922817E-001
2.361,7.0441076577028183E-001
2.381,6.9007498355704566E-001
2.401,6.7546318055126398E-001
2.421,6.6058120127931741E-001
2.441,6.4543499833449114E-001
2.461,6.3003062999601633E-001
2.481,6.1437425780583965E-001
2.501,5.9847214410408811E-001
2.521,5.8233064952421731E-001
2.541,5.6595623044884191E-001
2.561,5.4935543642726947E-001
2.581,5.3253490755576771E-001
2.601,5.1550137182161448E-001
2.621,4.9826164241199256E-001
2.641,4.8082261498880591E-001
2.661,4.6319126493050655E-001
2.681,4.4537464454203612E-001
2.701,4.2737988023399842E-001
2.721,4.0921416967218954E-001
2.741,3.9088477889862799E-001
2.761,3.7239903942523461E-001
2.781,3.5376434530132544E-001
2.801,3.3498815015609085E-001
2.821,3.1607796421724299E-001
2.841,2.9704135130702491E-001
2.861,2.7788592581678262E-001
2.881,2.5861934966130984E-001
2.901,2.3924932921418465E-001
2.921,2.1978361222532231E-001
2.941,2.0022998472197892E-001
2.961,1.8059626789444433E-001
2.981,1.6089031496767009E-001
3.001,1.4112000806008440E-001
3.021,1.2129325503084971E-001
3.041,1.0141798631682453E-001
3.061,8.1502151760494412E-002
3.081,6.1553717430140972E-002
3.101,4.1580662433520772E-002
3.121,2.1590975726328607E-002
3.141,1.5926529167217510E-003
3.161,-1.8406306932816707E-002
3.181,-3.8397904504996187E-002
3.201,-5.8374143427338911E-002
3.221,-7.8327033470622240E-002
3.241,-9.8248593744863846E-002
3.261,-1.1813085589157131E-001
3.281,-1.3796586727097923E-001
3.301,-1.5774569414299913E-001
3.321,-1.7746242484060973E-001
3.341,-1.9710817293441821E-001
3.361,-2.1667508038712688E-001
3.381,-2.3615532069664324E-001
3.401,-2.5554110202657665E-001
3.421,-2.7482467032286867E-001
3.441,-2.9399831241531166E-001
3.461,-3.1305435910271379E-001
3.481,-3.3198518822047729E-001
3.501,-3.5078322768936282E-001
3.521,-3.6944095854421999E-001
3.541,-3.8795091794147329E-001
3.561,-4.0630570214415990E-001
3.581,-4.2449796948332608E-001
3.601,-4.4252044329459639E-001
3.621,-4.6036591482874284E-001
3.641,-4.7802724613508818E-001
3.661,-4.9549737291659113E-001
3.681,-5.1276930735547099E-001
3.701,-5.2983614090824183E-001
3.721,-5.4669104706903693E-001
3.741,-5.6332728410012134E-001
3.761,-5.7973819772849600E-001
3.781,-5.9591722380751888E-001
3.801,-6.1185789094247589E-001
3.821,-6.2755382307905239E-001
3.841,-6.4299874205367002E-001
3.861,-6.5818647010466858E-001
3.881,-6.7311093234332786E-001
3.901,-6.8776615918374262E-001
3.921,-7.0214628873057716E-001
3.941,-7.1624556912374526E-001
3.961,-7.3005836083907738E-001
3.981,-7.4357913894405570E-001
4.001,-7.5680249530771282E-001
4.021,-7.6972314076381798E-001
4.041,-7.8233590722645585E-001
4.061,-7.9463574975720919E-001
4.081,-8.0661774858306146E-001
4.101,-8.1827711106424028E-001
4.121,-8.2960917361120923E-001
4.141,-8.4060940355004155E-001
4.161,-8.5127340093542958E-001
4.181,-8.6159690031060387E-001
4.201,-8.7157577241345929E-001
4.221,-8.8120602582820440E-001
4.241,-8.9048380858187492E-001
4.261,-8.9940540968507166E-001
4.281,-9.0796726061630639E-001
4.301,-9.1616593674936309E-001
4.321,-9.2399815872310276E-001
4.341,-9.3146079375316404E-001
4.361,-9.3855085688503548E-001
4.381,-9.4526551218799726E-001
4.401,-9.5160207388945572E-001
4.421,-9.5755800744921660E-001
4.441,-9.6313093057326749E-001
4.461,-9.6831861416666321E-001
4.481,-9.7311898322513479E-001
4.501,-9.7753011766506281E-001
4.521,-9.8155025309148569E-001
4.541,-9.8517778150383384E-001
4.561,-9.8841125193910884E-001
4.581,-9.9124937105224897E-001
4.601,-9.9369100363344998E-001
4.621,-9.9573517306223402E-001
4.641,-9.9738106169808494E-001
4.661,-9.9862801120749312E-001
4.681,-9.9947552282728069E-001
4.701,-9.9992325756409972E-001
4.721,-9.9997103633002515E-001
4.741,-9.9961884001418766E-001
4.761,-9.9886680949041773E-001
4.781,-9.9771524556089797E-001
4.801,-9.9616460883584612E-001
4.821,-9.9421551954927734E-001
4.841,-9.9186875731091884E-001
4.861,-9.8912526079437602E-001
4.881,-9.8598612736167623E-001
4.901,-9.8245261262433792E-001
4.921,-9.7852612994114307E-001
4.941,-9.7420824985281262E-001
4.961,-9.6950069945381101E-001
4.981,-9.6440536170153124E-001
5,-9.5920745733922608E-001
5.02,-9.5336193678199521E-001
5.04,-9.4713508416137437E-001
5.06,-9.4052939013538805E-001
5.08,-9.3354749689357197E-001
5.1,-9.2619219710013223E-001
5.12,-9.1846643277691686E-001
5.14,-9.1037329412664625E-001
5.16,-9.0191601829687351E-001
5.18,-8.9309798808516838E-001
5.2,-8.8392273058604331E-001
5.22,-8.7439391578016290E-001
5.24,-8.6451535506640020E-001
5.26,-8.5429099973732847E-001
5.28,-8.4372493939875637E-001
5.3,-8.3282140033394048E-001
5.32,-8.2158474381312796E-001
5.34,-8.1001946434910721E-001
5.36,-7.9813018789946211E-001
5.38,-7.8592167001625102E-001
5.4,-7.7339879394384903E-001
5.42,-7.6056656866571570E-001
5.44,-7.4743012690086830E-001
5.46,-7.3399472305086244E-001
5.48,-7.2026573109810199E-001
5.5,-7.0624864245631702E-001
5.52,-6.9194906377407239E-001
5.54,-6.7737271469218241E-001
5.56,-6.6252542555593119E-001
5.58,-6.4741313508301201E-001
5.6,-6.3204188798811956E-001
5.62,-6.1641783256514437E-001
5.64,-6.0054721822793777E-001
5.66,-5.8443639301062944E-001
5.68,-5.6809180102849799E-001
5.7,-5.5151997990041135E-001
5.72,-5.3472755813386608E-001
5.74,-5.1772125247367284E-001
5.76,-5.0050786521534796E-001
5.78,-4.8309428148428607E-001
5.8,-4.6548746648180150E-001
5.82,-4.4769446269914093E-001
5.84,-4.2972238710058047E-001
5.86,-4.1157842827673508E-001
5.88,-3.9326984356921812E-001
5.9,-3.7480395616780138E-001
5.92,-3.5618815218123684E-001
5.94,-3.3742987768291177E-001
5.96,-3.1853663573251850E-001
5.98,-2.9951598337493063E-001
6,-2.8037552861748588E-001
6.02,-2.6112292738688464E-001
6.04,-2.4176588046692118E-001
6.06,-2.2231213041827300E-001
6.08,-2.0276945848157965E-001
6.1,-1.8314568146505034E-001
