"time","Out1"
0,0.0000000000000000E+000
0.02,1.8999500000000020E-004
0.04,7.7990000000000112E-004
0.06,1.7694810000000027E-003
0.08,3.1583380000000045E-003
0.1,4.9459190000000078E-003
0.12,7.1315070000000109E-003
0.14,9.7142310000000089E-003
0.16,1.2693054000000013E-002
0.18,1.6066788000000019E-002
0.2,1.9834084000000019E-002
0.22,2.3993431000000034E-002
0.24,2.8543167000000046E-002
0.26,3.3481475000000045E-002
0.28,3.8806376000000024E-002
0.3,4.4515744000000038E-002
0.32,5.0607289000000048E-002
0.34,5.7078580000000066E-002
0.36,6.3927028000000094E-002
0.38,7.1149892000000103E-002
0.4,7.8744281000000138E-002
0.42,8.6707162000000157E-002
0.44,9.5035350000000185E-002
0.46,1.0372551100000020E-001
0.48,1.1277416900000022E-001
0.5,1.2217770500000018E-001
0.52,1.3193235900000017E-001
0.54,1.4203422900000021E-001
0.56,1.5247927100000019E-001
0.58,1.6326331300000027E-001
0.6,1.7438203900000032E-001
0.62,1.8583100000000030E-001
0.64,1.9760561700000034E-001
0.66,2.0970117900000035E-001
0.68,2.2211285300000039E-001
0.7,2.3483567000000038E-001
0.72,2.4786454400000035E-001
0.74,2.6119426200000034E-001
0.76,2.7481949300000047E-001
0.78,2.8873478500000027E-001
0.8,3.0293457500000037E-001
0.82,3.1741317900000032E-001
0.84,3.3216481100000034E-001
0.86,3.4718356700000041E-001
0.88,3.6246344200000052E-001
0.9,3.7799832300000058E-001
0.92,3.9378199600000058E-001
0.94,4.0980814900000057E-001
0.96,4.2607037100000056E-001
0.98,4.4256215800000054E-001
1,4.5927691100000045E-001
1.021,4.7706005499999854E-001
1.041,4.9421089599999657E-001
1.061,5.1156404499999453E-001
1.081,5.2911256199999246E-001
1.101,5.4684942699999017E-001
1.121,5.6476754899998782E-001
1.141,5.8285975499998566E-001
1.161,6.0111881299998327E-001
1.181,6.1953741799998097E-001
1.201,6.3810820299997884E-001
1.221,6.5682373899997648E-001
1.241,6.7567654099997443E-001
1.261,6.9465906699997204E-001
1.281,7.1376372799996990E-001
1.301,7.3298287599996759E-001
1.321,7.5230882899996532E-001
1.341,7.7173385599996258E-001
1.361,7.9125018599996044E-001
1.381,8.1085001199995810E-001
1.401,8.3052549699995570E-001
1.421,8.5026876999995371E-001
1.441,8.7007193299995123E-001
1.461,8.8992706299994906E-001
1.481,9.0982622399994684E-001
1.501,9.2976145299994462E-001
1.521,9.4972477499994246E-001
1.541,9.6970820799994029E-001
1.561,9.8970375599993810E-001
1.581,1.0097034219999359E+000
1.601,1.0296992079999339E+000
1.621,1.0496831139999316E+000
1.641,1.0696471469999298E+000
1.661,1.0895833229999277E+000
1.681,1.1094836659999250E+000
1.701,1.1293402179999228E+000
1.721,1.1491450349999210E+000
1.741,1.1688901959999192E+000
1.761,1.1885678019999169E+000
1.781,1.2081699849999148E+000
1.801,1.2276889009999132E+000
1.821,1.2471167439999111E+000
1.841,1.2664457449999094E+000
1.861,1.2856681699999080E+000
1.881,1.3047763329999069E+000
1.901,1.3237625899999050E+000
1.921,1.3426193449999038E+000
1.941,1.3613390549999027E+000
1.961,1.3799142369999016E+000
1.981,1.3983374589999003E+000
2.001,1.4166013489998996E+000
2.021,1.4346986039998988E+000
2.041,1.4526219849998985E+000
2.061,1.4703643249998974E+000
2.081,1.4879185249998970E+000
2.101,1.5052775629998969E+000
2.121,1.5224344979998961E+000
2.141,1.5393824679998958E+000
2.161,1.5561146919998954E+000
2.181,1.5726244749998950E+000
2.201,1.5889052169998947E+000
2.221,1.6049504029998944E+000
2.241,1.6207536179998945E+000
2.261,1.6363085389998948E+000
2.281,1.6516089449998950E+000
2.301,1.6666487179998952E+000
2.321,1.6814218389998952E+000
2.341,1.6959223989998955E+000
2.361,1.7101446009998962E+000
2.381,1.7240827539998969E+000
2.401,1.7377312829998981E+000
2.421,1.7510847289998988E+000
2.441,1.7641377519998998E+000
2.461,1.7768851349999006E+000
2.481,1.7893217689999019E+000
2.501,1.8014426839999034E+000
2.521,1.8132430369999049E+000
2.541,1.8247180989999059E+000
2.561,1.8358632839999076E+000
2.581,1.8466741379999094E+000
2.601,1.8571463309999112E+000
2.621,1.8672756819999132E+000
2.641,1.8770581319999156E+000
2.661,1.8864897709999180E+000
2.681,1.8955668239999204E+000
2.701,1.9042856639999226E+000
2.721,1.9126427999999249E+000
2.741,1.9206348899999270E+000
2.761,1.9282587389999299E+000
2.781,1.9355112979999329E+000
2.801,1.9423896599999360E+000
2.821,1.9488910849999392E+000
2.841,1.9550129629999424E+000
2.861,1.9607528499999451E+000
2.881,1.9661084469999484E+000
2.901,1.9710776119999522E+000
2.921,1.9756583619999550E+000
2.941,1.9798488579999591E+000
2.961,1.9836474309999630E+000
2.981,1.9870525579999674E+000
3.001,1.9900628749999716E+000
3.021,1.9926771829999759E+000
3.041,1.9948944319999802E+000
3.061,1.9967137369999843E+000
3.081,1.9981343699999889E+000
3.101,1.9991557629999932E+000
3.121,1.9997775049999982E+000
3.141,1.9999993520000028E+000
3.161,1.9998212140000078E+000
3.181,1.9992431560000123E+000
3.201,1.9982654140000173E+000
3.221,1.9968883790000227E+000
3.241,1.9951126030000277E+000
3.261,1.9929387950000323E+000
3.281,1.9903678250000374E+000
3.301,1.9874007210000424E+000
3.321,1.9840386710000477E+000
3.341,1.9802830170000532E+000
3.361,1.9761352640000587E+000
3.381,1.9715970700000640E+000
3.401,1.9666702500000692E+000
3.421,1.9613567740000752E+000
3.441,1.9556587670000805E+000
3.461,1.9495785100000860E+000
3.481,1.9431184350000921E+000
3.501,1.9362811250000980E+000
3.521,1.9290693130001042E+000
3.541,1.9214858860001101E+000
3.561,1.9135338770001158E+000
3.581,1.9052164670001217E+000
3.601,1.8965369840001278E+000
3.621,1.8874988960001338E+000
3.641,1.8781058210001402E+000
3.661,1.8683615150001465E+000
3.681,1.8582698770001524E+000
3.701,1.8478349420001585E+000
3.721,1.8370608860001649E+000
3.741,1.8259520150001716E+000
3.761,1.8145127770001774E+000
3.781,1.8027477410001840E+000
3.801,1.7906616180001904E+000
3.821,1.7782592400001969E+000
3.841,1.7655455700002030E+000
3.861,1.7525256940002087E+000
3.881,1.7392048140002150E+000
3.901,1.7255882620002212E+000
3.921,1.7116814840002279E+000
3.941,1.6974900450002341E+000
3.961,1.6830196190002409E+000
3.981,1.6682759940002470E+000
4.001,1.6532650690002526E+000
4.021,1.6379928440002514E+000
4.041,1.6224654310002500E+000
4.061,1.6066890400002483E+000
4.081,1.5906699830002466E+000
4.101,1.5744146660002445E+000
4.121,1.5579295910002422E+000
4.141,1.5412213520002396E+000
4.161,1.5242966300002365E+000
4.181,1.5071621950002332E+000
4.201,1.4898249010002302E+000
4.221,1.4722916830002271E+000
4.241,1.4545695540002237E+000
4.261,1.4366656050002196E+000
4.281,1.4185869940002149E+000
4.301,1.4003409570002108E+000
4.321,1.3819347890002065E+000
4.341,1.3633758520002022E+000
4.361,1.3446715670001974E+000
4.381,1.3258294180001922E+000
4.401,1.3068569440001869E+000
4.421,1.2877617310001817E+000
4.441,1.2685514190001761E+000
4.461,1.2492336880001709E+000
4.481,1.2298162680001652E+000
4.501,1.2103069240001596E+000
4.521,1.1907134590001531E+000
4.541,1.1710437100001470E+000
4.561,1.1513055470001410E+000
4.581,1.1315068630001346E+000
4.601,1.1116555790001286E+000
4.621,1.0917596340001219E+000
4.641,1.0718269860001155E+000
4.661,1.0518656080001090E+000
4.681,1.0318834840001023E+000
4.701,1.0118886090000954E+000
4.721,9.9188897800008902E-001
4.741,9.7189259100008218E-001
4.761,9.5190744600007549E-001
4.781,9.3194153700006876E-001
4.801,9.1200284700006229E-001
4.821,8.9209935600005541E-001
4.841,8.7223902600004866E-001
4.861,8.5242979900004190E-001
4.881,8.3267959600003560E-001
4.901,8.1299631900002900E-001
4.921,7.9338784100002258E-001
4.941,7.7386200700001595E-001
4.961,7.5442662400000948E-001
4.981,7.3508946900000294E-001
5,7.1681719899999674E-001
5.02,6.9769379199999049E-001
5.04,6.7869130399998434E-001
5.06,6.5981733499997819E-001
5.08,6.4107943499997222E-001
5.1,6.2248509699996646E-001
5.12,6.0404176199996051E-001
5.14,5.8575680399995478E-001
5.16,5.6763753899994929E-001
5.18,5.4969121199994386E-001
5.2,5.3192500099993878E-001
5.22,5.1434601299993377E-001
5.24,4.9696128199992884E-001
5.26,4.7977775999992389E-001
5.28,4.6280231999991922E-001
5.3,4.4604174899991489E-001
5.32,4.2950275799991061E-001
5.34,4.1319195699990652E-001
5.36,3.9711587099990264E-001
5.38,3.8128092799989888E-001
5.4,3.6569346799989538E-001
5.42,3.5035972099989210E-001
5.44,3.3528582099988891E-001
5.46,3.2047779799988602E-001
5.48,3.0594157199988337E-001
5.5,2.9168296199988097E-001
5.52,2.7770767099987881E-001
5.54,2.6402128399987701E-001
5.56,2.5062927999987533E-001
5.58,2.3753701599987390E-001
5.6,2.2474972499987272E-001
5.62,2.1227252499987181E-001
5.64,2.0011040399987118E-001
5.66,1.8826823099987075E-001
5.68,1.7675073899987068E-001
5.7,1.6556253399987084E-001
5.72,1.5470809299987118E-001
5.74,1.4419175899987191E-001
5.76,1.3401773699987291E-001
5.78,1.2419009599987417E-001
5.8,1.1471276799987573E-001
5.82,1.0558954199987756E-001
5.84,9.6824068999879692E-002
5.86,8.8419853999882100E-002
5.88,8.0380257999884810E-002
5.9,7.2708497999887794E-002
5.92,6.5407641999891075E-002
5.94,5.8480608999894663E-002
5.96,5.1930171999898536E-002
5.98,4.5758949999902709E-002
6,3.9969411999907188E-002
6.02,3.4563872999911961E-002
6.04,2.9544495999917035E-002
6.06,2.4913286999922402E-002
