"time","TRes"
0,2.9314999999999998E+002
0.002,2.9316999996000004E+002
0.004,2.9318999435151306E+002
0.006,2.9320998317633541E+002
0.008,2.9322996643626254E+002
0.01,2.9324994413308929E+002
0.012,2.9326991626860962E+002
0.014,2.9328988284461684E+002
0.016,2.9330984386290339E+002
0.018,2.9332979932526104E+002
0.02,2.9334974923348074E+002
0.022,2.9336969358935266E+002
0.024,2.9338963239466631E+002
0.026,2.9340956565121036E+002
0.028,2.9342949336077271E+002
0.03,2.9344941552514058E+002
0.032,2.9346933214610033E+002
0.034,2.9348924322543769E+002
0.036,2.9350914876493749E+002
0.038,2.9352904876638394E+002
0.04,2.9354894323156037E+002
0.042,2.9356883216224946E+002
0.044,2.9358871556023308E+002
0.046,2.9360859342729236E+002
0.048,2.9362846576520764E+002
0.05,2.9364833257575856E+002
0.052,2.9366819386072399E+002
0.054,2.9368804962188199E+002
0.056,2.9370789986100999E+002
0.058,2.9372774457988459E+002
0.06,2.9374758378028162E+002
0.062,2.9376741746397619E+002
0.064,2.9378724563274267E+002
0.066,2.9380706828835463E+002
0.068,2.9382688543258496E+002
0.07,2.9384669706720575E+002
0.072,2.9386650319398842E+002
0.074,2.9388630381470352E+002
0.076,2.9390609893112094E+002
0.078,2.9392588854500980E+002
0.08,2.9394567265813845E+002
0.082,2.9396545127227449E+002
0.084,2.9398522438918485E+002
0.086,2.9400499201063565E+002
0.088,2.9402475413839227E+002
0.09,2.9404451077421942E+002
0.092,2.9406426191988089E+002
0.094,2.9408400757713991E+002
0.096,2.9410374774775892E+002
0.098,2.9412348243349953E+002
0.1,2.9414321163612271E+002
0.102,2.9416293535738862E+002
0.104,2.9418265359905672E+002
0.106,2.9420236636288570E+002
0.108,2.9422207365063355E+002
0.11,2.9424177546405753E+002
0.112,2.9426147180491409E+002
0.114,2.9428116267495898E+002
0.116,2.9430084807594721E+002
0.118,2.9432052800963305E+002
0.12,2.9434020247777005E+002
0.122,2.9435987148211103E+002
0.124,2.9437953502440803E+002
0.126,2.9439919310641238E+002
0.128,2.9441884572987465E+002
0.13,2.9443849289654469E+002
0.132,2.9445813460817163E+002
0.134,2.9447777086650387E+002
0.136,2.9449740167328906E+002
0.138,2.9451702703027416E+002
0.14,2.9453664693920530E+002
0.142,2.9455626140182795E+002
0.144,2.9457587041988683E+002
0.146,2.9459547399512593E+002
0.148,2.9461507212928854E+002
0.15,2.9463466482411712E+002
0.152,2.9465425208135349E+002
0.154,2.9467383390273875E+002
0.156,2.9469341029001322E+002
0.158,2.9471298124491653E+002
0.16,2.9473254676918754E+002
0.162,2.9475210686456438E+002
0.164,2.9477166153278455E+002
0.166,2.9479121077558466E+002
0.168,2.9481075459470071E+002
0.17,2.9483029299186796E+002
0.172,2.9484982596882094E+002
0.174,2.9486935352729341E+002
0.176,2.9488887566901849E+002
0.178,2.9490839239572847E+002
0.18,2.9492790370915498E+002
0.182,2.9494740961102895E+002
0.184,2.9496691010308052E+002
0.186,2.9498640518703917E+002
0.188,2.9500589486463360E+002
0.19,2.9502537913759181E+002
0.192,2.9504485800764110E+002
0.194,2.9506433147650802E+002
