"time","out"
0,0.0000000000000000E+00
0.006,4.4563384065730700E-08
0.012,3.1831434252219725E-03
0.018,3.1831434252219725E-03
0.024,6.3662422870598796E-03
0.03,6.3662422870598796E-03
0.036,9.5493411488977876E-03
0.042,1.2732440010735693E-02
0.048,1.2732440010735693E-02
0.054,1.5915538872573600E-02
0.06,1.5915538872573600E-02
0.066,1.9098637734411509E-02
0.072,2.2281736596249414E-02
0.078,2.2281736596249414E-02
0.084,2.5464835458087320E-02
0.09,2.5464835458087320E-02
0.096,2.8647934319925229E-02
0.102,3.1831033181763134E-02
0.108,3.1831033181763134E-02
0.114,3.5014132043601043E-02
0.12,3.5014132043601043E-02
0.126,3.8197230905438952E-02
0.132,4.1380329767276854E-02
0.138,4.1380329767276854E-02
0.144,4.4563428629114762E-02
0.15,4.4563428629114762E-02
0.156,4.7746527490952671E-02
0.162,5.0929626352790580E-02
0.168,5.0929626352790580E-02
0.174,5.4112725214628482E-02
0.18,5.4112725214628482E-02
0.186,5.7295824076466391E-02
0.192,6.0478922938304300E-02
0.198,6.0478922938304300E-02
0.204,6.3662021800142202E-02
0.21,6.3662021800142202E-02
0.216,6.6845120661980117E-02
0.222,7.0028219523818019E-02
0.228,7.0028219523818019E-02
0.234,7.3211318385655921E-02
0.24,7.3211318385655921E-02
0.246,7.6394417247493837E-02
0.252,7.9577516109331739E-02
0.258,7.9577516109331739E-02
0.264,8.2760614971169641E-02
0.27,8.2760614971169641E-02
0.276,8.5943713833007557E-02
0.282,8.9126812694845459E-02
0.288,8.9126812694845459E-02
0.294,9.2309911556683374E-02
0.3,9.2309911556683374E-02
0.306,9.5493010418521276E-02
0.312,9.8676109280359178E-02
0.318,9.8676109280359178E-02
0.324,1.0185920814219708E-01
0.33,1.0185920814219708E-01
0.336,1.0504230700403500E-01
0.342,1.0822540586587290E-01
0.348,1.0822540586587290E-01
0.354,1.1140850472771081E-01
0.36,1.1140850472771081E-01
0.366,1.1459160358954872E-01
0.372,1.1777470245138662E-01
0.378,1.1777470245138662E-01
0.384,1.2095780131322452E-01
0.39,1.2095780131322452E-01
0.396,1.2414090017506244E-01
0.402,1.2732399903690034E-01
0.408,1.2732399903690034E-01
0.414,1.3050709789873827E-01
0.42,1.3050709789873827E-01
0.426,1.3369019676057617E-01
0.432,1.3687329562241404E-01
0.438,1.3687329562241404E-01
0.444,1.4005639448425197E-01
0.45,1.4005639448425197E-01
0.456,1.4323949334608987E-01
0.462,1.4642259220792778E-01
0.468,1.4642259220792778E-01
0.474,1.4960569106976571E-01
0.48,1.4960569106976571E-01
0.486,1.5278878993160361E-01
0.492,1.5597188879344148E-01
0.498,1.5597188879344148E-01
0.504,1.5915498765527941E-01
0.51,1.5915498765527941E-01
0.516,1.6233808651711734E-01
0.522,1.6552118537895524E-01
0.528,1.6552118537895524E-01
0.534,1.6870428424079312E-01
0.54,1.6870428424079312E-01
0.546,1.7188738310263102E-01
0.552,1.7507048196446895E-01
0.558,1.7507048196446895E-01
0.564,1.7825358082630685E-01
0.57,1.7825358082630685E-01
0.576,1.8143667968814475E-01
0.582,1.8461977854998265E-01
0.588,1.8461977854998265E-01
0.594,1.8780287741182058E-01
0.6,1.8780287741182058E-01
0.606,1.9098597627365849E-01
0.612,1.9416907513549639E-01
0.618,1.9416907513549639E-01
0.624,1.9735217399733432E-01
0.63,1.9735217399733432E-01
0.636,2.0053527285917222E-01
0.642,2.0371837172101012E-01
0.648,2.0371837172101012E-01
0.654,2.0690147058284800E-01
0.66,2.0690147058284800E-01
0.666,2.1008456944468590E-01
0.672,2.1326766830652383E-01
0.678,2.1326766830652383E-01
0.684,2.1645076716836173E-01
0.69,2.1645076716836173E-01
0.696,2.1963386603019963E-01
0.702,2.2281696489203756E-01
0.708,2.2281696489203756E-01
0.714,2.2600006375387546E-01
0.72,2.2600006375387546E-01
0.726,2.2918316261571337E-01
0.732,2.3236626147755127E-01
0.738,2.3236626147755127E-01
0.744,2.3554936033938920E-01
0.75,2.3554936033938920E-01
0.756,2.3873245920122710E-01
0.762,2.4191555806306500E-01
0.768,2.4191555806306500E-01
0.774,2.4509865692490290E-01
0.78,2.4509865692490290E-01
0.786,2.4828175578674078E-01
0.792,2.5146485464857871E-01
0.798,2.5146485464857871E-01
0.804,2.5464795351041664E-01
0.81,2.5464795351041664E-01
0.816,2.5783105237225451E-01
0.822,2.6101415123409244E-01
0.828,2.6101415123409244E-01
0.834,2.6419725009593031E-01
0.84,2.6419725009593031E-01
0.846,2.6738034895776824E-01
0.852,2.7056344781960617E-01
0.858,2.7056344781960617E-01
0.864,2.7374654668144405E-01
0.87,2.7374654668144405E-01
0.876,2.7692964554328198E-01
0.882,2.8011274440511991E-01
0.888,2.8011274440511991E-01
0.894,2.8329584326695778E-01
0.9,2.8329584326695778E-01
0.906,2.8647894212879566E-01
0.912,2.8966204099063358E-01
0.918,2.8966204099063358E-01
0.924,2.9284513985247151E-01
0.93,2.9284513985247151E-01
0.936,2.9602823871430939E-01
0.942,2.9921133757614732E-01
0.948,2.9921133757614732E-01
0.954,3.0239443643798525E-01
0.96,3.0239443643798525E-01
0.966,3.0557753529982312E-01
0.972,3.0876063416166105E-01
0.978,3.0876063416166105E-01
0.984,3.1194373302349893E-01
0.99,3.1194373302349893E-01
0.996,3.1512683188533686E-01
1.002,3.1830993074717479E-01
1.009,3.1830993074717479E-01
