"time","q@INJ01","volume@INJ01","maxTimeStep","tolerance","fixedh","errCtrl","writeLevel","extraDisconPrints","runStats","runType","theSolverType","fixedorder"
0,0.0000000000000000E+00,0.0000000000000000E+00,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
4e-05,-9.8316092657116922E-09,-6.5537589289439933E-15,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
7e-05,-9.8316162497525118E-09,-1.1469563601820870E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.0001,-9.8316092657116922E-09,-1.6385368700405520E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00013,-9.8314626008544981E-09,-2.1301173680384902E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00016,-9.8315952976300564E-09,-2.6216978145049495E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.0002,-9.8316092657116922E-09,-3.2771383183235304E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00023,-9.8316022816708743E-09,-3.7687186542734488E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00026,-9.8316162497525118E-09,-4.2602989928855356E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00029,-9.8316022816708743E-09,-4.7518793660879531E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00032,-9.8316162497525118E-09,-5.2434597918722792E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00036,-9.8316092657116922E-09,-5.8989004656340110E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00039,-9.8316162497525118E-09,-6.3904811130413370E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00042,-9.8316302178341492E-09,-6.8820620896443451E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00045,-9.8316441859157867E-09,-7.3736438861319818E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00048,-9.8316860901607023E-09,-7.8652273951016148E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00052,-9.8318187869362589E-09,-8.5206774878810408E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00055,-9.8319724358342759E-09,-9.0122726068313120E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00058,-9.8322308453445762E-09,-9.5038787389604166E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00061,-9.8326219516304347E-09,-9.9955016912449407E-14,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00064,-9.8331876589367689E-09,-1.0487149019218023E-13,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00068,-9.8342282810187681E-09,-1.1142732864353864E-13,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00071,-9.8352758871415968E-09,-1.1634475175230749E-13,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00074,-9.8365469825705900E-09,-1.2126276603368216E-13,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00077,-9.8380206151833254E-09,-1.2618147706921441E-13,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.0008,-9.8396409126532135E-09,-1.3110097099804453E-13,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00084,-9.8418967578375635E-09,-1.3766160054514550E-13,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
