"time","spring_length_out"
0,4.0000000000000000E+02
0.01,4.0000000000000000E+02
0.02,4.0048978749732129E+02
0.03,4.0195610093377172E+02
0.04,4.0439242641172677E+02
0.05,4.0778968055135613E+02
0.06,4.1213624194846778E+02
0.07,4.1741798895488159E+02
0.08,4.2361834410796217E+02
0.09,4.3071832441315746E+02
0.1,4.3869659885976642E+02
0.11,4.4752955140785690E+02
0.12,4.5719135005189293E+02
0.13,4.6765402160193526E+02
0.14,4.7888753200879535E+02
0.15,4.9085987200254698E+02
0.16,5.0353714757348928E+02
0.17,5.1688367532309371E+02
0.18,5.3086208268707821E+02
0.19,5.4543341175823048E+02
0.2,5.6055722755978070E+02
0.21,5.7619172992529479E+02
0.22,5.9229386831629267E+02
0.23,6.0881946006513908E+02
0.24,6.2572331136516573E+02
0.25,6.4295934026643943E+02
0.26,6.6048070191061674E+02
0.27,6.7823991565923802E+02
0.28,6.9618899331243097E+02
0.29,7.1427956825898639E+02
0.3,7.3246309168087305E+02
0.31,7.5069060200486297E+02
0.32,7.6891305572698957E+02
0.33,7.8708187866423282E+02
0.34,8.0514877047411051E+02
0.35,8.2306605914300326E+02
0.36,8.4078719391439199E+02
0.37,8.5826487137377057E+02
0.38,8.7545313756118071E+02
0.39,8.9230693288035809E+02
0.4,9.0878220977476053E+02
0.41,9.2483604733917775E+02
0.42,9.4042676294499483E+02
0.43,9.5551402011813298E+02
0.44,9.7005893224909664E+02
0.45,9.8402416260555151E+02
0.46,9.9737401983918789E+02
0.47,1.0100745485259888E+03
0.48,1.0220936151940371E+03
0.49,1.0334009892452909E+03
0.5,1.0439684183401923E+03
0.51,1.0537696984699273E+03
0.52,1.0627807384643838E+03
0.53,1.0709796185368300E+03
0.54,1.0783466428808933E+03
0.55,1.0848643863476798E+03
0.56,1.0905177348046077E+03
0.57,1.0952939192331787E+03
0.58,1.0991825438139492E+03
0.59,1.1021756069115922E+03
0.6,1.1042675161932243E+03
0.61,1.1054550971143371E+03
0.62,1.1057375949352058E+03
0.63,1.1051166702796645E+03
0.64,1.1035963882652827E+03
0.65,1.1011832012511109E+03
0.66,1.0978859252659863E+03
0.67,1.0937157101971275E+03
0.68,1.0886860038351369E+03
0.69,1.0828125098876737E+03
0.7,1.0761131400898403E+03
0.71,1.0686079605547093E+03
0.72,1.0603191323035931E+03
0.73,1.0512708471380774E+03
0.74,1.0414892573166444E+03
0.75,1.0310024006384951E+03
0.76,1.0198401206604620E+03
0.77,1.0080339823221050E+03
0.78,9.9561718318924022E+02
0.79,9.8262446058555611E+02
0.8,9.6909199485958936E+02
0.81,9.5505730903463314E+02
0.82,9.4055916518921413E+02
0.83,9.2563745783529089E+02
0.84,9.1033310449662929E+02
0.85,8.9468793386027062E+02
0.86,8.7874457182421509E+02
0.87,8.6254632571384764E+02
0.88,8.4613706699947318E+02
0.89,8.2956111277255354E+02
0.9,8.1286302542915632E+02
0.91,7.9608770308399721E+02
0.92,7.7928056345551056E+02
0.93,7.6248650630041357E+02
0.94,7.4575027554924236E+02
0.95,7.2911634042221544E+02
0.96,7.1262877759780963E+02
0.97,6.9633072440267892E+02
0.98,6.8026453303848962E+02
0.99,6.6447302040649561E+02
1,6.4899756116700496E+02
1.01,6.3387857679387685E+02
1.02,6.1915543049879136E+02
1.03,6.0486632494149251E+02
1.04,5.9104820353677553E+02
1.05,5.7773665542007291E+02
1.06,5.6496582400887428E+02
1.07,5.5276831979161068E+02
1.08,5.4117513766637649E+02
1.09,5.3021557844806978E+02
1.1,5.1991717519637496E+02
1.11,5.1030562470058521E+02
1.12,5.0140472376422457E+02
1.13,4.9323631074995779E+02
1.14,4.8582021268154051E+02
1.15,4.7917419772485778E+02
1.16,4.7331393323475930E+02
1.17,4.6825294970721302E+02
1.18,4.6400261021015694E+02
1.19,4.6057208590760763E+02
1.2,4.5796833761486033E+02
1.21,4.5619610303307320E+02
1.22,4.5525789004558874E+02
1.23,4.5515397597781123E+02
1.24,4.5588241280670917E+02
1.25,4.5743903829018399E+02
1.26,4.5981749297084104E+02
1.27,4.6300924299315534E+02
1.28,4.6700360865768755E+02
1.29,4.7178779862091091E+02
1.3,4.7734694963440069E+02
1.31,4.8366417170264924E+02
1.32,4.9072059852464537E+02
1.33,4.9849544328427902E+02
1.34,5.0696605864624235E+02
1.35,5.1610800253566902E+02
1.36,5.2589510803800033E+02
1.37,5.3629955773720781E+02
1.38,5.4729196230256423E+02
1.39,5.5884144303847700E+02
1.4,5.7091571819127546E+02
1.41,5.8348119275935153E+02
1.42,5.9650305160476069E+02
1.43,6.0994535552494335E+02
1.44,6.2377114009108084E+02
1.45,6.3794251688181680E+02
1.46,6.5242077704903750E+02
1.47,6.6716649669592994E+02
1.48,6.8213964390490696E+02
1.49,6.9729968709622426E+02
1.5,7.1260570443812344E+02
1.51,7.2801661749719187E+02
1.52,7.4349083651745900E+02
1.53,7.5898661253085356E+02
1.54,7.7446256999869649E+02
1.55,7.8987749767640128E+02
1.56,8.0519045805535120E+02
1.57,8.2036089578010115E+02
1.58,8.3534922163541751E+02
1.59,8.5011639698757881E+02
1.6,8.6462311754344898E+02
1.61,8.7883139677265501E+02
1.62,8.9270414489627569E+02
1.63,9.0620526598320077E+02
1.64,9.1929975123212876E+02
1.65,9.3195376942876555E+02
1.66,9.4413475414475488E+02
1.67,9.5581148713346863E+02
1.68,9.6695417788080795E+02
1.69,9.7753453936218727E+02
1.7,9.8752585947652017E+02
1.71,9.9690306790582099E+02
1.72,1.0056427987136374E+03
1.73,1.0137234481486206E+03
1.74,1.0211252274043015E+03
1.75,1.0278302106202655E+03
1.76,1.0338223777614594E+03
1.77,1.0390876521697496E+03
1.78,1.0436139328295806E+03
1.79,1.0473911217304108E+03
1.8,1.0504111451192971E+03
1.81,1.0526679696685424E+03
1.82,1.0541576131661759E+03
1.83,1.0548781496638887E+03
1.84,1.0548297091283371E+03
1.85,1.0540144716114009E+03
1.86,1.0524366559695522E+03
1.87,1.0501025031769650E+03
1.88,1.0470202542912671E+03
1.89,1.0432001231449590E+03
1.9,1.0386542638493704E+03
1.91,1.0333967332116524E+03
1.92,1.0274434481785770E+03
1.93,1.0208121384338804E+03
1.94,1.0135222941121131E+03
1.95,1.0055951095418211E+03
1.96,9.9705342198352537E+02
1.97,9.8792164624477414E+02
1.98,9.7822570545342455E+02
1.99,9.6799295791287000E+02
2,9.5725212032944137E+02
2.01,9.4603318761697335E+02
2.02,9.3436734948418348E+02
2.03,9.2228690409437104E+02
