"time","Var_disp"
0,-9.2822054862384817E-06
0.001,-9.2822054862384817E-06
0.002,-9.7413276659574777E-06
0.003,-1.0454563057926691E-05
0.004,-1.1457736986408840E-05
0.005,-1.2786621574889523E-05
0.006,-1.4467183269362138E-05
0.007,-1.6436708278888545E-05
0.008,-1.8583989951914681E-05
0.009,-2.0795552501118308E-05
0.01,-2.2956095653503539E-05
0.011,-2.4948499075527764E-05
0.012,-2.6653825456190994E-05
0.013,-2.7951315034413504E-05
0.014,-2.8720805288595663E-05
0.015,-2.8913661549556657E-05
0.016,-2.8564905580452660E-05
0.017,-2.7714087734276305E-05
0.018,-2.6400621941924385E-05
0.019,-2.4663774204070066E-05
0.02,-2.2542652437063104E-05
0.021,-2.0076192686624417E-05
0.022,-1.7303147988090295E-05
0.023,-1.4262074836346450E-05
0.024,-1.0994677763886962E-05
0.025,-7.5791368747690768E-06
0.026,-4.1154925971564893E-06
0.027,-7.0300607657447500E-07
0.028,2.5601890054627319E-06
0.029,5.5770927409604099E-06
0.03,8.2518494965988509E-06
0.031,1.0489765397636575E-05
0.032,1.2197323912777058E-05
0.033,1.3282205542974879E-05
0.034,1.3658382525316703E-05
0.035,1.3327434766896573E-05
0.036,1.2364263661246433E-05
0.037,1.0846822809940093E-05
0.038,8.8538479769972867E-06
0.039,6.4648240849507488E-06
0.04,3.7599548978750619E-06
0.041,8.2013087943089147E-07
0.042,-2.2730986518615381E-06
0.043,-5.4375504441317446E-06
0.044,-8.5905624468418651E-06
0.045,-1.1654784481840430E-05
0.046,-1.4560420488307635E-05
0.047,-1.7237466691688574E-05
0.048,-1.9615105025905244E-05
0.049,-2.1621724135112430E-05
0.05,-2.3184937349540746E-05
0.051,-2.4231602307467348E-05
0.052,-2.4687836361003690E-05
0.053,-2.4479031177304655E-05
0.054,-2.3537814873297869E-05
0.055,-2.1945745655171933E-05
0.056,-1.9913863045339930E-05
0.057,-1.7651787304284738E-05
0.058,-1.5363257411693532E-05
0.059,-1.3246388930410191E-05
0.06,-1.1493895107905772E-05
0.061,-1.0293282039497420E-05
0.062,-9.8270156974056277E-06
0.063,-1.0272666857269463E-05
0.064,-1.1799523590871885E-05
0.065,-1.4401711039613296E-05
0.066,-1.7821440525089827E-05
0.067,-2.1769230954427066E-05
0.068,-2.5941548861818653E-05
0.069,-3.0019917101276050E-05
0.07,-3.3669895052268473E-05
0.071,-3.6539893045084426E-05
0.072,-3.8259796525497158E-05
0.073,-3.8439364339892812E-05
0.074,-3.6697242506100736E-05
0.075,-3.3111815799236055E-05
0.076,-2.8118364409301932E-05
0.077,-2.2136392125338133E-05
0.078,-1.5561628647686732E-05
0.079,-8.7682442347913891E-06
0.08,-2.1107210163018308E-06
0.081,4.0745408805831218E-06
0.082,9.4678448780971536E-06
0.083,1.3765017771061316E-05
0.084,1.6699961514210493E-05
0.085,1.8273410330227335E-05
0.086,1.8648081997474364E-05
0.087,1.7993589680798117E-05
0.088,1.6484264093286072E-05
0.089,1.4299235184145331E-05
0.09,1.1622526421728452E-05
0.091,8.6431694361621680E-06
0.092,5.5553406058672650E-06
0.093,2.5585171806730145E-06
0.094,-1.4567982509205990E-07
0.095,-2.4646522078786148E-06
0.096,-4.4434298228646085E-06
0.097,-6.1352304632222854E-06
0.098,-7.5929877031422066E-06
0.099,-8.8693350588364694E-06
0.1,-1.0016591425077159E-05
0.101,-1.1086743884614059E-05
0.102,-1.2131430180861713E-05
0.103,-1.3201921888361667E-05
0.104,-1.4347406037451549E-05
0.105,-1.5566977230818679E-05
0.106,-1.6802848376351598E-05
0.107,-1.7993669033433690E-05
0.108,-1.9077595313166107E-05
0.109,-1.9992313544769935E-05
0.11,-2.0675061247255044E-05
0.111,-2.1062648037362131E-05
0.112,-2.1091474977974478E-05
0.113,-2.0697553713810990E-05
0.114,-1.9822313279571624E-05
0.115,-1.8519014588713745E-05
0.116,-1.6940682974864174E-05
0.117,-1.5240939718164093E-05
0.118,-1.3570364275294899E-05
0.119,-1.2076565783392113E-05
0.12,-1.0904244869491819E-05
0.121,-1.0195243800303899E-05
