"time","powerUpPB","startCyclePB","emergencyStop","batchCycle","pieceCycle","autoSwitch","manualSwitch","F3SpinM1_acknowledgePB","liveWKM1","autoModeWKM1","manualModeWKM1","RUN1_emptyProd","RUN1_unitProd","RUN1_batchProd","RUN1_rotation","RUN1_faultyState","RUN1_cycleEnd","RUN1_movementFault","RUN1_slowAscent","RUN1_fastAscent","RUN1_slowDescent","RUN1_fastDescent","RUN1_releasing","RUN1_clamping","F1TurM1_autoFwdCmd","F1TurM1_autoBwdCmd","F1TurM1_autoHSCmd","F1TurM1_autoLSCmd","speedVal","speedPercent","F1TurM1_generalFault","F1TurM1_forwardFB","F1TurM1_backwardFB","F1TurM1_highSpeedFB","F1TurM1_lowSpeedFB","F1TurM1_thermalFB","F1TurM1_forwardCmd","F1TurM1_backwardCmd","F1TurM1_highSpeedCmd","F1TurM1_lowSpeedCmd","axlePosition","F3SpinM1_forwardFB","F3SpinM1_thermalFB","speedVal2","speedPercent2","F3SpinM1_forwardCmd","F3SpinM1_autoCmd","piece","RUN1_loadingRequest","RUN1_unloadingRequest"
0.0000000000000000E+000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0
2.9999999999999999E-002,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0
5.0000000000000003E-002,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0
8.0000000000000002E-002,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
9.9999999999999992E-002,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
1.2999999999999998E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
1.4999999999999999E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
1.7000000000000001E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
2.0000000000000004E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
2.2000000000000006E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
2.4000000000000007E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
2.7000000000000007E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
