"time","Speed_SWC_output_data"
0,0.0000000000000000E+000
0.1,1.9799998402595520E-001
0.2,3.9200004935264587E-001
0.3,5.8200001716613770E-001
0.4,7.6799982786178589E-001
0.5,9.4999969005584717E-001
0.6,1.1279995441436768E+000
0.7,1.3019993305206299E+000
0.9,1.6379990577697754E+000
1,1.7999989986419678E+000
1.1,1.9579988718032837E+000
1.2,2.1119987964630127E+000
1.3,2.2619986534118652E+000
1.4,2.4079985618591309E+000
1.5,2.5499985218048096E+000
1.6,2.6879982948303223E+000
1.7,2.8219983577728271E+000
1.8,2.9519982337951660E+000
1.9,3.0779981613159180E+000
2,3.1999981403350830E+000
2.1,3.3179981708526611E+000
2.2,3.4319982528686523E+000
2.3,3.5419981479644775E+000
2.4,3.6479980945587158E+000
2.5,3.7499980926513672E+000
2.6,3.8479981422424316E+000
2.7,3.9419980049133301E+000
2.8,4.0319981575012207E+000
2.9,4.1179981231689453E+000
3,4.1999979019165039E+000
3.1,4.2779979705810547E+000
3.2,4.3519983291625977E+000
3.3,4.4219980239868164E+000
3.4,4.4879980087280273E+000
3.5,4.5499982833862305E+000
3.6,4.6079983711242676E+000
3.7,4.6619987487792969E+000
3.8,4.7119984626770020E+000
3.9,4.7579984664916992E+000
4,4.7999987602233887E+000
