"time","revolute1.w","revolute2.w"
0,0.0000000000000000E+000,0.0000000000000000E+000
0.006,-1.5086860104923600E-001,2.0041310985819275E-001
0.0121,-3.0420494441895418E-001,4.0404884095638000E-001
0.0181,-4.5497596826591707E-001,6.0421157549748705E-001
0.0241,-6.0568132179756862E-001,8.0419180437868798E-001
0.0301,-7.5629335422518562E-001,1.0038961766141319E+000
0.036,-9.0426049674280184E-001,1.1998556335258808E+000
0.042,-1.0545329216807777E+000,1.3984911110549025E+000
0.048,-1.2045094914951811E+000,1.5961666476878200E+000
0.054,-1.3540691795294433E+000,1.7924731079817529E+000
0.06,-1.5030588108397112E+000,1.9868922224259566E+000
0.066,-1.6512907927092113E+000,2.1787884813487155E+000
0.072,-1.7985418777872251E+000,2.3674043038906261E+000
0.078,-1.9445532377928485E+000,2.5518593735724653E+000
0.084,-2.0890321135769199E+000,2.7311550032752638E+000
0.09,-2.2316552570794812E+000,2.9041842472657886E+000
0.096,-2.3720742854063315E+000,3.0697481943477318E+000
0.102,-2.5099229257535307E+000,3.2265784499237111E+000
0.108,-2.6448259497853268E+000,3.3733652675762587E+000
0.114,-2.7764093952144893E+000,3.5087901760067179E+000
0.12,-2.9043114783222195E+000,3.6315613477230513E+000
0.126,-3.0281934474906285E+000,3.7404494731263394E+000
0.132,-3.1477495472360579E+000,3.8343216373848183E+000
0.138,-3.2627152784505444E+000,3.9121707210117194E+000
0.144,-3.3728732609647145E+000,3.9731381829241315E+000
0.1501,-3.4797663800357470E+000,4.0170997266107902E+000
0.1561,-3.5797714335150372E+000,4.0420817504643782E+000
0.1621,-3.6746129663740108E+000,4.0485955731776153E+000
0.1681,-3.7642622914654114E+000,4.0364386695593977E+000
0.1741,-3.8487237595858739E+000,4.0055464634537410E+000
0.1801,-3.9280253616674696E+000,3.9559708579544699E+000
0.1861,-4.0022085596190093E+000,3.8878563797888210E+000
0.1921,-4.0713179851486965E+000,3.8014157748597261E+000
0.1981,-4.1353915465775861E+000,3.6969065937206960E+000
0.2041,-4.1944513566414221E+000,3.5746099190947400E+000
0.2101,-4.2484957622402177E+000,3.4348119800330044E+000
0.2161,-4.2974926371324260E+000,3.2777890206076750E+000
0.2221,-4.3413740010437509E+000,3.1037954772398049E+000
0.2281,-4.3800319576857509E+000,2.9130552817397266E+000
0.2341,-4.4133158990901622E+000,2.7057559467571624E+000
0.2401,-4.4410309007773865E+000,2.4820449976462320E+000
0.2461,-4.4629372265038780E+000,2.2420282767005708E+000
0.2521,-4.4787508674259007E+000,1.9857696487862584E+000
0.2581,-4.4881450538904737E+000,1.7132916699748459E+000
0.2641,-4.4907526952808983E+000,1.4245768344464105E+000
0.2701,-4.4861697223596879E+000,1.1195690850878992E+000
0.2761,-4.4739593268558684E+000,7.9817535927727568E-001
0.2821,-4.4536571157883760E+000,4.6026704694448733E-001
0.2881,-4.4247772262230596E+000,1.0568137135892428E-001
0.2941,-4.3868194850672735E+000,-2.6577712211832588E-001
0.3001,-4.3392777561340008E+000,-6.5433454719830908E-001
0.3061,-4.2816497046951651E+000,-1.0602443765224820E+000
0.3121,-4.2134483445169915E+000,-1.4837816444052991E+000
0.3181,-4.1342159366721454E+000,-1.9252327751378213E+000
0.3241,-4.0435411141098587E+000,-2.3848782151867614E+000
0.3301,-3.9410805516410496E+000,-2.8629637035351299E+000
0.3361,-3.8265871382970964E+000,-3.3596541190045719E+000
0.3421,-3.6999474946138045E+000,-3.8749612177338357E+000
0.3481,-3.5612328592154801E+000,-4.4086330482131624E+000
0.3541,-3.4107688474976632E+000,-4.9599883484870873E+000
0.3601,-3.2492312248753441E+000,-5.5276740912474267E+000
0.3661,-3.0777761868276539E+000,-6.1093197186581234E+000
0.3721,-2.8982136013549904E+000,-6.7010604975101451E+000
0.3781,-2.7132279897741336E+000,-7.2969111774521211E+000
0.3841,-2.5266407036992584E+000,-7.8880012405888920E+000
0.3901,-2.3436820465518164E+000,-8.4617514176786930E+000
0.3961,-2.1711987122192946E+000,-9.0011941027824260E+000
0.4021,-2.0176625157893358E+000,-9.4848123221900309E+000
0.4081,-1.8927958118602914E+000,-9.8874242233060965E+000
0.4141,-1.8066467486500029E+000,-1.0182602891861618E+001
0.4201,-1.7681086555787862E+000,-1.0346676142052948E+001
0.4261,-1.7831895319582589E+000,-1.0363469587020028E+001
0.4321,-1.8536365737140701E+000,-1.0228099669907776E+001
0.4381,-1.9765235762530866E+000,-9.9481036072590943E+000
0.4441,-2.1449984093794421E+000,-9.5413522984088388E+000
0.4501,-2.3498283670696578E+000,-9.0317750490997053E+000
0.4561,-2.5810926739806548E+000,-8.4447318694417426E+000
0.4621,-2.8294961949193187E+000,-7.8034989951712461E+000
0.4681,-3.0871087400140178E+000,-7.1273878854328752E+000
0.4741,-3.3476044894295076E+000,-6.4312571240927179E+000
0.4801,-3.6061840691664471E+000,-5.7258838386810380E+000
0.4861,-3.8593492991652965E+000,-5.0187097058702514E+000
0.4921,-4.1046430012247725E+000,-4.3146479079963411E+000
0.4981,-4.3404112474263856E+000,-3.6167961431315101E+000
0.5041,-4.5656087727829506E+000,-2.9270043738953526E+000
0.5101,-4.7796487945260235E+000,-2.2462996623160398E+000
0.5161,-4.9822902881690707E+000,-1.5751920122010030E+000
0.5221,-5.1735536351726337E+000,-9.1388993058051349E-001
0.5281,-5.3536561205826541E+000,-2.6245202555216690E-001
0.5341,-5.5229602161147300E+000,3.7910359154514955E-001
0.5401,-5.6819290959093083E+000,1.0107147902890272E+000
0.5461,-5.8310850771989227E+000,1.6322020602493055E+000
0.5521,-5.9709675865354823E+000,2.2431951662621552E+000
0.5581,-6.1020878728798973E+000,2.8430504932522207E+000
0.5641,-6.2248781379308813E+000,3.4307511603292955E+000
0.5701,-6.3396332108122859E+000,4.0047835267512113E+000
0.5761,-6.4464436234393867E+000,4.5629861736049104E+000
0.5821,-6.5451203265686875E+000,5.1023719424633489E+000
0.5881,-6.6351138357277710E+000,5.6189316317649158E+000
0.5941,-6.7154348831524509E+000,6.1074411375731410E+000
0.6001,-6.7845900568244772E+000,6.5613132138779022E+000
0.6061,-6.8405540463142014E+000,6.9725593280321165E+000
0.6121,-6.8808079037461995E+000,7.3319498987310450E+000
0.6181,-6.9024754408854623E+000,7.6294682476071634E+000
0.6241,-6.9025803513486732E+000,7.8551234181882483E+000
0.6301,-6.8784184476168786E+000,8.0001006802218075E+000
0.6361,-6.8279938301562781E+000,8.0580905743836269E+000
0.6421,-6.7504209032117570E+000,8.0264966872455616E+000
0.6481,-6.6461745594450772E+000,7.9071654361122006E+000
0.6541,-6.5171019677855817E+000,7.7063779904183951E+000
0.6601,-6.3661859728738035E+000,7.4340783136903168E+000
0.6661,-6.1971341243779134E+000,7.1025666635365612E+000
0.6721,-6.0139141055494827E+000,6.7250295406220619E+000
0.6781,-5.8203478495418031E+000,6.3142508676009550E+000
0.6841,-5.6198299042291957E+000,5.8817066783254495E+000
0.6901,-5.4151825467558936E+000,5.4370835705036686E+000
0.6961,-5.2086237296187585E+000,4.9881494221444589E+000
0.7021,-5.0018097811528266E+000,4.5408607158391128E+000
0.7081,-4.7959168414029643E+000,4.0995961691536413E+000
0.7141,-4.5917344548930581E+000,3.6674345293331649E+000
0.7201,-4.3897551094174618E+000,3.2464257234428895E+000
0.7261,-4.1902517363125726E+000,2.8378296321542535E+000
0.7321,-3.9933405907847761E+000,2.4423133857973678E+000
0.7381,-3.7990299590903063E+000,2.0601075359527674E+000
0.7441,-3.6072565386597262E+000,1.6911259469566884E+000
0.7501,-3.4179117672236217E+000,1.3350557589443361E+000
0.7561,-3.2308603031426339E+000,9.9142370644248712E-001
