"time","I@variable_resistance","U@resistance","maxTimeStep","tolerance","fixedh","errCtrl","writeLevel","extraDisconPrints","runStats","runType","theSolverType","fixedorder"
0,-0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
3e-007,-3.1243422239566824E-008,3.4724128219253778E-003,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
5e-007,-8.5712402948163317E-008,1.5721033056130269E-002,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7e-007,-1.6489009729584994E-007,4.1955773506896200E-002,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
9e-007,-2.6588160422580982E-007,8.6243830922014098E-002,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
1e-006,-3.2344192396552336E-007,1.1609989955305387E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
1.3e-006,-5.1810155346196561E-007,2.3900691289111145E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
1.5e-006,-6.6040804874796613E-007,3.4900519577827338E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
1.7e-006,-8.0705521526328022E-007,4.8001654667514126E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
1.9e-006,-9.5311202962618906E-007,6.2923813246115756E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
2.1e-006,-1.0938106929108629E-006,7.9260090663993954E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
2.3e-006,-1.2247298226756372E-006,9.6495305257818942E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
2.5e-006,-1.3419591000039835E-006,1.1402926677770095E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
2.7e-006,-1.4422388945733996E-006,1.3120386157059005E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
2.9e-006,-1.5230696088677049E-006,1.4733269542167509E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
3.1e-006,-1.5827869288584962E-006,1.6173197046086580E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
3.3e-006,-1.6206005805766086E-006,1.7375120323271342E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
3.5e-006,-1.6365959099582931E-006,1.8280244309419931E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
3.7e-006,-1.6316991473363576E-006,1.8838674429012314E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
3.9e-006,-1.6076087298720910E-006,1.9011676764141194E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
4.1e-006,-1.5666964532471527E-006,1.8773458156869347E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
4.3e-006,-1.5118834127610765E-006,1.8112395214016064E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
4.5e-006,-1.4464966476646126E-006,1.7031665965263858E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
4.7e-006,-1.3741130824811648E-006,1.5549264228322532E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
4.9e-006,-1.2983977406730886E-006,1.3697403388340468E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
5.1e-006,2.2969467334985207E-002,1.0148124089138950E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
5.3e-006,9.5283200710555283E-004,5.1707916649844388E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
5.5e-006,-2.0813243230719092E-002,3.2368153386302431E-002,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
5.7e-006,-4.2178608163951449E-002,-4.3145345041983219E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
5.9e-006,-6.3006572477446246E-002,-8.6722297926627201E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.1e-006,-8.3175927085454751E-002,-1.2685901762038325E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.3e-006,-1.0258224239221393E-001,-1.6300809520872872E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.5e-006,-1.2113897191589451E-001,-1.9471602374168124E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.7e-006,-1.3877817230137862E-001,-2.2162656016995244E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.9e-006,-1.5545085547636409E-001,-2.4348288462597028E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.1e-006,-1.7112702050748738E-001,-2.6012758564716330E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.3e-006,-1.8579533332487369E-001,-2.7150103677174298E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.5e-006,-1.9946249093364529E-001,-2.7763808803462320E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.7e-006,-2.1215232303671097E-001,-2.7866329217130645E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
7.9e-006,-2.2390457034379302E-001,-2.7478477838286319E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
8.1e-006,-2.3477358266613449E-001,-2.6628690844477476E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
8.3e-006,-2.4482663253878434E-001,-2.5352196623378536E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
8.5e-006,-2.5414222109952145E-001,-2.3690103158945708E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
8.6e-006,-2.5855060779798145E-001,-2.2728670234956163E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
8.8e-006,-2.6692712315811007E-001,-2.0575700045559873E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
9e-006,-2.7479908542375314E-001,-1.8159112585606403E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
9.2e-006,-2.8226912132641352E-001,-1.5532662354022142E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
9.4e-006,-2.8944234189473272E-001,-1.2751408877681656E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
9.6e-006,-2.9642430546047915E-001,-9.8706461730244865E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
9.8e-006,-3.0331927733861996E-001,-6.9449966391475204E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
1e-005,-2.6138891192055359E-004,-4.0274532821840386E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
1.02e-005,-6.9988613202903190E-007,-3.9487312462524363E-002,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
1.04e-005,-1.3866016388495393E-006,4.6140763806395974E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
1.06e-005,-2.0386279559869168E-006,1.0801496499691805E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
1.08e-005,-2.6332945646797605E-006,1.7905401333465176E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
1.1e-005,-3.1507603919011020E-006,2.5612408954268258E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
1.12e-005,-3.5747552491107278E-006,3.3572564426649647E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
1.14e-005,-3.8931551102245148E-006,4.1415595950723416E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
