"time","p1@general_hydraulic_chamber","p1@hydraulic_4","q@volumesensor","maxTimeStep","tolerance","fixedh","errCtrl","writeLevel","extraDisconPrints","runStats","runType","theSolverType","fixedorder"
0,2.0000000000000000E+002,2.0000000000000000E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
6.1e-005,2.0004981247602120E+002,2.0000250305269455E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.000121,2.0005264662960056E+002,2.0009496831030671E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.000181,2.0005331080307101E+002,2.0010372898528968E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.000241,2.0005375869123301E+002,2.0004337818822108E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.0003,2.0005364653532590E+002,2.0000720275037744E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00036,2.0005302061134503E+002,2.0002522973597198E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00042,2.0005292817291749E+002,2.0009328204532173E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00048,2.0005343387433211E+002,2.0009431635220329E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00054,2.0005372352598746E+002,1.3873176927155578E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.0006,1.9863320678638354E+002,1.3716912677948349E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00066,1.9553703969941179E+002,2.4364056866234642E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00072,1.9296199416802091E+002,2.5061697595354829E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00078,1.9290447522404318E+002,2.1022183999099232E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00084,1.9281933588695469E+002,1.3246743467116127E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.0009,1.9075746910470281E+002,1.4505298780710109E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00096,1.8778937978779263E+002,2.4030122467346609E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00102,1.8593241535888367E+002,2.3658351766889865E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00108,1.8589432229878190E+002,1.7074239593765893E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00114,1.8537716831041411E+002,1.2983783394498599E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001201,1.8287378477550558E+002,1.6322534434840060E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001261,1.8015761535031353E+002,2.3361048451229541E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001321,1.7892432146612899E+002,2.1575939599862053E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001381,1.7878635473000000E+002,1.4442657514817810E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001441,1.7773773574669610E+002,1.3075228099182010E+002,-6.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001501,1.7510241874410224E+002,1.8692901039776436E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001561,1.7276711117265478E+002,2.8462178505437316E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001621,1.7456962040139538E+002,2.5045035532948327E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001681,1.7740060420231643E+002,7.4523252184417657E+001,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001741,1.7770625179245224E+002,8.7323466091444772E+001,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001801,1.7514978106226937E+002,2.2949621310646660E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001861,1.7380253193522188E+002,2.7215307678179965E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001921,1.7607640938115074E+002,1.9762964916320598E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001981,1.7834816493263841E+002,7.9171265880167667E+001,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.002041,1.7764859032263971E+002,1.1677291958100075E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.002101,1.7539533280125409E+002,2.5008167764648306E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.002161,1.7506208721315431E+002,2.5526809731817542E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.002221,1.7742933392428762E+002,1.5690556295763014E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.002281,1.7896868817848946E+002,9.0317035891994962E+001,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.002341,1.7767147629300794E+002,1.5210167590028627E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.002401,1.7588985093748224E+002,2.5626708563296233E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00246,1.7636094041490313E+002,2.3347535579714031E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00252,1.7856723413818196E+002,1.3367106252353096E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00258,1.7937993036816783E+002,1.0602604971234565E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00264,1.7784834316446637E+002,1.8197685234738205E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.0027,1.7662491596206459E+002,2.5272975580363814E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00276,1.7767109151833910E+002,2.0813968683563036E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00282,1.7954594716419916E+002,1.2138388478878581E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
