"time","Var_disp"
0,-9.2822054862384817E-006
0.001,-9.2822054862384817E-006
0.002,-9.7413276659574777E-006
0.003,-1.0454563057926691E-005
0.004,-1.1457736986408840E-005
0.005,-1.2786621563898315E-005
0.006,-1.4467183288902064E-005
0.007,-1.6436708296208025E-005
0.008,-1.8583989930820444E-005
0.009,-2.0795552525654237E-005
0.01,-2.2956095653503539E-005
0.011,-2.4948499079191500E-005
0.012,-2.6653825450750901E-005
0.013,-2.7951315034635549E-005
0.014,-2.8720805290927132E-005
0.015,-2.8913661577534278E-005
0.016,-2.8564905582340039E-005
0.017,-2.7714087748043070E-005
0.018,-2.6400621940370073E-005
0.019,-2.4663774208288913E-005
0.02,-2.2542652439283550E-005
0.021,-2.0076192694729045E-005
0.022,-1.7303148001968083E-005
0.023,-1.4262074835125205E-005
0.024,-1.0994677761333449E-005
0.025,-7.5791368752131660E-006
0.026,-4.1154925987108015E-006
0.027,-7.0300607046824837E-007
0.028,2.5601890011328621E-006
0.029,5.5770927444021012E-006
0.03,8.2518495285732740E-006
0.031,1.0489765417065477E-005
0.032,1.2197323897678025E-005
0.033,1.3282205580833484E-005
0.034,1.3658382516323897E-005
0.035,1.3327434757903767E-005
0.036,1.2364263646702511E-005
0.037,1.0846822786847454E-005
0.038,8.8538479717792384E-006
0.039,6.4648240691855818E-006
0.04,3.7599549050915115E-006
0.041,8.2013087288057562E-007
0.042,-2.2730986545260734E-006
0.043,-5.4375504597858892E-006
0.044,-8.5905624446214190E-006
0.045,-1.1654784462300505E-005
0.046,-1.4560420493858750E-005
0.047,-1.7237466698794002E-005
0.048,-1.9615105027570578E-005
0.049,-2.1621724141662746E-005
0.05,-2.3184937351317103E-005
0.051,-2.4231602324120693E-005
0.052,-2.4687836345349545E-005
0.053,-2.4479031175084209E-005
0.054,-2.3537814866858575E-005
0.055,-2.1945745664053717E-005
0.056,-1.9913863038234503E-005
0.057,-1.7651787314054701E-005
0.058,-1.5363257424683141E-005
0.059,-1.3246388934851083E-005
0.06,-1.1493895123115827E-005
0.061,-1.0293282033280171E-005
0.062,-9.8270157075086573E-006
0.063,-1.0272666845057010E-005
0.064,-1.1799523595090733E-005
0.065,-1.4401711034950360E-005
0.066,-1.7821440503551500E-005
0.067,-2.1769230946100393E-005
0.068,-2.5941548842722817E-005
0.069,-3.0019917100831961E-005
0.07,-3.3669895068699773E-005
0.071,-3.6539893036202642E-005
0.072,-3.8259796512174482E-005
0.073,-3.8439364346221083E-005
0.074,-3.6697242505878691E-005
0.075,-3.3111815781805554E-005
0.076,-2.8118364417961672E-005
0.077,-2.2136392133220717E-005
0.078,-1.5561628651905579E-005
0.079,-8.7682442365677460E-006
0.08,-2.1107210169679647E-006
0.081,4.0745408853570808E-006
0.082,9.4678448756546629E-006
0.083,1.3765017788935907E-005
0.084,1.6699961502109062E-005
0.085,1.8273410312463767E-005
0.086,1.8648082004579791E-005
0.087,1.7993589684017763E-005
0.088,1.6484264118710179E-005
0.089,1.4299235159054291E-005
0.09,1.1622526397525590E-005
0.091,8.6431694027444550E-006
0.092,5.5553406168584729E-006
0.093,2.5585171986586275E-006
0.094,-1.4567981665436491E-007
0.095,-2.4646521884497119E-006
0.096,-4.4434298240858539E-006
0.097,-6.1352304553397019E-006
0.098,-7.5929877200175966E-006
0.099,-8.8693350500657075E-006
0.1,-1.0016591409423015E-005
0.101,-1.1086743859967108E-005
0.102,-1.2131430193296211E-005
0.103,-1.3201921891137225E-005
0.104,-1.4347406045112088E-005
0.105,-1.5566977228043122E-005
0.106,-1.6802848382457825E-005
0.107,-1.7993669044091831E-005
0.108,-1.9077595310723616E-005
0.109,-1.9992313533001571E-005
0.11,-2.0675061262909189E-005
0.111,-2.1062648042691201E-005
0.112,-2.1091474988188530E-005
0.113,-2.0697553727355711E-005
0.114,-1.9822313294004523E-005
0.115,-1.8519014586049209E-005
0.116,-1.6940682985744360E-005
0.117,-1.5240939722827029E-005
0.118,-1.3570364306603189E-005
0.119,-1.2076565793606164E-005
0.12,-1.0904244836296151E-005
0.121,-1.0195243805632970E-005
0.122,-1.0088585298606567E-005
0.123,-1.0720504238892481E-005
0.124,-1.2221311962767878E-005
0.125,-1.4578689127353606E-005
0.126,-1.7582640859048482E-005
0.127,-2.1000813466343082E-005
0.128,-2.4591946481855587E-005
0.129,-2.8105489641716552E-005
0.13,-3.1281160724816459E-005
0.131,-3.3848440024519810E-005
0.132,-3.5525995679241973E-005
0.133,-3.6021017957521551E-005
0.134,-3.5046267498950456E-005
0.135,-3.2639606633577678E-005
0.136,-2.9126664926382162E-005
0.137,-2.4828528905729286E-005
0.138,-2.0052178973495316E-005
0.139,-1.5091498564934192E-005
0.14,-1.0228154333824513E-005
0.141,-5.7323617973503715E-006
0.142,-1.8635458463034382E-006
0.143,1.1290754229342781E-006
0.144,3.0194361900770517E-006
0.145,3.7964394908884813E-006
0.146,3.6159930469903401E-006
0.147,2.6426591884787243E-006
0.148,1.0453826917444786E-006
0.149,-1.0024395011853926E-006
0.15,-3.3228744855673398E-006
0.151,-5.7333513184820717E-006
0.152,-8.0465439510346570E-006
0.153,-1.0070229420011678E-005
0.154,-1.1611613374928886E-005
0.155,-1.2603370961983273E-005
0.156,-1.3123109475099426E-005
0.157,-1.3255407937950991E-005
0.158,-1.3083950790471199E-005
0.159,-1.2691520129837208E-005
0.16,-1.2159986342408224E-005
0.161,-1.1570296077123565E-005
0.162,-1.1002458749076460E-005
0.163,-1.0535530856503605E-005
0.164,-1.0244830576766617E-005
0.165,-1.0145910274705905E-005
0.166,-1.0197573199088872E-005
0.167,-1.0356186200599637E-005
0.168,-1.0577964461133682E-005
0.169,-1.0818992015271256E-005
0.17,-1.1035241401446960E-005
0.171,-1.1182593262604179E-005
0.172,-1.1216855220763655E-005
0.173,-1.1093779949011839E-005
0.174,-1.0772862934826932E-005
0.175,-1.0281259293809519E-005
0.176,-9.7041702338263036E-006
0.177,-9.1279918972286822E-006
0.178,-8.6383701409786795E-006
0.179,-8.3201866488691323E-006
0.18,-8.2575425912612133E-006
0.181,-8.5337394907236686E-006
0.182,-9.2312588553244979E-006
0.183,-1.0431739030591913E-005
0.184,-1.2214320201153761E-005
0.185,-1.4527557432808536E-005
0.186,-1.7091239629007937E-005
0.187,-1.9588873139908536E-005
0.188,-2.1687856571195319E-005
0.189,-2.3038301780853310E-005
0.19,-2.3271665470447900E-005
0.191,-2.1999158576369027E-005
0.192,-1.8809881629944236E-005
0.193,-1.3268637127472616E-005
0.194,-4.9133375450427508E-006
0.195,6.6997028691506699E-006
0.196,2.1853214154599065E-005
0.197,4.0795930958958948E-005
0.198,6.3785282218842276E-005
0.199,9.1087952555746199E-005
0.2,1.2298054627812860E-004
0.201,1.5975028940951042E-004
0.202,2.0169583949380954E-004
0.203,2.4912815007605005E-004
0.204,3.0236513019898936E-004
0.205,3.6151393889949368E-004
0.206,4.2641188991698886E-004
0.207,4.9688389151980594E-004
0.208,5.7275930353584137E-004
0.209,6.5387158757890251E-004
0.21,7.4005809348753893E-004
0.211,8.3115976256897817E-004
0.212,9.2702083678686265E-004
0.213,1.0274887208608918E-003
0.214,1.1324174844464796E-003
0.215,1.2417261128412349E-003
0.216,1.3553860173687315E-003
0.217,1.4733706857691375E-003
0.218,1.5956540684770593E-003
0.219,1.7222104935459281E-003
0.22,1.8530147605784197E-003
0.221,1.9880420627811368E-003
0.222,2.1272678976069770E-003
0.223,2.2706681743848156E-003
0.224,2.4182186972977471E-003
0.225,2.5698758487259221E-003
0.226,2.7255691814730421E-003
0.227,2.8852266211558675E-003
0.228,3.0487764766901071E-003
0.229,3.2161472877263453E-003
0.23,3.3872679358349922E-003
0.231,3.5620675272751701E-003
0.232,3.7404752676011288E-003
0.233,3.9224205928127809E-003
0.234,4.1078331172486049E-003
0.235,4.2966625771200251E-003
0.236,4.4889077730841942E-003
0.237,4.6845749112052193E-003
0.238,4.8836703937312764E-003
0.239,5.0862006896643663E-003
0.24,5.2921725223409322E-003
0.241,5.5015927745201143E-003
0.242,5.7144683834201571E-003
0.243,5.9308065383884001E-003
0.244,6.1506145808659651E-003
0.245,6.3738729595339549E-003
0.246,6.6004518801989764E-003
0.247,6.8301938904726800E-003
0.248,7.0629422149522947E-003
0.249,7.2985409099424192E-003
0.25,7.5368346658530871E-003
0.251,7.7776688424191498E-003
0.252,8.0208892870298198E-003
0.253,8.2663425477743635E-003
0.254,8.5138757536264986E-003
0.255,8.7633477836019935E-003
0.256,9.0147570326715165E-003
0.257,9.2681967979586499E-003
0.258,9.5237643108678771E-003
0.259,9.7815593171833859E-003
0.26,1.0041684015420049E-002
0.261,1.0304242993710910E-002
0.262,1.0569343545639209E-002
0.263,1.0837095577696632E-002
0.264,1.1107611772396053E-002
0.265,1.1381004220785695E-002
0.266,1.1657250905829586E-002
0.267,1.1936148085575971E-002
0.268,1.2217480416832349E-002
0.269,1.2501034017640245E-002
0.27,1.2786596305795483E-002
0.271,1.3073955850684826E-002
0.272,1.3362902654563635E-002
0.273,1.3653228042779020E-002
0.274,1.3944724565045696E-002
0.275,1.4237186343116992E-002
0.276,1.4530468978557476E-002
0.277,1.4824626737948043E-002
0.278,1.5119756375804760E-002
0.279,1.5415957263063773E-002
0.28,1.5713331280889697E-002
0.281,1.6011982715339657E-002
0.282,1.6312018582894217E-002
0.283,1.6613548535587608E-002
0.284,1.6916684767014578E-002
0.285,1.7221542356446351E-002
0.286,1.7528218124406969E-002
0.287,1.7836637113277987E-002
0.288,1.8146639070043880E-002
0.289,1.8458062729665436E-002
0.29,1.8770746563764540E-002
0.291,1.9084528643486420E-002
0.292,1.9399247008796472E-002
0.293,1.9714739598118758E-002
0.294,2.0030844182763463E-002
0.295,2.0347398760989566E-002
0.296,2.0664244907655838E-002
0.297,2.0981281762205262E-002
0.298,2.1298456101665253E-002
0.299,2.1615715301595784E-002
0.3,2.1933005723544730E-002
0.301,2.2250273035715806E-002
0.302,2.2567462029984942E-002
0.303,2.2884516743020389E-002
0.304,2.3201380275996608E-002
0.305,2.3517995120109769E-002
0.306,2.3834303041575300E-002
0.307,2.4150247443308515E-002
0.308,2.4465776627639602E-002
0.309,2.4780838777653136E-002
0.31,2.5095381076974843E-002
0.311,2.5409350028854694E-002
0.312,2.5722691324724045E-002
0.313,2.6035349715633260E-002
0.314,2.6347269333318990E-002
0.315,2.6658393513656398E-002
0.316,2.6968664920249075E-002
0.317,2.7278034726300970E-002
0.318,2.7586515590206084E-002
0.319,2.7894145712165752E-002
0.32,2.8200963983885607E-002
0.321,2.8507010181915038E-002
0.322,2.8812324789749377E-002
0.323,2.9116948821713451E-002
0.324,2.9420924083645050E-002
0.325,2.9724292995705226E-002
0.326,3.0027098416657738E-002
0.327,3.0329367735351997E-002
0.328,3.0630962962644004E-002
0.329,3.0931649581409149E-002
0.33,3.1231192754157422E-002
0.331,3.1529358998400814E-002
0.332,3.1825916198353843E-002
0.333,3.2120633630176920E-002
0.334,3.2413282419609946E-002
0.335,3.2703635580234480E-002
0.336,3.2991468064104690E-002
0.337,3.3276563013910465E-002
0.338,3.3558818951079816E-002
0.339,3.3838238168003132E-002
0.34,3.4114826751163507E-002
0.341,3.4388590567362542E-002
0.342,3.4659535315208267E-002
0.343,3.4927666316813766E-002
0.344,3.5192988740350151E-002
0.345,3.5455507432941014E-002
0.346,3.5715226761780960E-002
0.347,3.5972150392567293E-002
0.348,3.6226248631579083E-002
0.349,3.6477435809940673E-002
0.35,3.6725620510725365E-002
0.351,3.6970710809733354E-002
0.352,3.7212614236332375E-002
0.353,3.7451238085215000E-002
0.354,3.7686489339359808E-002
0.355,3.7918274827036469E-002
0.356,3.8146501157553248E-002
0.357,3.8371075021227052E-002
0.358,3.8591901705384291E-002
0.359,3.8808882818546775E-002
0.36,3.9021919018528917E-002
0.361,3.9230910424219556E-002
0.362,3.9435756613174666E-002
0.363,3.9636356918058002E-002
0.364,3.9832610422190551E-002
0.365,4.0024415969625804E-002
0.366,4.0211672454331437E-002
0.367,4.0394278799503303E-002
0.368,4.0572139488671777E-002
0.369,4.0745176526116866E-002
0.37,4.0913315083442647E-002
0.371,4.1076479776406383E-002
0.372,4.1234594664354529E-002
0.373,4.1387583481868329E-002
0.374,4.1535369634565278E-002
0.375,4.1677876211343778E-002
0.376,4.1815026206097561E-002
0.377,4.1946742505005408E-002
0.378,4.2072947168659280E-002
0.379,4.2193558167527012E-002
0.38,4.2308491976557949E-002
0.381,4.2417664671968280E-002
0.382,4.2520991980878442E-002
0.383,4.2618389484498143E-002
0.384,4.2709772662599454E-002
0.385,4.2795056955941768E-002
0.386,4.2874157956804382E-002
0.387,4.2946991465525608E-002
0.388,4.3013473643876643E-002
0.389,4.3073521241673962E-002
0.39,4.3127050613284812E-002
0.391,4.3173977529149754E-002
0.392,4.3214217259305965E-002
0.393,4.3247684731836822E-002
0.394,4.3274294621255760E-002
0.395,4.3293961457531838E-002
0.396,4.3306599769443177E-002
0.397,4.3312124185836964E-002
0.398,4.3310459788483691E-002
0.399,4.3301625528636034E-002
0.4,4.3285690941465949E-002
0.401,4.3262726468296209E-002
0.402,4.3232802846258855E-002
0.403,4.3195990998536771E-002
0.404,4.3152361906658498E-002
0.405,4.3101986521569935E-002
0.406,4.3044935605027090E-002
0.407,4.2981279629752400E-002
0.408,4.2911088835028810E-002
0.409,4.2834434898847973E-002
0.41,4.2751391063623578E-002
0.411,4.2662031108070986E-002
0.412,4.2566429138536144E-002
0.413,4.2464659517898018E-002
0.414,4.2356796813573627E-002
0.415,4.2242915595420483E-002
0.416,4.2123090395933982E-002
0.417,4.1997395571552909E-002
0.418,4.1865905627247124E-002
0.419,4.1728698914794249E-002
0.42,4.1585856723374559E-002
0.421,4.1437460787513092E-002
0.422,4.1283593002703345E-002
0.423,4.1124335387378808E-002
0.424,4.0959770061690493E-002
0.425,4.0789978994916876E-002
0.426,4.0615043978783016E-002
0.427,4.0435046617040338E-002
0.428,4.0250068007800177E-002
0.429,4.0060188474337455E-002
0.43,3.9865488113641212E-002
0.431,3.9666047228667178E-002
0.432,3.9461946057915309E-002
0.433,3.9253264778253083E-002
0.434,3.9040083522350333E-002
0.435,3.8822482095082322E-002
0.436,3.8600539987224791E-002
0.437,3.8374336403310783E-002
0.438,3.8143950398362492E-002
0.439,3.7909463430924828E-002
0.44,3.7670958097543616E-002
0.441,3.7428516786369159E-002
0.442,3.7182221742906529E-002
0.443,3.6932154914056881E-002
0.444,3.6678398030782211E-002
0.445,3.6421032293499134E-002
0.446,3.6160138414820464E-002
0.447,3.5895796674533353E-002
0.448,3.5628089749923486E-002
0.449,3.5357113418112984E-002
0.45,3.5082967213174276E-002
0.451,3.4805750520980117E-002
0.452,3.4525562612374050E-002
0.453,3.4242502686781195E-002
0.454,3.3956669514007665E-002
0.455,3.3668161522984463E-002
0.456,3.3377076624226509E-002
0.457,3.3083512267370607E-002
0.458,3.2787550805158827E-002
0.459,3.2489238949749533E-002
0.46,3.2188617725521507E-002
0.461,3.1885727426274380E-002
0.462,3.1580607743244560E-002
0.463,3.1273297900874630E-002
0.464,3.0963836354604202E-002
0.465,3.0652260925273955E-002
0.466,3.0338608940810308E-002
0.467,3.0022917772754232E-002
0.468,2.9705270615884571E-002
0.469,2.9385820239792748E-002
0.47,2.9064725773353173E-002
0.471,2.8742146550637782E-002
0.472,2.8418242107497438E-002
0.473,2.8093172185652882E-002
0.474,2.7767096275304048E-002
0.475,2.7440173625367104E-002
0.476,2.7112563260889067E-002
0.477,2.6784415419425556E-002
0.478,2.6455764524791925E-002
0.479,2.6126559609199629E-002
0.48,2.5796748067897779E-002
0.481,2.5466277948345217E-002
0.482,2.5135097881248347E-002
0.483,2.4803157327615954E-002
0.484,2.4470406298722436E-002
0.485,2.4136795549916767E-002
