"time","heatCapacitor_T","switch_Controll"
0,2.9314999999999998E+002,2.0000000000000000E+001,0
1,2.9893678699721960E+002,2.5786786997219622E+001,1
2,2.9839787391923113E+002,2.5247873919231154E+001,1
3,3.0171918314011776E+002,2.8569183140117786E+001,1
4,3.0583856969218260E+002,3.2688569692182625E+001,0
5,3.1042833258380250E+002,3.7278332583802523E+001,0
6,3.1470924999426489E+002,4.1559249994264917E+001,0
7,3.1867559568144537E+002,4.5525595681445395E+001,0
8,3.2232649715507807E+002,4.9176497155078096E+001,0
9,3.2225922492854852E+002,4.9109224928548542E+001,0
10,3.2219576458596259E+002,4.9045764585962615E+001,0
11,3.2215497711866419E+002,4.9004977118664215E+001,1
12,3.2218719551523674E+002,4.9037195515236760E+001,1
13,3.2221948650337009E+002,4.9069486503370115E+001,1
14,3.2225191282788546E+002,4.9101912827885485E+001,1
15,3.2228436378112605E+002,4.9134363781126069E+001,1
16,3.2231683931899511E+002,4.9166839318995130E+001,1
17,3.2234933940163614E+002,4.9199339401636166E+001,1
18,3.2238186399258564E+002,4.9231863992585659E+001,1
19,3.2241441305812253E+002,4.9264413058122557E+001,1
20,3.2244698656661723E+002,4.9296986566617250E+001,1
21,3.2247958448810408E+002,4.9329584488104103E+001,1
22,3.2251220679401393E+002,4.9362206794013957E+001,1
23,3.2254485345669150E+002,4.9394853456691521E+001,1
24,3.2257752444921738E+002,4.9427524449217401E+001,1
25,3.2261021974513494E+002,4.9460219745134964E+001,1
