"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0,5.6568542494923804E+002,-0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.8000000000000000E+002
1,5.1700944884246826E+002,-5.5421666559141158E-005,-4.5289722612511355E+002,4.5289728154678011E+002,2.6092938935225510E+002,-5.2191420042649088E+002,2.6098481107423584E+002,2.8921312530812861E+003
2,5.1700944878059408E+002,-5.5421675824618433E-005,-4.5289722640683385E+002,4.5289728182850968E+002,2.6092938931696699E+002,-5.2191420036518025E+002,2.6098481104821326E+002,2.8921312545583578E+003
3,5.1700944897467366E+002,-5.5421673778255354E-005,-4.5289722562166924E+002,4.5289728104334301E+002,2.6092938941424461E+002,-5.2191420055768913E+002,2.6098481114344452E+002,2.8921312504977864E+003
4,5.1700944889162110E+002,-5.5421669230781845E-005,-4.5289722525536712E+002,4.5289728067703635E+002,2.6092938937462588E+002,-5.2191420047390420E+002,2.6098481109927826E+002,2.8921312481539526E+003
5,5.1700944889769016E+002,-5.5421669003408169E-005,-4.5289722660730911E+002,4.5289728202897811E+002,2.6092938937912606E+002,-5.2191420048267719E+002,2.6098481110355107E+002,2.8921312560265824E+003
6,5.1700944876721701E+002,-5.5421673266664584E-005,-4.5289722769749960E+002,4.5289728311917287E+002,2.6092938931284812E+002,-5.2191420035438455E+002,2.6098481104153643E+002,2.8921312620245226E+003
7,5.1700944901587422E+002,-5.5421669230781845E-005,-4.5289722443199099E+002,4.5289727985366022E+002,2.6092938943592890E+002,-5.2191420059651023E+002,2.6098481116058133E+002,2.8921312436905337E+003
8,5.1700944872470245E+002,-5.5421671277144924E-005,-4.5289722845699526E+002,4.5289728387866654E+002,2.6092938929334514E+002,-5.2191420031338907E+002,2.6098481102004394E+002,2.8921312663283143E+003
9,5.1700944877338145E+002,-5.5421670197119965E-005,-4.5289722872330503E+002,4.5289728414497523E+002,2.6092938931849091E+002,-5.2191420036260058E+002,2.6098481104410968E+002,2.8921312680020237E+003
10,5.1700944886184470E+002,-5.5421672868760652E-005,-4.5289722316742620E+002,4.5289727858909907E+002,2.6092938935583072E+002,-5.2191420043995186E+002,2.6098481108412113E+002,2.8921312359426365E+003
11,5.1700944916513117E+002,-5.5421671561362018E-005,-4.5289722325630675E+002,4.5289727867797831E+002,2.6092938950821633E+002,-5.2191420074341568E+002,2.6098481123519929E+002,2.8921312372443913E+003
12,5.1700944874703919E+002,-5.5421671277144924E-005,-4.5289723001682984E+002,4.5289728543850111E+002,2.6092938930607329E+002,-5.2191420033884538E+002,2.6098481103277209E+002,2.8921312754512469E+003
13,5.1700944890787071E+002,-5.5421676449896040E-005,-4.5289722639585023E+002,4.5289728181752668E+002,2.6092938938028163E+002,-5.2191420049243470E+002,2.6098481111215312E+002,2.8921312548240526E+003
14,5.1700944891677636E+002,-5.5421672016109369E-005,-4.5289722532562575E+002,4.5289728074729777E+002,2.6092938938588111E+002,-5.2191420049919998E+002,2.6098481111331881E+002,2.8921312486274028E+003
15,5.1700944890873006E+002,-5.5421668264443724E-005,-4.5289722528560668E+002,4.5289728070727494E+002,2.6092938938369377E+002,-5.2191420049107364E+002,2.6098481110737981E+002,2.8921312483739848E+003
16,5.1700944886235823E+002,-5.5421666786514834E-005,-4.5289722589147067E+002,4.5289728131313746E+002,2.6092938936185266E+002,-5.2191420044591348E+002,2.6098481108406082E+002,2.8921312517749484E+003
17,5.1700944888962886E+002,-5.5421672868760652E-005,-4.5289722684835056E+002,4.5289728227002342E+002,2.6092938937340375E+002,-5.2191420047509791E+002,2.6098481110169411E+002,2.8921312574065546E+003
18,5.1700944883291822E+002,-5.5421667241262185E-005,-4.5289722635587714E+002,4.5289728177754438E+002,2.6092938934736981E+002,-5.2191420041740253E+002,2.6098481107003266E+002,2.8921312543976633E+003
19,5.1700944885443403E+002,-5.5421668491817400E-005,-4.5289722599189128E+002,4.5289728141355977E+002,2.6092938935713840E+002,-5.2191420043819016E+002,2.6098481108105182E+002,2.8921312523380402E+003
20,5.1700944884377100E+002,-5.5421668832877913E-005,-4.5289722691742770E+002,4.5289728233909653E+002,2.6092938935256188E+002,-5.2191420042937830E+002,2.6098481107681636E+002,2.8921312576892619E+003
21,5.1700944880581835E+002,-5.5421669060251588E-005,-4.5289722660493254E+002,4.5289728202660160E+002,2.6092938933315946E+002,-5.2191420039080072E+002,2.6098481105764125E+002,2.8921312557749106E+003
22,5.1700944878549808E+002,-5.5421667354949022E-005,-4.5289722742786302E+002,4.5289728284953037E+002,2.6092938932467484E+002,-5.2191420037212629E+002,2.6098481104745144E+002,2.8921312605048215E+003
23,5.1700944880976931E+002,-5.5421671731892275E-005,-4.5289722840278068E+002,4.5289728382445242E+002,2.6092938933559697E+002,-5.2191420039834736E+002,2.6098481106275040E+002,2.8921312662334849E+003
24,5.1700944879667725E+002,-5.5421669742372615E-005,-4.5289722781747383E+002,4.5289728323914358E+002,2.6092938932946032E+002,-5.2191420038408467E+002,2.6098481105462434E+002,2.8921312627980260E+003
25,5.1700944884583600E+002,-5.5421673494038259E-005,-4.5289722812997212E+002,4.5289728355164561E+002,2.6092938935247639E+002,-5.2191420043386847E+002,2.6098481108139202E+002,2.8921312647414202E+003
