"time","Noise","Noise_Filt","Noise_Filt_Sat","Sine","Sine_Filt","Sine_Filt_Quantized"
0,5.0419341316903010E-001,6.3024176646128832E-002,6.3024176646128832E-002,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.02,5.0419341316903010E-001,6.3024176646128832E-002,6.3024176646128832E-002,3.9997333386666181E-002,2.0155764566426821E-005,0.0000000000000000E+000
0.04,5.0419341316903010E-001,6.3024176646128832E-002,6.3024176646128832E-002,7.9978668373268377E-002,1.7102014534922598E-004,0.0000000000000000E+000
0.06,3.3752485631197140E+000,4.8177903820378787E-001,4.8177903820378787E-001,1.1992801295888929E-001,5.7984191877292687E-004,0.0000000000000000E+000
0.08,3.3752485631197140E+000,4.8177903820378787E-001,4.8177903820378787E-001,1.5982938793834550E-001,1.3626174425713901E-003,0.0000000000000000E+000
0.1,-1.2125881533069673E+000,3.0611656713022739E-001,3.0611656713022739E-001,1.9966683329365645E-001,2.6245406824633825E-003,0.0000000000000000E+000
0.12,-1.2125881533069673E+000,3.0611656713022739E-001,3.0611656713022739E-001,2.3942441457783892E-001,4.4604544150858814E-003,0.0000000000000000E+000
0.14,-1.2125881533069673E+000,3.0611656713022739E-001,3.0611656713022739E-001,2.7908622928847315E-001,6.9553009737146638E-003,0.0000000000000000E+000
0.16,1.8177243492157451E+000,5.1802628242568427E-001,5.0000000000000000E-001,3.1863641322849218E-001,1.0184571036449198E-002,0.0000000000000000E+000
0.18,1.8177243492157451E+000,5.1802628242568427E-001,5.0000000000000000E-001,3.5805914685164864E-001,1.4214749084140270E-002,0.0000000000000000E+000
0.2,2.7746249747157992E-001,5.2680778048834753E-001,5.0000000000000000E-001,3.9733866159012271E-001,1.9103754277399687E-002,0.0000000000000000E+000
0.22,2.7746249747157992E-001,5.2680778048834753E-001,5.0000000000000000E-001,4.3645924616173898E-001,2.4901375618575874E-002,0.0000000000000000E+000
0.24,2.7746249747157992E-001,5.2680778048834753E-001,5.0000000000000000E-001,4.7540525285426954E-001,3.1649700375648640E-002,0.0000000000000000E+000
0.26,-5.4855954788778227E-001,4.3189744797795721E-001,4.3189744797795721E-001,5.1416110378431057E-001,3.9383534850647529E-002,0.0000000000000000E+000
0.28,-5.4855954788778227E-001,4.3189744797795721E-001,4.3189744797795721E-001,5.5271129712822786E-001,4.8130816675502494E-002,0.0000000000000000E+000
0.3,-1.3007991262323269E+000,2.4770268480001800E-001,2.4770268480001800E-001,5.9104041332267954E-001,5.7913017913276486E-002,1.0000000000000001E-001
0.32,-1.3007991262323269E+000,2.4770268480001800E-001,2.4770268480001800E-001,6.2913312123223597E-001,6.8745538332602565E-002,1.0000000000000001E-001
0.34,-1.3007991262323269E+000,2.4770268480001800E-001,2.4770268480001800E-001,6.6697418428162925E-001,8.0638088307958655E-002,1.0000000000000001E-001
0.36,1.9489999778399403E-001,2.5968005028301638E-001,2.5968005028301638E-001,7.0454846655018044E-001,9.3595060878276348E-002,1.0000000000000001E-001
0.38,1.9489999778399403E-001,2.5968005028301638E-001,2.5968005028301638E-001,7.4184093882596591E-001,1.0761589257141618E-001,1.0000000000000001E-001
0.4,8.1612375239030188E-001,3.4871151681765328E-001,3.4871151681765328E-001,7.7883668461730149E-001,1.2269541267238469E-001,1.0000000000000001E-001
0.42,8.1612375239030188E-001,3.4871151681765328E-001,3.4871151681765328E-001,8.1552090611914096E-001,1.3882418067894667E-001,1.0000000000000001E-001
0.44,8.1612375239030188E-001,3.4871151681765328E-001,3.4871151681765328E-001,8.5187893013199978E-001,1.5598881174964582E-001,2.0000000000000001E-001
0.46,3.5654631241534979E-001,3.7584423002868933E-001,3.7584423002868933E-001,8.8789621393104012E-001,1.7417229000632861E-001,2.0000000000000001E-001
0.48,3.5654631241534979E-001,3.7584423002868933E-001,3.7584423002868933E-001,9.2355835108296647E-001,1.9335426960621732E-001,2.0000000000000001E-001
0.5,7.2283651033176133E-001,4.4740658231872510E-001,4.4740658231872510E-001,9.5885107720840657E-001,2.1351136354755015E-001,2.0000000000000001E-001
0.52,7.2283651033176133E-001,4.4740658231872510E-001,4.4740658231872510E-001,9.9376027568747405E-001,2.3461742021794810E-001,2.0000000000000001E-001
0.54,7.2283651033176133E-001,4.4740658231872510E-001,4.4740658231872510E-001,1.0282719833062268E+000,2.5664378773613533E-001,3.0000000000000004E-001
0.56,7.0238466787481479E-001,5.1283433668714073E-001,5.0000000000000000E-001,1.0623723958417675E+000,2.7955956617557931E-001,3.0000000000000004E-001
0.58,7.0238466787481479E-001,5.1283433668714073E-001,5.0000000000000000E-001,1.0960478735837478E+000,3.0333184779319183E-001,3.0000000000000004E-001
0.6,-1.9603711314821001E-001,4.6268798070925743E-001,4.6268798070925743E-001,1.1292849467900714E+000,3.2792594541758074E-001,3.0000000000000004E-001
0.62,-1.9603711314821001E-001,4.6268798070925743E-001,4.6268798070925743E-001,1.1620703210746108E+000,3.5330560917962783E-001,4.0000000000000002E-001
0.64,-1.9603711314821001E-001,4.6268798070925743E-001,4.6268798070925743E-001,1.1943908827247849E+000,3.7943323179353605E-001,4.0000000000000002E-001
0.66,1.7724188912693613E+000,6.6110594308246506E-001,5.0000000000000000E-001,1.2262337039468683E+000,4.0627004261907806E-001,4.0000000000000002E-001
0.68,1.7724188912693613E+000,6.6110594308246506E-001,5.0000000000000000E-001,1.2575860480369379E+000,4.3377629075575586E-001,4.0000000000000002E-001
0.7,-7.3112434170942608E-001,5.3666010321466340E-001,5.0000000000000000E-001,1.2884353744753829E+000,4.6191141743705560E-001,5.0000000000000000E-001
0.72,-7.3112434170942608E-001,5.3666010321466340E-001,5.0000000000000000E-001,1.3187693439429471E+000,4.9063421800813634E-001,5.0000000000000000E-001
0.74,-7.3112434170942608E-001,5.3666010321466340E-001,5.0000000000000000E-001,1.3485758232562910E+000,5.1990299378321425E-001,5.0000000000000000E-001
0.76,-3.0020104558731693E+000,1.3457579106978423E-001,1.3457579106978423E-001,1.3778428902211035E+000,5.4967569408977213E-001,5.0000000000000000E-001
0.78,-3.0020104558731693E+000,1.3457579106978423E-001,1.3457579106978423E-001,1.4065588384008212E+000,5.7991004881564057E-001,6.0000000000000009E-001
0.8,-2.1872023009739276E+000,-1.4555328610544649E-001,-1.4555328610544649E-001,1.4347121817990462E+000,6.1056369178209025E-001,6.0000000000000009E-001
0.82,-2.1872023009739276E+000,-1.4555328610544649E-001,-1.4555328610544649E-001,1.4622916594537925E+000,6.4159427527148349E-001,6.0000000000000009E-001
0.84,-2.1872023009739276E+000,-1.4555328610544649E-001,-1.4555328610544649E-001,1.4892862399417195E+000,6.7295957604185341E-001,7.0000000000000007E-001
0.86,2.5629814192874125E+000,1.8209705561075262E-001,1.8209705561075262E-001,1.5156851257905548E+000,7.0461759316313677E-001,7.0000000000000007E-001
0.88,2.5629814192874125E+000,1.8209705561075262E-001,1.8209705561075262E-001,1.5414777577979395E+000,7.3652663801079932E-001,7.0000000000000007E-001
0.9,-6.0767730429300792E-001,9.7032539793588946E-002,9.7032539793588946E-002,1.5666538192549677E+000,7.6864541675234177E-001,8.0000000000000004E-001
0.92,-6.0767730429300792E-001,9.7032539793588946E-002,9.7032539793588946E-002,1.5912032400727329E+000,8.0093310566078568E-001,8.0000000000000004E-001
0.94,-6.0767730429300792E-001,9.7032539793588946E-002,9.7032539793588946E-002,1.6151162008102293E+000,8.3334941958680742E-001,8.0000000000000004E-001
0.96,-1.3575245424781799E+000,-7.7509655005862932E-002,-7.7509655005862932E-002,1.6383831366019974E+000,8.6585467391777970E-001,9.0000000000000002E-001
0.98,-1.3575245424781799E+000,-7.7509655005862932E-002,-7.7509655005862932E-002,1.6609947409839418E+000,8.9840984034772675E-001,9.0000000000000002E-001
1,-1.1859152420631003E+000,-2.2187357751345727E-001,-2.2187357751345727E-001,1.6829419696157937E+000,9.3097659677714650E-001,9.0000000000000002E-001
1.021,-1.1859152420631003E+000,-2.2187357751345727E-001,-2.2187357751345727E-001,1.7052619235188211E+000,9.6514306515191051E-001,1.0000000000000000E+000
1.041,-1.1859152420631003E+000,-2.2187357751345727E-001,-2.2187357751345727E-001,1.7258200324282429E+000,9.9761698751760131E-001,1.0000000000000000E+000
1.061,-1.0554553294325670E+000,-3.4271181481685536E-001,-3.4271181481685536E-001,1.7456878363353208E+000,1.0299904125677448E+000,1.0000000000000000E+000
1.081,-1.0554553294325670E+000,-3.4271181481685536E-001,-3.4271181481685536E-001,1.7648573883833918E+000,1.0622282788068063E+000,1.1000000000000001E+000
1.101,-6.8292720457930189E-001,-4.1094212464842544E-001,-4.1094212464842544E-001,1.7833210210072279E+000,1.0942964042667320E+000,1.1000000000000001E+000
1.121,-6.8292720457930189E-001,-4.1094212464842544E-001,-4.1094212464842544E-001,1.8010713489999577E+000,1.1261615073246145E+000,1.1000000000000001E+000
1.141,-6.8292720457930189E-001,-4.1094212464842544E-001,-4.1094212464842544E-001,1.8181012724670522E+000,1.1577912237049703E+000,1.2000000000000002E+000
1.161,-6.9507533582688519E-001,-4.7727943539436490E-001,-4.7727943539436490E-001,1.8344039796661873E+000,1.1891541199254494E+000,1.2000000000000002E+000
1.181,-6.9507533582688519E-001,-4.7727943539436490E-001,-4.7727943539436490E-001,1.8499729497318496E+000,1.2202197034358311E+000,1.2000000000000002E+000
1.201,-3.0239902356072718E-001,-4.9121534156973762E-001,-4.9121534156973762E-001,1.8648019552835964E+000,1.2509584296910909E+000,1.2000000000000002E+000
1.221,-3.0239902356072718E-001,-4.9121534156973762E-001,-4.9121534156973762E-001,1.8788850649169244E+000,1.2813417063901105E+000,1.3000000000000000E+000
1.241,-3.0239902356072718E-001,-4.9121534156973762E-001,-4.9121534156973762E-001,1.8922166455757528E+000,1.3113418951023554E+000,1.3000000000000000E+000
1.261,2.1085786272757674E+000,-2.0308224608177938E-001,-2.0308224608177938E-001,1.9047913648055699E+000,1.3409323104955613E+000,1.3000000000000000E+000
1.281,2.1085786272757674E+000,-2.0308224608177938E-001,-2.0308224608177938E-001,1.9166041928863444E+000,1.3700872173681748E+000,1.4000000000000001E+000
1.301,1.0403944336369206E-001,-1.7992320335722886E-001,-1.7992320335722886E-001,1.9276504048443464E+000,1.3987818256810880E+000,1.4000000000000001E+000
