"time","J1_w","J2_w","J3_w","J4_w"
0,1.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.003,9.9714972183370083E+000,2.9999917461157821E-002,4.3333392429900641E-015,4.3331997873844073E-015
0.006,9.9457518204354471E+000,5.9999358742107489E-002,3.5041414214731503E-015,3.5037398700713608E-015
0.009,9.9227354667013863E+000,8.9997733609488151E-002,3.1363800445660672E-015,3.1354127589467955E-015
0.012,9.9023532710130837E+000,1.1999481947055557E-001,3.5943470422239443E-015,3.5927300016113891E-015
0.015,9.8843257764401162E+000,1.4998916713103405E-001,3.1918911957973251E-015,3.1900427323573412E-015
0.018,9.8688385324558219E+000,1.7998173880443602E-001,2.9976021664879227E-015,2.9956070678805543E-015
0.021,9.8558915390601989E+000,2.0997253449076148E-001,2.9698465908722937E-015,2.9677896447575851E-015
0.024,9.8447520689799468E+000,2.3995941101050100E-001,2.0539125955565396E-015,2.0517858427748712E-015
0.027,9.8355393394068376E+000,2.6994271706617212E-001,3.4972025275692431E-015,3.4950130991804924E-015
0.03,9.8284202953816511E+000,2.9992294096112992E-001,1.2212453270876722E-015,1.2190214856451876E-015
0.033,9.8230393379208909E+000,3.2989932349174822E-001,2.8865798640254070E-015,2.8842725799450607E-015
0.036,9.8184200823783510E+000,3.5986978007733761E-001,1.0547118733938987E-015,1.0520598924795561E-015
0.039,9.8152265516949218E+000,3.8983572840651703E-001,1.4988010832439613E-015,1.4956874817245323E-015
0.042,9.8134587458706015E+000,4.1979716847928294E-001,6.6613381477509392E-016,6.6244166887948853E-016
0.045,9.8123939999399621E+000,4.4975278035447452E-001,2.8865798640254070E-015,2.8825238877848780E-015
0.048,9.8119593439785202E+000,4.7970243075316432E-001,2.1094237467877974E-015,2.1052521408235787E-015
0.051,9.8115645885520451E+000,5.0964513461851269E-001,1.6653345369377348E-015,1.6610915439736500E-015
0.054,9.8113021779338201E+000,5.3958104905047399E-001,2.6645352591003757E-015,2.6602860356798305E-015
0.057,9.8104784700071299E+000,5.6950903592887236E-001,1.8873791418627661E-015,1.8831690097437925E-015
0.06,9.8092609150464156E+000,5.9942936779086153E-001,2.4424906541753444E-015,2.4383679170748432E-015
0.063,9.8069276805934162E+000,6.2934082583810103E-001,6.6613381477509392E-016,6.6207448713582819E-016
0.066,9.8035671944609000E+000,6.5924355937902668E-001,2.1094237467877974E-015,2.1054126988227655E-015
0.069,9.7990637889739656E+000,6.8913737311129175E-001,2.3314683517128287E-015,2.3274788698773794E-015
0.072,9.7929447296331436E+000,7.1902132432438925E-001,2.8865798640254070E-015,2.8829063577429423E-015
0.075,9.7850945364654702E+000,7.4889521810887061E-001,1.8873791418627661E-015,1.8843042619026555E-015
0.078,9.7753475548967597E+000,7.7875875453039356E-001,1.5543122344752192E-015,1.5521536245021952E-015
0.081,9.7635206434388060E+000,8.0861137839908714E-001,1.3322676295501878E-015,1.3311312175476316E-015
0.084,9.7494263454672048E+000,8.3845260480102013E-001,1.1102230246251565E-016,1.1090171634069424E-016
0.087,9.7328695016420692E+000,8.6828207426803417E-001,1.1102230246251565E-015,1.1111770536292126E-015
0.09,9.7138442261362030E+000,8.9809933719608281E-001,5.5511151231257827E-016,5.5710533156291878E-016
0.093,9.6924584551917707E+000,9.2790392943098610E-001,7.7715611723760958E-016,7.8002148846143944E-016
