"time","y_sum","y_product","y_triggeredAdd","y_multiSwitch"
0,1,0,0,4
0.02,1,0,0,4
0.04,1,0,0,4
0.06,1,0,0,4
0.08,1,0,0,4
0.11,1,0,0,4
0.13,1,0,0,4
0.15,1,0,0,4
0.16,1,0,0,4
0.18,1,0,0,4
0.2,1,0,0,4
0.22,1,0,0,4
0.24,1,0,0,4
0.26,1,0,0,4
0.28,2,0,0,4
0.3,2,0,0,4
0.32,2,0,0,4
0.34,2,0,0,4
0.36,2,0,0,4
0.38,2,0,0,4
0.4,2,0,0,4
0.42,2,0,0,4
0.44,2,0,0,4
0.46,2,0,0,4
0.48,2,0,0,4
0.5,2,0,0,6
0.52,2,0,0,6
0.54,2,0,0,6
0.56,2,0,0,6
0.58,2,0,0,6
0.6,2,0,0,6
0.62,2,0,0,6
0.64,2,0,0,6
0.66,2,0,0,6
0.68,2,0,0,6
0.7,2,0,0,6
0.72,2,0,0,6
0.74,2,0,0,6
0.76,2,0,0,6
0.78,2,0,0,6
0.8,2,0,0,6
0.82,2,0,0,6
0.84,3,0,0,6
0.86,3,0,0,6
0.88,3,0,0,6
0.9,3,0,0,6
0.92,3,0,0,6
0.94,3,0,0,6
0.96,3,0,0,6
0.98,3,0,0,6
1,3,0,1,4
1.02,3,0,1,4
1.04,3,0,1,4
1.06,3,0,1,4
1.08,3,0,1,4
1.1,3,0,1,4
1.12,3,0,1,4
1.14,3,0,1,4
1.16,3,0,1,4
1.18,3,0,1,4
1.2,3,0,1,4
1.22,3,0,1,4
1.24,3,0,1,4
1.26,3,0,1,4
1.28,3,0,1,4
1.3,3,0,1,4
1.32,3,0,1,4
1.34,3,0,1,4
1.36,3,0,1,4
1.38,3,0,1,4
1.4,3,0,1,4
1.42,3,0,1,4
1.44,3,0,1,4
1.46,3,0,1,4
1.48,3,0,1,4
1.5,3,0,1,6
1.52,3,0,1,6
1.54,3,0,1,6
1.56,3,0,1,6
1.58,4,0,1,6
1.6,4,0,1,2
1.62,4,0,1,2
1.64,4,0,1,2
1.66,4,0,1,2
1.68,4,0,1,2
1.7,4,0,1,2
1.72,4,0,1,2
1.74,4,0,1,2
1.76,4,0,1,2
1.78,4,0,1,2
1.8,4,0,1,2
1.82,4,0,1,2
1.84,4,0,1,2
1.86,4,0,1,2
1.88,4,0,1,2
1.9,4,0,1,2
1.92,4,0,1,2
1.94,4,0,1,2
1.96,4,0,1,2
1.98,4,0,1,2
2,4,0,2,4
2.02,7,21,2,4
2.04,7,21,2,4
2.06,7,21,2,4
2.09,7,21,2,4
2.11,7,21,2,4
2.13,7,21,2,4
2.15,7,21,2,4
2.17,7,21,2,4
2.19,7,21,2,4
2.21,7,21,2,4
2.23,7,21,2,4
2.25,7,21,2,4
2.27,7,21,2,4
2.29,7,21,2,4
2.31,7,21,2,4
2.33,7,21,2,4
2.35,7,21,2,4
2.37,7,21,2,4
2.39,7,21,2,4
2.41,7,21,2,4
2.43,7,21,2,4
2.45,7,21,2,4
2.47,7,21,2,4
2.49,7,21,2,4
2.51,7,21,2,6
2.53,7,21,2,6
2.55,7,21,2,6
2.57,7,21,2,6
2.59,7,21,2,6
2.61,7,21,2,6
2.63,7,21,2,6
2.65,7,21,2,6
2.67,7,21,2,6
2.69,7,21,2,6
2.71,7,21,2,6
2.73,7,21,2,6
2.75,7,21,2,6
2.77,7,21,2,6
2.79,7,21,2,6
2.81,7,21,2,6
2.83,7,21,2,6
2.85,7,21,2,6
2.87,7,21,2,6
2.89,7,21,2,6
2.91,7,21,2,6
2.93,7,21,2,6
2.95,7,21,2,6
2.97,7,21,2,6
2.99,7,21,2,6
3.01,7,21,3,4
3.03,7,21,3,4
3.05,7,21,3,4
3.07,7,21,3,4
3.09,7,21,3,4
3.11,7,21,3,4
3.13,7,21,3,4
3.15,7,21,3,4
3.17,7,21,3,4
3.19,7,21,3,4
3.21,7,21,3,4
3.23,7,21,3,4
3.25,7,21,3,4
3.27,7,21,3,4
3.29,7,21,3,4
3.31,7,21,3,4
3.33,7,21,3,4
3.35,7,21,3,4
3.37,7,21,3,4
3.39,7,21,3,4
3.41,7,21,3,4
3.43,7,21,3,4
3.45,6,18,3,4
3.47,6,18,3,4
3.49,6,18,3,4
3.51,6,18,3,6
3.53,6,18,3,6
3.55,6,18,3,6
3.57,6,18,3,6
3.59,6,18,3,6
3.61,6,18,3,2
3.63,6,18,3,2
3.65,6,18,3,2
3.67,6,18,3,2
3.69,6,18,3,2
3.71,6,18,3,2
3.73,6,18,3,2
3.75,6,18,3,2
3.77,6,18,3,2
3.79,6,18,3,2
3.81,6,18,3,2
3.83,6,18,3,2
3.85,6,18,3,2
3.87,6,18,3,2
3.89,6,18,3,2
3.91,6,18,3,2
3.93,6,18,3,2
3.95,6,18,3,2
3.97,6,18,3,2
3.99,6,18,3,2
4.01,6,18,4,4
4.03,6,18,4,4
4.05,6,18,4,4
