"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0,5.6568542494923804E+002,-0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.8000000000000000E+002
0.0002,5.5900834854612617E+002,6.1466527990467923E-002,-1.0486724314021196E+000,9.8720590341165171E-001,3.1223792393189422E+002,-5.6300925840685397E+002,2.5077133447495979E+002,7.8942412814776162E+002
0.0004,5.5236814123055615E+002,1.2274588029727340E-001,-6.7373098147039698E+000,6.6145639344066964E+000,3.3956319169940735E+002,-5.5638038035578370E+002,2.1681718865637635E+002,7.9931137990790785E+002
0.0006,5.4583048812560821E+002,1.8354083906680252E-001,-1.5964813993976019E+001,1.5781273154909217E+001,3.6670107856429627E+002,-5.4986113452113455E+002,1.8316005595683822E+002,8.2784961662376520E+002
0.0008,5.3941762030372524E+002,2.4361142733384966E-001,-2.4857956146770963E+001,2.4614344719437113E+001,3.9353883833299938E+002,-5.4346600572096543E+002,1.4992716738796605E+002,8.5942695729226443E+002
0.001,5.3309976846791506E+002,3.0272058953433856E-001,-2.9603441496409548E+001,2.9300720906875210E+001,4.1993924531378843E+002,-5.3715759837295150E+002,1.1721835305916301E+002,8.7798309538364560E+002
0.0012002,5.2679068412117249E+002,3.6069229046140450E-001,-2.6541807928821331E+001,2.6181115638359927E+001,4.4576749828252224E+002,-5.3084234541171020E+002,8.5074847129187958E+001,8.6776268313431001E+002
0.0014002,5.2037594796754911E+002,4.1718195441374561E-001,-1.2281759738621300E+001,1.1864577784207555E+001,4.7079070856268061E+002,-5.2439904553007841E+002,5.3608336967397832E+001,8.1466335564627298E+002
0.0016002,5.1373841096245746E+002,4.4999608844187033E-001,-9.2365739196871566E-001,4.7366130352684532E-001,4.8386765562073901E+002,-4.9570026316322651E+002,1.1832607542487494E+001,7.4415543990384720E+002
0.0018002,5.0706430438384905E+002,4.9156324705376819E-001,-9.3572326795593519E-001,4.4416002090216700E-001,5.0131420037734756E+002,-4.7761258730154691E+002,-2.3701613075800594E+001,7.3657088040822418E+002
0.0020002,5.0040592170982467E+002,6.4721087345353583E+000,-6.8706216055818636E+000,3.9851287104650523E-001,5.0441825561598745E+002,-4.5146576258748263E+002,-5.2952493028504819E+001,7.3419709012542774E+002
0.0022002,4.9402443556546666E+002,4.3933502336748973E+001,-4.4275025687147284E+001,3.4152335039831311E-001,4.9811164795740706E+002,-4.1981766993936452E+002,-7.8293978018042509E+001,8.5075219229413915E+002
0.0024002,4.8835075725765483E+002,1.1195435645392854E+002,-1.1223754244768652E+002,2.8318599375798509E-001,4.9257396423183496E+002,-3.8788012058776530E+002,-1.0469384364406966E+002,1.1117801507346644E+003
0.0026002,4.8375983632731317E+002,2.0542435458212401E+002,-2.0564808560996428E+002,2.2373102784026561E-001,4.8816993283773610E+002,-3.5595059220440294E+002,-1.3221934063333319E+002,1.5186547541227167E+003
0.0028002,4.8055321730843247E+002,3.1861707621684849E+002,-3.1878046931227243E+002,1.6339309542392111E-001,4.8518964511109914E+002,-3.2429145196397616E+002,-1.6089819314712301E+002,2.0705290528472128E+003
0.003,4.7895307521500098E+002,4.4519335360595500E+002,-4.4529582515643386E+002,1.0247155047888522E-001,4.8384259759809061E+002,-2.9315712527421192E+002,-1.9068547232387866E+002,2.7581155727343339E+003
0.0032,4.7909296346018596E+002,5.7890003456322552E+002,-5.7894111938982792E+002,4.1084826602435356E-002,4.8424983727133827E+002,-2.6266735247927954E+002,-2.2158248479205872E+002,3.5625601355289318E+003
0.0034,4.8102303594953094E+002,7.1305742184276426E+002,-7.1303695751670807E+002,-2.0464326056148535E-002,4.8644815885769560E+002,-2.3299190616862072E+002,-2.5345625268907486E+002,4.4496455497407751E+003
0.0036,4.8470693015911121E+002,8.4081808239744737E+002,-8.4073615058495614E+002,-8.1931812491186029E-002,4.9038750529765821E+002,-2.0422780543737082E+002,-2.8615969986028733E+002,5.3695594338021810E+003
0.0038,4.9001637884309787E+002,9.5564509277514776E+002,-9.5550201617247831E+002,-1.4307660266950498E-001,4.9592653600913070E+002,-1.7642489513158307E+002,-3.1950164087754763E+002,6.2610115606451345E+003
0.004,4.9673787288297638E+002,1.0513036164690632E+003,-1.0510999598201108E+003,-2.0365664895229879E-001,5.0283927288211976E+002,-1.4959121013668789E+002,-3.5324806274543187E+002,7.0544427077021101E+003
