"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0,5.6568542494923804E+002,-0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.8000000000000011E+002
0.0002,5.5900835123978197E+002,6.1466531031270311E-002,-1.0486232111101335E+000,9.8715668007886315E-001,3.1223792674990040E+002,-5.6300926100206095E+002,2.5077133425216056E+002,7.8942393878704831E+002
0.0004,5.5236815249931533E+002,1.2274588513341822E-001,-6.7371130698230290E+000,6.6143671846896108E+000,3.3956319955510332E+002,-5.5638039123102612E+002,2.1681719167592283E+002,7.9931061942766382E+002
0.0006,5.4583029282280631E+002,1.8354083844979030E-001,-1.5964657514930954E+001,1.5781116676481163E+001,3.6670098044810578E+002,-5.4986093890576615E+002,1.8315995845766037E+002,8.2784844686990095E+002
0.0008,5.3941503325064218E+002,2.4361145847313637E-001,-2.4862184398581359E+001,2.4618572940108223E+001,3.9353756460693586E+002,-5.4346342712952048E+002,1.4992586252258462E+002,8.5943730834981818E+002
0.001,5.3309663576551952E+002,3.0272059193002576E-001,-2.9613316382712199E+001,2.9310595790782173E+001,4.1993769003844346E+002,-5.3715448542657191E+002,1.1721679538812845E+002,8.7801539639364660E+002
0.0012002,5.2678780119739508E+002,3.6069228919957652E-001,-2.6556617048185718E+001,2.6195924758986141E+001,4.4576607100170713E+002,-5.3083949211190907E+002,8.5073421110201906E+001,8.6781587604618358E+002
0.0014002,5.2037326650188220E+002,4.1718195429055882E-001,-1.2301519354067072E+001,1.1884337399776513E+001,4.7078938753053109E+002,-5.2439640358896611E+002,5.3607016058435022E+001,8.1473636136997891E+002
0.0016002,5.1373584763653571E+002,4.4999864681815077E-001,-9.2366250871200151E-001,4.7366386189385074E-001,4.8386765315359838E+002,-4.9570026069144831E+002,1.1832607537849924E+001,7.4415254058527023E+002
0.0018002,5.0706174101485362E+002,4.9156562895408251E-001,-9.3572851802205714E-001,4.4416288906797463E-001,5.0131410965082046E+002,-4.7761273970776648E+002,-2.3701369943053976E+001,7.3656813142169551E+002
0.0020002,5.0040336824694867E+002,6.4745484081649831E+000,-6.8730612792129655E+000,3.9851287104798216E-001,5.0441570703756088E+002,-4.5146448829900783E+002,-5.2951218738553052E+001,7.3420051488453441E+002
0.0022002,4.9402194315376767E+002,4.3940136998420130E+001,-4.4281660348837939E+001,3.4152335041781168E-001,4.9810916882000299E+002,-4.1981643038041182E+002,-7.8292738439591176E+001,8.5077373493820801E+002
0.0024002,4.8834837926032674E+002,1.1196501607907967E+002,-1.1224820207298343E+002,2.8318599390376353E-001,4.9257160755849191E+002,-3.8787894232398304E+002,-1.0469266523450889E+002,1.1118217530401148E+003
0.0026002,4.8375762481101663E+002,2.0543878050415444E+002,-2.0566251153203899E+002,2.2373102788454538E-001,4.8816775017767793E+002,-3.5594950089651377E+002,-1.3221824928116413E+002,1.5187189602643907E+003
0.0028002,4.8055122240062872E+002,3.1863493407147934E+002,-3.1879832716670262E+002,1.6339309522331005E-001,4.8518768592295868E+002,-3.2429047226960040E+002,-1.6089721365335831E+002,2.0706184485473777E+003
0.003,4.7895133980135478E+002,4.4521429663477579E+002,-4.4531676818533401E+002,1.0247155055821017E-001,4.8384090407393109E+002,-2.9315627855179474E+002,-1.9068462552213634E+002,2.7582324817721233E+003
0.0032,4.7909152973663879E+002,5.7892329476231248E+002,-5.7896437958857962E+002,4.1084826267166599E-002,4.8424845007100998E+002,-2.6266665871148092E+002,-2.2158179135952906E+002,3.5627036002227674E+003
