"time","PistonPosition","ExtendPressure","RetractPressure","ExtendFlow","RetractFlow"
0,0.0000000000000000E+000,3.3785336555999997E+001,6.7562673110999995E+001,-1.4887608956000000E+000,-2.2100201170000000E+000
0.01,1.2231176264699386E-003,3.3815115388274677E+001,6.7247115414864410E+001,1.1526905814591148E-001,-1.1982415125652490E-001
0.02,2.2995010629976763E-003,3.3717363445852698E+001,6.7314351278553531E+001,-1.0149518429386384E-002,6.2041794911676940E-003
0.03,2.4622654800548166E-003,3.3679616846080194E+001,6.7377491620287330E+001,-3.7805260701064713E-002,3.3305157548386144E-002
0.04,2.2463551354151832E-003,3.3677123794155179E+001,6.7418103795377363E+001,-4.6034913661105681E-002,4.0709658947959637E-002
0.05,1.9074285938585713E-003,3.3685998672827296E+001,6.7450522177762693E+001,-4.8249755881844769E-002,4.2032317124693019E-002
0.06,1.5366072033480300E-003,3.3699114777632126E+001,6.7477268225470041E+001,-4.5862840568616670E-002,3.8786402537672182E-002
0.07,1.1815737207200190E-003,3.3713544379270914E+001,6.7498252476780067E+001,-4.0755965233784108E-002,3.2918672718487030E-002
0.08,8.6918252250689824E-004,3.3727418423868954E+001,6.7513970410199207E+001,-3.4624790353833923E-002,2.6153634733019460E-002
0.09,6.1074631428639889E-004,3.3739674114908127E+001,6.7525290909572774E+001,-2.8532892452038494E-002,1.9558198256210857E-002
0.1,4.0732937677986187E-004,3.3749871234854268E+001,6.7533131532578963E+001,-2.3054076219924724E-002,1.3695197991980934E-002
0.11,2.5418807574025226E-004,3.3757965603653972E+001,6.7538334887291768E+001,-1.8445813033000302E-002,8.8044498843801167E-003
0.12,1.4382669391592136E-004,3.3764135420246959E+001,6.7541622235733755E+001,-1.4767666989243255E-002,4.9259062057102065E-003
0.13,6.7944235256041453E-005,3.3768664858974134E+001,6.7543578537559341E+001,-1.1963151053854149E-002,1.9842898293878086E-003
0.14,1.8592122001826509E-005,3.3771869697235694E+001,6.7544656495121856E+001,-9.9164776568428925E-003,-1.5270072134165869E-004
0.15,-1.1215078550246084E-005,3.3774052875511451E+001,6.7545191515825366E+001,-8.4900158655270008E-003,-1.6363507123016152E-003
0.16,-2.7252363653681284E-005,3.3775480969507250E+001,6.7545421375386752E+001,-7.5472679018222522E-003,-2.6139061563211774E-003
0.17,-3.4063368839098108E-005,3.3776374804733166E+001,6.7545506629843445E+001,-6.9655495716217652E-003,-3.2161534432226802E-003
0.18,-3.5064999017555355E-005,3.3776908514058952E+001,6.7545549732575893E+001,-6.6417148121213909E-003,-3.5520979246927986E-003
0.19,-3.2721281873922038E-005,3.3777212564857635E+001,6.7545610746329515E+001,-6.4934502162629082E-003,-3.7080774488397195E-003
0.2,-2.8729112713134232E-005,3.3777381316539255E+001,6.7545719745743156E+001,-6.4579887810456427E-003,-3.7494785710682210E-003
0.21,-2.4192568207842809E-005,3.3777479762509074E+001,6.7545887593604832E+001,-6.4894666065596907E-003,-3.7237550058586422E-003
0.22,-1.9778997236423518E-005,3.3777550298861883E+001,6.7546113551002449E+001,-6.5558683925123207E-003,-3.6637888711149591E-003
0.23,-1.5848495083139691E-005,3.3777618688691042E+001,6.7546390509799508E+001,-6.6359730824995244E-003,-3.5911831423275364E-003
0.24,-1.2555190216176329E-005,3.3777698954955895E+001,6.7546708526887571E+001,-6.7166242644751684E-003,-3.5191700151385730E-003
0.25,-9.9236585377592272E-006,3.3777797245773996E+001,6.7547057112916875E+001,-6.7904287149725961E-003,-3.4550426166399806E-003
0.26,-7.9041544209333828E-006,3.3777914767011318E+001,6.7547426514594676E+001,-6.8539151457766012E-003,-3.4020852323146666E-003
0.27,-6.4101206419171796E-006,3.3778049840825418E+001,6.7547808253351718E+001,-6.9061294106019799E-003,-3.3610326836186477E-003
0.28,-5.3428166302770004E-006,3.3778199355045722E+001,6.7548195465542065E+001,-6.9476118574790524E-003,-3.3311305396153124E-003
0.29,-4.6062654517086451E-006,3.3778359716153325E+001,6.7548582871060049E+001,-6.9796850289421952E-003,-3.3108665939155513E-003
0.3,-4.1153699494478845E-006,3.3778527425388951E+001,6.7548966608650659E+001,-7.0039786319540109E-003,-3.2984543135006206E-003
0.31,-3.7992132014435864E-006,3.3778699382738395E+001,6.7549343999745616E+001,-7.0221382211740346E-003,-3.2921253497795178E-003
0.32,-3.6016788465698006E-006,3.3778873023668339E+001,6.7549713308944064E+001,-7.0356584534148059E-003,-3.2902939212751114E-003
0.33,-3.4802966400796724E-006,3.3779046340397542E+001,6.7550073515578163E+001,-7.0458060808353817E-003,-3.2916292936728819E-003
0.34,-3.4042887404104361E-006,3.3779217839900411E+001,6.7550424117455890E+001,-7.0535990570030904E-003,-3.2950715292472399E-003
0.35,-3.3523664538507176E-006,3.3779386471205640E+001,6.7550764971083183E+001,-7.0598184320151969E-003,-3.2998146013825114E-003
0.36,-3.3105789439979908E-006,3.3779551541544940E+001,6.7551096166841077E+001,-7.0650379499416216E-003,-3.3052723351589819E-003
0.37,-3.2703805453980954E-006,3.3779712633470893E+001,6.7551417937218517E+001,-7.0696618597838601E-003,-3.3110368739993623E-003
0.38,-3.2270768523053912E-006,3.3779869534069761E+001,6.7551730590906743E+001,-7.0739604127803002E-003,-3.3168402744323533E-003
0.39,-3.1785602328848912E-006,3.3780022174181831E+001,6.7552034468448568E+001,-7.0781036977463074E-003,-3.3225184403649077E-003
0.4,-3.1243619699310481E-006,3.3780170580649632E+001,6.7552329913516090E+001,-7.0821898126912641E-003,-3.3279813323612295E-003
0.41,-3.0649648214912898E-006,3.3780314840209115E+001,6.7552617256740589E+001,-7.0862677091083626E-003,-3.3331890198611269E-003
0.42,-3.0013306054680326E-006,3.3780455073455066E+001,6.7552896807220904E+001,-7.0903544876468327E-003,-3.3381336588078625E-003
0.43,-2.9345896220824380E-006,3.3780591416737934E+001,6.7553168849311191E+001,-7.0944481417123395E-003,-3.3428263013396409E-003
0.44,-2.8658517215713318E-006,3.3780724010347321E+001,6.7553433642851203E+001,-7.0985365089267782E-003,-3.3472877034078641E-003
