"time","Resistor_1.R","Resistor_1.v","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.6933390059999999E+002,-2.6933390059999999E+002
0.0001,1.0000000000000000E+000,5.3865702789784393E+002,0.0000000000000000E+000,2.6933390059999999E+002,-2.6933390059999999E+002
0.0002,1.0000000000000000E+000,5.3839123311381934E+002,9.7687460730000009E+000,2.6431662749999998E+002,-2.7408537360000003E+002
0.0003,1.0000000000000000E+000,5.3759411125649547E+002,1.9527851569999999E+001,2.5903850590000002E+002,-2.7856635740000002E+002
0.0004,1.0000000000000000E+000,5.3626644891014075E+002,2.9267685440000005E+001,2.5350474449999999E+002,-2.8277242990000002E+002
0.0005,1.0000000000000000E+000,5.3440955624855098E+002,3.8978635640000000E+001,2.4772080450000001E+002,-2.8669944010000000E+002
0.0006,1.0000000000000000E+000,5.3202526593507253E+002,4.8651118629999999E+001,2.4169239400000001E+002,-2.9034351260000000E+002
0.0007,1.0000000000000000E+000,5.2911593092264570E+002,5.8275588840000005E+001,2.3542546229999999E+002,-2.9370105109999997E+002
0.0008,1.0000000000000000E+000,5.2568442245384449E+002,6.7842548070000021E+001,2.2892619409999998E+002,-2.9676874220000002E+002
0.0009,1.0000000000000000E+000,5.2173412686094139E+002,7.7342554910000018E+001,2.2220100339999996E+002,-2.9954355829999997E+002
0.001,1.0000000000000000E+000,5.1726894266596491E+002,8.6766233980000010E+001,2.1525652709999997E+002,-3.0202276110000003E+002
0.0011,1.0000000000000000E+000,5.1229327638078337E+002,9.6104285250000018E+001,2.0809961859999999E+002,-3.0420390379999998E+002
0.0012,1.0000000000000000E+000,5.0681203860718318E+002,1.0534749320000002E+002,2.0073734089999996E+002,-3.0608483410000002E+002
0.0013,1.0000000000000000E+000,5.0083063853697900E+002,1.1448673590000004E+002,1.9317695969999997E+002,-3.0766369560000004E+002
0.0014,1.0000000000000000E+000,4.9435497895211336E+002,1.2351299400000003E+002,1.8542593609999997E+002,-3.0893893009999999E+002
0.0015,1.0000000000000000E+000,4.8739145072476703E+002,1.3241735970000005E+002,1.7749191949999997E+002,-3.0990927920000001E+002
0.0016,1.0000000000000000E+000,4.7994692611749252E+002,1.4119104540000004E+002,1.6938273989999996E+002,-3.1057378530000000E+002
0.0017,1.0000000000000000E+000,4.7202875178335466E+002,1.4982539260000001E+002,1.6110639989999996E+002,-3.1093179259999999E+002
0.0018,1.0000000000000000E+000,4.6928544215037039E+002,1.5831188030000007E+002,1.5267106739999994E+002,-3.1098294770000001E+002
0.0019,1.0000000000000000E+000,4.7735978606106983E+002,1.6664213320000005E+002,1.4408506689999993E+002,-3.1072720019999997E+002
