"time","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
0,1.0000000000000000E+000,0.0000000000000000E+000,4.5000000000000001E-001,0.0000000000000000E+000,3.0000000000000000E+001,0.0000000000000000E+000,3.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+003,4.0000000000000000E+001
1,1.0000000000000000E+000,9.0968947414161627E-001,4.5000000000000001E-001,4.9538567877874107E-001,3.0000000000000000E+001,2.2368898689663844E+001,3.0000000000000000E+000,9.8712409493902231E-001,1.0000000000000000E+003,4.0000000000000000E+001
2,1.0000000000000000E+000,9.5334950089260517E-001,4.5000000000000001E-001,5.2216306089236142E-001,3.0000000000000000E+001,2.2411033411793497E+001,3.0000000000000000E+000,9.7768936088857750E-001,1.0000000000000000E+003,4.0000000000000000E+001
3,1.0000000000000000E+000,9.9252425555512303E-001,4.5000000000000001E-001,5.3485065513314212E-001,3.0000000000000000E+001,2.2447542848032072E+001,3.0000000000000000E+000,9.7087191256430805E-001,1.0000000000000000E+003,4.0000000000000000E+001
4,1.0000000000000000E+000,1.0220086935274266E+000,4.5000000000000001E-001,5.3716077923365568E-001,3.0000000000000000E+001,3.0218986335730033E+001,3.0000000000000000E+000,1.2053756687837212E+000,1.0000000000000000E+003,4.0000000000000000E+001
5,1.0000000000000000E+000,1.0297312117741209E+000,4.5000000000000001E-001,5.3208316549708312E-001,3.0000000000000000E+001,3.0172276447720332E+001,3.0000000000000000E+000,2.1018124416523039E+000,1.0000000000000000E+003,4.0000000000000000E+001
6,1.0000000000000000E+000,1.0224364350893858E+000,4.5000000000000001E-001,5.2269556072846901E-001,3.0000000000000000E+001,3.0095553572239584E+001,3.0000000000000000E+000,3.3497125627231443E+000,1.0000000000000000E+003,4.0000000000000000E+001
7,1.0000000000000000E+000,1.0099400677356347E+000,4.5000000000000001E-001,5.1141050807755384E-001,3.0000000000000000E+001,3.0039383311521998E+001,3.0000000000000000E+000,4.1260495211879755E+000,1.0000000000000000E+003,4.0000000000000000E+001
8,1.0000000000000000E+000,9.9955273957244595E-001,4.5000000000000001E-001,4.9986817237714021E-001,3.0000000000000000E+001,3.0004357763335779E+001,3.0000000000000000E+000,3.8769321355432069E+000,1.0000000000000000E+003,4.0000000000000000E+001
9,1.0000000000000000E+000,9.9435011352484870E-001,4.5000000000000001E-001,4.8903653473770614E-001,3.0000000000000000E+001,2.9986833855644061E+001,3.0000000000000000E+000,3.3589798240057283E+000,1.0000000000000000E+003,4.0000000000000000E+001
10,1.0000000000000000E+000,9.9392886593257634E-001,4.5000000000000001E-001,4.7939879262332435E-001,3.0000000000000000E+001,2.9983373266279106E+001,3.0000000000000000E+000,3.0310332501233823E+000,1.0000000000000000E+003,4.0000000000000000E+001
11,1.0000000000000000E+000,9.9615929279687987E-001,4.5000000000000001E-001,4.7114070879103431E-001,3.0000000000000000E+001,2.9988877394068684E+001,3.0000000000000000E+000,2.8973111365754853E+000,1.0000000000000000E+003,4.0000000000000000E+001
12,1.0000000000000000E+000,9.9883534378286820E-001,4.5000000000000001E-001,4.6428917121688684E-001,3.0000000000000000E+001,2.9996744962890173E+001,3.0000000000000000E+000,2.8887669839651435E+000,1.0000000000000000E+003,4.0000000000000000E+001
13,1.0000000000000000E+000,1.0006282370415531E+000,4.5000000000000001E-001,4.5879088285899988E-001,3.0000000000000000E+001,3.0002160301387995E+001,3.0000000000000000E+000,2.9389290893801006E+000,1.0000000000000000E+003,4.0000000000000000E+001
14,1.0000000000000000E+000,1.0012365886194357E+000,4.5000000000000001E-001,4.5454733915295908E-001,3.0000000000000000E+001,3.0003906721980048E+001,3.0000000000000000E+000,2.9944724849410105E+000,1.0000000000000000E+003,4.0000000000000000E+001
15,1.0000000000000000E+000,1.0010123357460485E+000,4.5000000000000001E-001,4.5142597635286708E-001,3.0000000000000000E+001,3.0003131345577764E+001,3.0000000000000000E+000,3.0260973762307568E+000,1.0000000000000000E+003,4.0000000000000000E+001
16,1.0000000000000000E+000,1.0004809794183738E+000,4.5000000000000001E-001,4.4926817484193254E-001,3.0000000000000000E+001,3.0001480881696054E+001,3.0000000000000000E+000,3.0306469723333733E+000,1.0000000000000000E+003,4.0000000000000000E+001
17,1.0000000000000000E+000,1.0000261384648301E+000,4.5000000000000001E-001,4.4790079239723923E-001,3.0000000000000000E+001,3.0000093936856082E+001,3.0000000000000000E+000,3.0197376880980409E+000,1.0000000000000000E+003,4.0000000000000000E+001
18,1.0000000000000000E+000,9.9979872876017239E-001,4.5000000000000001E-001,4.4715017023160020E-001,3.0000000000000000E+001,2.9999402109120187E+001,3.0000000000000000E+000,3.0061195100945923E+000,1.0000000000000000E+003,4.0000000000000000E+001
19,1.0000000000000000E+000,9.9977475533979354E-001,4.5000000000000001E-001,4.4685627954166757E-001,3.0000000000000000E+001,2.9999327215708583E+001,3.0000000000000000E+000,2.9969837406042221E+000,1.0000000000000000E+003,4.0000000000000000E+001
