"time","Out1"
0,0.0000000000000000E+000
0.02,2.7999000000000009E-004
0.04,9.5985000000000048E-004
0.06,2.0393100000000012E-003
0.08,3.5179400000000024E-003
0.1,5.3951500000000039E-003
0.12,7.6701800000000056E-003
0.14,1.0342140000000008E-002
0.16,1.3409940000000011E-002
0.18,1.6872370000000015E-002
0.2,2.0728030000000019E-002
0.22,2.4975390000000021E-002
0.24,2.9612740000000023E-002
0.26,3.4638230000000027E-002
0.28,4.0049850000000033E-002
0.3,4.5845440000000036E-002
0.32,5.2022670000000042E-002
0.34,5.8579080000000047E-002
0.36,6.5512040000000049E-002
0.38,7.2818790000000050E-002
0.4,8.0496390000000057E-002
0.42,8.8541780000000070E-002
0.44,9.6951750000000073E-002
0.46,1.0572292000000008E-001
0.48,1.1485178000000008E-001
0.5,1.2433469000000009E-001
0.52,1.3416785000000012E-001
0.54,1.4434733000000013E-001
0.56,1.5486906000000014E-001
0.58,1.6572883000000013E-001
0.6,1.7692230000000014E-001
0.62,1.8844499000000015E-001
0.64,2.0029228000000016E-001
0.66,2.1245945000000016E-001
0.68,2.2494162000000018E-001
0.7,2.3773381000000018E-001
0.72,2.5083089000000020E-001
0.74,2.6422762000000022E-001
0.76,2.7791865000000027E-001
0.78,2.9189850000000023E-001
0.8,3.0616158000000027E-001
0.82,3.2070218000000023E-001
0.84,3.3551449000000028E-001
0.86,3.5059259000000031E-001
0.88,3.6593044000000030E-001
0.9,3.8152191000000030E-001
0.92,3.9736076000000031E-001
0.94,4.1344066000000035E-001
0.96,4.2975517000000035E-001
0.98,4.4629777000000037E-001
1,4.6306184000000039E-001
1.021,4.8004068000000039E-001
1.041,4.9722750000000038E-001
1.061,5.1461541000000033E-001
1.081,5.3219747000000028E-001
1.101,5.4996664000000028E-001
1.121,5.6791582000000007E-001
1.141,5.8603781999999993E-001
1.161,6.0432539999999979E-001
1.181,6.2277124999999967E-001
1.201,6.4136797999999950E-001
1.221,6.6010815999999939E-001
1.241,6.7898428999999927E-001
1.261,6.9798881999999907E-001
1.281,7.1711414999999890E-001
1.301,7.3635261999999879E-001
1.321,7.5569654999999858E-001
1.341,7.7513818999999839E-001
1.361,7.9466977999999822E-001
1.381,8.1428348999999800E-001
1.401,8.3397148999999782E-001
1.421,8.5372589999999771E-001
1.441,8.7353880999999767E-001
1.461,8.9340229999999754E-001
1.481,9.1330842999999751E-001
1.501,9.3324923999999743E-001
1.521,9.5321673999999745E-001
1.541,9.7320295999999740E-001
1.561,9.9319987999999748E-001
1.581,1.0131995199999975E+000
1.601,1.0331938799999976E+000
1.621,1.0531749599999976E+000
1.641,1.0731347799999977E+000
1.661,1.0930653499999978E+000
1.681,1.1129586899999981E+000
1.701,1.1328068399999982E+000
1.721,1.1526018699999985E+000
1.741,1.1723358599999987E+000
1.761,1.1920009199999990E+000
1.781,1.2115891799999994E+000
1.801,1.2310927999999999E+000
1.821,1.2505039800000002E+000
1.841,1.2698149600000008E+000
1.861,1.2890180200000012E+000
1.881,1.3081054800000018E+000
1.901,1.3270697000000025E+000
1.921,1.3459030900000033E+000
1.941,1.3645981200000041E+000
1.961,1.3831473200000051E+000
1.981,1.4015432600000060E+000
2.001,1.4197785900000068E+000
2.021,1.4378460100000077E+000
2.041,1.4557383000000086E+000
2.061,1.4734483000000096E+000
2.081,1.4909689200000107E+000
2.101,1.5082931600000120E+000
2.121,1.5254140900000133E+000
2.141,1.5423248600000146E+000
2.161,1.5590187100000159E+000
2.181,1.5754889600000173E+000
2.201,1.5917290200000187E+000
2.221,1.6077323900000202E+000
2.241,1.6234926700000221E+000
2.261,1.6390035600000237E+000
2.281,1.6542588600000254E+000
2.301,1.6692524600000274E+000
2.321,1.6839783700000293E+000
2.341,1.6984306900000312E+000
2.361,1.7126036500000335E+000
2.381,1.7264915700000356E+000
2.401,1.7400889000000377E+000
2.421,1.7533902100000400E+000
2.441,1.7663901700000424E+000
2.461,1.7790835900000450E+000
2.481,1.7914653800000475E+000
2.501,1.8035305900000502E+000
2.521,1.8152744000000529E+000
2.541,1.8266921100000557E+000
2.561,1.8377791500000584E+000
2.581,1.8485310900000613E+000
2.601,1.8589436300000644E+000
2.621,1.8690126000000675E+000
2.641,1.8787339700000705E+000
2.661,1.8881038600000737E+000
2.681,1.8971185200000771E+000
2.701,1.9057743500000803E+000
2.721,1.9140678700000837E+000
2.741,1.9219957800000873E+000
2.761,1.9295549000000909E+000
2.781,1.9367422100000944E+000
2.801,1.9435548300000980E+000
2.821,1.9499900500001017E+000
2.841,1.9560452800001056E+000
2.861,1.9617181000001094E+000
2.881,1.9670062400001134E+000
2.901,1.9719075900001175E+000
2.921,1.9764201900001215E+000
2.941,1.9805422400001258E+000
2.961,1.9842720800001301E+000
2.981,1.9876082200001344E+000
3.001,1.9905493300001387E+000
3.021,1.9930942300001431E+000
3.041,1.9952419100001475E+000
3.061,1.9969915000001521E+000
3.081,1.9983423100001567E+000
3.101,1.9992937900001613E+000
3.121,1.9998455700001661E+000
3.141,1.9999974200001707E+000
3.161,1.9997492900001754E+000
3.181,1.9991012600001801E+000
3.201,1.9980536000001849E+000
3.221,1.9966067400001897E+000
3.241,1.9947612500001946E+000
3.261,1.9925178600001996E+000
3.281,1.9898774800002044E+000
3.301,1.9868411600002094E+000
3.321,1.9834101100002144E+000
3.341,1.9795857100002194E+000
3.361,1.9753694800002246E+000
3.381,1.9707631300002297E+000
3.401,1.9657684800002349E+000
3.421,1.9603875300002400E+000
3.441,1.9546224400002450E+000
3.461,1.9484755100002500E+000
3.481,1.9419492000002552E+000
3.501,1.9350461200002604E+000
3.521,1.9277690300002657E+000
3.541,1.9201208500002709E+000
3.561,1.9121046300002760E+000
3.581,1.9037235800002810E+000
3.601,1.8949810500002862E+000
3.621,1.8858805400002912E+000
3.641,1.8764256800002961E+000
3.661,1.8666202600003012E+000
3.681,1.8564682000003063E+000
3.701,1.8459735700003115E+000
3.721,1.8351405700003165E+000
3.741,1.8239735100003216E+000
3.761,1.8124768800003266E+000
3.781,1.8006552600003314E+000
3.801,1.7885133900003363E+000
3.821,1.7760561200003411E+000
3.841,1.7632884400003457E+000
3.861,1.7502154600003503E+000
3.881,1.7368424000003551E+000
3.901,1.7231746100003598E+000
3.921,1.7092175500003643E+000
3.941,1.6949768200003688E+000
3.961,1.6804581000003731E+000
3.981,1.6656672100003775E+000
4.001,1.6506100600003819E+000
4.021,1.6352926700003860E+000
4.041,1.6197211700003900E+000
4.061,1.6039017900003938E+000
4.081,1.5878408600003975E+000
4.101,1.5715447900004009E+000
4.121,1.5550201200004041E+000
4.141,1.5382734400004072E+000
4.161,1.5213114600004103E+000
4.181,1.5041409600004132E+000
4.201,1.4867688100004159E+000
4.221,1.4692019500004183E+000
4.241,1.4514474200004206E+000
4.261,1.4335123100004228E+000
4.281,1.4154038000004248E+000
4.301,1.3971291300004267E+000
4.321,1.3786956200004286E+000
4.341,1.3601106400004301E+000
4.361,1.3413816100004317E+000
4.381,1.3225160300004331E+000
4.401,1.3035214500004344E+000
4.421,1.2844054700004355E+000
4.441,1.2651757300004365E+000
4.461,1.2458399200004373E+000
4.481,1.2264057700004383E+000
4.501,1.2068810600004389E+000
4.521,1.1872735900004396E+000
4.541,1.1675912200004401E+000
4.561,1.1478418100004406E+000
4.581,1.1280332700004410E+000
4.601,1.1081735200004412E+000
4.621,1.0882705000004413E+000
4.641,1.0683321700004416E+000
4.661,1.0483665000004416E+000
4.681,1.0283814800004418E+000
4.701,1.0083851200004419E+000
4.721,9.8838540000044184E-001
4.741,9.6839032000044178E-001
4.761,9.4840788000044174E-001
4.781,9.2844608000044171E-001
4.801,9.0851289000044155E-001
4.821,8.8861630000044145E-001
4.841,8.6876425000044133E-001
4.861,8.4896470000044122E-001
4.881,8.2922556000044112E-001
4.901,8.0955472000044104E-001
4.921,7.8996006000044094E-001
4.941,7.7044942000044081E-001
4.961,7.5103059000044081E-001
4.981,7.3171134000044080E-001
5,7.1249941000044081E-001
5.02,6.9340246000044081E-001
5.04,6.7442815000044087E-001
5.06,6.5558407000044105E-001
5.08,6.3687775000044122E-001
5.1,6.1831667000044155E-001
5.12,5.9990826000044184E-001
5.14,5.8165987000044228E-001
5.16,5.6357881000044274E-001
5.18,5.4567231000044336E-001
5.2,5.2794753000044403E-001
5.22,5.1041157000044468E-001
5.24,4.9307144000044550E-001
5.26,4.7593407000044646E-001
5.28,4.5900632000044750E-001
5.3,4.4229496000044860E-001
5.32,4.2580667000044986E-001
5.34,4.0954805000045125E-001
5.36,3.9352560000045272E-001
5.38,3.7774572000045437E-001
5.4,3.6221474000045606E-001
5.42,3.4693886000045793E-001
5.44,3.3192420000045991E-001
5.46,3.1717676000046202E-001
5.48,3.0270243000046426E-001
5.5,2.8850701000046663E-001
5.52,2.7459618000046920E-001
5.54,2.6097550000047187E-001
5.56,2.4765042000047466E-001
5.58,2.3462627000047764E-001
5.6,2.2190826000048078E-001
5.62,2.0950147000048408E-001
5.64,1.9741087000048751E-001
5.66,1.8564130000049112E-001
5.68,1.7419745000049489E-001
5.7,1.6308391000049879E-001
5.72,1.5230512000050289E-001
5.74,1.4186540000050715E-001
5.76,1.3176892000051157E-001
5.78,1.2201972000051617E-001
5.8,1.1262170000052092E-001
5.82,1.0357862000052585E-001
5.84,9.4894100000530945E-002
5.86,8.6571610000536203E-002
5.88,7.8614470000541656E-002
5.9,7.1025870000547262E-002
5.92,6.3808850000553044E-002
5.94,5.6966290000558986E-002
5.96,5.0500920000565101E-002
5.98,4.4415340000571381E-002
6,3.8711980000577836E-002
6.02,3.3393120000584454E-002
6.04,2.8460890000591241E-002
6.06,2.3917260000598177E-002
6.08,1.9764060000605283E-002
6.1,1.6002930000612540E-002
6.12,1.2635380000619966E-002
6.14,9.6627700006275442E-003
6.16,7.0862800006352752E-003
6.18,4.9069400006431594E-003
6.2,3.1256200006511917E-003
6.22,1.7430400006593688E-003
6.24,7.5974000066769145E-004
6.26,1.7612000067615579E-004
6.28,-7.5799993152466446E-006
6.3,2.0871000069348417E-004
6.32,8.2490000070233928E-004
6.34,1.8407500007113231E-003
6.36,3.2558400007204310E-003
6.38,5.0696100007296711E-003
6.4,7.2813400007390120E-003
6.42,9.8901500007484641E-003
6.44,1.2894990000758017E-002
6.46,1.6294650000767682E-002
6.48,2.0087780000777433E-002
6.5,2.4272860000787284E-002
6.52,2.8848210000797209E-002
6.54,3.3812020000807214E-002
6.56,3.9162280000817298E-002
6.58,4.4896860000827460E-002
6.6,5.1013470000837668E-002
6.62,5.7509660000847951E-002
6.64,6.4382830000858288E-002
6.66,7.1630230000868683E-002
6.68,7.9248970000879104E-002
6.7,8.7235990000889552E-002
6.72,9.5588110000900034E-002
6.74,1.0430198000091054E-001
6.76,1.1337412000092105E-001
6.78,1.2280089000093158E-001
6.8,1.3257853000094211E-001
6.82,1.4270313000095261E-001
6.84,1.5317064000096312E-001
6.86,1.6397686000097361E-001
6.88,1.7511747000098407E-001
6.9,1.8658803000099450E-001
6.92,1.9838394000100487E-001
6.94,2.1050048000101521E-001
6.96,2.2293281000102549E-001
6.98,2.3567596000103572E-001
7,2.4872482000104590E-001
7.02,2.6207418000105598E-001
7.04,2.7571870000106596E-001
7.06,2.8965292000107584E-001
7.08,3.0387127000108566E-001
7.1,3.1836806000109535E-001
7.12,3.3313749000110493E-001
7.14,3.4817366000111438E-001
7.16,3.6347054000112367E-001
7.18,3.7902203000113283E-001
7.2,3.9482190000114187E-001
7.22,4.1086384000115073E-001
7.24,4.2714142000115940E-001
7.26,4.4364814000116792E-001
7.28,4.6037738000117628E-001
7.3,4.7732246000118450E-001
7.32,4.9447661000119247E-001
7.34,5.1183296000120027E-001
7.36,5.2938456000120782E-001
7.38,5.4712441000121514E-001
7.4,5.6504540000122228E-001
7.42,5.8314037000122920E-001
7.44,6.0140207000123591E-001
7.46,6.1982321000124230E-001
7.48,6.3839640000124842E-001
7.5,6.5711423000125435E-001
7.52,6.7596921000125998E-001
7.54,6.9495380000126528E-001
7.56,7.1406039000127031E-001
7.58,7.3328136000127508E-001
7.6,7.5260901000127955E-001
7.62,7.7203562000128367E-001
7.64,7.9155340000128760E-001
7.66,8.1115456000129116E-001
7.68,8.3083126000129437E-001
7.7,8.5057561000129722E-001
7.72,8.7037974000129981E-001
7.74,8.9023571000130197E-001
7.76,9.1013558000130390E-001
7.78,9.3007139000130534E-001
7.8,9.5003517000130644E-001
7.82,9.7001893000130723E-001
7.84,9.9001469000130760E-001
7.86,1.0100144400013076E+000
7.88,1.0300101800013071E+000
7.9,1.0499939200013064E+000
7.92,1.0699576600013052E+000
7.94,1.0898934100013038E+000
7.96,1.1097932100013017E+000
7.98,1.1296490900012992E+000
8,1.1494531100012964E+000
8.02,1.1691973500012931E+000
8.04,1.1888739100012895E+000
8.06,1.2084749200012856E+000
8.08,1.2279925400012814E+000
8.1,1.2474189700012770E+000
8.12,1.2667464400012720E+000
8.14,1.2859672000012670E+000
8.16,1.3050735800012616E+000
8.18,1.3240579400012558E+000
8.2,1.3429126700012499E+000
8.22,1.3616302400012437E+000
8.24,1.3802031700012372E+000
8.26,1.3986240100012306E+000
8.28,1.4168854100012236E+000
8.3,1.4349800600012166E+000
8.32,1.4529007200012092E+000
8.34,1.4706402200012016E+000
8.36,1.4881914800011939E+000
8.38,1.5055474700011859E+000
8.4,1.5227012400011779E+000
8.42,1.5396459400011697E+000
8.44,1.5563747800011611E+000
8.46,1.5728810800011526E+000
8.48,1.5891582300011440E+000
8.5,1.6051997300011354E+000
8.52,1.6209991500011265E+000
8.54,1.6365501700011176E+000
8.56,1.6518465900011086E+000
8.58,1.6668822700010995E+000
8.6,1.6816512000010904E+000
8.62,1.6961474900010811E+000
8.64,1.7103653200010718E+000
8.66,1.7242990200010626E+000
8.68,1.7379430000010534E+000
8.7,1.7512918200010441E+000
8.72,1.7643401300010348E+000
8.74,1.7770827100010256E+000
8.76,1.7895144600010164E+000
8.78,1.8016304200010071E+000
8.8,1.8134257400009979E+000
8.82,1.8248957000009889E+000
8.84,1.8360357100009799E+000
8.86,1.8468413100009711E+000
8.88,1.8573081800009623E+000
8.9,1.8674321400009535E+000
8.92,1.8772091400009447E+000
8.94,1.8866352600009360E+000
8.96,1.8957067400009275E+000
8.98,1.9044199500009191E+000
9,1.9127714000009111E+000
9.02,1.9207577600009029E+000
9.04,1.9283758200008949E+000
9.06,1.9356225400008871E+000
9.08,1.9424950300008794E+000
9.1,1.9489905300008719E+000
9.12,1.9551064400008644E+000
9.14,1.9608403200008571E+000
9.16,1.9661898800008502E+000
9.18,1.9711529700008432E+000
9.2,1.9757276100008365E+000
9.22,1.9799119700008299E+000
9.24,1.9837043800008234E+000
9.26,1.9871033200008172E+000
9.28,1.9901074300008115E+000
9.3,1.9927155100008058E+000
9.32,1.9949265100008005E+000
9.34,1.9967395600007951E+000
9.36,1.9981539200007901E+000
9.38,1.9991690300007852E+000
9.4,1.9997844800007805E+000
9.42,2.0000000300007761E+000
9.44,1.9998155900007719E+000
9.46,1.9992312400007679E+000
9.48,1.9982472100007640E+000
9.5,1.9968638900007605E+000
9.52,1.9950818300007573E+000
9.54,1.9929017600007544E+000
9.56,1.9903245400007517E+000
9.58,1.9873512000007489E+000
9.6,1.9839829300007465E+000
9.62,1.9802210800007443E+000
9.64,1.9760671600007425E+000
9.66,1.9715228200007406E+000
9.68,1.9665898700007391E+000
9.7,1.9612703100007378E+000
9.72,1.9555662500007369E+000
9.74,1.9494799700007359E+000
9.76,1.9430139200007353E+000
9.78,1.9361706700007348E+000
9.8,1.9289529600007347E+000
9.821,1.9213636800007348E+000
9.841,1.9134058600007349E+000
9.861,1.9050826900007354E+000
9.881,1.8963975000007360E+000
9.901,1.8873537700007370E+000
9.921,1.8779551000007380E+000
9.941,1.8682052600007393E+000
9.961,1.8581081400007406E+000
