"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000,-1.2000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.02,1.0399973333866661E+000,3.0399973333866663E+000,0.0000000000000000E+000,3.3997733378666239E-002,0,0.0000000000000000E+000,-1.2000000000000000E+001,7.9994666773332321E-002,1.0000000000000001E-001,2.5116207811725350E-001
0.04,1.0799786683732684E+000,3.0799786683732684E+000,0.0000000000000000E+000,6.7981868117278077E-002,0,0.0000000000000000E+000,-1.2000000000000000E+001,1.5995733674653664E-001,1.0000000000000001E-001,5.0133293425721703E-001
0.06,1.1199280129588891E+000,3.1199280129588893E+000,0.0000000000000000E+000,1.0193881101505581E-001,0,0.0000000000000000E+000,-1.2000000000000000E+001,2.3985602591777838E-001,1.0000000000000001E-001,7.4952525834289840E-001
0.08,1.1598293879383454E+000,3.1598293879383452E+000,0.0000000000000000E+000,1.3585497974759358E-001,0,5.0000000000000000E-001,-1.2000000000000000E+001,3.1965877587669078E-001,1.0000000000000001E-001,9.9475954865941918E-001
0.1,1.1996668332936564E+000,3.1996668332936564E+000,0.0000000000000000E+000,1.6971680829960786E-001,0,5.0000000000000000E-001,-1.2000000000000000E+001,3.9933366658731262E-001,1.0000000000000001E-001,1.2360679774997896E+000
0.12,1.2394244145778388E+000,3.2394244145778388E+000,0.0000000000000000E+000,2.0351075239116292E-001,0,5.0000000000000000E-001,-1.2000000000000000E+001,4.7884882915567745E-001,1.0000000000000001E-001,1.4724982107387117E+000
0.14,1.2790862292884730E+000,3.2790862292884730E+000,0.0000000000000000E+000,2.3722329489520205E-001,0,5.0000000000000000E-001,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.7031171662602909E+000
0.16,1.3186364132284920E+000,3.3186364132284920E+000,0.0000000000000000E+000,2.7084095124421814E-001,0,5.0000000000000000E-001,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.9270146964068613E+000
0.18,1.3580591468516483E+000,3.3580591468516485E+000,0.0000000000000000E+000,3.0435027482390109E-001,0,5.0000000000000000E-001,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.1433071799159866E+000
0.2,1.3973386615901224E+000,3.3973386615901227E+000,0.0000000000000000E+000,3.3773786235160408E-001,0,1.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.3511410091698925E+000
