"time","J1_w","J2_w","J3_w","J4_w"
0,1.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.003,9.9709420317557207E+000,2.9999981030353645E-002,0.0000000000000000E+000,0.0000000000000000E+000
0.006,9.9447010760873766E+000,5.9999696817927405E-002,0.0000000000000000E+000,0.0000000000000000E+000
0.009,9.9212441963364206E+000,8.9998721000355400E-002,0.0000000000000000E+000,0.0000000000000000E+000
0.012,9.9005137503182681E+000,1.1999662722510102E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.015,9.8824279057366979E+000,1.4999298915551626E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.018,9.8668813703112299E+000,1.7998738047690099E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.021,9.8537463301368060E+000,2.0997937490256183E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.024,9.8428735879467499E+000,2.3996854617987051E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.027,9.8340938911756659E+000,2.6995446809632201E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.03,9.8272194380342146E+000,2.9993671448559189E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.033,9.8220455482277291E+000,3.2991485923359309E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.036,9.8183524834891518E+000,3.5988847628453197E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.039,9.8159074017671042E+000,3.8985713964696345E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.042,9.8144664277234828E+000,4.1982042339984538E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.045,9.8137768211626977E+000,4.4977790169859178E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.048,9.8135792241452915E+000,4.7972914878112494E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.051,9.8136099668404313E+000,5.0967373897392654E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.054,9.8136034116502415E+000,5.3961124669808758E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.057,9.8132943147993554E+000,5.6954124647535631E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.06,9.8124201844279693E+000,5.9946331293418575E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.063,9.8107236142577534E+000,6.2937702081577895E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.066,9.8079545721167847E+000,6.5928194498013248E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.069,9.8038726230103368E+000,6.8917766041207951E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.072,9.7982490670053384E+000,7.1906374222732938E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.075,9.7908689729524401E+000,7.4893976567850651E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.078,9.7815330899941504E+000,7.7880530616118682E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.081,9.7700596198923453E+000,8.0865993921993262E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.084,9.7562858344437675E+000,8.3850324055432468E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.087,9.7400695236271631E+000,8.6833478602499292E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.09,9.7212902616281571E+000,8.9815415165964363E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.093,9.6998504795045069E+000,9.2796091365908606E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.096,9.6756763349705626E+000,9.5775464840325464E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.099,9.6487183715807081E+000,9.8753493245723012E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.102,9.6189519614606827E+000,1.0173013425772572E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.105,9.5863775276570582E+000,1.0470534557167601E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.108,9.5510205441312390E+000,1.0767908490323543E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.111,9.5129313133979458E+000,1.1065130998898574E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.114,9.4721845237818592E+000,1.1362197858702940E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.117,9.4288785902221903E+000,1.1659104847759008E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.12,9.3831347844761499E+000,1.1955847746361254E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.123,9.3350961624417081E+000,1.2252422337136251E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.126,9.2849262981206842E+000,1.2548824405102592E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.129,9.2328078354595871E+000,1.2845049737730805E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.132,9.1789408709220943E+000,1.3141094125003214E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.135,9.1235411811495393E+000,1.3436953359473782E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.138,9.0668383114407440E+000,1.3732623236327903E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.141,9.0090735420179424E+000,1.4028099553442159E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.144,8.9504977501303085E+000,1.4323378111444043E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.147,8.8913691869711649E+000,1.4618454713771649E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.15,8.8319511891410283E+000,1.4913325166733302E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.153,8.7725098449697025E+000,1.5207985279567167E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.156,8.7133116364112126E+000,1.5502430864500809E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.159,8.6546210774422612E+000,1.5796657736810711E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.162,8.5966983699258943E+000,1.6090661714881747E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.165,8.5397970977470266E+000,1.6384438620266604E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.168,8.4841619796868066E+000,1.6677984277745184E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.171,8.4300267009814185E+000,1.6971294515383926E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.174,8.3776118428124811E+000,1.7264365164595110E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.177,8.3271229281070145E+000,1.7557192060196098E+000,0.0000000000000000E+000,0.0000000000000000E+000
