"time","Cntrl_PI_1.s_out.signal[1]","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_out.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_out.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_out.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
0,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.5000000000000001E-001,0.0000000000000000E+000,0.0000000000000000E+000,3.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,3.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+003,4.0000000000000000E+001
1,2.0000000000000000E-002,1.0000000000000000E+000,9.0968947414161627E-001,1.5082347913394754E+001,4.5000000000000001E-001,4.9538567877874107E-001,0.0000000000000000E+000,3.0000000000000000E+001,2.2368898689663844E+001,0.0000000000000000E+000,3.0000000000000000E+000,9.8712409493902231E-001,1.0000000000000000E+003,4.0000000000000000E+001
2,2.0000000000000000E-002,1.0000000000000000E+000,9.5334950089260517E-001,2.6723307058890530E+001,4.5000000000000001E-001,5.2216306089236142E-001,0.0000000000000000E+000,3.0000000000000000E+001,2.2411033411793497E+001,0.0000000000000000E+000,3.0000000000000000E+000,9.7768936088857750E-001,1.0000000000000000E+003,4.0000000000000000E+001
3,2.0000000000000000E-002,1.0000000000000000E+000,9.9252425555512303E-001,3.5300029208863123E+001,4.5000000000000001E-001,5.3485065513314212E-001,0.0000000000000000E+000,3.0000000000000000E+001,2.2447542848032072E+001,0.0000000000000000E+000,3.0000000000000000E+000,9.7087191256430805E-001,1.0000000000000000E+003,4.0000000000000000E+001
4,3.3608282216840735E-001,1.0000000000000000E+000,1.0220086935274266E+000,4.1198472230393826E+001,4.5000000000000001E-001,5.3716077923365568E-001,2.8218975510537618E+001,3.0000000000000000E+001,3.0218986335730033E+001,0.0000000000000000E+000,3.0000000000000000E+000,1.2053756687837212E+000,1.0000000000000000E+003,4.0000000000000000E+001
5,6.8844364154895588E-001,1.0000000000000000E+000,1.0297312117741209E+000,4.4781272093694696E+001,4.5000000000000001E-001,5.3208316549708312E-001,4.4023655261932028E+001,3.0000000000000000E+001,3.0172276447720332E+001,0.0000000000000000E+000,3.0000000000000000E+000,2.1018124416523039E+000,1.0000000000000000E+003,4.0000000000000000E+001
6,8.8466283126009981E-001,1.0000000000000000E+000,1.0224364350893858E+000,4.6623146581840849E+001,4.5000000000000001E-001,5.2269556072846901E-001,4.9623855767855140E+001,3.0000000000000000E+001,3.0095553572239584E+001,3.9223821022313672E+000,3.0000000000000000E+000,3.3497125627231443E+000,1.0000000000000000E+003,4.0000000000000000E+001
7,9.2225219947982140E-001,1.0000000000000000E+000,1.0099400677356347E+000,4.7265511224247419E+001,4.5000000000000001E-001,5.1141050807755384E-001,5.0563041464443167E+001,3.0000000000000000E+001,3.0039383311521998E+001,1.9914944808452656E+001,3.0000000000000000E+000,4.1260495211879755E+000,1.0000000000000000E+003,4.0000000000000000E+001
8,8.6216147185981795E-001,1.0000000000000000E+000,9.9955273957244595E-001,4.7139500293609622E+001,4.5000000000000001E-001,4.9986817237714021E-001,4.9087368780020839E+001,3.0000000000000000E+001,3.0004357763335779E+001,2.8063940155303495E+001,3.0000000000000000E+000,3.8769321355432069E+000,1.0000000000000000E+003,4.0000000000000000E+001
9,7.7508804993750380E-001,1.0000000000000000E+000,9.9435011352484870E-001,4.6552029960462107E+001,4.5000000000000001E-001,4.8903653473770614E-001,4.6762182803073784E+001,3.0000000000000000E+001,2.9986833855644061E+001,2.8979044355464829E+001,3.0000000000000000E+000,3.3589798240057283E+000,1.0000000000000000E+003,4.0000000000000000E+001
10,7.0905570239264570E-001,1.0000000000000000E+000,9.9392886593257634E-001,4.5707144025001199E+001,4.5000000000000001E-001,4.7939879262332435E-001,4.4826810711136282E+001,3.0000000000000000E+001,2.9983373266279106E+001,2.7463935451989023E+001,3.0000000000000000E+000,3.0310332501233823E+000,1.0000000000000000E+003,4.0000000000000000E+001
11,6.8060170307468115E-001,1.0000000000000000E+000,9.9615929279687987E-001,4.4738822275228351E+001,4.5000000000000001E-001,4.7114070879103431E-001,4.3942506783291996E+001,3.0000000000000000E+001,2.9988877394068684E+001,2.5634668219689470E+001,3.0000000000000000E+000,2.8973111365754853E+000,1.0000000000000000E+003,4.0000000000000000E+001
12,6.8268761536157152E-001,1.0000000000000000E+000,9.9883534378286820E-001,4.3739240458581051E+001,4.5000000000000001E-001,4.6428917121688684E-001,4.4016063390300047E+001,3.0000000000000000E+001,2.9996744962890173E+001,2.4404117866136900E+001,3.0000000000000000E+000,2.8887669839651435E+000,1.0000000000000000E+003,4.0000000000000000E+001
13,6.9893310778482542E-001,1.0000000000000000E+000,1.0006282370415531E+000,4.2775610999025389E+001,4.5000000000000001E-001,4.5879088285899988E-001,4.4533533279610822E+001,3.0000000000000000E+001,3.0002160301387995E+001,2.4020463702632540E+001,3.0000000000000000E+000,2.9389290893801006E+000,1.0000000000000000E+003,4.0000000000000000E+001
14,7.1523871310938536E-001,1.0000000000000000E+000,1.0012365886194357E+000,4.1896744241869548E+001,4.5000000000000001E-001,4.5454733915295908E-001,4.5039219306987242E+001,3.0000000000000000E+001,3.0003906721980048E+001,2.4254995072970711E+001,3.0000000000000000E+000,2.9944724849410105E+000,1.0000000000000000E+003,4.0000000000000000E+001
15,7.2470908797004285E-001,1.0000000000000000E+000,1.0010123357460485E+000,4.1134312554829137E+001,4.5000000000000001E-001,4.5142597635286708E-001,4.5327363383050987E+001,3.0000000000000000E+001,3.0003131345577764E+001,2.4698738859858235E+001,3.0000000000000000E+000,3.0260973762307568E+000,1.0000000000000000E+003,4.0000000000000000E+001
