"time","y_0","y_1","y_2"
0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.01,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.02,1.9998333322216111E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.03,7.9973335822204439E-001,1.7997200099999999E+000,0.0000000000000000E+000
0.04,1.7986503119775001E+000,1.7997200099999999E+000,0.0000000000000000E+000
0.05,3.1957354298631300E+000,3.5977606000000000E+000,4.1977206000000002E+000
0.06,4.9895912199655506E+000,3.5977606000000000E+000,4.1977206000000002E+000
0.07,7.1784233788932310E+000,5.3924444000000005E+000,4.1977206000000002E+000
0.08,9.7600428818915201E+000,5.3924444000000005E+000,4.1977206000000002E+000
0.09,1.2731865601204269E+001,7.1820988000000003E+000,8.3817788000000011E+000
0.11,1.9833837868331276E+001,8.9650573999999992E+000,8.3817788000000011E+000
0.12,2.3956877242137491E+001,8.9650573999999992E+000,8.3817788000000011E+000
0.13,2.8455906086145990E+001,1.0739662899999999E+001,1.2538583099999999E+001
0.14,3.3326416524138089E+001,1.0739662899999999E+001,1.2538583099999999E+001
0.15,3.8563527972494086E+001,1.2504268699999997E+001,1.2538583099999999E+001
0.16,4.4161987403457061E+001,1.2504268699999997E+001,1.2538583099999999E+001
0.17,5.0116180006791360E+001,1.4257241499999999E+001,1.6654682299999997E+001
0.18,5.6420129580861499E+001,1.4257241499999999E+001,1.6654682299999997E+001
0.19,6.3067506223225905E+001,1.5996963400000002E+001,1.6654682299999997E+001
0.2,7.0051629726160201E+001,1.5996963400000002E+001,1.6654682299999997E+001
0.21,7.7365480697512211E+001,1.7721833300000000E+001,2.0716835800000002E+001
0.22,8.5001703673254553E+001,1.7721833300000000E+001,2.0716835800000002E+001
0.23,9.2952607589953345E+001,1.9430270300000004E+001,2.0716835800000002E+001
0.24,1.0121018798659964E+002,1.9430270300000004E+001,2.0716835800000002E+001
0.25,1.0976611975893857E+002,2.1120714500000005E+001,2.4712080700000008E+001
0.26,1.1861177712113845E+002,2.1120714500000005E+001,2.4712080700000008E+001
0.27,1.2773822464407846E+002,2.2791630800000007E+001,2.4712080700000008E+001
0.28,1.3713623563584002E+002,2.2791630800000007E+001,2.4712080700000008E+001
0.29,1.4679630226016803E+002,2.4441506000000004E+001,2.8627799400000004E+001
0.3,1.5670866511566911E+002,2.4441506000000004E+001,2.8627799400000004E+001
0.31,1.6686324975249011E+002,2.6068859000000010E+001,2.8627799400000004E+001
0.32,1.7724979265119612E+002,2.6068859000000010E+001,2.8627799400000004E+001
0.33,1.8785771835415210E+002,2.7672237000000010E+001,3.2451783200000008E+001
0.34,1.9867623568688711E+002,2.7672237000000010E+001,3.2451783200000008E+001
0.35,2.0969435407030014E+002,2.9250215000000011E+001,3.2451783200000008E+001
0.36,2.2090083205106023E+002,2.9250215000000011E+001,3.2451783200000008E+001
0.37,2.3228422644641614E+002,3.0801405000000010E+001,3.6172292200000015E+001
0.38,2.4383291564517620E+002,3.0801405000000010E+001,3.6172292200000015E+001
0.39,2.5553506113786722E+002,3.2324452000000015E+001,3.6172292200000015E+001
0.4,2.6737868390454821E+002,3.2324452000000015E+001,3.6172292200000015E+001
0.41,2.7935162165087416E+002,3.3818039000000013E+001,3.9778118900000017E+001
0.42,2.9144155008932216E+002,3.3818039000000013E+001,3.9778118900000017E+001
0.43,3.0363601299182625E+002,3.5280885000000012E+001,3.9778118900000017E+001
0.44,3.1592243009254031E+002,3.5280885000000012E+001,3.9778118900000017E+001
0.45,3.2828811086699432E+002,3.6711751000000021E+001,4.3258639700000025E+001
0.46,3.4072020805502632E+002,3.6711751000000021E+001,4.3258639700000025E+001
0.47,3.5320581867696029E+002,3.8109437000000014E+001,4.3258639700000025E+001
0.48,3.6573198379286833E+002,3.8109437000000014E+001,4.3258639700000025E+001
0.49,3.7828560222192942E+002,3.9472790000000018E+001,4.6603868800000022E+001
0.5,3.9085354618141821E+002,3.9472790000000018E+001,4.6603868800000022E+001
0.51,4.0342268856934032E+002,4.0800697000000014E+001,4.6603868800000022E+001
0.52,4.1597973162192017E+002,4.0800697000000014E+001,4.6603868800000022E+001
0.53,4.2851154447659530E+002,4.2092092000000015E+001,4.9804508600000020E+001
0.54,4.4100478958237022E+002,4.2092092000000015E+001,4.9804508600000020E+001
0.55,4.5344625546080022E+002,4.3345956000000015E+001,4.9804508600000020E+001
0.56,4.6582269221506732E+002,4.3345956000000015E+001,4.9804508600000020E+001
0.57,4.7812093765379029E+002,4.4561319000000012E+001,5.2851988500000012E+001
0.58,4.9032774921734045E+002,4.4561319000000012E+001,5.2851988500000012E+001
0.59,5.0243004706621429E+002,4.5737259000000016E+001,5.2851988500000012E+001
0.6,5.1441473725812045E+002,4.5737259000000016E+001,5.2851988500000012E+001
0.61,5.2626886888096840E+002,4.6872906000000015E+001,5.5738512200000017E+001
0.62,5.3797945932215134E+002,4.6872906000000015E+001,5.5738512200000017E+001
0.63,5.4953375776544044E+002,4.7967438000000016E+001,5.5738512200000017E+001
0.64,5.6091904074906631E+002,4.7967438000000016E+001,5.5738512200000017E+001
0.65,5.7212269706772429E+002,4.9020089000000013E+001,5.8457085800000016E+001
0.66,5.8313231824848026E+002,4.9020089000000013E+001,5.8457085800000016E+001
0.67,5.9393556034658639E+002,5.0030145000000019E+001,5.8457085800000016E+001
0.68,6.0452025729660932E+002,5.0030145000000019E+001,5.8457085800000016E+001
0.69,6.1487443498509231E+002,5.0996943000000016E+001,6.1001556000000022E+001
0.7,6.2498628988998939E+002,5.0996943000000016E+001,6.1001556000000022E+001
0.71,6.3484415170158059E+002,5.1919879000000023E+001,6.1001556000000022E+001
