"time","TAmb","TDif","TRes","_block_jacobian_check","_block_jacobian_check_tol","_block_solver_experimental_mode","_cs_rel_tol","_cs_solver","_cs_step_size","_enforce_bounds","_events_default_tol","_events_tol_factor","_iteration_variable_scaling","_log_level","_nle_solver_check_jac_cond","_nle_solver_default_tol","_nle_solver_max_iter","_nle_solver_max_residual_scaling_factor","_nle_solver_min_residual_scaling_factor","_nle_solver_min_tol","_nle_solver_regularization_tolerance","_nle_solver_step_limit_factor","_nle_solver_tol_factor","_rescale_after_singular_jac","_rescale_each_step","_residual_equation_scaling","_runtime_log_to_file","_use_Brent_in_1d","_use_jacobian_equilibration","_use_newton_for_brent","constantVoltage.V","constantVoltage.i","constantVoltage.n.i","constantVoltage.n.v","constantVoltage.p.i","constantVoltage.p.v","constantVoltage.v","fixedTemperature.T","fixedTemperature.port.Q_flow","fixedTemperature.port.T","ground.p.i","ground.p.v","heatCapacitor.C","heatCapacitor.T","der(heatCapacitor.T)","heatCapacitor.der_T","heatCapacitor.port.Q_flow","heatCapacitor.port.T","heatingResistor.LossPower","heatingResistor.R","heatingResistor.R_ref","heatingResistor.T","heatingResistor.T_heatPort","heatingResistor.T_ref","heatingResistor.alpha","heatingResistor.heatPort.Q_flow","heatingResistor.heatPort.T","heatingResistor.i","heatingResistor.n.i","heatingResistor.n.v","heatingResistor.p.i","heatingResistor.p.v","heatingResistor.useHeatPort","heatingResistor.v","idealSwitch.Goff","idealSwitch.LossPower","idealSwitch.Ron","idealSwitch.T","idealSwitch.T_heatPort","idealSwitch.control","idealSwitch.i","idealSwitch.n.i","idealSwitch.n.v","idealSwitch.p.i","idealSwitch.p.v","idealSwitch.s","idealSwitch.unitCurrent","idealSwitch.unitVoltage","idealSwitch.useHeatPort","idealSwitch.v","logicalNot.u","logicalNot.y","onOffController.bandwidth","onOffController.pre_y_start","onOffController.reference","onOffController.u","onOffController.y","ramp.duration","ramp.height","ramp.offset","ramp.startTime","ramp.y","temperatureSensor.T","temperatureSensor.port.Q_flow","temperatureSensor.port.T","thermalConductor.G","thermalConductor.Q_flow","thermalConductor.dT","thermalConductor.port_a.Q_flow","thermalConductor.port_a.T","thermalConductor.port_b.Q_flow","thermalConductor.port_b.T"
0,2.9314999999999998E+02,2.0000000000000000E+00,2.9314999999999998E+02,0,9.9999999999999995E-07,0,9.9999999999999995E-07,0,1.0000000000000000E-03,1,1.0000000000000000E-10,1.0000000000000000E-04,1,3,0,1.0000000000000000E-10,100,1.0000000000000000E+10,1.0000000000000000E-10,9.9999999999999998E-13,-1.0000000000000000E+00,1.0000000000000000E+01,1.0000000000000000E-04,1,0,1,0,1,0,1,1.0000000000000000E+01,-9.9999900000100006E-01,9.9999900000100006E-01,0.0000000000000000E+00,-9.9999900000100006E-01,1.0000000000000000E+01,1.0000000000000000E+01,2.9314999999999998E+02,0.0000000000000000E+00,2.9314999999999998E+02,0.0000000000000000E+00,0.0000000000000000E+00,1.0000000000000000E+00,2.9314999999999998E+02,9.9999800000300016E+00,9.9999800000300016E+00,9.9999800000300016E+00,2.9314999999999998E+02,9.9999800000300016E+00,1.0000000000000000E+01,1.0000000000000000E+01,2.9314999999999998E+02,2.9314999999999998E+02,2.9314999999999998E+02,3.9215686274509803E-03,-9.9999800000300016E+00,2.9314999999999998E+02,9.9999900000100006E-01,-9.9999900000100006E-01,0.0000000000000000E+00,9.9999900000100006E-01,9.9999900000100013E+00,1,9.9999900000100013E+00,1.0000000000000001E-05,9.9999799987524181E-06,1.0000000000000001E-05,2.9314999999999998E+02,2.9314999999999998E+02,0,9.9999900000100006E-01,-9.9999900000100006E-01,9.9999900000100013E+00,9.9999900000100006E-01,1.0000000000000000E+01,9.9999900000100006E-01,1.0000000000000000E+00,1.0000000000000000E+00,0,9.9999899987324170E-06,1,0,2.0000000000000000E+00,0,2.5000000000000000E+01,2.0000000000000000E+01,1,6.0000000000000000E+00,2.5000000000000000E+01,2.5000000000000000E+01,2.0000000000000000E+00,2.5000000000000000E+01,2.0000000000000000E+01,0.0000000000000000E+00,2.9314999999999998E+02,1.0000000000000001E-01,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,2.9314999999999998E+02,-0.0000000000000000E+00,2.9314999999999998E+02
0.02,2.9314999999999998E+02,2.0000000000000000E+00,2.9334973534970391E+02,0,9.9999999999999995E-07,0,9.9999999999999995E-07,0,1.0000000000000000E-03,1,1.0000000000000000E-10,1.0000000000000000E-04,1,3,0,1.0000000000000000E-10,100,1.0000000000000000E+10,1.0000000000000000E-10,9.9999999999999998E-13,-1.0000000000000000E+00,1.0000000000000000E+01,1.0000000000000000E-04,1,0,1,0,1,0,1,1.0000000000000000E+01,-9.9921633872544480E-01,9.9921633872544480E-01,0.0000000000000000E+00,-9.9921633872544480E-01,1.0000000000000000E+01,1.0000000000000000E+01,2.9314999999999998E+02,1.9973534970392851E-02,2.9314999999999998E+02,0.0000000000000000E+00,0.0000000000000000E+00,1.0000000000000000E+00,2.9334973534970391E+02,9.9721798679511391E+00,9.9721798679511391E+00,9.9721798679511391E+00,2.9334973534970391E+02,9.9921534029215326E+00,1.0007832758811919E+01,1.0000000000000000E+01,2.9314999999999998E+02,2.9334973534970391E+02,2.9314999999999998E+02,3.9215686274509803E-03,-9.9921534029215326E+00,2.9334973534970391E+02,9.9921633872544480E-01,-9.9921633872544480E-01,0.0000000000000000E+00,9.9921633872544480E-01,9.9999900078366135E+00,1,9.9999900078366135E+00,1.0000000000000001E-05,9.9843329149902137E-06,1.0000000000000001E-05,2.9314999999999998E+02,2.9314999999999998E+02,0,9.9921633872544480E-01,-9.9921633872544480E-01,9.9999900078366135E+00,9.9921633872544480E-01,1.0000000000000000E+01,9.9921633872544480E-01,1.0000000000000000E+00,1.0000000000000000E+00,0,9.9921633864852311E-06,1,0,2.0000000000000000E+00,0,2.5000000000000000E+01,2.0199735349703928E+01,1,6.0000000000000000E+00,2.5000000000000000E+01,2.5000000000000000E+01,2.0000000000000000E+00,2.5000000000000000E+01,2.0199735349703928E+01,0.0000000000000000E+00,2.9334973534970391E+02,1.0000000000000001E-01,1.9973534970392851E-02,1.9973534970392848E-01,1.9973534970392851E-02,2.9334973534970391E+02,-1.9973534970392851E-02,2.9314999999999998E+02
0.04,2.9314999999999998E+02,2.0000000000000000E+00,2.9354891554726112E+02,0,9.9999999999999995E-07,0,9.9999999999999995E-07,0,1.0000000000000000E-03,1,1.0000000000000000E-10,1.0000000000000000E-04,1,3,0,1.0000000000000000E-10,100,1.0000000000000000E+10,1.0000000000000000E-10,9.9999999999999998E-13,-1.0000000000000000E+00,1.0000000000000000E+01,1.0000000000000000E-04,1,0,1,0,1,0,1,1.0000000000000000E+01,-9.9843707187299868E-01,9.9843707187299868E-01,0.0000000000000000E+00,-9.9843707187299868E-01,1.0000000000000000E+01,1.0000000000000000E+01,2.9314999999999998E+02,3.9891554726114012E-02,2.9314999999999998E+02,0.0000000000000000E+00,0.0000000000000000E+00,1.0000000000000000E+00,2.9354891554726112E+02,9.9444691952380069E+00,9.9444691952380069E+00,9.9444691952380069E+00,2.9354891554726112E+02,9.9843607499641216E+00,1.0015643746951417E+01,1.0000000000000000E+01,2.9314999999999998E+02,2.9354891554726112E+02,2.9314999999999998E+02,3.9215686274509803E-03,-9.9843607499641216E+00,2.9354891554726112E+02,9.9843707187299868E-01,-9.9843707187299868E-01,0.0000000000000000E+00,9.9843707187299868E-01,9.9999900156292814E+00,1,9.9999900156292814E+00,1.0000000000000001E-05,9.9687658648143163E-06,1.0000000000000001E-05,2.9314999999999998E+02,2.9314999999999998E+02,0,9.9843707187299868E-01,-9.9843707187299868E-01,9.9999900156292814E+00,9.9843707187299868E-01,1.0000000000000000E+01,9.9843707187299868E-01,1.0000000000000000E+00,1.0000000000000000E+00,0,9.9843707186408892E-06,1,0,2.0000000000000000E+00,0,2.5000000000000000E+01,2.0398915547261140E+01,1,6.0000000000000000E+00,2.5000000000000000E+01,2.5000000000000000E+01,2.0000000000000000E+00,2.5000000000000000E+01,2.0398915547261140E+01,0.0000000000000000E+00,2.9354891554726112E+02,1.0000000000000001E-01,3.9891554726114012E-02,3.9891554726114009E-01,3.9891554726114012E-02,2.9354891554726112E+02,-3.9891554726114012E-02,2.9314999999999998E+02
0.06,2.9314999999999998E+02,2.0000000000000000E+00,2.9374754237826056E+02,0,9.9999999999999995E-07,0,9.9999999999999995E-07,0,1.0000000000000000E-03,1,1.0000000000000000E-10,1.0000000000000000E-04,1,3,0,1.0000000000000000E-10,100,1.0000000000000000E+10,1.0000000000000000E-10,9.9999999999999998E-13,-1.0000000000000000E+00,1.0000000000000000E+01,1.0000000000000000E-04,1,0,1,0,1,0,1,1.0000000000000000E+01,-9.9766117946088595E-01,9.9766117946088595E-01,0.0000000000000000E+00,-9.9766117946088595E-01,1.0000000000000000E+01,1.0000000000000000E+01,2.9314999999999998E+02,5.9754237826058446E-02,2.9314999999999998E+02,0.0000000000000000E+00,0.0000000000000000E+00,1.0000000000000000E+00,2.9374754237826056E+02,9.9168476035045110E+00,9.9168476035045110E+00,9.9168476035045110E+00,2.9374754237826056E+02,9.9766018413305702E+00,1.0023433034441592E+01,1.0000000000000000E+01,2.9314999999999998E+02,2.9374754237826056E+02,2.9314999999999998E+02,3.9215686274509803E-03,-9.9766018413305702E+00,2.9374754237826056E+02,9.9766117946088595E-01,-9.9766117946088595E-01,0.0000000000000000E+00,9.9766117946088595E-01,9.9999900233882055E+00,1,9.9999900233882055E+00,1.0000000000000001E-05,9.9532782898953930E-06,1.0000000000000001E-05,2.9314999999999998E+02,2.9314999999999998E+02,0,9.9766117946088595E-01,-9.9766117946088595E-01,9.9999900233882055E+00,9.9766117946088595E-01,1.0000000000000000E+01,9.9766117946088595E-01,1.0000000000000000E+00,1.0000000000000000E+00,0,9.9766117944710686E-06,1,0,2.0000000000000000E+00,0,2.5000000000000000E+01,2.0597542378260584E+01,1,6.0000000000000000E+00,2.5000000000000000E+01,2.5000000000000000E+01,2.0000000000000000E+00,2.5000000000000000E+01,2.0597542378260584E+01,0.0000000000000000E+00,2.9374754237826056E+02,1.0000000000000001E-01,5.9754237826058446E-02,5.9754237826058443E-01,5.9754237826058446E-02,2.9374754237826056E+02,-5.9754237826058446E-02,2.9314999999999998E+02
0.08,2.9314999999999998E+02,2.0000000000000000E+00,2.9394561762074534E+02,0,9.9999999999999995E-07,0,9.9999999999999995E-07,0,1.0000000000000000E-03,1,1.0000000000000000E-10,1.0000000000000000E-04,1,3,0,1.0000000000000000E-10,100,1.0000000000000000E+10,1.0000000000000000E-10,9.9999999999999998E-13,-1.0000000000000000E+00,1.0000000000000000E+01,1.0000000000000000E-04,1,0,1,0,1,0,1,1.0000000000000000E+01,-9.9688864166340407E-01,9.9688864166340407E-01,0.0000000000000000E+00,-9.9688864166340407E-01,1.0000000000000000E+01,1.0000000000000000E+01,2.9314999999999998E+02,7.9561762074536094E-02,2.9314999999999998E+02,0.0000000000000000E+00,0.0000000000000000E+00,1.0000000000000000E+00,2.9394561762074534E+02,9.8893147166898654E+00,9.8893147166898654E+00,9.8893147166898654E+00,2.9394561762074534E+02,9.9688764787644022E+00,1.0031200691009623E+01,1.0000000000000000E+01,2.9314999999999998E+02,2.9394561762074534E+02,2.9314999999999998E+02,3.9215686274509803E-03,-9.9688764787644022E+00,2.9394561762074534E+02,9.9688864166340407E-01,-9.9688864166340407E-01,0.0000000000000000E+00,9.9688864166340407E-01,9.9999900311135832E+00,1,9.9999900311135832E+00,1.0000000000000001E-05,9.9378696389406711E-06,1.0000000000000001E-05,2.9314999999999998E+02,2.9314999999999998E+02,0,9.9688864166340407E-01,-9.9688864166340407E-01,9.9999900311135832E+00,9.9688864166340407E-01,1.0000000000000000E+01,9.9688864166340407E-01,1.0000000000000000E+00,1.0000000000000000E+00,0,9.9688864168001601E-06,1,0,2.0000000000000000E+00,0,2.5000000000000000E+01,2.0795617620745361E+01,1,6.0000000000000000E+00,2.5000000000000000E+01,2.5000000000000000E+01,2.0000000000000000E+00,2.5000000000000000E+01,2.0795617620745361E+01,0.0000000000000000E+00,2.9394561762074534E+02,1.0000000000000001E-01,7.9561762074536094E-02,7.9561762074536091E-01,7.9561762074536094E-02,2.9394561762074534E+02,-7.9561762074536094E-02,2.9314999999999998E+02
0.1,2.9314999999999998E+02,2.0000000000000000E+00,2.9414314304525942E+02,0,9.9999999999999995E-07,0,9.9999999999999995E-07,0,1.0000000000000000E-03,1,1.0000000000000000E-10,1.0000000000000000E-04,1,3,0,1.0000000000000000E-10,100,1.0000000000000000E+10,1.0000000000000000E-10,9.9999999999999998E-13,-1.0000000000000000E+00,1.0000000000000000E+01,1.0000000000000000E-04,1,0,1,0,1,0,1,1.0000000000000000E+01,-9.9611943881035636E-01,9.9611943881035636E-01,0.0000000000000000E+00,-9.9611943881035636E-01,1.0000000000000000E+01,1.0000000000000000E+01,2.9314999999999998E+02,9.9314304525944419E-02,2.9314999999999998E+02,0.0000000000000000E+00,0.0000000000000000E+00,1.0000000000000000E+00,2.9414314304525942E+02,9.8618701610382562E+00,9.8618701610382562E+00,9.8618701610382562E+00,2.9414314304525942E+02,9.9611844655641999E+00,1.0038946786088605E+01,1.0000000000000000E+01,2.9314999999999998E+02,2.9414314304525942E+02,2.9314999999999998E+02,3.9215686274509803E-03,-9.9611844655641999E+00,2.9414314304525942E+02,9.9611943881035636E-01,-9.9611943881035636E-01,0.0000000000000000E+00,9.9611943881035636E-01,9.9999900388056115E+00,1,9.9999900388056115E+00,1.0000000000000001E-05,9.9225393641062301E-06,1.0000000000000001E-05,2.9314999999999998E+02,2.9314999999999998E+02,0,9.9611943881035636E-01,-9.9611943881035636E-01,9.9999900388056115E+00,9.9611943881035636E-01,1.0000000000000000E+01,9.9611943881035636E-01,1.0000000000000000E+00,1.0000000000000000E+00,0,9.9611943884525544E-06,1,0,2.0000000000000000E+00,0,2.5000000000000000E+01,2.0993143045259444E+01,1,6.0000000000000000E+00,2.5000000000000000E+01,2.5000000000000000E+01,2.0000000000000000E+00,2.5000000000000000E+01,2.0993143045259444E+01,0.0000000000000000E+00,2.9414314304525942E+02,1.0000000000000001E-01,9.9314304525944419E-02,9.9314304525944408E-01,9.9314304525944419E-02,2.9414314304525942E+02,-9.9314304525944419E-02,2.9314999999999998E+02
0.12,2.9314999999999998E+02,2.0000000000000000E+00,2.9434012041489319E+02,0,9.9999999999999995E-07,0,9.9999999999999995E-07,0,1.0000000000000000E-03,1,1.0000000000000000E-10,1.0000000000000000E-04,1,3,0,1.0000000000000000E-10,100,1.0000000000000000E+10,1.0000000000000000E-10,9.9999999999999998E-13,-1.0000000000000000E+00,1.0000000000000000E+01,1.0000000000000000E-04,1,0,1,0,1,0,1,1.0000000000000000E+01,-9.9535355138550619E-01,9.9535355138550619E-01,0.0000000000000000E+00,-9.9535355138550619E-01,1.0000000000000000E+01,1.0000000000000000E+01,2.9314999999999998E+02,1.1901204148932153E-01,2.9314999999999998E+02,0.0000000000000000E+00,0.0000000000000000E+00,1.0000000000000000E+00,2.9434012041489319E+02,9.8345135650788169E+00,9.8345135650788169E+00,9.8345135650788169E+00,2.9434012041489319E+02,9.9535256065681388E+00,1.0046671388819341E+01,1.0000000000000000E+01,2.9314999999999998E+02,2.9434012041489319E+02,2.9314999999999998E+02,3.9215686274509803E-03,-9.9535256065681388E+00,2.9434012041489319E+02,9.9535355138550619E-01,-9.9535355138550619E-01,0.0000000000000000E+00,9.9535355138550619E-01,9.9999900464644860E+00,1,9.9999900464644860E+00,1.0000000000000001E-05,9.9072869227305242E-06,1.0000000000000001E-05,2.9314999999999998E+02,2.9314999999999998E+02,0,9.9535355138550619E-01,-9.9535355138550619E-01,9.9999900464644860E+00,9.9535355138550619E-01,1.0000000000000000E+01,9.9535355138550619E-01,1.0000000000000000E+00,1.0000000000000000E+00,0,9.9535355140289994E-06,1,0,2.0000000000000000E+00,0,2.5000000000000000E+01,2.1190120414893215E+01,1,6.0000000000000000E+00,2.5000000000000000E+01,2.5000000000000000E+01,2.0000000000000000E+00,2.5000000000000000E+01,2.1190120414893215E+01,0.0000000000000000E+00,2.9434012041489319E+02,1.0000000000000001E-01,1.1901204148932153E-01,1.1901204148932152E+00,1.1901204148932153E-01,2.9434012041489319E+02,-1.1901204148932153E-01,2.9314999999999998E+02
0.14,2.9314999999999998E+02,2.0000000000000000E+00,2.9453655148532937E+02,0,9.9999999999999995E-07,0,9.9999999999999995E-07,0,1.0000000000000000E-03,1,1.0000000000000000E-10,1.0000000000000000E-04,1,3,0,1.0000000000000000E-10,100,1.0000000000000000E+10,1.0000000000000000E-10,9.9999999999999998E-13,-1.0000000000000000E+00,1.0000000000000000E+01,1.0000000000000000E-04,1,0,1,0,1,0,1,1.0000000000000000E+01,-9.9459096002504821E-01,9.9459096002504821E-01,0.0000000000000000E+00,-9.9459096002504821E-01,1.0000000000000000E+01,1.0000000000000000E+01,2.9314999999999998E+02,1.3865514853293917E-01,2.9314999999999998E+02,0.0000000000000000E+00,0.0000000000000000E+00,1.0000000000000000E+00,2.9453655148532937E+02,9.8072445596057651E+00,9.8072445596057651E+00,9.8072445596057651E+00,2.9453655148532937E+02,9.9458997081387039E+00,1.0054374568052133E+01,1.0000000000000000E+01,2.9314999999999998E+02,2.9453655148532937E+02,2.9314999999999998E+02,3.9215686274509803E-03,-9.9458997081387039E+00,2.9453655148532937E+02,9.9459096002504821E-01,-9.9459096002504821E-01,0.0000000000000000E+00,9.9459096002504821E-01,9.9999900540904001E+00,1,9.9999900540904001E+00,1.0000000000000001E-05,9.8921117772934482E-06,1.0000000000000001E-05,2.9314999999999998E+02,2.9314999999999998E+02,0,9.9459096002504821E-01,-9.9459096002504821E-01,9.9999900540904001E+00,9.9459096002504821E-01,1.0000000000000000E+01,9.9459096002504821E-01,1.0000000000000000E+00,1.0000000000000000E+00,0,9.9459095999065994E-06,1,0,2.0000000000000000E+00,0,2.5000000000000000E+01,2.1386551485329392E+01,1,6.0000000000000000E+00,2.5000000000000000E+01,2.5000000000000000E+01,2.0000000000000000E+00,2.5000000000000000E+01,2.1386551485329392E+01,0.0000000000000000E+00,2.9453655148532937E+02,1.0000000000000001E-01,1.3865514853293917E-01,1.3865514853293917E+00,1.3865514853293917E-01,2.9453655148532937E+02,-1.3865514853293917E-01,2.9314999999999998E+02
0.16,2.9314999999999998E+02,2.0000000000000000E+00,2.9473243800488791E+02,0,9.9999999999999995E-07,0,9.9999999999999995E-07,0,1.0000000000000000E-03,1,1.0000000000000000E-10,1.0000000000000000E-04,1,3,0,1.0000000000000000E-10,100,1.0000000000000000E+10,1.0000000000000000E-10,9.9999999999999998E-13,-1.0000000000000000E+00,1.0000000000000000E+01,1.0000000000000000E-04,1,0,1,0,1,0,1,1.0000000000000000E+01,-9.9383164551609959E-01,9.9383164551609959E-01,0.0000000000000000E+00,-9.9383164551609959E-01,1.0000000000000000E+01,1.0000000000000000E+01,2.9314999999999998E+02,1.5824380048879336E-01,2.9314999999999998E+02,0.0000000000000000E+00,0.0000000000000000E+00,1.0000000000000000E+00,2.9473243800488791E+02,9.7800627776588041E+00,9.7800627776588041E+00,9.7800627776588041E+00,2.9473243800488791E+02,9.9383065781475981E+00,1.0062056392348547E+01,1.0000000000000000E+01,2.9314999999999998E+02,2.9473243800488791E+02,2.9314999999999998E+02,3.9215686274509803E-03,-9.9383065781475981E+00,2.9473243800488791E+02,9.9383164551609959E-01,-9.9383164551609959E-01,0.0000000000000000E+00,9.9383164551609959E-01,9.9999900616835440E+00,1,9.9999900616835440E+00,1.0000000000000001E-05,9.8770133971412900E-06,1.0000000000000001E-05,2.9314999999999998E+02,2.9314999999999998E+02,0,9.9383164551609959E-01,-9.9383164551609959E-01,9.9999900616835440E+00,9.9383164551609959E-01,1.0000000000000000E+01,9.9383164551609959E-01,1.0000000000000000E+00,1.0000000000000000E+00,0,9.9383164560151727E-06,1,0,2.0000000000000000E+00,0,2.5000000000000000E+01,2.1582438004887933E+01,1,6.0000000000000000E+00,2.5000000000000000E+01,2.5000000000000000E+01,2.0000000000000000E+00,2.5000000000000000E+01,2.1582438004887933E+01,0.0000000000000000E+00,2.9473243800488791E+02,1.0000000000000001E-01,1.5824380048879336E-01,1.5824380048879334E+00,1.5824380048879336E-01,2.9473243800488791E+02,-1.5824380048879336E-01,2.9314999999999998E+02
0.18,2.9314999999999998E+02,2.0000000000000000E+00,2.9492778171457053E+02,0,9.9999999999999995E-07,0,9.9999999999999995E-07,0,1.0000000000000000E-03,1,1.0000000000000000E-10,1.0000000000000000E-04,1,3,0,1.0000000000000000E-10,100,1.0000000000000000E+10,1.0000000000000000E-10,9.9999999999999998E-13,-1.0000000000000000E+00,1.0000000000000000E+01,1.0000000000000000E-04,1,0,1,0,1,0,1,1.0000000000000000E+01,-9.9307558879520930E-01,9.9307558879520930E-01,0.0000000000000000E+00,-9.9307558879520930E-01,1.0000000000000000E+01,1.0000000000000000E+01,2.9314999999999998E+02,1.7777817145705513E-01,2.9314999999999998E+02,0.0000000000000000E+00,0.0000000000000000E+00,1.0000000000000000E+00,2.9492778171457053E+02,9.7529678545037886E+00,9.7529678545037886E+00,9.7529678545037886E+00,2.9492778171457053E+02,9.9307460259608433E+00,1.0069716929983159E+01,1.0000000000000000E+01,2.9314999999999998E+02,2.9492778171457053E+02,2.9314999999999998E+02,3.9215686274509803E-03,-9.9307460259608433E+00,2.9492778171457053E+02,9.9307558879520930E-01,-9.9307558879520930E-01,0.0000000000000000E+00,9.9307558879520930E-01,9.9999900692441130E+00,1,9.9999900692441130E+00,1.0000000000000001E-05,9.8619912496197915E-06,1.0000000000000001E-05,2.9314999999999998E+02,2.9314999999999998E+02,0,9.9307558879520930E-01,-9.9307558879520930E-01,9.9999900692441130E+00,9.9307558879520930E-01,1.0000000000000000E+01,9.9307558879520930E-01,1.0000000000000000E+00,1.0000000000000000E+00,0,9.9307558869554668E-06,1,0,2.0000000000000000E+00,0,2.5000000000000000E+01,2.1777781714570551E+01,1,6.0000000000000000E+00,2.5000000000000000E+01,2.5000000000000000E+01,2.0000000000000000E+00,2.5000000000000000E+01,2.1777781714570551E+01,0.0000000000000000E+00,2.9492778171457053E+02,1.0000000000000001E-01,1.7777817145705513E-01,1.7777817145705512E+00,1.7777817145705513E-01,2.9492778171457053E+02,-1.7777817145705513E-01,2.9314999999999998E+02
