"time","J1_w","J2_w","J3_w","J4_w"
0,1.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.003,9.9709420317557207E+000,2.9999981030353950E-002,3.0531133177191805E-016,3.0521049890797565E-016
0.006,9.9447010760873784E+000,5.9999696817929049E-002,1.6445178552260131E-015,1.6443032191705862E-015
0.009,9.9212441963364206E+000,8.9998721000355886E-002,4.7184478546569153E-016,4.7150916939846279E-016
0.012,9.9005137503182681E+000,1.1999662722510074E-001,-3.1918911957973251E-016,-3.1965747574014082E-016
0.015,9.8824279057366997E+000,1.4999298915551762E-001,1.3045120539345589E-015,1.3038942568317569E-015
0.018,9.8668813703112317E+000,1.7998738047690210E-001,1.0269562977782698E-015,1.0263000617934979E-015
0.021,9.8537463301368078E+000,2.0997937490256291E-001,9.9920072216264089E-016,9.9836760372823309E-016
0.024,9.8428735879467517E+000,2.3996854617987218E-001,1.5543122344752192E-015,1.5533229568512067E-015
0.027,9.8340938911756659E+000,2.6995446809632284E-001,7.2164496600635175E-016,7.2054699052328555E-016
0.03,9.8272194380342164E+000,2.9993671448559311E-001,1.1102230246251565E-015,1.1090689625044905E-015
0.033,9.8220455482277291E+000,3.2991485923359321E-001,0.0000000000000000E+000,-1.2169413209900127E-018
0.036,9.8183524834891518E+000,3.5988847628453158E-001,-4.9960036108132044E-016,-5.0089748776742520E-016
0.039,9.8159074017671024E+000,3.8985713964696167E-001,-1.9984014443252818E-015,-1.9997639001687753E-015
0.042,9.8144664277234828E+000,4.1982042339984460E-001,-9.9920072216264089E-016,-1.0005948466760522E-015
0.045,9.8137768211626977E+000,4.4977790169859233E-001,2.7755575615628914E-016,2.7610886594659785E-016
0.048,9.8135792241452915E+000,4.7972914878112505E-001,-2.2204460492503131E-016,-2.2352134607696280E-016
0.051,9.8136099668404295E+000,5.0967373897392498E-001,-1.8873791418627661E-015,-1.8888607386293143E-015
0.054,9.8136034116502397E+000,5.3961124669808669E-001,-1.2212453270876722E-015,-1.2227214143745538E-015
0.057,9.8132943147993537E+000,5.6954124647535487E-001,-1.7763568394002505E-015,-1.7778127530729026E-015
0.06,9.8124201844279675E+000,5.9946331293418353E-001,-2.5535129566378600E-015,-2.5549316713305831E-015
0.063,9.8107236142577499E+000,6.2937702081577562E-001,-3.5527136788005009E-015,-3.5540941723193964E-015
0.066,9.8079545721167793E+000,6.5928194498012793E-001,-4.7739590058881731E-015,-4.7753017395740693E-015
0.069,9.8038726230103297E+000,6.8917766041207251E-001,-7.2164496600635175E-015,-7.2177252200669608E-015
0.072,9.7982490670053313E+000,7.1906374222732161E-001,-8.1046280797636427E-015,-8.1058282635402860E-015
0.075,9.7908689729524312E+000,7.4893976567849840E-001,-8.4376949871511897E-015,-8.4387661437835532E-015
0.078,9.7815330899941397E+000,7.7880530616117660E-001,-1.0547118733938987E-014,-1.0548087883649858E-014
0.081,9.7700596198923346E+000,8.0865993921992185E-001,-1.1102230246251565E-014,-1.1103079832340543E-014
0.084,9.7562858344437551E+000,8.3850324055431180E-001,-1.3211653993039363E-014,-1.3212404568809311E-014
0.087,9.7400695236271506E+000,8.6833478602498104E-001,-1.2212453270876722E-014,-1.2213070016021598E-014
0.09,9.7212902616281465E+000,8.9815415165963230E-001,-1.1657341758564144E-014,-1.1657822924153970E-014
0.093,9.6998504795044944E+000,9.2796091365907429E-001,-1.2101430968414206E-014,-1.2101811732387040E-014
0.096,9.6756763349705519E+000,9.5775464840324354E-001,-1.1546319456101628E-014,-1.1546559421644530E-014
0.099,9.6487183715806975E+000,9.8753493245721913E-001,-1.1435297153639112E-014,-1.1435415316687698E-014
0.102,9.6189519614606702E+000,1.0173013425772446E+000,-1.3100631690576847E-014,-1.3100598546692122E-014
0.105,9.5863775276570458E+000,1.0470534557167479E+000,-1.2656542480726785E-014,-1.2656387907648377E-014
0.108,9.5510205441312266E+000,1.0767908490323421E+000,-1.2656542480726785E-014,-1.2656230533148057E-014
0.111,9.5129313133979334E+000,1.1065130998898454E+000,-1.2434497875801753E-014,-1.2434043812670936E-014
0.114,9.4721845237818485E+000,1.1362197858702832E+000,-1.1546319456101628E-014,-1.1545718958967968E-014
0.117,9.4288785902221797E+000,1.1659104847758908E+000,-1.0658141036401503E-014,-1.0657373344171952E-014
0.12,9.3831347844761410E+000,1.1955847746361172E+000,-8.8817841970012523E-015,-8.8808898927665130E-015
0.123,9.3350961624416993E+000,1.2252422337136171E+000,-8.6597395920762210E-015,-8.6587472051165197E-015
0.126,9.2849262981206770E+000,1.2548824405102526E+000,-7.1054273576010019E-015,-7.1042770999821758E-015
0.129,9.2328078354595782E+000,1.2845049737730729E+000,-7.9936057773011271E-015,-7.9923185329743889E-015
0.132,9.1789408709220854E+000,1.3141094125003141E+000,-7.7715611723760958E-015,-7.7701755675257074E-015
0.135,9.1235411811495304E+000,1.3436953359473707E+000,-7.9936057773011271E-015,-7.9921489121694784E-015
0.138,9.0668383114407334E+000,1.3732623236327814E+000,-9.3258734068513149E-015,-9.3243406961314492E-015
0.141,9.0090735420179318E+000,1.4028099553442068E+000,-9.5479180117763462E-015,-9.5463155973973571E-015
0.144,8.9504977501302996E+000,1.4323378111443956E+000,-9.1038288019262836E-015,-9.1021855751539909E-015
0.147,8.8913691869711560E+000,1.4618454713771563E+000,-9.1038288019262836E-015,-9.1021699327077471E-015
0.15,8.8319511891410194E+000,1.4913325166733218E+000,-8.8817841970012523E-015,-8.8801193828949126E-015
0.153,8.7725098449696937E+000,1.5207985279567087E+000,-8.4376949871511897E-015,-8.4360309951486567E-015
0.156,8.7133116364112020E+000,1.5502430864500720E+000,-9.3258734068513149E-015,-9.3242263335837678E-015
0.159,8.6546210774422505E+000,1.5796657736810618E+000,-9.7699626167013776E-015,-9.7683381021099442E-015
0.162,8.5966983699258837E+000,1.6090661714881644E+000,-1.0658141036401503E-014,-1.0656570134987674E-014
0.165,8.5397970977470159E+000,1.6384438620266506E+000,-1.0214051826551440E-014,-1.0212530624874892E-014
0.168,8.4841619796867960E+000,1.6677984277745077E+000,-1.1102230246251565E-014,-1.1100757619311704E-014
0.171,8.4300267009814078E+000,1.6971294515383830E+000,-9.9920072216264089E-015,-9.9905960022898867E-015
0.174,8.3776118428124704E+000,1.7264365164595015E+000,-1.0214051826551440E-014,-1.0212763801566033E-014
0.177,8.3271229281070056E+000,1.7557192060196014E+000,-9.1038288019262836E-015,-9.1026159718023242E-015
0.18,8.2787486009925075E+000,1.7849771040468436E+000,-1.0214051826551440E-014,-1.0212935911872117E-014
0.183,8.2326589560663788E+000,1.8142097947217390E+000,-8.8817841970012523E-015,-8.8807731361903323E-015
